DayID,TradingVolume_M,SocialMentions,DailyReturn_Percent,VIX_Index,PriceVolatility
1020001,141.7,110.9,56.7,15.9,85349.0
1020002,123.1,112.7,30.2,24.2,69832.0
1020003,126.4,112.4,44.2,21.2,59702.0
1020004,77.0,97.2,43.0,22.3,92270.0
1020005,132.5,124.4,46.0,20.7,74168.0
1020006,108.3,80.6,53.6,25.1,76811.0
1020007,87.3,71.9,33.4,24.5,37535.0
1020008,77.4,72.3,46.9,21.2,36653.0
1020009,96.7,107.6,56.9,20.3,53569.0
1020010,44.0,94.4,42.7,20.1,76579.0
1020011,124.3,128.7,66.9,28.1,56506.0
1020012,99.4,94.0,32.3,8.0,58910.0
1020013,87.9,98.5,34.7,22.9,43833.0
1020014,72.3,110.0,60.2,22.1,92009.0
1020015,86.0,78.8,45.9,21.3,91735.0
1020016,126.1,65.9,36.9,21.5,48171.0
1020017,57.2,107.2,64.4,18.0,63605.0
1020018,103.4,106.8,76.8,12.3,61111.0
1020019,88.4,159.1,33.5,32.7,52867.0
1020020,101.3,69.4,44.4,19.7,71597.0
1020021,136.2,122.0,31.8,17.9,23757.0
1020022,114.8,73.7,45.0,8.0,40178.0
1020023,81.1,85.5,66.7,19.7,68142.0
1020024,84.3,121.1,25.5,14.9,81200.0
1020025,122.1,78.4,32.8,25.2,79178.0
1020026,104.1,149.6,54.2,23.9,80678.0
1020027,37.4,116.8,51.2,15.8,62416.0
1020028,110.3,152.3,53.9,23.4,56988.0
1020029,118.2,96.5,55.2,20.9,58599.0
1020030,100.7,100.2,58.3,18.6,59592.0
1020031,92.7,148.1,32.6,21.1,61972.0
1020032,107.9,89.0,25.9,26.9,51902.0
1020033,124.9,88.1,56.2,18.1,60799.0
1020034,185.7,100.9,19.1,19.9,53134.0
1020035,85.5,98.6,52.0,24.6,109844.0
1020036,94.9,103.9,33.1,20.7,70329.0
1020037,53.3,98.0,26.7,16.1,63707.0
1020038,136.1,105.6,60.4,9.3,51756.0
1020039,110.1,96.7,57.8,20.2,61795.0
1020040,82.7,90.5,38.6,25.7,63873.0
1020041,129.3,117.2,62.3,27.1,79247.0
1020042,60.7,99.8,27.4,9.6,58733.0
1020043,120.0,143.7,48.9,21.4,64777.0
1020044,85.7,98.3,36.2,17.8,42378.0
1020045,138.8,87.5,60.5,16.8,74158.0
1020046,117.5,112.2,26.0,20.1,62289.0
1020047,125.4,99.4,48.2,21.3,39315.0
1020048,97.0,147.6,35.7,23.7,60251.0
1020049,73.4,133.0,42.3,25.7,67722.0
1020050,129.4,102.7,38.3,17.6,60878.0
1020051,133.7,158.2,41.3,17.2,115827.0
1020052,80.1,67.1,7.7,15.4,46746.0
1020053,68.0,107.1,36.4,20.9,57372.0
1020054,113.9,129.6,35.3,12.2,64969.0
1020055,98.8,109.9,66.0,30.2,67570.0
1020056,105.9,72.0,48.7,12.4,105351.0
1020057,75.4,93.8,53.0,20.3,65137.0
1020058,127.3,114.3,54.7,22.9,76459.0
1020059,68.7,58.8,61.9,18.3,74467.0
1020060,137.0,129.7,38.9,21.8,77651.0
1020061,94.3,128.4,75.2,18.1,83629.0
1020062,98.4,95.7,49.9,14.5,61089.0
1020063,95.6,106.1,45.9,12.6,88165.0
1020064,45.7,74.7,38.6,21.4,67324.0
1020065,60.3,119.1,38.0,11.5,63425.0
1020066,67.7,102.6,76.4,12.6,47249.0
1020067,86.3,97.4,53.7,20.4,72610.0
1020068,99.8,90.5,57.6,26.1,93609.0
1020069,88.0,75.8,64.5,17.8,61181.0
1020070,91.0,102.6,68.7,20.7,48681.0
1020071,115.2,127.9,37.4,30.4,33092.0
1020072,126.0,110.8,53.0,14.8,76708.0
1020073,102.5,82.2,30.6,17.0,84952.0
1020074,72.3,133.3,32.0,12.5,35545.0
1020075,81.1,111.5,63.2,17.1,59636.0
1020076,125.4,97.4,42.3,15.7,31480.0
1020077,56.3,101.8,66.6,17.9,80116.0
1020078,66.2,126.4,32.3,20.4,55009.0
1020079,100.8,81.4,28.4,19.0,93336.0
1020080,110.6,105.8,70.5,17.3,93763.0
1020081,89.3,87.7,47.5,26.3,67492.0
1020082,94.4,103.7,79.5,13.3,43910.0
1020083,105.8,83.6,64.0,18.8,98410.0
1020084,77.6,70.3,22.1,21.3,64307.0
1020085,75.0,50.4,45.2,16.8,28384.0
1020086,129.2,76.0,47.5,25.3,60677.0
1020087,119.7,124.5,64.8,21.8,64259.0
1020088,114.1,103.6,37.0,20.3,47265.0
1020089,68.2,124.5,41.1,14.1,52021.0
1020090,92.9,87.6,37.3,11.0,77527.0
1020091,106.7,98.6,58.7,18.7,81172.0
1020092,81.2,107.2,34.9,19.5,84144.0
1020093,112.0,88.1,51.7,16.5,48307.0
1020094,148.5,104.5,44.6,24.7,51672.0
1020095,82.4,85.9,38.6,21.5,41622.0
1020096,94.2,101.9,49.2,20.3,15000.0
1020097,99.7,140.0,49.9,26.6,89899.0
1020098,87.7,112.5,32.1,21.7,78597.0
1020099,103.9,61.9,60.6,22.0,81429.0
1020100,89.9,88.8,39.4,15.1,64736.0
1020101,107.0,84.6,43.1,25.4,38789.0
1020102,98.4,113.8,42.3,20.2,42667.0
1020103,131.9,128.6,42.3,15.8,57977.0
1020104,122.8,99.2,33.6,22.9,44398.0
1020105,95.3,99.9,67.0,17.2,65355.0
1020106,101.5,127.6,29.1,8.5,54066.0
1020107,119.7,93.3,21.2,17.8,64479.0
1020108,124.5,76.4,41.9,23.8,68141.0
1020109,33.7,92.6,29.3,23.7,50635.0
1020110,92.3,143.2,64.0,20.6,75962.0
1020111,82.0,73.0,56.9,27.0,36129.0
1020112,102.9,70.0,19.1,16.3,37849.0
1020113,88.4,72.7,46.0,16.9,60871.0
1020114,76.5,132.9,31.6,8.3,76773.0
1020115,55.5,108.5,16.0,20.0,62761.0
1020116,113.2,89.7,52.5,18.0,59861.0
1020117,120.8,76.0,93.1,24.7,80265.0
1020118,93.5,101.4,33.9,19.6,70001.0
1020119,104.2,127.9,66.3,25.9,57159.0
1020120,85.2,95.1,34.2,12.4,72102.0
1020121,85.9,58.3,44.3,23.6,78067.0
1020122,122.1,178.4,44.0,26.4,34085.0
1020123,107.8,107.7,12.4,14.8,82011.0
