CustomerID,TotalPurchases,AvgOrderValue,Tenure_Months,ChurnRisk,CustomerLifetimeValue
1110001,310.0,265.1,398.7,445.6,148.2
1110002,92.8,393.5,43.1,451.4,455.4
1110003,223.7,406.2,448.8,461.7,223.2
1110004,386.9,132.3,269.0,15.8,283.8
1110005,154.7,480.3,207.1,196.8,240.2
1110006,83.1,102.5,189.1,125.2,155.5
1110007,21.0,149.1,334.8,14.6,141.2
1110008,215.9,380.5,110.1,387.2,314.8
1110009,127.0,251.7,48.2,494.5,210.3
1110010,175.5,481.1,185.4,271.8,310.2
1110011,495.4,466.9,298.2,156.5,209.7
1110012,126.5,223.1,112.8,408.5,418.7
1110013,49.8,351.3,255.4,137.9,213.1
1110014,338.1,371.2,490.9,320.4,277.0
1110015,314.4,28.3,397.0,61.8,145.7
1110016,144.4,302.4,410.4,177.1,202.0
1110017,238.4,407.0,487.4,248.8,216.2
1110018,68.0,492.2,211.2,94.4,265.5
1110019,46.2,321.5,292.1,256.3,37.1
1110020,451.4,404.8,223.8,38.7,50.8
1110021,399.0,364.6,398.6,202.6,363.1
1110022,421.9,124.5,261.7,291.7,274.9
1110023,409.5,171.1,184.4,443.1,72.5
1110024,495.6,230.1,279.7,406.8,383.4
1110025,292.9,,492.0,182.8,200.0
1110026,408.7,77.0,341.2,221.6,460.8
1110027,216.4,,168.9,430.6,126.8
1110028,23.4,490.0,451.8,306.6,218.2
1110029,232.5,104.1,76.8,374.9,63.1
1110030,61.6,216.8,436.6,100.7,447.7
1110031,410.4,45.0,191.2,266.3,439.9
1110032,351.9,383.5,292.8,284.9,348.7
1110033,287.0,418.2,446.8,11.9,62.2
1110034,144.4,200.0,475.5,223.6,353.4
1110035,499.3,242.7,169.9,23.4,261.0
1110036,77.6,309.2,360.5,175.8,101.3
1110037,311.6,352.9,177.6,62.1,140.5
1110038,247.7,231.8,313.0,38.2,419.4
1110039,208.5,249.3,406.4,284.0,381.1
1110040,366.6,57.8,486.6,469.9,237.7
1110041,168.2,461.1,290.2,485.4,85.3
1110042,206.3,449.2,482.9,455.7,444.8
1110043,166.3,342.6,372.2,246.1,420.6
1110044,474.1,376.4,405.0,88.8,180.1
1110045,460.2,21.3,88.3,378.2,433.2
1110046,408.8,234.1,346.1,472.1,187.5
1110047,26.7,152.9,71.5,84.1,250.4
1110048,472.3,23.2,403.1,476.6,208.7
1110049,475.7,183.4,309.1,219.8,364.4
1110050,405.2,291.6,116.2,21.6,135.6
1110051,245.8,222.8,85.9,460.1,77.3
1110052,483.7,350.5,452.7,77.7,458.0
1110053,214.3,,23.6,13.5,449.0
1110054,166.2,412.0,162.4,279.5,20.6
1110055,18.1,365.4,435.3,222.7,85.5
1110056,28.7,323.3,202.0,380.0,212.0
1110057,36.0,184.6,401.3,468.7,322.0
1110058,72.7,386.2,255.2,352.8,359.1
1110059,26.4,490.4,349.2,429.1,408.5
1110060,120.9,199.1,285.9,88.7,110.1
1110061,276.5,421.4,348.5,73.7,329.9
1110062,97.5,136.1,52.2,493.3,435.5
1110063,97.9,360.4,288.1,108.4,403.7
1110064,83.3,197.7,493.1,200.9,335.9
1110065,344.7,216.2,50.9,269.3,383.2
1110066,239.8,482.0,445.3,213.6,387.0
1110067,386.4,360.6,474.4,273.3,435.5
1110068,337.7,228.4,307.3,434.3,493.5
1110069,226.2,56.8,216.4,37.4,258.0
1110070,301.7,230.2,307.8,262.1,138.7
1110071,236.2,106.4,333.9,264.4,350.8
1110072,482.0,435.8,254.9,240.0,82.2
1110073,82.4,242.9,264.6,210.2,452.5
1110074,454.3,357.4,432.1,78.3,439.3
1110075,254.0,313.7,21.8,66.9,405.5
1110076,300.3,233.5,18.7,495.8,350.0
1110077,345.5,286.4,180.6,144.9,217.0
1110078,97.0,122.9,233.9,21.6,181.0
1110079,433.7,261.3,221.7,157.4,212.2
1110080,246.2,141.7,260.6,453.5,29.7
1110081,44.0,412.5,155.6,291.3,404.7
1110082,188.7,410.5,92.9,110.6,191.1
1110083,187.1,167.5,281.8,247.1,351.8
1110084,241.3,359.6,255.2,328.7,75.1
1110085,97.9,423.2,26.2,258.6,443.3
1110086,95.9,45.9,341.8,232.6,53.4
1110087,475.1,144.3,326.7,106.3,332.7
1110088,331.3,346.2,389.1,291.2,348.2
1110089,76.1,315.8,31.9,491.2,144.6
1110090,464.6,374.9,48.0,121.4,26.9
1110091,422.5,303.0,364.3,81.8,405.2
1110092,35.9,98.0,263.4,131.0,128.3
1110093,109.8,233.4,157.9,119.8,460.9
1110094,437.5,148.5,446.4,480.3,195.6
1110095,340.2,30.3,81.8,415.0,72.5
1110096,155.7,211.0,28.0,130.8,301.5
1110097,369.9,225.4,109.4,234.4,15.7
1110098,313.0,82.2,229.8,367.9,328.1
1110099,113.1,161.1,80.0,58.5,24.7
1110100,403.0,346.8,413.3,214.9,57.0
1110101,39.0,200.9,18.0,43.4,181.9
1110102,161.0,432.7,418.9,268.0,384.3
1110103,111.6,444.9,400.3,65.6,16.7
1110104,486.4,67.5,318.4,263.2,431.1
1110105,455.6,433.1,242.6,497.5,216.9
1110106,341.5,79.5,254.8,227.4,446.9
1110107,66.4,308.9,232.4,420.1,212.9
1110108,479.4,12.0,28.1,194.7,287.1
1110109,54.9,331.0,384.5,246.8,196.0
1110110,318.6,242.7,272.1,480.4,28.4
1110111,452.4,376.6,114.3,74.5,422.6
1110112,176.5,152.7,298.9,427.1,348.3
1110113,329.9,39.6,249.9,305.6,316.8
1110114,463.3,187.5,269.7,282.2,421.0
1110115,193.3,36.9,306.1,420.3,223.9
1110116,388.0,236.1,285.5,484.4,355.5
1110117,449.1,12.9,367.3,300.0,45.5
1110118,313.9,361.9,105.6,69.5,437.8
1110119,84.0,284.2,412.9,356.8,304.7
1110120,193.7,126.0,488.4,164.3,74.8
1110121,321.6,284.7,81.8,78.6,175.2
1110122,234.9,407.5,196.2,155.7,431.6
1110123,270.8,135.8,393.3,238.1,405.0
1110124,182.6,242.9,484.2,463.6,192.5
1110125,333.3,37.9,146.5,180.9,336.6
