ItemID,OriginalPrice_K,DiscountRate_Percent,SalesQty_Weekly,CompetitorPrice_K,ElasticityCategory
1150001,87.4,36.1,94.1,74.0,154.0
1150002,56.4,31.5,88.3,106.1,91.9
1150003,107.2,58.8,106.3,119.5,121.3
1150004,38.8,68.6,159.2,42.0,94.3
1150005,58.5,41.2,79.0,78.7,119.6
1150006,87.2,45.4,93.7,84.1,95.4
1150007,113.5,41.5,159.2,89.1,86.7
1150008,99.6,45.0,86.9,57.1,105.1
1150009,103.6,50.8,133.2,69.4,147.6
1150010,79.3,43.8,123.8,61.1,72.5
1150011,29.6,61.4,128.9,41.2,128.7
1150012,95.2,33.5,119.1,52.9,58.7
1150013,79.5,33.2,89.1,63.2,105.9
1150014,66.3,45.5,129.2,51.3,87.7
1150015,67.0,20.5,87.8,78.6,84.2
1150016,65.6,54.9,79.1,67.8,118.2
1150017,81.4,28.3,90.2,83.7,135.4
1150018,79.5,45.4,116.1,95.5,89.7
1150019,72.0,46.0,83.2,23.0,137.3
1150020,35.6,51.2,68.5,49.5,105.1
1150021,86.8,36.9,61.4,97.8,79.4
1150022,81.2,57.0,97.4,85.4,113.0
1150023,60.4,26.0,73.5,63.2,97.3
1150024,91.7,38.9,93.0,63.1,76.3
1150025,70.0,27.2,75.8,59.4,96.3
1150026,72.3,21.8,79.2,66.9,92.9
1150027,72.4,46.6,38.1,63.4,82.0
1150028,44.9,64.7,86.2,44.3,86.7
1150029,69.5,36.6,93.1,90.0,92.8
1150030,57.2,69.4,154.4,52.5,106.3
1150031,39.8,87.0,85.9,68.2,70.8
1150032,102.5,36.1,122.2,48.6,72.1
1150033,56.7,40.8,87.8,77.8,142.6
1150034,73.3,50.4,87.8,88.3,111.0
1150035,101.0,62.8,76.5,85.4,99.0
1150036,94.7,38.5,74.5,77.3,101.7
1150037,89.9,48.1,109.9,82.9,103.3
1150038,69.6,27.3,99.5,94.6,85.5
1150039,65.0,72.7,98.4,83.3,153.8
1150040,52.1,67.0,104.9,85.8,72.5
1150041,94.1,65.5,114.2,66.7,134.1
1150042,82.3,44.9,98.0,60.3,111.2
1150043,65.7,36.0,108.5,83.8,93.4
1150044,86.0,60.6,92.2,97.2,109.6
1150045,81.5,51.0,92.6,93.8,76.3
1150046,69.4,54.1,69.0,74.2,73.0
1150047,58.8,44.1,98.5,54.9,106.2
1150048,64.3,51.6,85.1,104.2,90.0
1150049,52.1,45.4,87.9,84.0,95.5
1150050,92.1,57.6,105.6,42.6,54.3
1150051,79.8,41.9,116.5,84.2,134.6
1150052,66.5,48.2,128.0,75.5,94.7
1150053,34.3,54.1,108.4,77.8,87.8
1150054,99.8,56.3,89.2,56.6,120.0
1150055,98.4,70.1,86.9,70.4,111.9
1150056,78.0,48.0,89.2,83.2,101.8
1150057,97.5,36.2,165.6,80.1,118.4
1150058,32.1,27.0,82.4,88.7,125.9
1150059,89.2,54.5,101.9,80.7,112.3
1150060,60.9,45.4,96.9,39.1,107.1
1150061,96.3,76.1,52.1,75.4,142.7
1150062,102.2,28.1,120.1,73.4,101.4
1150063,75.6,75.5,99.7,73.5,92.7
1150064,100.9,28.9,125.6,65.2,72.4
1150065,86.9,28.1,67.7,61.8,75.3
1150066,105.4,40.7,88.4,106.9,88.3
1150067,73.4,51.2,99.5,97.7,141.0
1150068,57.9,58.2,104.8,85.8,128.0
1150069,78.2,40.2,86.2,66.7,99.6
1150070,70.7,19.5,86.4,124.0,96.7
1150071,41.1,36.2,76.3,60.3,82.9
1150072,68.5,49.6,89.8,81.0,101.4
1150073,111.2,40.4,72.0,58.3,99.0
1150074,78.2,23.7,122.2,61.1,118.8
1150075,60.7,43.9,80.5,39.7,150.5
1150076,83.4,32.8,117.2,74.1,60.9
1150077,66.4,35.7,163.2,41.6,154.5
1150078,58.2,43.8,112.0,75.2,116.5
1150079,99.4,38.8,120.1,,89.3
1150080,106.3,30.6,75.9,91.1,131.2
1150081,41.3,33.3,144.4,81.5,53.4
1150082,96.6,37.7,77.5,51.9,94.5
1150083,72.9,44.9,93.2,56.9,101.4
1150084,124.1,56.7,135.2,63.5,143.4
1150085,48.0,56.8,113.8,70.1,110.7
1150086,93.2,33.8,114.8,58.2,119.7
1150087,64.4,32.3,106.8,77.7,54.7
1150088,90.1,46.6,81.4,88.2,106.7
1150089,52.1,64.2,133.5,92.0,68.3
1150090,101.6,87.1,105.2,83.2,127.3
1150091,71.1,32.9,59.7,63.0,128.4
1150092,68.6,44.4,57.1,96.1,113.3
1150093,72.1,34.9,66.5,89.3,152.7
1150094,73.4,79.3,83.2,62.0,106.9
1150095,102.5,41.0,88.5,60.2,109.4
1150096,54.7,34.8,113.3,98.5,100.3
1150097,37.9,28.6,114.2,51.1,85.1
