MemberID,PointsAccumulated,RedemptionIntervalMonths,LoyaltyTier,TotalSpend_K,Redeemed
1180001,102.9,58.0,Type_A,88.9,128.6
1180002,116.0,28.0,Type_C,77.1,115.2
1180003,113.7,37.0,Type_C,60.0,119.7
1180004,104.4,33.0,Type_C,69.5,102.9
1180005,105.1,13.0,Type_B,87.1,91.1
1180006,73.8,46.0,Type_C,95.2,159.8
1180007,,16.0,Type_B,98.8,92.9
1180008,108.5,17.0,Type_C,72.1,93.7
1180009,109.0,48.0,Type_C,118.7,115.4
1180010,127.2,52.0,Type_B,91.0,76.6
1180011,118.4,15.0,Type_B,77.4,118.4
1180012,105.7,42.0,Type_A,73.6,81.9
1180013,94.0,39.0,Type_B,71.4,69.1
1180014,121.3,20.0,Type_B,54.4,100.4
1180015,133.0,49.0,Type_A,76.8,100.6
1180016,125.9,59.0,Type_A,76.8,103.4
1180017,36.7,32.0,Type_B,62.6,108.9
1180018,90.6,55.0,Type_C,97.1,103.3
1180019,78.9,58.0,Type_C,74.6,71.0
1180020,127.3,21.0,Type_B,58.8,177.0
1180021,94.5,15.0,Type_B,87.8,55.4
1180022,128.5,6.0,Type_B,69.5,64.0
1180023,115.6,37.0,Type_A,58.3,123.3
1180024,44.6,21.0,Type_C,73.5,89.8
1180025,85.2,26.0,Type_C,74.2,90.6
1180026,158.1,17.0,Type_B,62.1,147.9
1180027,92.8,48.0,Type_A,51.2,90.4
1180028,95.6,23.0,Type_B,123.6,85.1
1180029,93.1,30.0,Type_C,52.4,100.0
1180030,135.1,12.0,Type_B,24.2,50.6
1180031,75.8,38.0,Type_A,61.6,130.6
1180032,112.5,5.0,Type_B,98.6,69.5
1180033,52.6,37.0,Type_A,65.7,94.1
1180034,82.5,53.0,Type_C,68.2,88.9
1180035,73.2,6.0,Type_B,76.6,84.9
1180036,93.2,44.0,Type_C,70.8,97.1
1180037,92.4,48.0,Type_B,56.2,90.3
1180038,95.7,18.0,Type_C,92.8,117.2
1180039,120.6,28.0,Type_C,98.1,70.1
1180040,86.0,50.0,Type_B,90.1,89.9
1180041,125.1,40.0,Type_A,53.7,138.0
1180042,145.1,13.0,Type_B,55.9,99.2
1180043,79.1,37.0,Type_B,97.3,163.0
1180044,116.5,34.0,Type_B,102.3,116.1
1180045,110.0,45.0,Type_C,71.7,111.5
1180046,95.1,7.0,Type_C,61.5,67.1
1180047,142.0,40.0,Type_B,107.7,135.0
1180048,79.2,17.0,Type_A,67.0,106.2
1180049,74.5,40.0,Type_A,106.7,89.3
1180050,163.6,16.0,Type_A,65.5,69.2
1180051,132.4,17.0,Type_C,74.3,101.2
1180052,104.7,13.0,Type_A,69.5,130.4
1180053,46.1,50.0,Type_A,62.7,56.3
1180054,135.2,58.0,Type_B,55.3,80.2
1180055,95.0,50.0,Type_A,60.8,148.5
1180056,91.8,49.0,Type_C,79.5,92.9
1180057,91.6,15.0,Type_B,62.6,90.9
1180058,107.7,41.0,Type_A,85.8,120.0
1180059,105.9,27.0,Type_A,95.2,112.8
1180060,60.5,32.0,Type_C,87.9,107.5
1180061,89.0,49.0,Type_A,38.8,114.4
1180062,101.0,44.0,Type_C,61.0,34.8
1180063,72.8,33.0,Type_B,57.2,96.9
1180064,98.1,3.0,Type_B,45.5,52.9
1180065,101.8,32.0,Type_A,84.7,91.8
1180066,76.5,36.0,Type_C,102.7,74.4
1180067,116.8,39.0,Type_C,73.5,103.5
1180068,61.0,8.0,Type_C,88.3,95.0
1180069,113.6,7.0,Type_B,68.7,104.5
1180070,104.4,35.0,Type_C,75.3,119.5
1180071,115.0,27.0,Type_B,78.6,55.8
1180072,132.4,26.0,Type_B,85.3,110.2
1180073,110.5,16.0,Type_B,94.9,115.0
1180074,143.4,26.0,Type_A,85.8,114.8
1180075,98.9,18.0,Type_A,65.8,88.7
1180076,93.4,44.0,Type_A,58.8,103.4
1180077,125.5,45.0,Type_C,83.9,80.8
1180078,118.2,9.0,Type_B,71.3,102.4
1180079,83.1,33.0,Type_B,66.3,93.1
1180080,92.2,44.0,Type_C,62.0,109.2
1180081,108.9,3.0,Type_B,26.8,115.9
1180082,57.3,24.0,Type_B,67.9,107.3
1180083,143.8,40.0,Type_A,72.3,87.9
1180084,120.4,25.0,Type_C,54.9,106.3
1180085,111.8,9.0,Type_A,63.6,125.9
1180086,134.9,7.0,Type_A,66.6,103.7
1180087,138.7,31.0,Type_A,40.3,92.9
1180088,82.5,46.0,Type_B,84.6,119.4
1180089,93.9,32.0,Type_A,88.2,139.9
1180090,133.9,28.0,Type_B,72.6,80.1
1180091,100.1,23.0,Type_A,56.5,102.2
1180092,81.3,9.0,Type_B,77.9,124.1
1180093,97.4,55.0,Type_B,76.0,126.2
1180094,124.5,24.0,Type_B,72.5,77.3
1180095,94.0,38.0,Type_B,94.5,59.7
1180096,77.6,41.0,Type_C,64.4,68.7
1180097,120.3,33.0,Type_A,71.3,106.6
1180098,125.6,26.0,Type_B,87.0,83.6
1180099,114.0,27.0,Type_C,76.2,53.1
1180100,104.8,33.0,Type_A,44.7,103.9
1180101,140.5,42.0,Type_B,57.8,84.9
1180102,102.6,6.0,Type_A,127.0,130.1
1180103,130.0,4.0,Type_C,60.9,115.5
1180104,143.0,15.0,Type_C,85.2,103.9
1180105,146.0,7.0,Type_C,61.9,118.7
1180106,122.0,56.0,Type_A,90.2,116.3
1180107,104.1,45.0,Type_A,71.8,116.6
1180108,87.2,15.0,Type_C,27.7,79.2
1180109,73.4,46.0,Type_C,47.9,77.1
1180110,110.0,41.0,Type_A,90.0,81.0
1180111,91.3,8.0,Type_C,70.2,126.6
1180112,64.5,26.0,Type_B,80.8,116.3
1180113,91.1,47.0,Type_A,91.4,82.6
1180114,86.5,20.0,Type_B,82.8,95.8
1180115,95.9,20.0,Type_B,63.8,87.0
1180116,68.5,6.0,Type_A,52.8,96.2
1180117,95.9,41.0,Type_C,74.3,79.8
1180118,103.0,33.0,Type_B,80.3,95.1
1180119,80.5,8.0,Type_A,73.0,70.4
1180120,116.7,48.0,Type_C,62.3,80.7
1180121,71.0,5.0,Type_B,75.0,55.7
1180122,58.9,10.0,Type_A,63.0,103.3
1180123,66.0,46.0,Type_C,50.3,108.7
1180124,87.3,24.0,Type_B,71.4,84.8
1180125,142.8,33.0,Type_C,63.1,92.7
1180126,73.3,26.0,Type_B,92.2,60.6
1180127,121.9,60.0,Type_B,107.0,71.7
1180128,120.5,5.0,Type_C,49.1,78.9
1180129,124.3,25.0,Type_A,85.0,153.6
1180130,119.4,11.0,Type_A,20.0,99.7
1180131,103.6,28.0,Type_B,102.2,86.8
1180132,148.2,29.0,Type_C,105.3,121.4
1180133,124.7,13.0,Type_C,77.0,67.3
1180134,82.6,51.0,Type_C,89.9,87.0
1180135,71.3,27.0,Type_C,121.2,124.9
1180136,99.7,37.0,Type_A,82.8,89.9
1180137,92.1,7.0,Type_B,39.1,82.7
1180138,101.8,43.0,Type_A,51.3,118.4
1180139,82.9,26.0,Type_B,60.9,70.1
1180140,54.4,38.0,Type_C,75.2,54.6
1180141,94.8,60.0,Type_A,69.6,140.9
1180142,59.6,5.0,Type_B,86.1,70.4
1180143,106.1,58.0,Type_A,57.9,81.4
1180144,93.8,26.0,Type_C,63.5,103.0
1180145,113.2,41.0,Type_B,73.3,125.4
1180146,93.9,19.0,Type_A,84.2,94.4
1180147,75.7,21.0,Type_C,65.7,97.3
1180148,128.6,33.0,Type_C,48.7,106.4
1180149,88.1,15.0,Type_B,78.6,92.7
1180150,117.1,33.0,Type_C,71.4,55.9
1180151,103.2,37.0,Type_A,66.1,100.4
1180152,82.5,27.0,Type_C,66.0,97.6
1180153,154.2,25.0,Type_B,45.2,64.2
1180154,105.2,28.0,Type_A,93.2,127.5
1180155,128.1,36.0,Type_C,77.4,96.0
1180156,142.5,59.0,Type_B,37.5,77.9
1180157,69.0,54.0,Type_B,71.7,84.2
1180158,72.2,58.0,Type_B,73.3,95.6
1180159,96.6,5.0,Type_B,54.2,72.3
1180160,93.9,39.0,Type_B,76.8,154.1
1180161,129.3,41.0,Type_C,20.0,109.8
1180162,109.5,12.0,Type_A,77.4,91.9
1180163,98.4,39.0,Type_C,56.5,56.4
1180164,79.2,56.0,Type_C,92.2,130.0
1180165,122.6,8.0,Type_C,91.7,78.4
1180166,113.7,51.0,Type_B,92.8,107.6
1180167,60.3,25.0,Type_B,92.3,65.2
1180168,35.3,28.0,Type_C,90.8,109.6
1180169,123.6,50.0,Type_A,50.9,123.4
1180170,93.8,19.0,Type_A,86.8,83.2
1180171,57.1,27.0,Type_A,60.7,111.8
1180172,88.9,41.0,Type_B,82.2,92.8
1180173,92.2,60.0,Type_C,60.9,78.4
1180174,139.9,43.0,Type_C,62.9,97.1
1180175,66.0,31.0,Type_C,53.6,81.1
1180176,137.2,37.0,Type_C,76.3,85.4
1180177,88.8,3.0,Type_B,109.4,89.8
1180178,98.5,7.0,Type_C,97.5,90.2
1180179,83.5,10.0,Type_C,80.6,143.3
1180180,163.9,60.0,Type_B,73.6,127.2
1180181,99.5,57.0,Type_C,73.0,58.0
1180182,88.5,59.0,Type_A,57.1,83.7
1180183,72.5,59.0,Type_B,66.4,155.0
1180184,95.7,26.0,Type_C,40.0,96.2
1180185,112.0,32.0,Type_B,101.1,97.2
1180186,135.4,9.0,Type_C,66.9,79.3
1180187,102.2,33.0,Type_A,75.3,148.2
1180188,144.4,8.0,Type_A,38.9,125.8
