TransactionID,Amount,Distance_From_Home,Use_Chip,Online_Order,Is_Fraud
1220001,86.9,416.2,0,1,0
1220002,354.1,66.7,0,0,0
1220003,138.1,52.3,0,1,0
1220004,231.3,249.3,0,0,0
1220005,210.0,474.1,0,1,1
1220006,309.7,212.8,0,1,0
1220007,295.7,37.0,0,1,0
1220008,115.1,197.1,0,0,0
1220009,102.5,320.5,1,1,0
1220010,354.0,406.8,0,1,0
1220011,240.7,168.1,1,0,0
1220012,247.7,290.7,1,0,0
1220013,59.6,314.3,1,0,0
1220014,186.5,469.0,1,1,0
1220015,23.7,391.7,0,0,0
1220016,126.3,82.2,1,0,0
1220017,283.9,492.9,1,1,1
1220018,109.6,483.5,1,1,0
1220019,288.5,125.9,0,1,0
1220020,424.9,284.0,1,1,0
1220021,422.0,12.6,1,0,0
1220022,224.6,92.7,0,1,0
1220023,351.6,385.3,0,0,0
1220024,455.6,353.4,1,0,0
1220025,171.6,144.5,1,1,0
1220026,100.9,380.1,1,0,0
1220027,124.2,56.6,1,1,1
1220028,418.4,78.7,0,1,0
1220029,15.2,13.8,0,0,0
1220030,135.5,239.9,0,1,0
1220031,93.7,238.8,1,0,0
1220032,17.6,118.3,0,1,0
1220033,140.1,133.9,0,1,0
1220034,415.4,16.2,0,0,0
1220035,418.9,286.6,0,0,0
1220036,435.7,407.1,1,0,0
1220037,496.7,381.9,1,0,0
1220038,34.5,232.1,1,0,0
1220039,63.4,161.7,1,0,0
1220040,17.9,166.0,0,0,1
1220041,443.0,430.5,1,0,1
1220042,108.4,217.2,0,1,0
1220043,223.6,150.7,0,1,0
1220044,308.7,488.7,0,0,0
1220045,407.0,488.9,1,1,0
1220046,468.2,284.5,0,0,0
1220047,377.9,313.9,0,0,0
1220048,27.9,23.4,0,0,0
1220049,404.2,280.3,1,0,0
1220050,492.5,179.6,0,1,0
1220051,270.2,96.8,1,0,0
1220052,479.7,323.3,1,0,0
1220053,222.1,390.8,0,1,1
1220054,400.6,352.6,0,1,0
1220055,261.3,256.9,1,0,0
1220056,95.2,234.2,1,1,0
1220057,473.5,255.7,1,1,1
1220058,449.2,237.1,1,1,0
1220059,31.9,178.6,0,1,0
1220060,188.7,213.1,0,1,0
1220061,65.3,264.8,1,0,0
1220062,29.5,421.2,0,0,0
1220063,49.4,218.9,1,1,0
1220064,437.1,10.6,0,1,0
1220065,434.4,140.8,1,0,0
1220066,441.4,174.0,0,1,0
1220067,140.5,237.5,1,0,0
1220068,258.0,53.4,1,0,0
1220069,310.4,471.0,0,1,1
1220070,28.7,101.7,0,1,0
1220071,173.1,288.6,1,1,0
1220072,221.5,61.9,0,0,0
1220073,120.8,91.1,1,1,0
1220074,193.2,117.2,1,0,0
1220075,238.3,237.5,1,1,0
1220076,162.6,191.0,0,0,1
1220077,416.0,25.6,1,1,0
1220078,162.7,105.5,1,0,0
1220079,358.1,267.1,0,1,1
1220080,425.4,291.4,0,1,0
1220081,206.7,72.3,0,0,0
