ProjectID,TeamSize,DeployCount_Weekly,SuccessRate_Percent,RollbackTime_Mins,PerformanceScore
1240001,62.0,154.0,101.8,437.6,136.2
1240002,375.3,290.9,385.4,425.7,253.2
1240003,290.4,382.5,332.2,139.4,29.9
1240004,234.5,344.5,251.0,417.1,352.0
1240005,198.5,142.8,491.1,333.7,386.4
1240006,144.3,399.1,221.3,251.3,59.8
1240007,337.3,296.4,81.6,92.7,314.4
1240008,203.8,400.9,87.5,55.5,108.3
1240009,148.0,102.4,273.5,332.1,205.2
1240010,392.2,33.8,164.9,220.7,120.4
1240011,303.6,138.2,130.8,37.2,406.3
1240012,70.2,296.7,47.7,59.7,418.6
1240013,200.9,164.3,92.0,389.5,46.8
1240014,487.7,368.5,123.1,371.4,147.5
1240015,239.1,112.3,313.6,200.4,312.8
1240016,78.7,229.4,337.9,199.7,249.0
1240017,30.6,46.3,410.7,480.5,226.8
1240018,366.7,117.7,177.2,400.4,70.4
1240019,311.6,369.5,312.4,160.9,124.3
1240020,452.3,433.4,374.1,173.6,336.7
1240021,315.1,298.2,369.3,290.3,476.7
1240022,137.5,211.9,214.4,331.9,114.8
1240023,282.2,68.2,324.5,443.5,458.7
1240024,208.4,143.2,109.1,101.0,401.5
1240025,79.5,153.1,48.2,246.0,290.7
1240026,293.1,269.3,467.3,28.8,108.0
1240027,268.0,248.2,343.5,17.3,146.7
1240028,469.9,25.3,129.8,159.5,226.9
1240029,479.9,431.9,407.2,371.9,421.7
1240030,492.4,444.9,226.8,25.5,84.3
1240031,123.2,321.8,331.2,455.5,426.8
1240032,57.6,347.7,301.7,460.5,52.2
1240033,130.4,99.7,229.0,143.5,421.9
1240034,348.5,470.3,40.0,280.8,110.5
1240035,106.7,162.6,219.0,249.1,293.5
1240036,416.5,334.6,,64.0,135.7
1240037,179.6,303.5,183.9,75.5,301.7
1240038,261.9,372.2,395.8,318.6,286.6
1240039,334.0,266.2,205.6,259.8,340.3
1240040,467.5,384.9,359.4,375.1,300.8
1240041,42.8,251.6,462.5,330.0,130.7
1240042,376.0,345.9,446.1,107.8,183.8
1240043,201.2,346.8,31.1,365.7,50.8
1240044,272.5,346.5,291.4,184.8,302.3
1240045,39.6,71.3,447.7,241.2,92.3
1240046,446.8,116.8,26.8,424.1,258.5
1240047,391.2,11.5,167.0,408.5,45.6
1240048,338.4,187.1,103.1,135.5,89.6
1240049,370.2,381.8,306.4,443.2,439.0
1240050,335.2,154.4,175.9,387.8,371.2
1240051,99.1,218.7,168.4,149.9,398.7
1240052,432.9,418.5,67.2,365.2,326.3
1240053,231.2,422.7,,398.0,38.3
1240054,328.4,116.5,56.8,84.0,277.4
1240055,88.1,360.9,15.6,456.4,233.0
1240056,208.9,24.3,440.3,374.6,154.4
1240057,401.4,245.9,22.6,439.3,235.7
1240058,367.3,180.6,103.4,243.1,213.9
1240059,44.7,378.0,299.1,269.4,432.6
1240060,387.2,205.0,170.5,439.8,73.8
1240061,253.6,394.5,138.6,156.5,267.7
1240062,385.8,495.1,215.6,166.7,427.8
1240063,343.1,147.2,26.8,72.9,166.0
1240064,73.8,440.6,135.9,268.7,346.4
1240065,332.8,197.6,247.1,278.3,355.9
1240066,130.2,225.3,410.4,420.0,247.4
1240067,130.3,354.3,374.4,231.3,475.0
1240068,420.6,298.5,398.6,13.7,107.3
1240069,61.7,393.9,498.3,399.2,209.3
1240070,366.0,409.1,400.4,69.0,200.0
1240071,473.4,250.1,371.8,41.5,140.4
1240072,363.6,178.0,453.3,360.5,23.6
1240073,80.5,364.9,111.9,102.4,317.6
1240074,398.6,362.1,114.7,210.8,489.2
1240075,357.4,173.4,381.6,347.5,482.7
1240076,486.5,478.3,359.5,307.0,263.0
1240077,489.0,343.4,352.4,380.8,262.6
1240078,255.0,194.2,361.3,180.0,468.4
1240079,331.3,359.1,363.4,364.6,457.3
1240080,141.7,359.0,70.4,80.6,212.4
1240081,319.9,412.3,488.9,223.6,312.0
1240082,427.5,352.7,150.5,109.8,207.5
1240083,288.8,113.3,37.0,470.9,341.6
1240084,21.5,303.1,394.2,440.6,322.9
1240085,281.8,280.6,303.9,446.2,85.6
1240086,190.6,414.6,145.3,436.7,432.4
1240087,480.6,315.5,269.3,356.7,150.4
1240088,201.7,81.3,103.9,79.5,284.8
1240089,28.7,375.7,337.6,320.4,133.7
1240090,447.1,192.6,51.6,343.1,337.2
1240091,80.5,25.7,292.8,387.2,158.1
1240092,322.9,287.9,261.8,378.6,42.1
1240093,59.0,166.1,284.9,319.8,407.8
1240094,446.4,28.0,94.7,37.8,83.2
1240095,42.7,384.5,418.3,388.0,81.7
1240096,375.5,305.0,415.5,134.9,23.8
1240097,232.7,24.2,216.0,34.0,191.3
1240098,278.2,186.1,213.8,23.0,184.5
1240099,328.3,88.0,387.1,208.2,348.4
1240100,393.1,208.5,53.7,138.0,491.5
1240101,333.8,61.4,32.6,413.8,61.7
1240102,390.8,382.6,459.1,326.5,320.6
1240103,130.5,417.6,475.9,206.4,257.8
1240104,16.6,152.0,189.7,436.9,196.8
1240105,184.4,198.9,242.8,60.2,132.1
1240106,403.9,28.6,107.1,72.1,411.2
1240107,23.7,172.8,423.7,274.9,120.0
1240108,371.0,186.5,377.4,111.9,492.4
1240109,268.5,39.6,249.4,153.8,248.0
1240110,453.6,238.5,143.3,93.6,470.7
1240111,276.1,84.0,216.3,411.7,426.7
1240112,273.0,298.5,242.5,23.1,101.1
1240113,212.4,106.9,69.4,369.3,228.4
1240114,389.9,203.0,499.1,441.2,96.8
1240115,63.7,373.4,293.5,265.3,170.7
1240116,77.0,433.1,62.2,343.8,286.9
1240117,393.6,42.3,119.7,262.0,488.1
1240118,455.1,386.6,242.4,356.9,392.7
1240119,267.1,55.5,234.5,111.8,13.9
1240120,377.2,191.9,42.2,284.0,329.6
1240121,104.4,265.6,480.2,232.8,213.2
1240122,13.5,204.3,426.4,270.5,36.7
1240123,308.3,398.8,312.2,454.4,497.2
1240124,178.6,190.4,121.5,436.3,370.9
1240125,239.9,43.6,374.5,366.0,395.7
1240126,215.4,474.6,248.1,27.7,380.8
1240127,356.6,73.2,139.0,84.4,313.5
1240128,107.7,304.4,117.2,204.4,180.5
1240129,269.9,343.5,357.6,265.3,499.4
1240130,329.2,189.9,27.7,393.0,57.9
1240131,42.8,48.7,457.0,176.0,275.6
1240132,486.2,288.1,311.7,90.4,297.6
1240133,331.9,141.8,389.5,155.9,438.2
1240134,67.8,399.0,173.5,452.2,177.4
1240135,164.5,329.4,429.7,339.7,40.5
1240136,445.7,325.8,389.1,462.6,289.2
1240137,282.6,297.1,69.7,293.9,338.6
1240138,456.1,72.4,143.6,54.9,474.4
1240139,149.5,243.4,439.7,175.6,82.8
1240140,55.8,76.6,140.5,85.2,30.2
1240141,445.9,325.9,311.0,137.3,303.0
1240142,496.0,441.6,491.4,215.6,441.6
1240143,99.8,422.8,470.6,303.0,496.7
1240144,411.1,214.3,123.8,425.5,325.6
1240145,287.5,476.6,405.8,203.9,285.4
1240146,17.0,402.4,461.8,89.5,218.6
1240147,155.4,135.9,163.8,79.2,114.5
1240148,321.0,442.5,487.7,211.0,61.2
1240149,343.3,441.6,70.8,354.5,167.4
1240150,204.0,125.7,271.7,440.5,287.6
1240151,178.4,87.0,215.4,227.3,113.2
1240152,363.6,109.4,,211.1,336.0
1240153,311.5,321.0,416.9,296.8,72.9
1240154,385.7,14.6,79.5,110.7,367.2
1240155,297.2,432.3,132.0,198.3,352.1
1240156,219.6,456.8,487.1,367.3,386.2
1240157,398.8,283.6,103.5,469.3,205.4
1240158,74.3,100.8,418.0,176.4,167.5
1240159,346.9,96.7,367.8,433.0,82.0
1240160,36.0,76.9,230.9,258.1,35.5
1240161,22.8,125.2,267.2,316.6,134.7
1240162,156.1,390.9,261.4,56.7,148.5
1240163,383.3,80.7,21.5,45.9,158.8
1240164,173.3,78.8,394.2,124.2,199.2
1240165,277.9,445.7,89.2,184.6,282.8
1240166,87.0,439.4,327.4,128.5,216.0
1240167,150.1,397.0,451.8,381.8,107.1
1240168,84.9,272.9,293.9,400.8,391.3
1240169,469.1,145.4,38.3,299.7,12.5
1240170,181.8,246.9,31.3,313.4,245.1
1240171,222.5,141.8,496.5,258.7,226.2
1240172,53.8,213.9,45.3,364.4,89.8
1240173,211.7,360.0,226.3,423.4,163.3
1240174,296.7,107.4,357.6,281.8,140.6
1240175,356.6,375.7,338.9,362.7,413.1
1240176,431.3,342.1,124.6,86.2,478.3
1240177,53.5,449.8,279.4,137.0,451.0
1240178,140.9,179.4,166.2,315.6,471.3
1240179,402.1,487.1,413.0,22.3,11.4
1240180,105.2,250.0,467.5,200.1,303.7
1240181,417.3,204.6,302.0,125.7,425.9
1240182,264.7,479.8,382.6,287.8,86.8
1240183,206.5,439.3,291.4,459.3,287.0
1240184,492.0,387.1,433.3,390.1,385.5
1240185,390.7,419.1,192.1,349.4,194.4
1240186,28.5,180.2,307.0,371.0,31.2
1240187,355.1,140.7,298.5,412.2,302.8
1240188,348.0,288.6,15.2,22.2,84.9
1240189,93.8,325.4,140.9,61.3,213.4
1240190,216.6,192.3,300.6,50.2,129.8
1240191,366.6,269.6,416.4,340.6,238.1
1240192,403.5,79.6,49.9,273.0,225.1
1240193,456.0,10.3,74.9,346.6,359.9
1240194,19.8,423.4,75.6,348.6,100.3
1240195,77.5,114.4,143.2,172.6,368.9
1240196,282.8,410.7,375.0,251.1,225.3
1240197,98.2,400.5,169.4,280.7,179.5
1240198,339.3,354.5,244.9,14.7,317.0
1240199,388.9,300.5,131.0,23.4,365.3
1240200,112.3,309.7,102.3,154.3,372.6
1240201,28.2,136.8,165.4,482.9,160.1
1240202,123.6,232.8,424.5,246.7,210.0
1240203,264.5,91.2,137.1,415.5,93.5
1240204,33.9,390.3,368.9,59.9,250.4
1240205,16.3,297.2,222.9,471.3,237.2
1240206,366.1,100.9,23.2,284.3,339.6
1240207,372.6,63.8,249.7,286.7,56.3
