UserID,WatchTime_Mins,BufferCount,SpeedMbps,SubscriptionType,Retained
1270001,266.7,149.2,442.6,Family,1
1270002,29.6,171.6,442.7,Family,0
1270003,101.1,452.7,136.7,Premium,0
1270004,388.7,467.9,283.2,Family,1
1270005,280.6,392.9,187.1,Premium,0
1270006,52.3,259.7,32.4,Basic,1
1270007,226.3,420.5,409.9,Premium,1
1270008,360.6,338.8,286.7,Family,0
1270009,338.6,398.2,444.3,Basic,1
1270010,241.7,319.9,322.6,Premium,1
1270011,454.0,221.7,331.8,Basic,0
1270012,61.4,191.0,183.3,Basic,0
1270013,95.6,100.3,485.7,Basic,0
1270014,53.6,382.4,232.7,Premium,0
1270015,328.3,186.2,69.4,Premium,1
1270016,45.0,299.1,395.5,Premium,0
1270017,235.4,226.9,132.0,Premium,0
1270018,454.3,298.1,223.1,Basic,0
1270019,56.2,53.4,10.7,Premium,0
1270020,320.1,405.9,96.9,Basic,1
1270021,140.4,214.1,96.1,Basic,0
1270022,459.1,265.5,475.2,Family,0
1270023,72.5,135.0,98.6,Basic,1
1270024,43.6,207.3,454.8,Premium,0
1270025,339.5,153.4,336.1,Basic,0
1270026,109.2,285.3,60.7,Basic,0
1270027,246.1,46.5,446.8,Premium,1
1270028,126.3,499.2,242.0,Basic,0
1270029,398.4,279.2,358.5,Premium,1
1270030,179.2,316.2,358.4,Basic,0
1270031,477.5,360.9,56.6,Basic,1
1270032,304.1,245.7,29.2,Basic,0
1270033,202.1,160.8,10.4,Basic,0
1270034,322.9,354.5,33.3,Family,0
1270035,441.9,215.1,382.4,Family,1
1270036,109.1,392.4,159.0,Basic,0
1270037,302.9,268.4,370.4,Family,0
1270038,218.1,410.3,214.3,Premium,0
1270039,108.5,414.6,123.1,Basic,1
1270040,89.4,340.5,236.0,Family,1
1270041,248.7,144.1,77.8,Premium,1
1270042,27.2,254.6,350.1,Premium,0
1270043,211.1,439.7,491.8,Premium,0
1270044,431.0,143.6,448.9,Family,0
1270045,204.3,443.2,391.6,Basic,1
1270046,128.6,485.0,289.6,Basic,1
1270047,468.9,344.3,54.2,Family,0
1270048,379.8,294.4,405.8,Family,0
1270049,497.3,145.3,148.5,Premium,1
1270050,66.3,369.8,420.8,Basic,1
1270051,88.1,479.0,85.7,Family,0
1270052,353.3,371.8,61.7,Family,0
1270053,266.7,80.6,110.1,Premium,0
1270054,95.5,100.8,336.7,Family,1
1270055,224.2,391.9,62.8,Family,1
1270056,351.9,117.6,195.7,Premium,0
1270057,261.7,155.4,311.2,Basic,0
1270058,358.4,254.7,68.7,Family,0
1270059,153.2,437.3,136.1,Basic,0
1270060,182.5,340.1,439.6,Family,0
1270061,161.5,387.2,259.5,Family,0
1270062,364.6,477.7,57.0,Family,1
1270063,90.7,428.7,324.9,Family,0
1270064,122.2,59.4,157.2,Premium,0
1270065,80.9,80.3,454.2,Family,1
1270066,106.0,159.9,438.8,Basic,1
1270067,257.5,185.9,195.6,Family,0
1270068,143.4,355.8,427.8,Family,1
1270069,129.1,320.5,433.0,Basic,1
1270070,179.2,360.1,164.4,Family,0
1270071,494.8,375.7,29.0,Family,1
1270072,352.5,223.1,291.2,Family,0
1270073,256.2,316.9,417.5,Basic,0
1270074,343.3,405.9,125.7,Basic,0
1270075,459.5,181.3,377.2,Premium,0
1270076,409.9,319.3,301.0,Basic,1
1270077,479.1,216.9,261.2,Family,0
1270078,408.6,252.4,403.1,Basic,1
1270079,156.6,31.6,37.4,Premium,0
1270080,167.9,407.3,423.6,Basic,0
1270081,341.6,315.7,141.8,Family,0
1270082,31.8,12.7,143.4,Family,0
1270083,359.6,406.6,329.0,Family,0
1270084,241.1,107.4,265.3,Premium,1
1270085,323.5,223.8,470.7,Basic,1
1270086,258.0,84.3,302.3,Family,1
1270087,91.2,446.8,423.4,Family,1
1270088,213.1,323.4,223.1,Family,1
1270089,441.0,186.6,247.4,Family,0
1270090,431.9,323.0,288.3,Basic,1
1270091,213.1,252.5,205.1,Family,0
1270092,337.4,236.1,67.6,Family,1
1270093,380.8,476.7,407.6,Premium,1
1270094,405.2,403.3,387.8,Basic,0
