DayID,TradingVolume,DailyRange_Percent,VIX_Index,InstitutionalBuy_Percent,PriceVolatility
1300001,79.4,453.8,105.5,255.2,436.9
1300002,162.7,52.7,278.6,258.6,130.1
1300003,281.8,208.2,430.3,368.7,226.3
1300004,71.6,29.6,371.1,477.5,452.9
1300005,252.0,197.9,395.8,170.1,392.0
1300006,461.4,166.7,26.0,110.7,445.4
1300007,196.1,171.9,166.3,53.5,73.1
1300008,72.0,99.4,266.3,15.9,264.4
1300009,499.4,401.9,104.1,390.2,419.7
1300010,387.8,386.1,128.6,229.8,154.9
1300011,367.8,45.7,293.2,240.5,295.9
1300012,25.5,224.7,56.2,65.3,167.3
1300013,407.1,295.1,345.2,222.7,133.0
1300014,35.2,406.1,384.0,282.8,333.5
1300015,289.9,324.5,344.9,448.9,327.1
1300016,176.3,402.1,107.1,219.8,298.4
1300017,116.7,246.1,286.8,429.8,370.5
1300018,384.4,386.5,291.8,173.9,17.7
1300019,474.4,171.2,303.9,412.5,109.4
1300020,356.0,210.5,308.9,79.8,207.6
1300021,466.5,90.5,429.1,23.8,420.0
1300022,225.1,213.7,50.5,287.0,99.8
1300023,317.2,20.0,499.8,332.7,376.7
1300024,337.0,228.4,462.6,22.1,180.9
1300025,48.4,16.5,290.5,49.1,445.6
1300026,42.8,45.8,122.2,247.5,188.5
1300027,246.9,353.1,176.1,18.4,222.8
1300028,443.8,16.0,393.2,232.1,384.4
1300029,402.6,397.1,445.4,452.3,465.1
1300030,373.1,400.0,140.1,383.9,74.3
1300031,124.0,360.3,411.9,267.4,290.8
1300032,471.3,497.0,200.8,404.4,97.7
1300033,462.2,273.8,195.4,28.4,490.8
1300034,245.0,391.2,391.4,77.5,53.6
1300035,420.2,153.3,319.1,326.0,343.8
1300036,64.1,73.6,217.1,351.4,374.5
1300037,268.0,92.7,475.6,176.3,13.8
1300038,81.4,368.1,326.8,425.1,241.8
1300039,20.7,108.3,28.0,492.5,325.3
1300040,186.4,173.8,382.1,428.7,142.0
1300041,408.8,452.9,229.2,417.8,170.8
1300042,432.8,25.4,120.3,397.7,13.3
1300043,229.7,179.0,21.3,153.1,461.7
1300044,61.1,413.7,387.7,340.1,144.0
1300045,438.4,197.4,258.2,498.4,363.9
1300046,154.6,222.0,488.3,14.4,242.4
1300047,403.6,187.7,432.5,28.2,63.9
1300048,82.6,136.3,481.7,19.5,411.0
1300049,88.6,439.7,450.9,73.7,152.5
1300050,42.9,423.5,363.1,134.4,443.6
1300051,391.7,31.2,469.0,397.1,191.6
1300052,459.3,153.1,284.1,220.2,219.4
1300053,358.6,498.4,228.0,251.0,490.0
1300054,202.4,427.9,326.8,290.2,260.3
1300055,312.5,252.1,260.7,104.9,461.8
1300056,77.7,437.0,39.1,16.4,125.4
1300057,348.0,151.4,254.3,28.9,25.8
1300058,63.1,252.3,175.7,333.4,376.5
1300059,356.2,288.7,375.9,357.8,294.2
1300060,394.7,289.4,12.5,183.3,29.6
1300061,237.0,300.2,359.4,88.9,88.7
1300062,66.3,486.2,54.5,128.1,298.6
1300063,148.4,462.8,53.1,273.9,153.5
1300064,93.2,130.2,473.6,182.7,210.8
1300065,322.7,249.3,416.4,482.9,361.6
1300066,89.2,345.2,497.7,33.2,23.0
1300067,282.8,12.5,430.0,330.4,201.1
1300068,273.0,181.9,83.2,244.7,290.1
1300069,374.0,112.6,468.6,460.2,53.8
1300070,160.4,368.7,367.7,226.1,353.4
1300071,491.0,111.4,44.3,451.7,188.4
1300072,186.1,371.7,337.3,142.1,380.0
1300073,440.7,35.0,332.4,403.3,60.4
1300074,339.0,397.7,279.7,140.8,165.8
1300075,275.5,350.0,390.3,368.1,358.8
1300076,288.9,222.5,235.4,407.4,83.3
1300077,419.6,282.2,378.8,480.2,44.7
1300078,382.2,86.6,,286.1,355.7
1300079,415.3,403.7,381.5,15.1,57.8
