TransitID,SensorReadingCount,OutRangeTempDuration_Mins,AmbientTemp,CoolantAge_Days,SpoilageRisk
1310001,111.3,43.1,10.7,35.0,53.0
1310002,103.8,52.4,29.1,38.0,50.0
1310003,139.6,51.2,4.6,22.0,52.0
1310004,68.6,47.0,20.2,31.0,31.0
1310005,81.3,72.6,12.1,40.0,40.0
1310006,109.5,11.4,13.6,60.0,38.0
1310007,80.2,49.5,21.4,50.0,46.0
1310008,79.0,6.2,8.0,44.0,67.0
1310009,129.5,51.2,8.2,66.0,47.0
1310010,93.6,49.0,12.7,28.0,43.0
1310011,82.9,27.0,29.8,44.0,23.0
1310012,135.0,46.0,14.4,16.0,23.0
1310013,64.8,58.8,10.9,56.0,45.0
1310014,92.4,41.5,16.1,65.0,16.0
1310015,78.6,36.4,17.2,32.0,46.0
1310016,105.0,72.6,28.4,27.0,49.0
1310017,110.8,40.7,18.6,22.0,45.0
1310018,64.5,56.4,29.8,64.0,56.0
1310019,100.9,32.5,13.1,32.0,46.0
1310020,153.2,35.0,23.9,29.0,28.0
1310021,80.6,40.4,26.5,41.0,62.0
1310022,90.7,31.3,5.4,56.0,41.0
1310023,61.5,63.4,33.8,38.0,23.0
1310024,106.2,60.0,14.8,36.0,16.0
1310025,70.4,34.9,25.1,40.0,61.0
1310026,109.5,19.6,17.6,32.0,34.0
1310027,105.4,72.2,22.2,52.0,15.0
1310028,123.4,12.2,10.1,32.0,59.0
1310029,75.8,73.2,15.1,48.0,40.0
1310030,123.9,11.9,4.3,43.0,30.0
1310031,89.7,64.3,12.2,41.0,19.0
1310032,108.1,37.3,16.7,40.0,22.0
1310033,141.8,62.3,15.4,48.0,58.0
1310034,67.7,51.4,18.1,49.0,40.0
1310035,70.5,30.9,21.6,74.0,51.0
1310036,93.4,60.3,27.4,50.0,48.0
1310037,160.6,26.5,27.9,55.0,42.0
1310038,111.5,45.4,23.4,47.0,65.0
1310039,131.1,54.3,10.8,28.0,52.0
1310040,107.8,50.2,15.2,56.0,46.0
1310041,93.0,35.1,17.2,46.0,60.0
1310042,117.4,53.5,0.1,51.0,41.0
1310043,117.6,45.0,7.7,53.0,41.0
1310044,120.5,17.0,40.0,40.0,36.0
1310045,60.0,33.7,20.4,34.0,25.0
1310046,147.9,54.3,40.0,12.0,36.0
1310047,71.1,46.8,13.4,50.0,46.0
1310048,118.4,61.8,15.7,29.0,37.0
1310049,120.3,35.9,12.3,48.0,60.0
1310050,97.7,35.7,13.9,34.0,37.0
1310051,126.8,40.0,18.5,62.0,43.0
1310052,62.3,30.7,27.8,57.0,58.0
1310053,84.9,37.5,8.0,63.0,59.0
1310054,81.5,42.5,16.1,19.0,28.0
1310055,102.6,42.0,18.3,27.0,24.0
1310056,129.7,15.8,22.2,80.0,28.0
1310057,154.5,79.8,12.1,68.0,47.0
1310058,97.8,45.9,14.6,35.0,50.0
1310059,114.2,44.1,17.6,51.0,40.0
1310060,66.9,26.3,11.9,52.0,48.0
1310061,98.9,51.8,-3.8,46.0,26.0
1310062,64.2,42.9,13.2,18.0,40.0
1310063,113.5,40.2,21.0,34.0,42.0
1310064,81.8,67.4,21.1,23.0,60.0
1310065,139.4,48.8,26.6,44.0,25.0
1310066,70.4,30.0,15.7,72.0,47.0
1310067,78.6,65.4,9.4,57.0,56.0
1310068,120.7,35.4,19.9,38.0,39.0
1310069,31.6,54.9,4.9,65.0,39.0
1310070,93.0,64.6,18.6,45.0,56.0
1310071,72.7,43.1,28.1,39.0,25.0
1310072,85.4,18.9,23.2,24.0,47.0
1310073,88.8,32.9,8.4,40.0,40.0
1310074,126.9,54.1,32.5,19.0,59.0
1310075,81.6,32.9,20.9,42.0,49.0
1310076,139.9,17.1,15.8,34.0,40.0
1310077,101.4,50.0,18.9,32.0,53.0
1310078,38.8,37.3,20.5,51.0,57.0
1310079,114.4,59.1,19.7,24.0,43.0
1310080,110.1,16.9,36.1,31.0,39.0
1310081,100.7,47.3,14.5,39.0,46.0
1310082,104.0,57.6,16.2,58.0,50.0
1310083,97.5,64.9,28.6,45.0,17.0
1310084,114.1,56.5,24.5,48.0,54.0
1310085,139.1,56.3,25.7,30.0,30.0
1310086,113.7,49.5,23.6,63.0,49.0
1310087,81.8,14.3,20.4,69.0,45.0
1310088,126.8,45.8,12.6,50.0,43.0
1310089,92.1,43.8,10.3,39.0,46.0
1310090,115.1,14.6,1.8,40.0,35.0
1310091,123.5,36.1,15.3,24.0,45.0
1310092,77.6,31.6,19.4,43.0,42.0
1310093,103.9,63.1,14.2,22.0,40.0
1310094,111.0,37.2,7.7,66.0,42.0
1310095,67.7,34.4,21.0,55.0,69.0
1310096,65.7,58.9,25.9,54.0,16.0
1310097,119.9,34.2,20.3,47.0,42.0
1310098,102.2,40.8,20.2,44.0,24.0
1310099,70.7,27.4,21.4,36.0,38.0
1310100,129.2,26.6,24.8,40.0,73.0
1310101,75.2,36.1,22.8,44.0,46.0
1310102,86.9,35.0,15.4,34.0,42.0
1310103,131.0,72.2,15.6,50.0,34.0
1310104,117.4,51.4,24.5,45.0,44.0
1310105,110.1,22.1,26.6,51.0,35.0
1310106,57.7,53.2,21.7,47.0,56.0
1310107,61.1,30.8,30.9,39.0,51.0
1310108,71.9,48.8,18.6,69.0,49.0
1310109,105.3,41.1,26.5,71.0,54.0
1310110,128.1,48.0,30.6,24.0,41.0
1310111,109.4,47.2,16.4,33.0,8.0
1310112,109.7,50.5,23.9,18.0,28.0
1310113,120.9,24.7,20.6,42.0,41.0
1310114,132.7,54.6,18.5,45.0,47.0
1310115,112.3,29.6,9.2,25.0,33.0
1310116,91.2,16.6,17.0,61.0,35.0
1310117,80.7,50.3,23.3,61.0,46.0
1310118,94.7,50.9,12.5,48.0,34.0
1310119,50.0,17.5,13.1,50.0,39.0
1310120,127.1,53.1,17.2,22.0,32.0
1310121,88.8,22.1,7.7,28.0,46.0
1310122,80.7,31.5,22.5,39.0,38.0
1310123,107.8,56.9,19.3,9.0,30.0
1310124,80.8,7.6,14.9,28.0,59.0
1310125,90.6,32.6,15.3,30.0,35.0
1310126,143.0,54.6,5.4,57.0,42.0
1310127,160.8,23.5,18.5,31.0,22.0
1310128,88.6,44.4,8.9,39.0,59.0
1310129,68.2,26.2,18.0,38.0,25.0
1310130,128.1,22.8,21.3,44.0,42.0
1310131,92.1,55.8,27.3,56.0,64.0
1310132,105.5,46.6,22.1,24.0,20.0
1310133,86.4,32.3,19.8,53.0,45.0
1310134,140.7,15.4,20.5,53.0,33.0
1310135,124.4,32.2,1.7,29.0,50.0
1310136,108.1,81.3,23.1,52.0,36.0
1310137,114.0,38.0,22.6,35.0,16.0
1310138,100.4,49.4,26.6,33.0,38.0
1310139,106.6,43.0,7.8,64.0,36.0
1310140,65.2,43.2,26.8,53.0,59.0
1310141,93.7,38.1,11.4,53.0,23.0
1310142,126.6,54.4,34.7,23.0,56.0
1310143,76.9,57.9,20.3,49.0,42.0
1310144,103.9,85.6,21.0,49.0,43.0
1310145,107.4,29.0,16.0,46.0,36.0
1310146,72.1,42.8,3.5,37.0,58.0
1310147,129.7,8.7,13.5,35.0,33.0
1310148,72.0,68.3,9.9,52.0,56.0
1310149,133.5,52.8,22.7,56.0,75.0
1310150,115.6,57.3,23.1,60.0,14.0
1310151,62.5,46.9,33.8,28.0,26.0
1310152,101.3,51.1,12.2,59.0,49.0
1310153,77.7,38.5,10.1,36.0,26.0
1310154,102.8,40.1,23.1,39.0,44.0
1310155,113.4,56.0,21.1,40.0,62.0
1310156,80.7,34.3,34.5,33.0,55.0
1310157,139.5,57.1,10.3,34.0,37.0
1310158,152.0,53.3,14.1,39.0,43.0
1310159,97.1,61.5,29.3,69.0,47.0
1310160,133.3,42.0,22.7,42.0,29.0
1310161,94.2,52.1,37.6,41.0,36.0
1310162,82.7,49.3,22.9,54.0,58.0
1310163,129.2,53.0,9.6,38.0,48.0
1310164,140.0,13.0,39.4,12.0,52.0
1310165,100.4,36.5,23.2,37.0,64.0
1310166,129.6,54.3,14.4,54.0,31.0
1310167,128.7,31.8,22.7,41.0,67.0
1310168,103.8,55.5,19.8,48.0,49.0
1310169,123.8,21.1,12.2,65.0,26.0
1310170,89.8,53.5,28.5,58.0,53.0
1310171,122.2,38.9,21.3,16.0,18.0
1310172,87.5,39.5,21.6,12.0,67.0
1310173,121.7,49.3,12.5,47.0,72.0
1310174,96.5,42.7,12.6,3.0,46.0
1310175,97.9,33.1,23.4,27.0,34.0
1310176,147.5,42.1,20.7,36.0,56.0
1310177,109.2,53.3,12.1,49.0,42.0
1310178,73.1,33.2,16.2,65.0,48.0
1310179,108.5,30.3,10.4,39.0,25.0
1310180,49.5,61.4,20.5,40.0,53.0
1310181,99.5,32.1,20.7,53.0,44.0
1310182,117.6,45.8,10.9,42.0,54.0
1310183,120.9,29.3,14.9,42.0,39.0
1310184,117.1,35.1,16.7,32.0,36.0
1310185,114.9,50.0,26.1,55.0,51.0
1310186,74.3,65.4,30.1,33.0,36.0
1310187,101.9,62.9,28.3,18.0,54.0
