RideID,InclineRatio_Percent,RiderWeight_Kg,SpeedKmh,BatteryDrainRate_Percent,HighDrainRisk
1370001,61.4,162.1,7.0,48.2,0
1370002,61.0,97.5,11.5,57.5,1
1370003,100.0,89.9,8.7,42.0,0
1370004,35.0,108.4,13.9,65.4,1
1370005,38.9,122.9,15.8,34.3,1
1370006,59.8,107.2,19.3,40.1,1
1370007,57.0,126.4,2.5,40.3,1
1370008,60.4,135.7,1.0,61.3,0
1370009,45.5,105.1,16.9,60.5,1
1370010,62.0,152.2,1.0,39.1,0
1370011,49.4,100.1,19.9,54.2,1
1370012,32.9,71.6,11.5,58.5,0
1370013,46.9,80.6,13.5,29.9,0
1370014,60.3,87.0,20.0,26.8,0
1370015,64.2,81.5,7.5,22.0,1
1370016,43.4,92.4,17.4,25.5,1
1370017,20.5,104.2,10.8,40.3,1
1370018,48.2,92.3,18.5,50.2,1
1370019,52.4,92.6,11.3,68.4,1
1370020,75.3,101.1,14.0,52.0,0
1370021,65.8,103.0,16.9,46.7,1
1370022,25.9,116.1,14.1,28.7,1
1370023,48.1,79.7,12.2,39.6,1
1370024,48.2,94.0,18.7,25.5,1
1370025,67.1,112.5,7.2,15.5,1
1370026,,75.3,11.7,65.5,0
1370027,18.4,64.6,13.0,56.5,1
1370028,53.9,109.6,9.8,38.0,0
1370029,28.4,126.5,11.5,24.7,0
1370030,36.9,80.6,11.2,60.3,0
1370031,34.8,98.5,15.1,44.0,1
1370032,42.5,79.7,19.1,68.0,1
1370033,38.4,139.8,11.1,26.8,0
1370034,40.7,118.5,11.6,68.6,1
1370035,62.2,141.7,13.5,38.3,1
1370036,60.3,106.0,12.0,26.7,0
1370037,30.7,119.3,10.9,50.1,1
1370038,50.4,100.2,2.8,50.4,0
1370039,63.4,97.6,9.0,76.0,1
1370040,40.8,73.6,13.4,39.0,1
1370041,17.7,122.6,13.3,49.3,0
1370042,51.0,112.7,13.8,23.5,1
1370043,26.7,47.6,10.6,15.0,0
1370044,,112.1,19.4,15.9,1
1370045,71.8,141.1,9.3,49.6,0
1370046,67.0,60.9,15.9,60.9,1
1370047,41.5,99.1,9.3,47.7,1
1370048,20.6,67.3,10.2,80.3,1
1370049,56.8,90.8,16.8,43.7,1
1370050,62.5,91.4,10.0,88.5,1
1370051,37.7,95.8,4.0,52.2,1
1370052,67.0,94.7,1.0,25.4,0
1370053,47.5,118.2,12.5,10.7,0
1370054,26.0,78.2,13.5,62.1,0
1370055,52.2,44.2,13.8,20.3,1
