UserID,WatchTime_Mins,BufferCount,SpeedMbps,SubscriptionType,Retained
1370001,472.5,166.1,144.0,Basic,1
1370002,53.4,167.0,170.2,Premium,1
1370003,350.7,198.0,110.4,Premium,0
1370004,353.0,368.6,131.0,Premium,0
1370005,254.8,53.3,371.7,Basic,1
1370006,256.3,369.7,493.4,Family,1
1370007,447.0,190.9,337.3,Family,1
1370008,53.6,212.1,378.9,Basic,0
1370009,425.3,457.7,129.2,Basic,1
1370010,184.6,454.1,193.2,Basic,1
1370011,498.9,338.5,481.5,Premium,1
1370012,384.6,108.3,186.7,Premium,1
1370013,381.4,347.1,472.4,Family,1
1370014,353.6,119.3,302.8,Family,0
1370015,385.2,135.3,385.1,Premium,0
1370016,12.7,224.8,402.9,Basic,0
1370017,432.5,78.6,17.9,Premium,0
1370018,260.1,67.0,39.1,Premium,1
1370019,63.4,119.0,199.9,Premium,1
1370020,324.5,324.7,137.4,Premium,0
1370021,445.7,55.6,313.2,Premium,1
1370022,419.4,323.8,132.5,Family,0
1370023,441.6,203.2,191.9,Family,0
1370024,278.0,403.3,56.2,Premium,1
1370025,241.2,52.4,326.5,Premium,1
1370026,416.9,94.1,323.3,Basic,1
1370027,271.0,262.9,314.5,Family,0
1370028,131.5,312.3,119.6,Basic,1
1370029,336.0,36.6,354.4,Basic,0
1370030,274.7,322.3,56.5,Basic,0
1370031,186.4,249.8,210.1,Premium,1
1370032,329.7,232.0,324.8,Basic,0
1370033,427.4,47.9,500.0,Family,0
1370034,421.3,476.5,176.0,Basic,1
1370035,290.0,409.1,389.7,Premium,0
1370036,387.8,452.0,419.8,Family,1
1370037,68.9,89.3,289.9,Basic,1
1370038,30.3,54.3,346.5,Premium,1
1370039,287.4,460.7,116.7,Family,0
1370040,158.2,269.9,487.7,Family,1
1370041,181.4,32.8,134.7,Basic,0
1370042,103.8,418.9,284.4,Premium,1
1370043,463.7,145.3,16.1,Family,0
1370044,56.9,431.8,77.5,Basic,0
1370045,203.1,495.6,53.4,Premium,1
1370046,44.3,292.6,211.6,Family,0
