TerminalID,InboundTrucks,CrossDockTimeMinutes,ThroughputQty,StaffShiftCount,DockUtilizationScore
1390001,141.2,21.7,134.1,105.2,31.7
1390002,98.5,18.5,87.2,162.7,57.2
1390003,92.6,3.3,102.5,129.4,62.1
1390004,92.4,16.1,119.1,108.8,38.8
1390005,74.8,50.1,51.4,54.0,35.4
1390006,79.0,29.4,72.0,61.1,32.8
1390007,93.1,10.8,79.4,101.5,53.2
1390008,94.7,21.9,111.9,98.8,29.5
1390009,96.0,6.9,72.8,94.1,34.7
1390010,81.1,22.6,102.6,94.8,27.3
1390011,67.2,,58.7,85.9,58.9
1390012,105.2,11.3,103.1,103.1,27.2
1390013,57.7,8.5,71.8,149.1,55.8
1390014,143.0,48.5,92.1,109.6,46.8
1390015,99.4,5.8,115.6,142.9,62.4
1390016,101.6,69.9,91.3,63.0,15.7
1390017,29.1,11.3,99.8,40.1,73.8
1390018,111.3,1.0,79.2,60.9,53.2
1390019,131.7,8.5,115.2,106.1,62.9
1390020,102.1,32.8,68.5,89.6,46.6
1390021,79.2,13.8,105.7,101.4,46.3
1390022,96.0,14.2,121.8,92.9,50.0
1390023,71.5,15.3,116.4,104.1,55.6
1390024,107.3,1.9,118.3,76.4,45.9
1390025,115.4,42.0,89.9,106.2,58.1
1390026,55.6,14.1,92.0,93.8,32.6
1390027,117.6,5.7,142.0,89.9,33.1
1390028,109.9,2.2,46.4,145.9,53.5
1390029,102.7,31.0,121.5,110.9,28.5
1390030,116.9,37.3,77.9,109.9,54.4
1390031,141.6,3.8,119.5,90.5,55.6
1390032,81.9,4.7,97.0,80.5,50.8
1390033,81.6,2.2,81.0,135.9,57.5
1390034,113.7,12.8,89.6,106.5,54.3
1390035,129.2,29.9,93.3,127.2,90.9
1390036,97.0,6.8,139.6,132.8,43.5
1390037,95.3,9.3,65.7,95.7,51.9
1390038,86.9,1.0,101.8,116.3,62.1
1390039,66.9,14.5,120.8,86.4,40.6
1390040,160.8,31.0,61.7,126.1,59.9
1390041,127.3,11.4,85.3,115.6,45.1
1390042,93.9,8.4,60.6,111.4,47.4
1390043,98.1,,122.0,139.6,35.4
1390044,109.5,,71.6,110.8,39.1
1390045,107.3,26.8,97.9,94.9,65.4
1390046,87.5,6.7,119.8,79.6,30.8
1390047,56.7,8.0,139.1,68.9,65.7
1390048,68.4,10.3,71.6,176.7,82.2
1390049,82.1,7.8,83.4,114.1,48.8
1390050,120.2,7.0,86.1,86.5,53.2
1390051,96.4,18.2,56.8,106.0,55.3
1390052,82.1,18.2,108.6,97.2,36.9
1390053,104.8,1.0,63.8,68.1,53.6
1390054,93.8,19.3,86.1,85.5,32.8
1390055,103.9,7.1,110.6,130.2,42.5
1390056,104.8,27.4,81.9,93.9,53.1
1390057,64.7,4.4,105.7,84.5,17.0
1390058,102.6,26.3,94.0,89.8,49.9
1390059,87.6,8.8,99.7,69.4,49.7
1390060,68.2,,89.9,103.1,36.3
1390061,110.0,14.7,85.5,99.2,84.4
1390062,121.2,9.5,139.3,125.5,39.2
1390063,110.5,16.9,70.7,90.4,32.8
1390064,132.3,5.2,67.4,130.7,48.1
1390065,113.1,32.1,77.0,67.8,67.6
1390066,113.5,10.8,64.0,127.3,44.3
1390067,99.9,5.2,126.6,101.0,62.9
1390068,117.4,20.5,101.0,94.6,29.9
1390069,130.1,2.3,125.7,91.3,24.4
1390070,130.0,12.7,69.7,135.7,54.8
1390071,126.3,4.8,78.9,77.1,72.1
1390072,143.2,2.7,85.4,113.2,60.3
1390073,112.8,24.1,114.9,68.3,40.3
1390074,105.7,4.4,91.4,103.2,34.7
1390075,106.6,27.7,117.4,69.9,70.5
1390076,102.3,2.4,91.7,108.8,32.9
1390077,105.3,26.9,76.5,92.2,45.7
1390078,106.9,52.7,111.0,131.4,39.9
1390079,136.2,10.3,50.2,62.7,71.7
1390080,52.6,4.2,121.4,67.6,46.4
1390081,129.9,11.6,84.6,71.9,35.9
1390082,111.0,17.1,81.7,82.4,41.8
1390083,119.3,6.8,171.6,74.6,57.6
1390084,106.1,6.4,72.3,55.1,69.4
1390085,129.5,5.8,134.9,88.0,49.4
1390086,108.3,50.4,72.9,92.8,76.3
1390087,131.2,19.9,123.1,72.9,39.3
1390088,64.7,14.0,99.9,114.1,55.9
1390089,120.6,11.5,72.2,120.0,70.2
1390090,85.0,41.4,113.6,87.9,46.3
1390091,75.4,8.2,43.1,67.8,55.8
1390092,94.3,14.0,88.4,81.8,38.1
1390093,90.7,13.4,102.1,114.1,51.3
1390094,86.3,4.9,129.0,77.2,60.6
1390095,134.6,34.8,105.6,149.6,34.6
1390096,114.1,75.5,85.9,114.9,25.4
1390097,158.8,1.3,68.9,86.3,17.8
1390098,109.8,1.4,115.3,76.1,38.0
1390099,77.5,28.6,73.2,102.2,55.4
1390100,93.5,5.3,70.0,55.9,53.0
1390101,75.6,2.0,55.8,80.1,54.4
1390102,113.1,26.5,85.7,100.8,38.8
1390103,91.9,3.6,93.6,90.7,40.7
1390104,119.2,16.4,91.6,103.3,52.1
1390105,93.1,3.4,129.8,68.1,53.0
1390106,124.1,8.2,74.0,119.6,53.6
1390107,100.6,3.1,93.3,129.4,44.3
1390108,110.3,22.7,116.5,124.2,54.8
1390109,106.6,11.8,104.6,76.6,40.2
1390110,100.8,21.6,118.8,162.4,41.6
1390111,91.0,6.3,102.3,106.8,21.6
1390112,123.2,14.1,132.8,106.3,57.7
1390113,70.5,11.6,94.3,88.4,29.2
1390114,95.9,9.6,116.5,88.1,50.6
1390115,110.1,33.9,59.8,147.8,37.0
1390116,119.4,1.4,63.9,65.4,23.9
1390117,139.2,1.0,93.8,126.0,52.2
1390118,108.7,16.1,112.9,152.4,56.2
1390119,103.3,18.3,81.3,108.9,41.5
1390120,73.6,2.0,94.4,125.7,36.6
1390121,121.4,,121.9,107.5,40.4
1390122,104.1,3.9,67.5,80.8,25.5
1390123,90.8,4.4,80.1,121.4,20.4
1390124,104.8,15.4,108.2,85.3,69.8
1390125,151.4,1.0,77.4,94.4,29.0
1390126,73.2,44.5,101.5,90.5,47.6
1390127,116.8,3.4,86.2,107.6,49.7
1390128,97.5,30.5,166.4,131.4,54.3
1390129,108.2,1.0,96.3,92.1,37.0
1390130,81.2,1.0,57.3,87.8,57.7
1390131,107.5,7.7,120.3,89.7,58.1
1390132,111.9,14.1,130.6,98.1,32.8
1390133,105.5,38.1,84.3,91.1,46.5
1390134,180.5,1.7,68.6,161.1,62.8
1390135,114.3,5.4,66.0,78.0,36.7
1390136,98.7,37.8,120.7,158.3,52.7
1390137,105.1,4.6,114.9,102.8,31.1
1390138,110.9,6.7,100.1,73.1,41.2
1390139,150.9,45.4,59.9,146.3,45.5
1390140,83.2,40.0,76.1,128.4,38.3
1390141,118.3,12.1,111.4,89.3,25.4
1390142,110.0,9.3,90.3,122.4,54.8
1390143,74.4,15.6,148.0,29.0,66.0
1390144,117.4,19.3,107.9,123.2,60.7
1390145,85.3,14.7,85.1,114.6,47.1
1390146,78.4,7.4,76.4,118.1,43.9
1390147,94.7,8.2,136.5,113.4,41.2
1390148,102.2,3.6,78.7,126.3,50.0
1390149,61.7,9.9,102.5,83.1,34.8
1390150,85.6,5.2,93.1,102.3,63.0
