ApplicantID,ChannelCost_K,ResumeScreenScore,InterviewScore,FinalHired,RetentionMonths
1420001,77.6,7.6,7.4,119.3,38.0
1420002,93.0,5.6,6.4,86.2,25.0
1420003,95.1,9.2,8.0,73.5,38.0
1420004,84.4,6.7,6.0,64.9,30.0
1420005,68.5,6.3,8.1,101.5,10.0
1420006,69.7,7.0,6.9,109.8,32.0
1420007,67.6,7.7,8.4,103.2,5.0
1420008,104.6,7.7,5.3,81.5,54.0
1420009,101.0,7.7,8.5,134.2,38.0
1420010,64.5,7.6,10.0,120.2,44.0
1420011,64.3,8.0,7.4,79.4,58.0
1420012,84.1,5.7,8.1,79.6,25.0
1420013,68.3,5.9,8.9,157.4,42.0
1420014,59.7,4.8,7.7,126.7,33.0
1420015,94.1,8.6,9.2,65.6,47.0
1420016,80.1,8.8,7.7,83.2,27.0
1420017,49.9,7.3,6.7,128.0,12.0
1420018,112.9,9.5,7.9,119.5,26.0
1420019,83.7,4.3,7.8,97.2,36.0
1420020,81.3,7.6,7.7,99.6,60.0
1420021,84.2,,9.9,96.9,17.0
1420022,110.8,7.6,5.2,90.8,5.0
1420023,127.9,5.2,3.9,138.5,27.0
1420024,47.5,5.4,4.6,129.3,6.0
1420025,80.6,5.6,6.2,149.3,14.0
1420026,109.0,7.0,8.4,123.6,33.0
1420027,84.9,5.1,9.2,102.3,29.0
1420028,106.0,6.6,7.3,93.7,43.0
1420029,85.8,7.1,5.3,79.9,34.0
1420030,61.4,7.1,8.6,119.7,15.0
1420031,66.2,5.1,5.6,75.7,53.0
1420032,90.8,4.2,5.3,81.2,35.0
1420033,72.0,9.2,8.7,138.7,24.0
1420034,90.5,8.8,5.6,110.9,59.0
1420035,67.8,7.2,5.7,95.7,10.0
1420036,96.0,5.4,6.7,86.3,30.0
1420037,20.0,8.1,5.7,90.3,40.0
1420038,79.0,6.6,10.0,70.8,19.0
1420039,58.9,7.0,6.2,113.7,22.0
1420040,38.2,6.2,8.6,104.7,18.0
1420041,46.8,7.3,5.4,21.5,40.0
1420042,63.7,9.2,7.9,117.2,22.0
1420043,94.7,7.6,6.3,91.5,17.0
1420044,76.9,6.4,6.3,58.2,30.0
1420045,44.0,7.8,7.0,42.8,45.0
1420046,84.1,8.6,10.0,127.5,36.0
1420047,101.7,8.9,8.8,79.2,22.0
1420048,63.8,8.2,6.0,110.5,18.0
1420049,60.0,6.2,6.4,167.2,23.0
1420050,35.0,7.9,6.9,101.5,17.0
1420051,96.3,6.4,8.4,103.5,52.0
1420052,27.9,7.4,6.0,103.7,41.0
1420053,71.1,5.3,9.4,133.6,45.0
1420054,81.9,6.0,7.3,77.9,48.0
1420055,84.8,6.7,7.8,96.8,57.0
1420056,102.3,8.6,8.1,104.5,32.0
1420057,79.6,6.4,4.3,92.7,40.0
1420058,43.4,7.9,7.5,73.8,47.0
1420059,53.2,6.6,7.9,100.5,47.0
1420060,39.2,6.1,5.1,114.0,5.0
1420061,64.1,6.4,7.4,61.6,7.0
1420062,75.1,6.9,6.9,121.3,10.0
1420063,89.7,5.6,7.7,102.3,16.0
1420064,67.3,8.3,6.6,58.2,56.0
1420065,74.5,5.7,8.4,73.6,35.0
1420066,79.3,6.9,6.5,126.9,51.0
1420067,63.2,9.2,5.1,129.1,16.0
1420068,91.8,6.7,10.0,117.4,3.0
1420069,65.0,5.2,4.6,118.1,11.0
1420070,79.5,9.7,6.1,71.0,59.0
1420071,98.5,4.5,6.6,107.6,18.0
1420072,95.5,5.1,6.2,122.9,22.0
1420073,39.8,10.0,4.8,85.6,16.0
