NewHireID,MentoringHours,MentorFeedbackScore,Department,JobSatisfaction,OneYearRetention
1460001,24.9,6.7,HR,132.7,0
1460002,29.8,8.3,Support,122.7,0
1460003,17.0,5.7,Engineering,107.4,1
1460004,15.4,6.5,HR,64.0,1
1460005,18.4,7.1,HR,62.0,1
1460006,41.1,6.5,Support,155.9,0
1460007,19.5,9.8,Sales,136.9,0
1460008,5.3,6.2,HR,109.3,0
1460009,42.8,6.2,Sales,120.1,0
1460010,35.4,7.9,Sales,71.5,1
1460011,29.1,9.1,HR,120.0,0
1460012,16.0,9.1,HR,77.5,1
1460013,44.6,5.8,Engineering,97.2,1
1460014,22.0,7.1,Support,74.1,1
1460015,34.7,7.5,Engineering,111.8,1
1460016,16.1,4.5,HR,110.2,0
1460017,31.3,6.7,Sales,140.3,0
1460018,10.6,6.4,HR,114.9,1
1460019,33.0,6.6,HR,66.7,1
1460020,19.1,9.8,HR,105.8,1
1460021,33.7,4.9,Engineering,49.6,1
1460022,31.3,9.4,Support,87.1,1
1460023,26.8,6.6,Engineering,129.2,0
1460024,24.9,4.5,Engineering,98.2,1
1460025,39.2,7.0,Sales,67.9,1
1460026,6.8,5.2,Engineering,140.5,0
1460027,36.7,9.9,Engineering,67.9,1
1460028,23.8,10.0,HR,80.6,0
1460029,15.1,7.4,Engineering,89.4,1
1460030,29.9,7.4,Support,42.8,1
1460031,39.8,7.3,Support,142.0,0
1460032,44.7,2.8,Sales,111.8,0
1460033,29.0,8.5,Sales,118.6,0
1460034,18.1,7.7,Sales,105.6,0
1460035,38.0,10.0,HR,100.8,0
1460036,26.6,7.5,Engineering,120.4,0
1460037,30.0,7.5,Engineering,92.3,1
1460038,34.3,9.7,HR,105.9,0
1460039,9.3,7.7,HR,107.4,0
1460040,6.6,10.0,HR,80.1,1
1460041,31.4,6.5,Support,61.8,0
1460042,39.5,6.7,Sales,109.4,0
1460043,40.4,4.8,Engineering,73.5,1
1460044,36.6,9.3,Sales,114.6,0
1460045,34.6,6.1,HR,99.8,0
1460046,21.6,6.1,Sales,71.8,1
1460047,28.5,7.6,Support,46.9,1
1460048,17.0,6.5,Sales,120.4,0
1460049,29.0,9.9,Sales,103.0,0
1460050,42.8,7.7,Sales,83.5,0
1460051,17.6,7.2,HR,118.8,1
1460052,29.1,8.6,Engineering,112.5,0
1460053,41.1,5.8,Sales,77.4,1
1460054,32.9,6.3,Sales,68.3,0
1460055,22.7,9.1,HR,64.1,1
1460056,16.7,6.6,Support,121.7,0
1460057,12.1,9.1,Sales,108.8,0
1460058,41.1,6.1,HR,78.1,1
1460059,44.3,6.2,HR,87.1,1
1460060,37.8,8.8,Support,64.3,1
1460061,28.5,5.9,HR,172.4,0
1460062,16.4,4.4,Sales,56.9,1
1460063,28.3,6.2,Support,117.1,0
1460064,38.0,8.0,HR,83.7,1
1460065,38.8,7.5,Support,84.7,1
1460066,32.3,9.5,Support,78.9,1
1460067,27.5,8.3,Support,74.5,1
1460068,41.0,8.1,Support,73.1,1
1460069,16.1,7.3,Support,83.5,1
1460070,23.5,4.6,Sales,192.3,0
1460071,18.4,6.7,Sales,128.9,0
1460072,19.5,4.2,Sales,133.4,0
1460073,29.7,8.3,Support,82.4,1
1460074,41.3,6.9,Support,97.2,0
1460075,20.1,8.7,Sales,88.7,1
1460076,38.5,5.3,HR,131.2,0
1460077,18.4,9.4,HR,22.0,1
1460078,36.2,10.0,HR,49.3,1
1460079,8.0,6.3,Sales,83.2,1
1460080,8.6,7.1,Engineering,122.4,0
1460081,26.8,5.7,HR,78.3,1
1460082,41.0,8.1,Engineering,119.4,0
1460083,44.3,9.7,HR,74.2,1
1460084,6.1,6.5,HR,84.3,1
1460085,30.1,8.9,Engineering,93.9,1
1460086,43.7,7.6,Sales,97.8,0
1460087,31.4,7.4,Engineering,108.4,0
1460088,14.9,9.7,HR,84.5,1
1460089,40.7,5.7,HR,92.4,1
1460090,44.4,8.2,Support,137.2,0
1460091,35.5,6.5,Engineering,127.9,0
1460092,38.5,7.7,HR,96.7,0
1460093,16.5,8.4,Support,133.0,0
1460094,9.5,8.6,Engineering,68.4,1
1460095,26.3,7.4,HR,133.8,0
1460096,13.7,9.3,Sales,84.0,1
1460097,10.1,6.5,Sales,96.6,1
1460098,12.1,6.0,Support,114.9,0
1460099,31.2,6.2,Sales,113.0,1
1460100,37.7,8.5,Sales,107.1,1
1460101,17.0,7.1,HR,110.5,1
1460102,23.7,8.0,Support,116.2,0
1460103,33.9,7.6,Engineering,90.4,1
1460104,28.1,7.6,Support,74.6,1
1460105,6.3,7.6,Engineering,94.5,0
1460106,19.1,5.9,Sales,129.6,0
1460107,6.0,4.1,HR,148.4,1
1460108,33.3,7.2,HR,118.6,1
1460109,12.9,6.4,Sales,72.2,1
1460110,18.1,8.5,Engineering,96.7,1
1460111,34.6,6.9,Support,71.7,1
1460112,11.7,9.0,HR,99.1,0
1460113,28.5,8.5,Support,40.4,1
1460114,6.3,6.9,Support,128.9,1
1460115,27.1,7.4,HR,119.6,0
1460116,8.6,9.9,Sales,91.1,0
1460117,32.2,6.0,HR,73.4,1
1460118,42.9,7.6,HR,103.0,0
1460119,15.5,7.1,Support,93.1,1
1460120,37.5,8.2,Engineering,137.1,0
1460121,21.9,10.0,HR,127.0,0
1460122,36.6,7.0,Engineering,87.5,1
1460123,36.3,6.6,Sales,106.5,1
1460124,26.3,8.8,HR,49.3,1
1460125,40.2,7.0,Support,93.5,1
1460126,37.4,7.8,Engineering,59.9,1
1460127,16.0,6.8,Engineering,130.4,0
1460128,29.9,5.3,Engineering,128.9,0
1460129,44.6,6.4,Sales,100.7,0
1460130,16.7,5.9,HR,119.6,0
1460131,9.7,8.1,HR,76.3,1
1460132,31.9,8.2,Sales,82.1,1
1460133,31.9,5.0,Engineering,100.8,0
1460134,43.5,6.9,Engineering,107.4,0
1460135,45.0,6.4,Support,106.8,0
1460136,29.8,6.3,Engineering,42.4,1
1460137,34.6,7.8,HR,75.4,0
1460138,16.0,6.2,Engineering,104.5,0
1460139,41.9,6.6,HR,133.1,0
