UserID,WatchTime_Mins,BufferCount,SpeedMbps,SubscriptionType,Retained
1470001,189.7,349.2,288.2,Premium,0
1470002,320.2,126.8,228.2,Basic,0
1470003,25.1,344.6,,Premium,0
1470004,348.7,227.3,314.9,Family,1
1470005,469.5,102.8,380.2,Premium,1
1470006,471.3,448.7,154.1,Family,0
1470007,199.2,162.9,215.3,Premium,0
1470008,46.4,345.9,377.9,Premium,0
1470009,247.9,413.8,189.3,Family,1
1470010,289.3,337.8,252.8,Family,1
1470011,308.8,146.0,161.7,Premium,1
1470012,350.3,244.1,113.9,Family,1
1470013,21.3,369.5,183.8,Premium,1
1470014,488.2,129.4,261.0,Basic,0
1470015,13.6,300.3,92.0,Family,0
1470016,252.0,216.7,121.7,Basic,1
1470017,87.9,308.9,213.6,Family,0
1470018,383.9,10.1,51.4,Family,1
1470019,149.7,35.0,486.9,Basic,0
1470020,98.3,188.5,366.0,Family,1
1470021,100.9,119.1,74.1,Basic,1
1470022,21.2,344.8,120.1,Premium,0
1470023,109.3,158.2,395.2,Premium,0
1470024,174.8,458.5,77.4,Family,1
1470025,245.1,99.8,296.8,Basic,0
1470026,482.4,121.5,111.1,Family,1
1470027,457.8,215.2,454.3,Basic,1
1470028,155.9,129.4,382.4,Basic,1
1470029,24.6,75.9,154.0,Premium,0
1470030,13.0,373.8,273.8,Basic,0
1470031,17.4,365.4,50.3,Family,1
1470032,47.3,44.2,118.3,Premium,1
1470033,116.5,389.7,145.2,Premium,1
1470034,224.1,291.3,447.7,Premium,0
1470035,334.2,326.8,,Family,1
1470036,249.5,126.9,273.5,Family,0
1470037,140.1,24.1,423.2,Family,1
1470038,25.2,307.5,128.6,Premium,0
1470039,73.8,161.1,347.3,Premium,0
1470040,198.4,351.8,105.8,Basic,0
1470041,347.9,12.7,177.8,Premium,0
1470042,49.1,50.6,73.8,Family,0
1470043,255.0,464.9,335.5,Family,0
1470044,441.8,35.0,230.7,Family,0
1470045,215.7,223.0,392.4,Basic,1
1470046,260.9,484.9,289.2,Basic,1
1470047,45.5,365.5,440.5,Family,0
1470048,211.1,441.0,116.1,Basic,1
1470049,477.0,23.4,185.0,Premium,0
1470050,257.2,213.5,29.4,Basic,1
1470051,346.1,374.4,445.4,Basic,0
1470052,323.7,139.6,235.8,Basic,0
1470053,116.6,206.2,344.8,Family,0
1470054,237.9,103.0,378.0,Premium,1
1470055,17.8,291.7,330.8,Basic,0
1470056,445.3,243.3,493.8,Premium,1
1470057,252.8,68.8,485.6,Family,0
1470058,437.4,43.1,223.1,Basic,0
1470059,268.3,205.5,438.9,Family,1
1470060,132.2,353.8,319.2,Premium,0
1470061,60.4,383.2,23.5,Premium,1
1470062,228.3,399.9,435.5,Premium,1
1470063,356.3,495.0,53.1,Basic,0
1470064,495.2,140.9,191.3,Basic,0
1470065,234.9,275.2,286.8,Family,0
1470066,153.1,31.2,309.9,Family,0
1470067,74.8,314.6,365.7,Family,0
1470068,306.8,32.1,217.0,Premium,1
1470069,27.6,27.6,67.0,Premium,1
1470070,304.5,174.6,389.2,Basic,0
1470071,207.1,376.7,105.4,Basic,1
1470072,24.7,411.4,388.0,Family,0
1470073,295.2,260.3,102.2,Premium,1
1470074,393.9,409.5,458.6,Premium,1
1470075,473.7,115.0,146.8,Basic,1
1470076,55.2,334.7,,Basic,1
1470077,88.1,374.7,25.0,Premium,1
1470078,10.3,452.1,421.3,Basic,1
1470079,28.7,350.2,83.0,Basic,0
1470080,158.3,422.2,143.9,Family,0
1470081,116.3,88.6,375.6,Premium,0
1470082,304.1,194.2,70.6,Family,1
1470083,389.7,273.7,303.1,Premium,0
1470084,248.0,177.9,368.8,Family,1
1470085,286.4,249.6,140.8,Basic,0
1470086,152.7,255.1,241.4,Basic,1
1470087,491.3,327.6,424.1,Basic,0
1470088,84.7,163.5,299.0,Basic,0
1470089,35.2,159.7,348.4,Basic,0
1470090,150.1,457.2,344.7,Basic,0
1470091,29.7,289.5,122.6,Family,1
1470092,29.0,333.9,332.7,Premium,0
1470093,190.4,92.4,302.4,Family,1
1470094,241.1,198.7,198.5,Premium,1
1470095,95.2,295.1,22.7,Basic,0
1470096,212.6,152.5,45.7,Premium,0
1470097,406.9,152.8,486.9,Premium,0
1470098,311.0,384.6,21.8,Family,0
1470099,44.1,86.5,322.0,Family,1
1470100,304.5,420.9,356.1,Basic,1
1470101,349.1,86.1,413.8,Basic,1
1470102,85.0,111.6,447.4,Family,1
1470103,453.3,201.1,67.8,Basic,0
1470104,92.8,266.2,290.2,Premium,0
1470105,444.5,141.5,266.3,Premium,1
1470106,284.0,72.6,238.2,Premium,0
1470107,412.4,54.5,232.1,Premium,0
1470108,11.7,365.9,449.5,Basic,0
1470109,489.4,138.1,134.4,Basic,0
1470110,47.7,354.5,144.2,Premium,0
1470111,168.9,274.4,368.2,Family,0
1470112,428.7,291.2,465.7,Premium,1
1470113,225.1,144.2,88.3,Premium,1
1470114,153.0,334.1,218.5,Premium,0
1470115,272.1,304.8,207.4,Premium,1
1470116,343.0,198.1,231.3,Basic,0
1470117,86.0,273.4,180.2,Family,0
1470118,373.9,204.7,47.3,Family,0
1470119,478.1,134.7,384.6,Family,1
1470120,348.2,186.1,63.5,Basic,0
1470121,380.1,276.3,320.6,Family,1
1470122,477.0,109.6,446.1,Basic,0
1470123,482.4,461.7,261.1,Basic,1
1470124,42.9,342.4,360.9,Family,0
1470125,479.8,437.6,42.1,Family,0
1470126,226.2,448.6,60.6,Family,1
1470127,411.3,67.2,223.6,Family,0
1470128,168.0,49.8,60.8,Premium,1
1470129,495.0,208.0,279.4,Premium,0
1470130,385.6,86.6,385.3,Basic,1
1470131,429.2,126.0,179.5,Family,1
1470132,284.2,156.3,393.7,Premium,1
1470133,372.9,191.1,423.3,Family,0
1470134,337.7,146.0,460.2,Premium,0
1470135,210.7,407.0,410.7,Premium,0
1470136,389.7,181.4,19.1,Basic,0
1470137,138.1,416.6,191.5,Premium,0
1470138,413.2,364.3,97.5,Basic,0
1470139,466.3,463.7,53.6,Premium,0
1470140,70.9,366.0,142.9,Basic,0
1470141,218.7,201.3,456.9,Family,0
1470142,475.7,85.6,309.4,Premium,0
1470143,73.9,323.7,365.2,Basic,0
1470144,146.6,246.1,413.3,Premium,0
1470145,90.1,306.5,388.4,Family,0
1470146,134.4,482.1,278.6,Premium,0
