WorkerID,SafetyTrainingHours,ComplianceScore,NearMissCount,MachineUsageHours,AccidentOccurred
1490001,40.3,55.6,115.1,62.0,0
1490002,44.2,54.7,93.3,47.0,0
1490003,39.6,51.7,116.1,39.0,1
1490004,38.5,42.2,112.9,27.0,1
1490005,41.4,57.8,118.6,55.0,0
1490006,39.4,30.1,93.4,58.0,1
1490007,23.8,61.7,65.2,44.0,0
1490008,22.6,34.9,103.2,16.0,1
1490009,29.0,55.6,81.5,63.0,1
1490010,7.8,51.0,93.1,35.0,1
1490011,21.7,48.8,103.7,38.0,1
1490012,41.1,62.5,80.7,27.0,0
1490013,9.4,51.4,138.5,61.0,0
1490014,41.5,22.3,115.8,40.0,1
1490015,12.8,65.0,81.8,42.0,1
1490016,11.7,58.5,95.8,39.0,0
1490017,43.1,57.7,74.0,53.0,0
1490018,43.8,39.0,68.5,51.0,0
1490019,35.3,65.3,110.3,39.0,0
1490020,40.6,64.0,62.2,45.0,1
1490021,28.1,38.1,93.6,34.0,0
1490022,39.4,30.6,86.5,47.0,1
1490023,10.0,32.1,71.8,58.0,0
1490024,40.7,47.9,,36.0,1
1490025,28.7,33.6,107.1,42.0,1
1490026,28.9,32.4,90.9,27.0,1
1490027,13.2,51.1,94.1,75.0,1
1490028,15.7,40.9,140.3,56.0,1
1490029,42.5,68.4,102.5,58.0,1
1490030,33.6,27.7,59.5,44.0,1
1490031,33.6,11.0,101.1,48.0,0
1490032,17.3,34.7,81.3,43.0,0
1490033,8.5,39.9,63.6,57.0,0
1490034,27.6,32.4,115.9,48.0,1
1490035,33.1,43.2,101.7,33.0,1
1490036,17.0,37.8,128.6,40.0,1
1490037,34.1,33.0,108.8,49.0,1
1490038,23.4,36.5,119.1,41.0,0
1490039,6.4,72.0,76.8,44.0,1
1490040,39.2,43.5,102.5,52.0,1
1490041,14.6,45.4,108.6,37.0,0
1490042,30.2,50.2,97.9,32.0,0
1490043,25.1,62.3,72.3,29.0,0
1490044,8.1,46.4,87.7,48.0,1
1490045,31.7,45.3,107.0,64.0,1
1490046,9.9,53.7,88.7,45.0,1
1490047,39.4,41.2,115.3,54.0,0
1490048,44.9,30.4,95.8,37.0,0
1490049,7.7,43.8,96.6,38.0,0
1490050,13.5,20.9,113.3,44.0,0
1490051,8.6,41.8,91.1,61.0,1
1490052,10.7,50.1,119.1,47.0,1
1490053,33.7,51.4,134.7,78.0,0
1490054,30.5,68.5,86.7,39.0,1
1490055,13.3,14.0,113.5,58.0,1
1490056,29.7,40.4,123.6,56.0,1
1490057,44.8,37.8,86.6,24.0,0
1490058,30.4,45.1,102.2,18.0,1
1490059,36.7,43.0,130.6,19.0,0
1490060,24.0,43.6,96.8,51.0,0
1490061,11.9,40.9,95.6,39.0,1
1490062,20.4,23.6,78.7,47.0,0
1490063,11.7,29.1,74.8,40.0,0
1490064,5.0,25.4,100.9,57.0,1
1490065,7.2,41.5,87.4,75.0,0
1490066,29.0,41.8,86.8,54.0,0
1490067,17.3,38.9,72.8,40.0,0
1490068,31.8,49.1,121.8,42.0,0
1490069,14.7,47.4,168.2,35.0,0
1490070,30.6,31.2,64.4,40.0,1
1490071,13.5,51.3,130.4,57.0,1
1490072,20.5,38.1,99.5,27.0,1
1490073,44.8,34.8,73.5,78.0,0
1490074,34.9,62.4,107.1,30.0,0
1490075,35.0,41.6,90.7,48.0,0
1490076,37.2,47.0,87.7,22.0,1
1490077,44.7,51.8,89.9,40.0,0
1490078,34.8,19.9,92.5,43.0,0
1490079,29.2,63.3,100.7,56.0,0
1490080,6.6,44.5,77.6,56.0,0
1490081,13.2,37.7,100.5,51.0,1
1490082,18.9,20.0,115.1,46.0,1
1490083,24.6,43.1,62.8,26.0,0
1490084,7.7,34.2,111.6,44.0,0
1490085,42.2,39.0,99.4,62.0,0
1490086,37.4,41.5,81.5,49.0,0
1490087,24.8,70.2,121.4,21.0,1
1490088,10.0,37.9,102.7,25.0,1
1490089,19.6,36.7,46.1,33.0,0
1490090,19.3,30.3,98.6,57.0,1
1490091,40.7,67.6,75.9,51.0,0
1490092,27.2,83.5,98.5,38.0,1
1490093,38.5,45.1,93.8,40.0,0
1490094,11.5,63.7,116.9,17.0,0
1490095,14.6,26.2,74.9,44.0,1
1490096,41.6,45.3,93.6,54.0,0
1490097,43.7,58.0,69.1,56.0,1
1490098,15.9,41.0,133.3,40.0,1
1490099,39.2,43.1,112.3,47.0,1
1490100,10.8,39.7,110.9,51.0,0
1490101,15.1,36.4,132.0,42.0,0
1490102,19.4,48.9,53.0,51.0,0
1490103,28.0,43.7,121.3,39.0,0
1490104,10.0,27.6,109.8,36.0,0
1490105,39.9,41.9,93.6,33.0,1
1490106,43.7,55.7,72.2,23.0,0
1490107,35.2,12.7,113.8,36.0,0
1490108,43.8,18.3,94.5,35.0,1
1490109,17.8,44.8,90.7,65.0,1
1490110,11.2,66.5,145.0,17.0,0
1490111,7.1,19.3,87.2,35.0,0
1490112,5.1,28.8,100.9,59.0,0
1490113,41.4,34.3,119.5,33.0,0
1490114,30.8,50.0,83.0,51.0,0
1490115,31.6,25.8,108.8,44.0,0
1490116,17.9,38.5,131.3,9.0,0
1490117,6.1,45.6,118.1,40.0,1
1490118,33.5,42.9,52.5,46.0,0
1490119,20.9,40.0,99.5,57.0,0
1490120,31.5,24.7,143.1,32.0,1
1490121,10.5,28.6,87.3,40.0,0
1490122,6.0,32.3,67.6,33.0,0
1490123,11.8,50.3,95.5,39.0,0
1490124,26.7,39.4,106.4,42.0,1
1490125,35.1,48.7,53.7,67.0,0
1490126,38.3,41.8,142.3,32.0,0
1490127,19.5,58.5,109.4,24.0,1
1490128,41.3,56.0,120.5,23.0,0
1490129,11.8,43.6,125.0,32.0,1
1490130,26.7,32.7,151.9,45.0,1
1490131,33.6,28.4,68.6,57.0,1
1490132,34.8,79.5,134.6,50.0,0
1490133,7.1,57.2,87.6,35.0,1
1490134,31.3,2.2,114.0,47.0,1
1490135,9.3,48.8,114.2,66.0,0
1490136,23.2,15.7,114.1,46.0,0
1490137,17.0,57.5,112.6,57.0,0
1490138,19.4,65.7,135.4,46.0,1
1490139,11.5,32.3,44.6,43.0,1
1490140,18.7,33.8,50.7,29.0,0
1490141,28.2,41.0,139.7,49.0,0
1490142,23.0,48.7,114.5,52.0,1
1490143,30.7,44.2,108.6,13.0,0
1490144,16.8,59.4,119.6,60.0,1
1490145,21.4,77.1,76.2,37.0,1
1490146,30.0,65.9,101.4,53.0,1
1490147,42.1,38.3,105.4,53.0,1
1490148,40.8,27.7,93.9,28.0,0
1490149,16.0,31.9,133.8,58.0,0
1490150,7.4,42.8,114.0,44.0,0
1490151,13.1,31.3,131.1,25.0,1
1490152,6.4,59.6,71.1,51.0,1
1490153,18.7,55.2,67.2,15.0,0
1490154,22.6,50.4,73.8,35.0,1
1490155,15.4,32.3,87.0,42.0,0
1490156,14.5,24.5,107.7,50.0,0
1490157,45.0,24.2,127.5,33.0,1
1490158,18.5,58.0,118.5,31.0,1
1490159,9.4,18.9,124.9,45.0,1
1490160,28.4,51.1,101.5,15.0,0
1490161,30.8,66.1,131.8,43.0,0
1490162,30.8,26.4,103.7,50.0,1
1490163,43.1,31.7,72.5,53.0,0
1490164,35.2,50.7,109.8,54.0,1
