StationID,HourlyChargerOccupancy_Percent,AmbientTemp,ChargerType,WaitTimeMinutes,CongestionLevel
1560001,53.8,12.7,Type_B,2.2,123.7
1560002,17.3,20.5,Type_A,66.5,101.3
1560003,33.3,19.2,Type_C,4.8,77.0
1560004,36.1,22.9,Type_B,3.7,60.2
1560005,65.1,7.1,Type_B,48.1,56.0
1560006,44.1,6.6,Type_C,28.8,98.7
1560007,52.7,19.9,Type_B,44.5,50.3
1560008,53.7,25.2,Type_B,4.2,137.9
1560009,32.8,-1.6,Type_C,16.2,152.7
1560010,23.9,23.3,Type_B,6.4,73.0
1560011,37.5,11.2,Type_A,21.7,103.5
1560012,30.3,25.5,Type_C,82.0,109.0
1560013,6.8,31.3,Type_A,7.2,165.3
1560014,45.9,19.4,Type_A,27.2,135.9
1560015,42.3,4.8,Type_B,25.7,141.3
1560016,36.4,28.9,Type_C,3.6,105.3
1560017,27.4,12.4,Type_B,20.6,89.4
1560018,50.1,31.3,Type_A,8.0,93.4
1560019,29.8,22.9,Type_C,16.3,63.7
1560020,59.6,11.4,Type_C,24.4,81.9
1560021,31.4,15.3,Type_B,11.3,108.2
1560022,28.6,17.2,Type_B,4.0,118.4
1560023,39.7,26.4,Type_C,1.3,111.3
1560024,16.0,17.0,Type_B,20.3,102.8
1560025,43.6,32.1,Type_C,2.9,92.8
1560026,70.9,22.9,Type_B,20.2,90.6
1560027,43.3,17.3,Type_A,3.6,109.5
1560028,50.7,17.1,Type_C,18.3,98.8
1560029,81.3,11.7,Type_A,4.7,118.3
1560030,39.8,26.8,Type_A,10.0,140.9
1560031,50.9,10.4,Type_C,12.7,105.5
1560032,41.4,12.0,Type_C,69.8,57.6
1560033,48.7,20.4,Type_B,3.4,105.3
1560034,43.0,10.2,Type_C,1.3,87.5
1560035,58.1,12.8,Type_B,17.2,147.7
1560036,15.5,20.2,Type_C,29.6,105.6
1560037,47.8,15.3,Type_A,6.6,39.7
1560038,35.5,26.6,Type_C,27.6,78.1
1560039,49.4,21.4,Type_A,,130.1
1560040,25.7,26.9,Type_A,8.6,104.5
1560041,75.2,16.5,Type_C,19.4,114.3
1560042,55.8,22.6,Type_C,1.0,69.0
1560043,43.0,14.3,Type_C,21.6,76.7
1560044,32.9,15.2,Type_A,28.2,58.4
1560045,56.5,21.6,Type_A,21.0,118.9
1560046,41.1,30.2,Type_A,28.9,82.1
1560047,49.4,17.6,Type_C,1.0,88.1
1560048,64.6,25.4,Type_B,31.3,127.8
1560049,37.0,23.2,Type_C,4.5,93.6
1560050,68.9,36.8,Type_A,13.0,121.9
1560051,47.9,11.9,Type_A,1.3,88.9
1560052,50.0,12.9,Type_B,4.7,99.4
1560053,68.3,12.7,Type_C,1.0,69.6
1560054,47.3,8.9,Type_A,7.6,31.7
1560055,58.8,24.3,Type_A,3.0,129.6
1560056,43.6,20.7,Type_A,1.0,102.1
1560057,40.5,22.4,Type_B,39.3,144.3
1560058,35.8,6.3,Type_B,,94.3
1560059,40.5,21.5,Type_A,7.7,98.0
1560060,36.2,14.1,Type_B,7.1,100.4
1560061,28.1,20.2,Type_C,64.8,66.7
1560062,41.5,9.8,Type_A,17.5,79.7
1560063,50.2,12.9,Type_B,8.1,114.3
1560064,39.4,16.6,Type_C,14.7,105.3
1560065,42.5,26.4,Type_B,1.3,142.6
1560066,32.2,18.7,Type_C,21.9,109.9
1560067,35.2,21.1,Type_A,6.6,139.2
1560068,64.4,24.6,Type_A,25.7,67.4
1560069,42.8,14.4,Type_C,6.9,82.9
1560070,48.0,5.9,Type_B,27.2,119.8
1560071,40.0,12.4,Type_B,5.1,51.2
1560072,31.3,21.4,Type_B,31.3,130.4
1560073,27.1,37.3,Type_C,1.0,124.4
1560074,39.8,8.8,Type_A,1.3,80.5
1560075,31.8,14.0,Type_C,1.2,157.6
1560076,37.9,13.1,Type_A,1.0,128.9
1560077,48.6,4.7,Type_C,7.1,77.6
1560078,30.7,12.9,Type_C,8.1,96.2
1560079,3.7,27.8,Type_B,1.0,72.2
1560080,50.6,14.7,Type_A,9.0,79.7
1560081,57.2,13.2,Type_B,13.3,121.4
1560082,3.2,26.0,Type_C,9.6,89.7
1560083,52.4,8.7,Type_C,8.9,75.1
1560084,53.7,25.3,Type_B,9.1,100.4
1560085,71.6,15.7,Type_A,11.2,110.2
1560086,17.7,14.1,Type_B,3.9,94.6
1560087,26.0,24.7,Type_A,6.5,108.4
1560088,32.2,14.7,Type_C,7.7,81.8
1560089,23.3,20.1,Type_B,35.2,91.9
1560090,48.4,25.0,Type_C,5.1,50.2
1560091,46.2,6.0,Type_A,18.6,100.6
1560092,39.3,0.5,Type_B,36.4,95.1
1560093,55.0,27.1,Type_A,8.1,74.2
1560094,52.3,10.4,Type_A,6.3,103.7
1560095,73.4,16.9,Type_B,13.4,77.1
1560096,49.8,17.4,Type_C,6.3,84.5
1560097,39.4,12.4,Type_A,3.6,134.6
1560098,48.2,10.9,Type_C,10.2,69.8
