UserID,WatchTime_Mins,BufferCount,SpeedMbps,SubscriptionType,Retained
1570001,400.7,336.1,280.0,Basic,1
1570002,296.8,211.2,401.0,Family,0
1570003,137.4,396.7,240.0,Basic,1
1570004,136.9,136.3,196.7,Premium,0
1570005,361.1,386.6,252.5,Premium,1
1570006,323.8,356.4,237.6,Basic,0
1570007,132.0,171.4,350.1,Family,1
1570008,232.3,301.9,155.8,Family,0
1570009,226.9,360.2,55.6,Premium,0
1570010,93.0,92.0,182.6,Family,1
1570011,385.8,432.6,92.2,Family,1
1570012,196.7,448.7,446.6,Basic,0
1570013,471.3,293.8,284.1,Family,1
1570014,482.5,119.6,277.7,Basic,1
1570015,34.7,95.5,351.4,Basic,1
1570016,145.1,436.7,131.0,Family,1
1570017,233.6,392.2,460.4,Premium,0
1570018,145.3,200.2,418.4,Family,1
1570019,357.5,468.3,41.7,Premium,1
1570020,485.5,77.7,160.5,Premium,1
1570021,36.5,218.2,93.4,Basic,1
1570022,279.9,61.0,326.6,Basic,1
1570023,416.6,490.9,,Basic,1
1570024,384.9,409.7,150.4,Family,1
1570025,408.8,75.1,176.6,Family,1
1570026,448.3,44.4,447.0,Basic,1
1570027,235.6,64.8,341.8,Basic,0
1570028,431.7,429.1,260.0,Basic,0
1570029,444.8,473.1,493.3,Premium,0
1570030,71.2,361.7,398.2,Basic,1
1570031,147.2,291.2,36.2,Basic,0
1570032,323.6,247.4,302.9,Family,0
1570033,52.3,262.5,128.9,Premium,0
1570034,76.8,376.7,232.5,Premium,1
1570035,160.0,414.6,435.3,Family,0
1570036,160.0,479.0,268.0,Premium,1
1570037,444.5,320.0,133.1,Family,1
1570038,423.7,20.7,394.3,Family,0
1570039,104.6,137.1,27.0,Basic,0
1570040,373.4,192.9,465.0,Family,1
1570041,289.9,109.4,151.5,Family,1
1570042,44.2,367.7,53.4,Premium,1
1570043,56.6,233.1,62.2,Basic,0
1570044,79.9,122.5,439.5,Basic,1
1570045,326.0,422.3,264.1,Premium,0
1570046,298.1,100.0,230.0,Premium,0
1570047,11.1,123.2,290.3,Family,0
1570048,392.0,435.4,411.5,Family,0
1570049,440.3,258.4,483.7,Basic,1
1570050,498.5,496.8,218.8,Basic,1
1570051,498.2,124.8,160.1,Family,0
1570052,239.9,362.2,20.0,Premium,1
1570053,487.5,59.2,31.7,Basic,0
1570054,165.8,22.5,61.7,Premium,1
1570055,98.5,139.8,112.1,Premium,0
1570056,420.2,188.0,16.6,Basic,1
1570057,119.8,175.6,62.9,Premium,1
1570058,454.8,71.5,264.3,Family,1
1570059,194.6,244.8,128.3,Basic,0
1570060,183.0,97.7,262.2,Family,0
1570061,483.0,32.6,466.2,Basic,0
1570062,83.3,97.9,179.8,Family,1
1570063,80.3,355.0,380.8,Premium,0
1570064,191.1,112.8,247.9,Family,0
1570065,216.0,28.2,93.6,Basic,0
1570066,13.3,135.0,215.5,Premium,1
1570067,293.0,328.5,95.2,Family,0
1570068,104.3,241.6,11.6,Basic,1
1570069,46.3,49.5,449.7,Basic,1
1570070,396.9,94.0,63.2,Premium,1
1570071,367.9,300.8,152.2,Family,1
1570072,78.1,267.4,117.9,Basic,0
1570073,303.5,80.5,379.9,Premium,0
1570074,20.5,245.3,150.5,Family,1
1570075,209.0,285.3,26.1,Family,1
1570076,235.8,232.0,257.6,Basic,1
1570077,490.3,169.8,150.9,Basic,0
1570078,133.5,304.6,138.0,Premium,0
1570079,392.0,220.6,369.9,Basic,1
1570080,362.6,391.1,260.5,Premium,0
1570081,176.2,430.7,268.1,Family,1
1570082,453.9,375.0,459.8,Premium,0
1570083,163.3,443.3,352.8,Family,0
1570084,29.6,202.1,187.9,Basic,0
1570085,343.2,110.9,280.7,Premium,0
1570086,38.0,133.8,303.9,Family,1
1570087,45.7,416.9,71.3,Premium,0
1570088,42.5,152.3,404.1,Family,1
1570089,346.9,433.2,256.1,Basic,1
1570090,92.1,393.3,137.9,Basic,0
1570091,284.3,289.9,254.3,Basic,0
1570092,452.2,31.0,281.7,Family,0
1570093,121.6,414.2,261.9,Family,1
1570094,361.8,422.4,91.5,Basic,1
1570095,291.7,136.9,,Family,0
1570096,60.7,62.6,370.8,Basic,1
1570097,252.2,196.4,239.8,Basic,1
1570098,213.4,141.9,446.1,Basic,1
1570099,96.6,207.5,312.5,Premium,0
1570100,139.1,105.9,72.1,Premium,1
1570101,433.2,353.7,418.6,Basic,1
1570102,423.3,441.8,158.6,Premium,1
1570103,191.7,384.4,453.7,Family,0
1570104,448.4,253.8,14.8,Basic,0
1570105,368.3,403.4,60.1,Family,1
1570106,324.1,419.8,363.9,Family,1
1570107,244.6,447.3,254.8,Family,1
1570108,177.4,245.5,432.9,Premium,1
1570109,285.4,497.7,69.0,Family,1
1570110,95.6,297.5,312.2,Family,1
1570111,382.1,313.6,103.9,Premium,1
1570112,476.0,247.4,211.2,Premium,1
1570113,221.9,453.1,72.9,Basic,1
1570114,110.1,249.4,453.9,Premium,0
1570115,20.0,113.9,128.2,Basic,1
1570116,192.7,376.0,75.3,Family,0
1570117,124.6,393.1,210.4,Family,0
1570118,355.7,334.4,355.3,Basic,1
1570119,498.9,295.7,317.2,Basic,0
1570120,100.0,299.2,,Premium,1
1570121,495.0,370.7,409.1,Family,0
1570122,360.8,248.6,432.9,Family,1
1570123,250.1,176.1,168.8,Family,0
1570124,342.6,317.8,331.8,Family,1
1570125,248.9,218.8,136.7,Premium,0
1570126,129.8,259.1,329.9,Family,1
1570127,292.6,56.5,411.4,Basic,0
1570128,405.2,293.0,215.2,Family,1
1570129,41.9,170.3,193.5,Basic,0
1570130,365.7,285.3,452.9,Premium,1
1570131,274.0,274.1,279.9,Premium,1
1570132,370.5,494.2,430.7,Basic,0
1570133,293.5,456.6,385.1,Premium,1
1570134,349.6,335.2,288.9,Premium,1
1570135,401.9,367.3,119.6,Premium,1
1570136,390.5,92.5,128.9,Premium,0
1570137,87.2,43.0,456.7,Basic,0
1570138,84.0,80.8,279.5,Premium,1
1570139,266.0,139.8,367.1,Family,0
1570140,164.4,246.4,23.0,Basic,0
1570141,491.1,464.2,10.2,Family,0
1570142,36.1,192.5,,Family,0
1570143,22.5,218.5,79.9,Basic,1
1570144,406.5,421.7,116.9,Basic,1
1570145,379.4,357.7,396.8,Family,0
1570146,144.0,176.9,294.3,Family,0
1570147,320.4,270.2,51.2,Family,1
1570148,21.0,261.5,457.2,Basic,0
1570149,364.2,237.2,29.1,Family,1
1570150,449.4,172.1,118.2,Premium,1
1570151,297.8,480.2,175.0,Basic,1
1570152,309.4,410.6,460.4,Premium,1
1570153,328.6,243.3,86.6,Premium,1
1570154,110.1,64.0,396.9,Family,1
1570155,338.1,262.9,354.2,Basic,0
1570156,144.3,18.0,379.7,Premium,0
1570157,453.7,350.9,472.4,Family,0
1570158,400.6,43.1,63.4,Basic,0
1570159,303.2,300.2,282.2,Basic,1
1570160,415.0,155.6,495.0,Family,1
1570161,364.7,399.4,52.1,Family,0
1570162,428.0,429.5,467.1,Basic,0
1570163,446.9,127.6,290.2,Premium,0
1570164,190.4,394.1,174.0,Family,0
1570165,144.3,68.6,368.9,Family,1
1570166,380.5,442.7,329.7,Family,1
1570167,88.4,408.1,144.3,Family,1
1570168,327.2,126.3,422.4,Premium,0
1570169,18.8,255.3,326.4,Basic,1
1570170,298.2,187.7,118.9,Basic,0
1570171,28.5,452.0,178.8,Premium,1
1570172,55.0,457.2,142.7,Premium,1
1570173,291.3,52.3,268.8,Basic,0
1570174,467.2,464.7,210.4,Family,0
1570175,304.1,414.4,166.8,Family,0
1570176,354.1,176.9,305.2,Basic,0
1570177,135.9,324.1,262.5,Family,1
1570178,240.0,448.6,270.7,Family,0
1570179,179.8,133.5,448.5,Family,0
1570180,336.5,19.5,283.4,Basic,1
1570181,313.2,333.4,80.2,Family,1
1570182,438.9,440.8,393.9,Family,1
1570183,20.2,222.1,87.7,Premium,1
1570184,319.8,478.1,310.8,Premium,1
1570185,31.9,37.4,17.1,Family,0
1570186,427.5,499.2,356.4,Family,1
1570187,280.8,212.1,201.0,Basic,0
1570188,235.9,491.1,395.5,Basic,1
1570189,358.7,321.1,281.7,Family,0
1570190,340.8,317.9,24.1,Basic,1
1570191,221.1,81.7,274.8,Family,0
1570192,395.4,383.6,289.7,Basic,0
1570193,251.6,386.3,41.1,Family,0
1570194,452.5,154.7,157.0,Family,1
1570195,206.3,309.6,486.7,Basic,0
1570196,253.8,325.1,236.1,Basic,0
1570197,351.9,41.5,482.8,Family,0
1570198,75.7,416.7,349.7,Family,0
1570199,61.3,263.6,26.0,Family,1
1570200,447.3,276.6,454.9,Family,0
1570201,394.2,411.5,228.4,Family,1
1570202,419.9,458.8,499.2,Premium,0
1570203,490.5,16.6,415.3,Family,1
1570204,51.0,98.9,270.6,Basic,0
1570205,486.0,188.2,122.2,Premium,0
1570206,87.3,201.1,203.8,Premium,1
1570207,270.7,474.9,264.7,Basic,1
1570208,186.0,282.4,132.8,Premium,0
1570209,472.3,390.3,289.7,Basic,0
1570210,447.6,155.3,279.3,Family,1
