EmployeeID,ExpYears,Department,Gender,EducationLevel,Salary
1580001,57.2,Engineering,M,461.9,443.7
1580002,86.0,Sales,F,263.3,15.3
1580003,294.0,Sales,M,423.0,456.1
1580004,280.1,Sales,M,370.4,203.6
1580005,374.7,Support,M,363.7,88.5
1580006,412.3,Support,F,182.1,11.6
1580007,336.5,Engineering,F,179.2,453.2
1580008,360.9,Sales,F,137.5,380.4
1580009,20.3,Sales,F,36.2,247.4
1580010,184.5,Support,M,118.6,357.1
1580011,79.7,HR,M,116.5,212.0
1580012,477.7,Engineering,M,56.5,419.1
1580013,414.6,HR,F,255.9,300.7
1580014,125.4,HR,F,401.7,330.1
1580015,142.2,Sales,F,471.2,377.3
1580016,461.1,HR,F,427.8,497.4
1580017,153.3,Engineering,M,193.5,303.6
1580018,411.8,Engineering,F,69.4,232.0
1580019,433.3,HR,M,382.1,414.2
1580020,127.0,Sales,F,230.8,296.3
1580021,161.7,Support,M,278.2,442.7
1580022,478.0,HR,F,374.5,303.5
1580023,497.3,Sales,M,92.9,443.4
1580024,363.1,Sales,M,298.5,473.8
1580025,68.0,Sales,M,80.3,269.7
1580026,159.8,Support,F,42.4,155.2
1580027,481.4,HR,F,206.6,144.6
1580028,431.1,Sales,F,303.2,469.3
1580029,471.5,Engineering,M,156.4,422.6
1580030,323.5,Support,M,403.2,474.7
1580031,298.5,Support,F,498.4,442.0
1580032,411.4,HR,F,194.0,340.2
1580033,324.1,Engineering,M,324.7,113.0
1580034,449.0,Engineering,F,194.1,231.1
1580035,65.5,Sales,F,146.1,354.9
1580036,433.3,Engineering,F,445.9,150.6
1580037,130.5,HR,F,66.4,260.2
1580038,227.2,Engineering,M,323.5,204.6
1580039,326.5,Engineering,M,53.0,414.2
1580040,132.8,Sales,M,347.8,121.5
1580041,368.9,Engineering,F,223.5,431.5
1580042,191.6,HR,F,340.6,114.3
1580043,447.8,Sales,F,48.2,454.5
1580044,76.5,Sales,M,466.7,181.5
1580045,367.2,Support,F,176.0,487.1
1580046,273.7,Support,F,357.6,439.0
1580047,195.5,Engineering,M,268.3,44.6
1580048,393.6,Support,F,478.3,404.0
1580049,102.3,Engineering,F,362.1,191.1
1580050,159.1,Engineering,M,463.6,35.3
1580051,302.0,Support,F,441.9,29.1
1580052,109.9,Support,M,130.1,279.7
1580053,328.5,Sales,F,132.9,170.1
1580054,187.2,Support,M,18.2,123.7
1580055,389.3,Support,M,113.4,415.8
1580056,148.5,Support,F,426.7,232.4
1580057,209.9,Support,F,394.6,177.7
1580058,84.5,Support,F,65.6,457.9
1580059,241.6,HR,M,395.1,351.9
1580060,129.7,Sales,F,308.7,397.4
1580061,113.3,Support,M,224.9,263.5
1580062,304.8,Sales,M,137.0,202.8
1580063,473.9,Support,F,250.1,291.3
1580064,198.5,Support,F,295.1,211.6
1580065,238.3,HR,M,256.5,341.1
1580066,287.1,Sales,F,118.8,482.0
1580067,78.2,HR,F,137.5,383.7
1580068,103.3,HR,M,183.6,471.0
1580069,499.9,Engineering,M,324.4,377.3
1580070,419.5,Engineering,M,340.7,102.0
1580071,22.6,Engineering,M,461.2,239.3
1580072,398.8,Support,M,386.5,71.2
1580073,448.3,Engineering,M,474.2,441.3
1580074,253.3,Support,F,139.6,350.2
1580075,251.4,HR,M,174.1,445.4
1580076,256.7,HR,M,301.0,151.9
1580077,28.1,HR,M,72.4,389.7
1580078,76.8,Engineering,F,408.2,11.4
1580079,489.1,HR,F,379.7,321.3
1580080,33.2,Support,M,421.4,450.7
1580081,391.4,Support,F,160.5,380.2
1580082,395.1,HR,F,261.1,355.2
1580083,83.7,Support,M,76.6,272.0
1580084,151.6,Sales,F,284.5,469.6
1580085,431.4,HR,F,105.4,76.8
1580086,206.9,Sales,F,324.6,104.3
1580087,148.0,Sales,M,246.6,157.3
1580088,225.6,HR,M,398.1,83.2
1580089,318.6,Engineering,M,186.4,393.1
1580090,305.2,Sales,M,55.6,283.0
1580091,478.1,Engineering,M,37.7,422.2
1580092,245.1,Engineering,M,496.2,297.1
1580093,348.0,Support,F,105.1,198.4
1580094,106.0,HR,F,469.3,222.1
1580095,181.7,Sales,F,257.1,190.1
1580096,341.9,Support,F,65.7,455.8
1580097,308.0,Support,M,301.7,149.2
1580098,415.6,Engineering,F,163.3,365.0
1580099,393.1,HR,M,71.3,251.6
1580100,417.8,Sales,M,242.2,410.0
1580101,72.7,HR,F,23.3,182.0
1580102,221.7,Sales,M,217.8,96.1
1580103,170.6,Engineering,M,266.8,489.6
1580104,77.1,Support,M,344.4,202.0
1580105,254.1,Engineering,F,229.5,80.3
1580106,170.7,Engineering,M,295.3,336.8
1580107,308.6,HR,M,200.5,97.7
1580108,193.3,Support,M,107.1,484.1
1580109,110.5,Sales,F,234.3,260.3
1580110,483.8,Sales,M,113.0,450.6
1580111,410.6,Support,M,176.2,306.1
1580112,453.4,HR,M,472.1,436.0
1580113,433.0,Sales,M,198.7,233.6
1580114,71.4,Engineering,F,487.1,149.5
1580115,451.3,Sales,F,128.4,137.7
1580116,252.9,HR,M,204.4,479.1
1580117,370.8,Engineering,M,483.1,452.6
1580118,292.4,Engineering,F,380.5,334.5
1580119,196.8,HR,F,498.1,88.0
1580120,178.3,HR,F,425.3,213.0
1580121,223.0,HR,F,182.4,137.0
1580122,356.2,Support,M,357.9,118.3
1580123,451.9,Sales,M,445.2,90.0
1580124,494.2,Support,F,237.2,452.2
1580125,334.5,Support,M,191.0,269.8
1580126,315.8,HR,F,31.2,197.1
1580127,238.9,HR,F,48.9,300.3
1580128,50.1,Sales,M,23.6,183.2
1580129,178.4,Sales,F,373.0,363.2
1580130,457.1,Engineering,F,45.1,160.8
1580131,52.0,Sales,M,434.2,89.7
1580132,372.6,Sales,M,162.8,148.7
1580133,368.2,HR,F,278.6,125.8
1580134,163.6,HR,M,271.6,165.4
1580135,193.4,Sales,M,452.0,290.6
1580136,83.5,Engineering,F,364.8,26.6
1580137,37.6,HR,M,456.4,84.7
1580138,73.9,Sales,M,219.9,19.6
1580139,339.6,Support,F,350.6,169.9
1580140,302.7,HR,F,222.2,14.4
1580141,456.0,Support,M,41.0,136.6
1580142,157.9,Support,M,214.9,243.0
1580143,146.1,HR,F,181.9,244.8
1580144,382.1,HR,M,71.4,267.5
1580145,496.1,HR,M,115.3,313.6
1580146,273.8,HR,F,75.4,313.8
1580147,189.3,Engineering,F,319.7,289.8
1580148,127.0,Engineering,M,178.0,313.8
1580149,20.2,Sales,F,79.2,70.8
1580150,251.3,Engineering,M,21.2,268.9
1580151,136.4,Support,M,146.3,339.6
1580152,34.8,HR,F,329.3,489.7
1580153,95.7,HR,F,144.6,108.8
1580154,405.7,Support,M,442.1,285.1
1580155,492.7,Engineering,M,432.9,274.6
1580156,78.6,HR,F,183.1,187.5
1580157,287.7,Sales,F,283.3,289.1
1580158,138.4,HR,F,474.9,473.2
1580159,364.9,HR,M,441.2,233.9
1580160,186.5,Engineering,M,62.3,153.3
1580161,52.8,Support,M,354.3,167.2
1580162,220.4,Engineering,M,451.3,35.3
1580163,195.6,Engineering,M,231.0,190.8
1580164,301.9,HR,M,134.2,178.4
1580165,48.5,Engineering,F,239.4,430.0
1580166,263.7,Engineering,M,301.8,417.1
1580167,66.9,Engineering,F,427.0,195.7
1580168,294.6,Support,F,172.4,337.2
1580169,153.4,HR,F,158.8,456.5
1580170,418.1,Support,M,91.2,39.8
1580171,332.7,Sales,M,12.2,111.3
1580172,378.3,Sales,M,332.1,334.4
1580173,326.1,Support,M,442.8,227.4
1580174,446.0,Support,F,238.9,387.1
1580175,258.6,Sales,M,494.2,49.5
1580176,27.9,Sales,M,340.2,123.5
1580177,73.1,HR,M,125.0,28.5
1580178,154.0,Support,F,307.9,141.0
1580179,95.6,HR,F,189.5,472.6
1580180,397.7,Sales,M,253.1,487.5
1580181,101.7,HR,M,270.5,65.0
1580182,203.9,HR,M,23.0,167.5
1580183,296.5,Support,F,308.9,326.4
1580184,482.5,Engineering,F,167.7,16.9
1580185,220.0,Support,M,212.9,37.2
1580186,289.8,Sales,M,404.9,314.7
1580187,401.9,Support,M,333.2,470.1
1580188,82.9,Sales,M,418.5,415.3
1580189,435.6,HR,M,459.6,443.6
1580190,489.0,Support,F,481.1,191.8
1580191,253.3,Support,F,239.3,352.1
1580192,54.6,Sales,F,186.5,105.2
1580193,299.0,Engineering,M,434.5,446.9
1580194,381.7,HR,F,209.2,275.8
1580195,425.8,Support,F,51.6,286.3
1580196,209.5,HR,M,293.3,428.1
1580197,269.9,HR,M,143.8,301.6
1580198,382.0,Engineering,F,64.4,458.6
1580199,332.2,Support,M,113.0,11.9
1580200,341.5,HR,F,294.6,178.5
1580201,405.2,Sales,M,489.2,236.4
1580202,479.7,Support,M,100.6,487.2
1580203,76.1,HR,M,357.2,392.5
1580204,102.0,Engineering,F,374.6,58.5
1580205,452.9,Engineering,F,477.3,105.0
1580206,163.9,HR,F,86.5,53.8
1580207,215.3,Engineering,F,221.3,420.8
1580208,364.1,Engineering,M,255.3,54.4
1580209,256.5,Support,F,231.5,107.5
1580210,184.9,Engineering,F,26.8,466.5
1580211,156.3,Engineering,M,315.3,474.6
1580212,194.6,HR,M,170.3,491.1
1580213,414.7,Engineering,M,302.1,86.9
1580214,479.6,Sales,F,187.7,18.5
1580215,89.1,Sales,M,178.5,222.0
1580216,346.6,HR,F,335.3,407.6
1580217,187.8,Sales,F,368.3,308.3
1580218,453.2,Sales,F,188.4,196.8
1580219,262.9,Engineering,M,377.6,308.2
1580220,116.4,HR,M,30.5,135.4
1580221,258.2,Sales,F,426.3,379.4
1580222,351.5,Support,M,206.5,350.6
1580223,179.0,Engineering,M,152.0,379.8
1580224,70.2,HR,M,286.0,107.2
1580225,374.6,Engineering,F,55.3,164.5
1580226,372.2,Sales,M,123.0,245.1
1580227,49.6,HR,M,122.7,454.7
1580228,377.9,Engineering,F,56.5,194.8
1580229,398.6,Engineering,F,69.5,55.9
1580230,99.1,Engineering,F,30.5,435.6
1580231,229.6,Engineering,M,254.7,47.4
1580232,297.2,Sales,M,63.6,419.8
1580233,348.0,HR,M,394.8,245.4
1580234,261.8,Engineering,F,283.8,89.6
1580235,368.2,Sales,M,189.9,182.7
1580236,100.0,Support,M,36.5,436.8
1580237,274.6,Engineering,M,397.0,248.4
1580238,43.3,HR,M,486.8,84.2
1580239,51.1,Sales,F,129.7,399.7
1580240,209.5,Support,F,33.7,308.6
1580241,276.5,Support,F,94.6,353.3
1580242,74.7,Engineering,F,498.9,201.5
1580243,75.3,HR,M,235.6,428.6
1580244,358.8,Engineering,F,492.9,75.7
1580245,82.9,Sales,M,347.0,226.0
1580246,489.6,Engineering,M,175.1,74.6
1580247,380.1,HR,F,363.0,105.2
1580248,315.6,Sales,F,217.4,44.2
1580249,257.1,Sales,M,434.1,271.6
1580250,425.4,Engineering,F,75.5,32.8
1580251,64.0,HR,F,94.9,244.8
1580252,468.3,HR,M,268.1,207.0
1580253,145.4,Sales,F,331.0,335.0
1580254,259.8,Sales,M,90.1,414.6
1580255,423.4,Engineering,M,24.8,
1580256,95.7,Sales,F,188.7,70.3
1580257,138.8,Sales,F,171.7,412.7
1580258,240.0,Sales,M,373.0,255.8
1580259,13.7,Sales,F,380.3,61.1
1580260,201.4,Sales,M,481.6,216.0
1580261,120.0,Sales,F,164.8,60.8
1580262,347.3,HR,F,344.6,463.8
1580263,379.1,Sales,M,289.4,316.6
1580264,146.6,Sales,M,452.7,151.6
1580265,97.1,Sales,M,316.9,162.1
1580266,55.5,Support,F,212.5,465.6
1580267,478.6,Sales,M,402.1,
1580268,310.6,Engineering,M,442.2,199.3
1580269,13.3,HR,F,77.9,189.3
1580270,173.3,Sales,F,62.0,328.9
1580271,77.1,Engineering,F,485.2,244.0
1580272,454.2,Engineering,M,466.4,489.1
1580273,108.1,Sales,F,35.6,300.1
1580274,174.3,Sales,M,156.3,
1580275,115.9,HR,F,416.2,90.3
1580276,150.1,Sales,M,38.6,256.0
1580277,379.1,Sales,F,283.0,277.0
1580278,185.4,Engineering,M,358.0,
1580279,352.5,Support,M,128.0,476.6
1580280,85.0,Support,F,96.8,103.7
1580281,335.9,Support,F,16.3,25.7
1580282,182.6,Engineering,M,181.7,441.3
1580283,94.2,Engineering,F,184.7,162.8
1580284,248.6,Support,M,466.9,107.0
1580285,144.8,Sales,F,45.5,479.6
1580286,401.5,HR,F,184.6,445.6
1580287,483.9,Support,F,341.9,218.5
1580288,374.0,HR,F,22.7,180.5
1580289,18.4,Sales,F,481.5,47.1
1580290,184.1,Sales,F,203.6,390.5
1580291,280.1,HR,M,312.7,322.8
1580292,126.7,Engineering,F,301.4,64.2
1580293,305.9,HR,F,320.1,167.2
1580294,427.6,Support,M,199.0,335.6
1580295,353.3,Engineering,M,350.4,269.3
1580296,439.5,HR,M,211.6,428.5
1580297,460.7,Sales,F,295.1,432.1
1580298,435.6,HR,M,254.2,417.9
1580299,476.0,Engineering,M,326.2,30.0
1580300,318.5,Engineering,M,23.8,376.5
1580301,418.0,Sales,M,362.3,119.5
1580302,221.6,Support,M,41.0,482.2
1580303,232.9,HR,F,149.4,33.7
1580304,63.1,HR,F,232.2,341.7
1580305,280.5,Engineering,M,466.1,168.6
1580306,131.5,Engineering,F,130.7,346.5
1580307,295.1,Support,M,347.3,251.9
1580308,471.1,Sales,M,274.6,261.2
1580309,228.1,HR,M,94.2,32.4
1580310,291.1,Support,M,137.5,391.1
1580311,258.2,Support,M,234.1,326.7
1580312,405.1,Support,M,484.3,321.7
1580313,499.0,Engineering,M,328.1,138.1
1580314,120.1,Engineering,M,308.4,107.6
1580315,209.4,Engineering,M,129.1,202.3
1580316,55.9,Support,M,436.6,248.8
1580317,422.0,Sales,F,198.7,185.1
1580318,45.3,Sales,M,407.2,267.6
1580319,466.3,Engineering,M,234.3,354.0
1580320,54.7,Support,F,59.0,34.3
1580321,176.8,HR,F,417.6,175.3
1580322,235.6,Engineering,F,264.8,75.2
1580323,52.0,Support,F,393.0,134.8
1580324,94.3,HR,M,333.9,120.5
1580325,163.9,Support,F,201.6,375.7
1580326,296.8,Support,M,115.9,427.1
1580327,349.2,Engineering,F,443.6,111.6
1580328,497.6,HR,M,174.8,24.6
1580329,191.0,HR,M,26.6,43.0
1580330,98.6,Support,F,200.7,212.7
1580331,156.9,Support,F,149.9,128.4
1580332,131.1,Support,F,205.5,194.4
1580333,498.1,Support,F,451.1,221.2
1580334,18.7,Sales,M,370.7,232.5
1580335,455.2,Support,F,236.9,136.2
1580336,118.1,Support,M,110.0,394.0
1580337,227.3,HR,M,370.5,79.7
1580338,351.4,Sales,M,178.1,411.4
1580339,309.9,HR,M,338.1,154.2
1580340,117.7,Support,M,493.8,188.8
1580341,467.9,HR,F,430.3,323.4
1580342,131.7,Support,M,287.3,118.1
1580343,214.2,Support,M,74.5,138.1
1580344,337.1,Support,M,110.7,229.9
1580345,122.5,HR,M,125.1,382.2
1580346,343.2,Engineering,M,275.4,46.7
1580347,228.5,Engineering,M,106.9,104.6
1580348,72.0,Engineering,M,117.4,21.2
1580349,486.6,Sales,M,479.0,77.9
1580350,231.7,Support,F,251.4,273.7
1580351,480.3,HR,F,284.0,43.9
1580352,59.7,Engineering,F,18.0,339.1
1580353,307.9,Engineering,M,214.2,255.7
1580354,176.3,Engineering,M,343.5,339.5
1580355,233.7,Support,M,211.9,192.8
1580356,41.9,Support,M,139.0,355.6
1580357,487.1,Engineering,M,322.2,390.7
1580358,431.8,Support,M,432.3,37.6
1580359,321.2,Support,M,425.6,430.6
1580360,429.1,HR,F,294.2,354.4
1580361,462.8,Engineering,M,113.7,277.1
1580362,369.8,Sales,M,230.5,184.9
1580363,268.6,Support,M,222.4,57.9
1580364,23.7,Engineering,F,364.3,87.8
1580365,473.0,Engineering,F,202.3,256.5
1580366,279.3,Sales,F,201.2,362.4
1580367,108.4,Sales,M,132.3,417.1
1580368,460.2,Support,M,253.5,212.2
1580369,469.8,Sales,F,293.8,225.4
1580370,449.0,Support,M,149.2,243.1
1580371,434.0,HR,F,318.3,493.4
1580372,64.0,Support,F,491.8,475.2
1580373,183.7,Support,F,338.0,375.5
1580374,10.7,Engineering,M,336.2,397.1
1580375,122.5,Engineering,F,305.6,41.5
1580376,132.8,Sales,M,395.8,421.6
1580377,386.4,HR,F,134.7,103.3
1580378,295.0,Sales,F,302.7,276.7
1580379,231.3,Support,M,305.7,
1580380,247.0,Support,M,181.4,154.3
1580381,496.9,Sales,F,233.0,303.1
1580382,486.2,HR,F,192.3,482.2
1580383,23.1,Engineering,M,424.5,499.4
1580384,437.4,HR,F,151.5,25.6
1580385,415.7,Engineering,F,157.1,464.1
1580386,17.8,Support,M,385.7,434.3
1580387,99.2,Sales,F,313.8,216.6
1580388,488.6,HR,F,265.7,408.2
1580389,200.8,Engineering,M,318.5,430.9
1580390,134.7,Support,M,348.4,478.1
1580391,148.8,Support,M,290.8,387.9
1580392,351.2,Sales,M,154.1,392.9
1580393,373.0,HR,M,368.9,392.7
1580394,342.1,HR,M,82.8,66.3
1580395,224.7,Engineering,F,316.9,183.7
1580396,211.1,Engineering,F,439.3,270.7
1580397,429.4,Sales,F,317.5,42.2
1580398,426.1,Sales,M,349.2,267.9
1580399,218.8,Engineering,F,90.4,145.4
1580400,231.4,Support,M,398.5,297.8
1580401,498.3,HR,F,492.7,181.0
1580402,180.1,Sales,F,136.5,206.0
1580403,265.4,Support,M,106.7,385.9
1580404,467.6,Engineering,F,474.1,437.4
1580405,398.5,Engineering,M,352.9,439.8
1580406,133.5,Support,M,371.4,123.8
1580407,491.1,Sales,F,287.3,358.3
1580408,330.2,Support,M,165.3,161.9
1580409,239.7,Sales,M,323.0,307.9
1580410,352.8,HR,M,416.5,359.3
1580411,431.3,Support,F,39.3,269.7
1580412,228.6,HR,F,354.7,187.8
1580413,236.7,Sales,F,482.5,282.0
1580414,296.6,HR,M,416.3,285.9
1580415,369.0,Support,M,108.0,303.4
1580416,290.9,Engineering,F,374.8,169.7
1580417,293.9,Sales,M,140.4,19.7
1580418,393.8,Engineering,F,326.8,379.6
1580419,398.4,Sales,M,182.3,426.3
1580420,133.9,Support,M,349.9,118.0
1580421,459.8,Engineering,M,438.7,336.2
1580422,487.6,Engineering,F,182.5,455.3
1580423,241.5,Support,F,449.4,308.7
1580424,229.0,Support,M,494.0,135.1
1580425,441.5,Engineering,F,75.3,400.6
1580426,335.8,HR,M,79.6,433.5
1580427,378.1,Support,M,457.0,312.9
1580428,486.7,Sales,M,423.5,26.4
1580429,339.8,HR,F,381.3,152.6
1580430,404.9,Sales,M,447.1,16.8
1580431,331.2,Engineering,F,481.5,222.4
1580432,95.6,Support,M,486.1,359.8
1580433,44.4,Sales,M,139.1,222.3
1580434,398.4,HR,M,137.6,143.1
1580435,494.8,Sales,F,226.7,411.1
1580436,465.3,HR,M,392.1,207.3
1580437,482.6,Support,M,151.7,120.9
1580438,332.4,Sales,M,154.7,
1580439,114.0,Engineering,M,248.2,428.3
1580440,118.0,Sales,F,283.6,310.5
1580441,204.4,Sales,F,355.8,458.2
1580442,412.8,Engineering,F,440.2,402.6
1580443,337.1,HR,F,101.8,386.0
1580444,214.2,Support,M,86.5,319.6
1580445,187.7,HR,M,365.0,432.0
1580446,49.5,Support,M,72.4,168.1
1580447,423.9,Support,M,177.4,301.2
1580448,351.7,Engineering,F,231.4,378.0
1580449,195.4,Engineering,M,314.5,161.0
1580450,421.6,Support,M,405.5,388.6
1580451,259.3,HR,F,257.9,13.1
1580452,13.6,Engineering,M,426.3,498.7
1580453,151.0,Support,F,346.6,64.6
1580454,291.6,HR,F,277.3,189.3
1580455,244.3,Support,F,204.5,340.6
1580456,83.5,Engineering,M,224.2,234.3
1580457,383.7,HR,M,270.7,103.4
1580458,366.0,HR,F,396.6,180.5
1580459,422.8,Sales,M,175.1,45.3
