SectorID,TreeCanopyCoverage_Percent,AlbedoValue,SurfaceTempCelsius,PopulationDensity,HeatIslandSeverity
1590001,35.9,67398.0,138.7,84.0,104.3
1590002,53.7,78526.0,82.4,94.3,69.6
1590003,43.6,100140.0,165.1,130.3,141.2
1590004,26.8,64868.0,63.2,74.4,71.8
1590005,59.1,70712.0,98.7,99.2,77.8
1590006,26.3,43536.0,112.9,90.9,84.9
1590007,52.4,52079.0,80.1,55.6,145.9
1590008,50.6,69580.0,141.8,135.7,78.6
1590009,46.8,,182.5,48.2,145.4
1590010,52.1,61371.0,119.9,103.9,83.2
1590011,30.7,93158.0,97.6,100.2,73.4
1590012,31.7,63845.0,126.6,115.9,49.1
1590013,26.8,66563.0,150.3,138.2,166.0
1590014,25.7,61467.0,148.3,105.2,147.1
1590015,52.7,58342.0,134.7,102.8,139.9
1590016,84.7,15000.0,110.6,130.0,104.2
1590017,34.0,72803.0,92.8,93.7,110.8
1590018,33.0,50639.0,148.4,137.9,76.2
1590019,12.5,60648.0,161.1,75.9,141.2
1590020,29.7,42480.0,123.5,83.4,74.3
1590021,43.9,45905.0,119.0,148.5,91.8
1590022,54.3,64600.0,148.4,100.2,66.5
1590023,61.0,65774.0,135.6,111.5,86.2
1590024,35.9,82161.0,150.5,70.6,90.3
1590025,34.4,50458.0,133.2,102.3,102.3
1590026,42.4,67374.0,71.7,71.0,111.5
1590027,20.4,97293.0,99.6,111.7,106.8
1590028,55.0,60384.0,80.3,125.0,91.4
1590029,42.6,73969.0,90.1,101.0,107.2
1590030,56.5,55945.0,130.4,142.8,122.5
1590031,56.7,70694.0,103.6,123.1,96.8
1590032,63.7,27467.0,187.0,65.5,78.5
1590033,53.6,98652.0,119.7,106.9,99.7
1590034,22.6,64277.0,141.8,115.7,82.5
1590035,18.3,75110.0,99.3,131.7,82.0
1590036,43.5,75761.0,143.6,135.0,88.2
1590037,38.9,67112.0,164.6,126.8,105.3
1590038,22.5,79440.0,93.7,97.4,118.7
1590039,35.1,89118.0,147.4,85.4,110.2
1590040,37.6,52686.0,119.8,70.4,76.8
1590041,57.2,76191.0,149.9,111.1,97.6
1590042,51.2,57981.0,91.8,94.1,138.0
1590043,51.3,49415.0,100.0,143.7,55.5
1590044,79.9,50342.0,115.8,98.2,106.9
1590045,38.1,53414.0,117.3,116.3,102.8
1590046,47.7,57023.0,51.1,129.1,70.1
1590047,22.6,82484.0,82.4,60.4,68.8
1590048,71.9,70292.0,113.3,120.8,83.1
1590049,19.4,77701.0,116.6,112.4,83.9
1590050,32.7,59657.0,52.9,52.9,120.8
1590051,33.5,44633.0,100.5,114.1,64.6
1590052,55.5,60636.0,109.2,79.2,120.5
1590053,86.5,72943.0,120.6,78.4,114.9
1590054,73.5,62278.0,72.9,140.6,110.1
1590055,76.3,65987.0,109.0,106.0,141.7
1590056,63.2,53342.0,98.7,106.0,127.9
1590057,68.4,58558.0,101.1,85.9,150.4
1590058,28.2,75271.0,83.0,86.9,95.7
1590059,39.7,74434.0,85.8,101.6,81.5
1590060,41.3,55553.0,55.1,90.8,101.7
1590061,22.6,78874.0,150.1,91.9,118.3
1590062,36.4,58079.0,127.7,100.9,92.6
1590063,15.5,45959.0,60.5,57.3,104.4
1590064,31.8,86914.0,94.5,105.7,98.7
1590065,31.2,71667.0,110.9,79.9,47.6
1590066,40.6,75072.0,117.5,78.4,105.2
1590067,30.8,56509.0,108.7,108.1,55.9
1590068,40.6,56399.0,78.3,64.7,89.8
1590069,53.1,45701.0,90.5,66.6,127.4
1590070,68.1,98474.0,139.9,114.7,87.1
1590071,42.2,88371.0,131.7,112.5,120.5
1590072,48.1,58742.0,135.0,63.4,35.5
1590073,42.0,78695.0,115.1,62.3,115.1
1590074,50.7,32793.0,95.6,146.6,77.4
1590075,38.9,58755.0,122.8,126.4,95.3
1590076,56.6,77381.0,123.8,99.8,68.4
1590077,51.1,53987.0,139.5,105.5,126.4
1590078,24.4,61136.0,74.4,143.8,83.6
1590079,75.4,65099.0,121.4,97.7,64.4
1590080,45.8,32469.0,101.7,119.1,105.8
1590081,63.2,61218.0,96.4,121.0,101.0
1590082,74.5,78466.0,107.4,122.4,67.2
1590083,23.5,34984.0,148.6,85.8,129.6
1590084,64.0,58184.0,100.9,87.6,123.3
