TrackID,TempoBPM,SimilarityScore_Percent,SkipCount,UserHistoryOverlap,PlaylistCompleted
1650001,132.2,46.7,84.0,75.3,97.5
1650002,154.3,72.7,80.8,109.3,64.6
1650003,112.0,48.5,106.4,98.7,86.0
1650004,134.6,38.4,90.7,58.2,167.2
1650005,101.3,76.9,100.2,108.2,101.3
1650006,141.5,71.0,93.4,119.6,74.3
1650007,130.1,59.2,103.1,153.5,72.5
1650008,144.9,26.8,91.7,130.7,105.2
1650009,99.8,43.4,92.7,115.1,105.6
1650010,136.4,50.9,49.4,142.9,140.5
1650011,87.1,52.3,96.6,91.7,97.3
1650012,135.6,31.9,94.6,78.3,117.4
1650013,148.3,47.9,113.8,49.0,80.4
1650014,144.8,58.4,108.6,98.8,100.0
1650015,79.9,46.2,122.0,78.4,125.0
1650016,164.7,51.4,115.7,59.2,99.4
1650017,91.4,50.9,94.5,99.0,75.7
1650018,113.5,9.9,93.4,135.2,67.4
1650019,102.1,65.3,115.0,117.3,85.7
1650020,79.7,41.0,100.1,112.4,77.2
1650021,100.9,23.8,106.6,116.2,128.7
1650022,126.6,37.6,153.1,136.3,45.6
1650023,107.0,69.6,132.9,57.0,121.7
1650024,77.7,63.7,116.8,98.6,103.2
1650025,157.7,43.1,100.0,95.2,69.5
1650026,49.9,47.3,152.0,104.4,102.8
1650027,114.0,44.2,100.0,88.0,123.0
1650028,105.7,45.0,92.5,93.2,86.2
1650029,91.6,29.9,83.5,100.2,87.0
1650030,100.5,84.3,113.0,96.3,96.8
1650031,131.1,53.4,80.5,53.6,122.7
1650032,79.9,26.8,96.1,122.1,98.2
1650033,124.8,49.4,123.8,70.3,102.0
1650034,121.8,44.0,95.8,97.0,85.6
1650035,107.5,31.4,52.8,106.4,110.8
1650036,80.9,,111.0,93.1,87.8
1650037,125.9,35.9,53.1,147.5,72.1
1650038,118.8,40.1,103.7,79.5,88.2
1650039,144.9,52.8,129.9,77.0,81.8
1650040,76.3,52.7,101.5,58.8,74.5
1650041,95.3,31.6,115.1,110.7,96.6
