SessionID,FOV_Degrees,FrameDropRate_Percent,SicknessScore,PlayDurationMinutes,AbortedSession
1660001,121.8,44.4,5.1,48.6,112.6
1660002,86.5,55.0,5.4,45.9,87.6
1660003,111.4,56.4,5.2,20.4,129.3
1660004,133.8,45.5,7.0,51.4,70.3
1660005,140.1,57.5,6.1,26.7,78.7
1660006,119.8,40.9,8.8,34.0,101.2
1660007,57.3,42.6,5.0,60.4,117.6
1660008,97.3,33.6,5.9,33.1,102.1
1660009,97.2,51.9,7.5,51.4,129.6
1660010,76.5,34.4,3.6,21.8,89.2
1660011,114.3,69.4,9.0,30.7,87.8
1660012,85.0,44.9,5.9,27.3,83.7
1660013,126.4,43.4,6.0,37.4,59.8
1660014,87.1,47.8,5.6,38.2,92.0
1660015,81.6,67.4,7.8,50.5,90.7
1660016,78.2,62.3,7.0,70.2,132.1
1660017,112.6,45.0,7.4,34.9,98.9
1660018,117.7,42.3,7.1,14.9,130.7
1660019,60.2,36.6,6.8,53.2,69.8
1660020,89.1,38.2,5.6,46.0,113.9
1660021,76.6,29.9,9.8,42.6,98.0
1660022,98.2,51.4,7.3,40.9,107.3
1660023,106.7,50.0,8.3,32.0,110.0
1660024,51.0,68.4,6.8,18.3,138.4
1660025,105.4,22.4,6.9,33.1,85.1
1660026,40.8,40.5,7.7,41.8,115.4
1660027,90.5,34.8,7.9,83.3,96.5
1660028,85.9,57.0,6.9,47.5,76.6
1660029,130.6,58.1,7.2,61.6,127.1
1660030,95.9,31.3,6.0,40.6,66.1
1660031,132.5,54.6,8.2,78.7,58.9
1660032,122.9,37.7,5.7,30.0,93.4
1660033,63.0,53.7,7.8,64.2,77.7
1660034,105.5,40.6,6.1,37.7,142.4
1660035,67.1,46.2,7.9,60.5,113.0
1660036,80.7,50.4,5.3,22.9,98.1
1660037,125.0,28.4,6.5,23.2,87.9
1660038,124.1,44.5,7.0,25.7,91.4
1660039,60.0,38.8,7.6,40.6,75.0
1660040,115.7,64.3,5.5,64.2,78.0
1660041,90.6,52.1,9.3,66.1,105.1
1660042,83.4,29.9,6.3,38.4,115.0
1660043,113.7,53.7,3.9,48.2,130.6
1660044,107.5,52.5,9.7,24.5,105.3
1660045,122.4,62.0,9.7,39.9,102.9
1660046,70.6,43.6,8.0,38.2,109.3
1660047,83.4,47.6,7.2,34.1,129.0
1660048,50.1,61.1,10.0,51.2,87.4
1660049,94.0,58.5,8.7,57.3,136.9
1660050,119.7,47.3,7.3,56.2,105.7
1660051,104.2,48.5,8.6,52.2,144.9
1660052,120.7,35.3,6.0,27.7,89.0
1660053,133.7,32.2,7.9,61.5,92.2
1660054,76.8,36.6,9.9,44.0,81.3
1660055,111.7,26.8,8.3,42.8,116.6
1660056,94.7,32.5,6.7,55.3,111.3
1660057,87.7,46.8,7.2,36.4,86.3
1660058,123.1,55.0,7.5,41.8,125.0
1660059,124.7,53.6,6.5,54.0,47.1
1660060,67.6,69.6,7.2,46.0,108.9
1660061,91.9,58.4,6.7,43.5,100.6
1660062,118.6,44.4,7.9,17.8,128.4
