CommentID,ToxicityScore_Percent,ReportCount,ModeratorIntervened,CommentLengthChars,UserWarningIssued
1670001,25.6,83.5,1,142.6,1
1670002,32.0,99.6,1,132.8,0
1670003,64.7,72.1,0,136.1,1
1670004,45.0,63.6,0,77.0,0
1670005,52.6,122.0,0,70.8,1
1670006,58.9,128.4,1,92.0,1
1670007,,74.2,0,113.3,0
1670008,52.6,96.7,0,88.3,1
1670009,12.5,79.3,0,33.9,1
1670010,11.7,106.7,0,106.3,0
1670011,38.3,112.0,0,105.4,1
1670012,60.8,109.2,0,64.9,0
1670013,65.0,85.4,0,146.5,1
1670014,32.0,88.8,0,108.5,1
1670015,38.0,75.7,0,76.9,0
1670016,47.2,106.5,0,79.8,0
1670017,89.6,121.8,1,110.7,0
1670018,28.1,33.1,0,76.8,1
1670019,18.8,121.4,1,128.4,1
1670020,43.6,85.3,0,101.4,1
1670021,,89.5,0,72.0,0
1670022,29.3,100.8,0,114.4,0
1670023,63.8,158.5,0,100.5,1
1670024,76.8,130.5,0,76.9,0
1670025,25.9,122.3,0,85.1,1
1670026,62.4,125.7,1,107.0,1
1670027,66.5,185.7,1,72.3,1
1670028,32.7,81.4,0,111.8,0
1670029,60.6,135.4,0,122.1,1
1670030,54.7,93.9,0,65.3,1
1670031,66.3,95.0,0,122.1,1
1670032,54.4,73.1,1,113.3,0
1670033,27.2,97.8,1,127.3,0
1670034,31.5,65.2,0,100.5,0
1670035,56.9,152.5,0,53.4,1
1670036,30.8,91.7,0,70.5,0
1670037,35.5,79.3,1,79.6,0
1670038,28.9,107.5,0,96.2,1
1670039,58.0,84.8,0,97.7,0
1670040,47.9,111.9,0,135.1,0
1670041,47.3,104.9,1,72.6,0
1670042,27.9,67.6,0,85.0,0
1670043,46.9,80.3,0,114.7,1
1670044,39.4,108.2,0,164.5,1
1670045,49.0,86.4,0,101.9,1
1670046,56.0,68.1,0,118.5,1
1670047,16.5,112.3,0,91.1,0
1670048,36.7,99.0,0,138.9,1
1670049,64.5,95.5,0,66.5,0
1670050,53.8,154.7,0,121.5,0
1670051,54.3,100.0,0,50.7,1
1670052,46.4,102.0,0,77.9,1
1670053,57.1,54.3,1,132.2,1
1670054,26.9,40.2,0,80.6,1
1670055,49.8,87.4,0,108.0,1
1670056,44.0,76.3,0,132.2,1
1670057,57.1,68.5,0,87.0,1
1670058,39.7,80.7,0,76.3,0
1670059,15.6,137.6,0,95.5,0
1670060,32.7,94.8,1,84.8,1
1670061,16.1,109.4,0,104.5,0
1670062,36.0,107.7,0,87.2,1
1670063,42.2,112.3,0,113.6,1
1670064,36.4,133.6,0,132.7,1
1670065,54.7,102.8,0,87.7,0
1670066,31.4,86.4,0,80.5,0
1670067,25.1,73.3,0,108.5,0
1670068,8.6,84.8,0,67.7,1
1670069,28.0,53.1,0,94.2,0
1670070,29.3,68.3,0,109.4,1
1670071,57.1,105.2,0,173.5,1
1670072,49.4,69.9,0,50.5,1
1670073,71.6,80.7,1,109.7,1
1670074,56.0,93.5,0,75.5,1
1670075,60.7,48.6,0,87.6,0
1670076,34.9,74.7,1,123.7,1
1670077,56.0,120.1,0,98.9,1
1670078,58.8,117.2,0,86.0,1
1670079,46.1,111.5,0,99.1,0
1670080,61.9,120.6,0,87.4,1
1670081,42.4,115.3,0,77.2,1
1670082,62.5,56.6,1,148.2,0
1670083,71.5,86.6,0,154.3,0
1670084,51.1,86.5,1,115.6,1
1670085,60.5,152.6,1,85.0,0
1670086,63.4,135.1,0,127.4,0
1670087,35.4,142.4,1,109.3,0
1670088,33.3,108.1,0,105.5,1
1670089,38.7,71.6,1,112.9,0
1670090,35.0,51.3,0,74.0,0
1670091,54.5,85.8,1,110.8,1
1670092,43.1,112.3,1,98.3,0
1670093,32.5,73.8,0,110.2,0
1670094,61.2,120.1,0,103.9,1
1670095,44.3,96.7,0,65.8,1
1670096,32.0,133.9,0,102.1,0
1670097,26.3,140.0,0,88.3,0
1670098,43.2,84.0,0,64.1,1
1670099,27.0,65.6,0,86.8,0
1670100,43.6,80.8,0,116.1,1
1670101,60.6,92.4,0,85.2,0
1670102,44.2,82.7,0,151.5,0
1670103,28.9,75.1,0,109.1,1
1670104,22.2,122.2,1,100.7,1
1670105,59.0,120.5,0,131.4,1
1670106,55.9,124.1,0,135.2,0
1670107,40.9,124.6,0,84.6,0
1670108,30.3,74.7,0,72.0,1
1670109,31.4,35.6,1,104.9,1
1670110,59.0,91.0,1,97.4,0
1670111,17.3,116.7,0,95.6,0
1670112,20.0,62.3,0,88.1,0
1670113,55.8,94.0,0,119.0,0
1670114,53.7,126.2,0,88.0,1
1670115,34.3,76.4,0,42.4,0
1670116,52.4,103.0,0,104.6,1
1670117,38.5,81.2,0,88.4,0
1670118,43.5,109.3,0,127.3,0
1670119,19.4,57.0,0,116.9,1
1670120,33.7,128.4,0,89.9,0
1670121,20.1,116.9,0,92.1,1
1670122,63.4,121.5,0,90.1,1
1670123,33.6,91.1,0,120.5,0
1670124,50.9,81.4,1,73.3,0
1670125,44.3,99.4,0,90.8,1
1670126,45.4,122.4,0,113.5,1
1670127,47.7,119.9,1,101.3,0
1670128,27.9,92.2,0,62.3,0
1670129,56.0,145.3,0,43.2,1
1670130,46.8,111.0,0,86.6,1
1670131,29.5,75.6,0,80.2,1
1670132,40.4,101.8,0,157.6,0
1670133,35.3,78.2,0,119.0,1
1670134,37.0,87.7,1,88.2,1
1670135,30.5,138.5,0,82.8,0
