ReaderID,PageDensityWords,ReadingSpeed_WPM,BookmarkDropChapter,TotalReadTimeMinutes,Finished
1680001,49.0,14.3,17.3,49.1,1
1680002,77.0,18.3,0.9,40.0,0
1680003,31.0,16.6,7.3,37.0,1
1680004,25.0,12.5,22.6,53.4,1
1680005,48.0,4.5,2.9,52.3,1
1680006,56.0,1.0,1.8,42.5,1
1680007,43.0,7.4,8.8,53.7,1
1680008,66.0,16.1,15.2,40.0,0
1680009,62.0,11.6,0.8,32.8,0
1680010,34.0,12.7,2.4,46.6,0
1680011,21.0,20.2,3.8,40.2,0
1680012,75.0,16.6,0.7,33.0,0
1680013,38.0,7.9,5.9,38.5,0
1680014,61.0,11.2,14.9,42.3,1
1680015,33.0,8.9,0.3,41.6,1
1680016,25.0,3.8,4.2,44.7,0
1680017,24.0,7.0,0.2,64.0,0
1680018,40.0,17.7,25.5,39.5,1
1680019,41.0,12.5,1.1,65.7,1
1680020,44.0,6.7,12.4,22.1,0
1680021,38.0,6.8,2.6,26.0,0
1680022,46.0,11.4,1.8,22.4,0
1680023,25.0,16.1,14.3,45.0,0
1680024,59.0,20.1,3.1,59.2,0
1680025,20.0,17.0,12.2,40.4,1
1680026,41.0,8.1,6.7,67.4,1
1680027,36.0,16.6,0.6,50.9,1
1680028,42.0,16.5,37.9,21.7,1
1680029,11.0,3.9,1.1,57.8,1
1680030,32.0,16.1,22.4,28.6,0
1680031,26.0,4.0,11.1,66.8,1
1680032,67.0,15.5,11.5,51.7,1
1680033,62.0,8.5,3.8,75.2,1
1680034,26.0,20.8,5.8,32.1,0
1680035,52.0,6.0,1.0,42.9,1
1680036,36.0,11.3,19.1,50.0,1
1680037,51.0,16.3,3.0,14.6,0
1680038,40.0,16.0,5.4,42.7,0
1680039,40.0,11.7,16.7,20.2,0
1680040,42.0,10.5,3.0,63.4,1
1680041,46.0,13.6,14.1,50.5,0
1680042,58.0,7.6,13.8,55.4,1
1680043,35.0,11.9,16.8,68.2,0
1680044,63.0,10.6,2.8,11.7,0
1680045,53.0,11.4,3.2,12.8,0
1680046,23.0,5.1,2.2,41.4,1
1680047,56.0,12.3,20.1,41.2,0
1680048,31.0,7.1,40.5,59.6,1
1680049,36.0,20.2,10.0,34.7,0
1680050,42.0,8.6,12.4,42.9,1
1680051,59.0,17.4,12.2,38.2,1
1680052,46.0,10.0,5.0,21.6,0
1680053,46.0,13.1,7.1,24.6,0
1680054,66.0,9.9,3.2,27.3,1
1680055,24.0,13.2,10.1,33.3,0
1680056,36.0,16.7,23.7,55.8,0
1680057,28.0,14.9,18.4,44.5,1
1680058,46.0,20.2,3.2,25.4,0
1680059,64.0,11.6,26.1,34.9,0
1680060,45.0,7.1,1.3,73.0,1
1680061,51.0,6.5,33.3,62.7,0
1680062,63.0,10.8,1.4,45.1,1
1680063,18.0,7.8,7.9,63.4,1
1680064,39.0,7.6,0.8,64.6,0
1680065,67.0,13.7,9.6,47.9,1
1680066,43.0,4.5,26.4,45.1,0
1680067,12.0,13.5,0.8,38.0,0
1680068,18.0,8.7,1.0,48.1,1
1680069,57.0,11.9,6.5,25.4,0
1680070,58.0,13.2,6.1,25.8,0
1680071,41.0,12.1,4.5,93.7,1
1680072,24.0,20.0,3.5,62.8,1
1680073,69.0,9.8,1.5,27.2,1
1680074,38.0,18.3,0.9,38.8,0
1680075,50.0,16.3,7.1,21.9,0
1680076,31.0,,16.5,42.4,0
1680077,53.0,4.7,1.7,30.8,1
1680078,28.0,18.3,4.3,29.8,1
1680079,41.0,13.5,8.6,37.1,0
1680080,44.0,11.2,1.0,17.3,0
1680081,39.0,12.4,0.6,30.1,0
1680082,26.0,11.2,22.0,51.9,1
1680083,43.0,9.2,5.6,60.5,0
1680084,68.0,13.0,15.4,35.6,0
1680085,40.0,18.4,10.4,18.4,1
1680086,55.0,13.1,0.8,40.0,0
1680087,32.0,11.1,5.7,49.6,1
1680088,47.0,10.8,5.6,34.6,0
1680089,52.0,12.2,2.7,65.9,1
1680090,31.0,10.8,5.9,41.4,1
1680091,39.0,16.9,0.1,30.0,1
1680092,51.0,8.4,6.4,52.2,1
1680093,31.0,13.0,1.8,33.5,0
1680094,43.0,4.0,17.8,47.2,1
1680095,61.0,,3.9,49.1,1
1680096,41.0,7.4,8.0,42.7,1
1680097,51.0,8.8,7.7,37.0,1
1680098,52.0,23.7,0.9,60.4,1
1680099,41.0,4.3,2.6,70.5,1
1680100,40.0,8.3,0.1,29.5,0
1680101,22.0,16.4,7.9,60.0,0
1680102,48.0,9.5,0.1,8.6,0
1680103,46.0,21.5,3.4,33.3,0
1680104,34.0,13.8,18.1,61.9,1
1680105,27.0,9.4,2.3,46.1,1
1680106,44.0,9.8,10.6,52.2,1
1680107,46.0,20.1,7.1,65.7,0
1680108,11.0,12.8,4.7,52.4,0
1680109,29.0,14.3,27.2,21.4,0
1680110,54.0,7.3,13.9,59.2,0
1680111,67.0,6.5,1.7,33.1,0
1680112,59.0,7.1,12.8,39.7,1
1680113,50.0,14.3,13.7,44.5,1
1680114,68.0,12.7,1.5,36.7,1
1680115,48.0,8.4,4.7,48.1,0
1680116,35.0,15.2,14.3,49.0,1
1680117,23.0,19.1,18.8,78.3,1
1680118,36.0,17.2,5.9,29.8,1
1680119,43.0,12.5,1.1,70.0,1
1680120,42.0,8.6,14.7,49.9,0
1680121,25.0,15.0,6.0,55.4,0
1680122,50.0,11.7,6.8,54.7,1
1680123,44.0,26.6,6.0,57.4,0
1680124,50.0,7.3,7.1,30.3,0
1680125,25.0,19.3,7.8,68.8,0
1680126,37.0,14.9,7.1,46.8,0
1680127,52.0,17.5,5.1,61.5,1
1680128,49.0,16.2,6.7,59.1,1
1680129,35.0,10.6,13.2,46.6,1
1680130,18.0,7.4,7.8,15.9,0
1680131,47.0,6.1,0.5,39.6,1
1680132,22.0,22.4,28.0,69.8,1
1680133,44.0,14.0,15.3,40.3,1
1680134,47.0,7.0,3.2,31.4,1
1680135,24.0,4.6,17.0,51.8,1
1680136,27.0,13.8,0.8,52.5,1
1680137,50.0,10.4,7.8,58.0,1
1680138,57.0,11.7,17.5,35.1,1
1680139,34.0,8.4,3.4,48.7,1
1680140,25.0,11.5,2.3,38.5,1
1680141,30.0,8.8,12.8,39.4,1
1680142,76.0,10.3,7.0,46.9,1
1680143,43.0,5.6,8.9,40.6,1
1680144,50.0,9.2,3.0,50.7,1
1680145,3.0,11.0,5.7,36.9,0
1680146,37.0,6.4,0.3,44.8,0
1680147,48.0,9.5,4.6,47.9,1
1680148,39.0,9.8,11.3,23.7,0
1680149,54.0,11.2,8.4,54.8,0
1680150,60.0,13.9,2.0,31.4,1
1680151,38.0,8.3,4.5,43.3,1
1680152,48.0,18.1,0.5,32.5,0
1680153,58.0,18.0,0.6,50.6,1
1680154,61.0,9.6,4.8,54.4,0
1680155,22.0,10.7,4.6,34.3,0
1680156,31.0,9.4,6.7,31.0,0
1680157,59.0,6.0,31.9,59.2,1
1680158,44.0,17.2,5.7,31.7,0
1680159,74.0,7.8,2.1,45.1,0
1680160,18.0,18.3,30.5,50.1,0
1680161,30.0,6.9,2.9,55.4,1
1680162,46.0,14.3,11.6,29.7,0
1680163,65.0,6.2,6.2,37.7,0
1680164,65.0,5.6,8.1,33.4,1
1680165,50.0,11.8,6.3,24.3,0
1680166,68.0,7.2,0.3,30.6,0
1680167,53.0,3.9,9.3,35.1,1
1680168,34.0,8.9,11.6,42.1,0
1680169,33.0,14.1,17.1,40.4,0
1680170,55.0,10.7,0.1,60.4,0
1680171,29.0,12.3,19.1,45.0,1
1680172,46.0,13.3,4.9,19.9,0
1680173,24.0,2.9,6.7,49.3,0
1680174,42.0,7.9,5.5,56.5,0
1680175,50.0,9.9,1.6,82.9,1
1680176,40.0,15.9,2.5,17.0,0
1680177,35.0,12.6,5.6,26.7,1
1680178,34.0,12.3,11.3,13.1,0
1680179,40.0,9.1,2.1,36.7,0
1680180,52.0,7.0,1.9,35.7,0
1680181,56.0,5.7,6.7,63.3,1
1680182,46.0,29.2,3.2,60.9,1
1680183,41.0,10.1,7.3,40.7,0
1680184,30.0,21.0,10.3,23.6,0
1680185,37.0,4.6,19.3,28.4,0
1680186,74.0,6.0,5.6,50.3,1
1680187,35.0,10.2,16.4,24.8,0
1680188,57.0,,17.6,53.3,1
1680189,52.0,14.7,5.7,31.3,1
1680190,35.0,7.6,10.1,36.6,1
1680191,61.0,1.1,2.3,34.2,0
1680192,56.0,9.8,2.8,37.2,1
1680193,49.0,9.7,12.7,65.4,1
1680194,38.0,14.1,1.5,49.4,1
1680195,37.0,13.6,0.2,50.3,0
1680196,53.0,13.5,2.7,41.8,0
1680197,25.0,17.3,2.7,46.0,0
1680198,49.0,13.6,2.7,30.1,1
1680199,19.0,10.9,8.7,25.1,1
1680200,48.0,13.0,14.0,49.1,0
1680201,47.0,11.0,0.6,69.1,0
1680202,47.0,13.7,10.7,19.9,0
1680203,41.0,12.6,9.5,21.4,0
1680204,37.0,26.1,6.4,67.0,1
1680205,58.0,8.5,2.9,37.0,0
1680206,69.0,12.4,5.5,36.8,1
1680207,37.0,4.8,7.5,30.5,0
1680208,47.0,13.7,4.0,43.2,0
1680209,33.0,10.7,11.6,20.3,0
1680210,50.0,11.4,6.5,57.6,1
1680211,44.0,8.5,16.0,42.9,0
1680212,27.0,5.2,5.5,51.4,1
1680213,53.0,11.4,5.5,33.8,0
1680214,52.0,14.2,4.1,51.7,1
1680215,41.0,14.7,20.4,36.9,0
1680216,30.0,16.1,17.6,88.1,1
1680217,4.0,9.0,0.5,65.6,1
1680218,68.0,9.8,0.1,47.6,1
1680219,37.0,7.9,14.2,20.2,0
1680220,59.0,13.7,6.4,65.5,0
1680221,68.0,10.1,0.1,50.6,0
1680222,46.0,1.0,3.2,54.1,0
1680223,52.0,9.6,6.2,36.7,0
1680224,39.0,12.4,26.1,50.6,1
1680225,38.0,8.2,7.1,30.8,1
