CustomerID,TotalPurchases,AvgOrderValue,Tenure_Months,ChurnRisk,CustomerLifetimeValue
1810001,266.8,307.1,196.5,299.5,491.4
1810002,65.9,350.9,309.1,118.2,254.9
1810003,289.6,212.7,309.3,203.0,241.4
1810004,208.9,431.1,143.2,405.4,427.7
1810005,99.2,149.9,349.4,460.3,168.9
1810006,86.8,452.9,236.2,374.5,163.6
1810007,166.4,385.0,192.4,363.2,397.6
1810008,172.8,188.4,272.4,157.6,441.3
1810009,359.6,376.4,41.9,115.3,459.6
1810010,354.1,253.0,197.6,135.9,350.1
1810011,192.2,393.0,246.3,131.5,265.8
1810012,421.1,155.2,327.1,132.2,65.4
1810013,476.0,368.8,261.4,205.7,180.3
1810014,127.9,138.4,61.3,41.0,278.1
1810015,437.4,388.6,25.3,491.1,20.9
1810016,247.2,338.0,456.2,72.2,407.8
1810017,482.0,60.1,402.3,398.7,283.0
1810018,212.5,352.3,184.4,41.9,445.6
1810019,152.3,226.6,175.6,301.4,24.9
1810020,175.7,266.6,443.8,159.8,262.2
1810021,317.7,42.8,123.4,434.2,58.0
1810022,41.3,15.5,338.2,153.7,155.7
1810023,16.5,160.8,487.4,64.4,222.2
1810024,214.1,241.7,406.9,185.1,73.4
1810025,494.3,192.4,99.3,98.0,356.6
1810026,358.0,264.1,303.9,224.6,225.3
1810027,250.1,20.3,259.8,466.5,167.9
1810028,325.3,160.6,328.0,122.9,346.5
1810029,145.8,310.5,441.6,283.2,360.8
1810030,223.9,99.1,482.5,196.1,119.2
1810031,20.0,31.7,441.9,183.3,462.0
1810032,375.0,498.4,492.8,374.5,302.7
1810033,412.6,468.7,438.4,151.1,443.9
1810034,125.4,377.1,39.0,239.4,449.9
1810035,440.9,458.8,335.9,208.3,211.3
1810036,456.8,42.1,297.5,220.7,163.7
1810037,37.4,211.5,298.8,337.8,373.5
1810038,253.1,50.2,341.7,449.5,308.6
1810039,336.7,62.7,72.4,298.9,328.4
1810040,317.6,391.5,255.5,330.3,253.9
1810041,152.6,77.6,154.9,127.9,127.3
1810042,415.2,51.9,176.0,419.1,477.7
1810043,390.4,414.1,200.0,256.5,280.2
1810044,15.6,379.2,122.4,161.1,65.8
1810045,462.8,255.1,62.3,266.5,453.2
1810046,327.5,495.9,69.5,15.0,121.1
1810047,444.2,221.6,91.2,374.1,370.2
1810048,68.6,276.6,351.0,232.1,106.2
1810049,432.7,112.6,115.6,121.3,412.8
1810050,130.7,105.5,339.7,134.5,201.7
1810051,191.8,73.6,47.0,399.8,206.2
1810052,228.5,288.4,295.4,182.2,437.7
1810053,181.2,256.3,189.2,358.4,118.9
1810054,61.6,139.0,273.8,307.5,477.7
1810055,403.3,302.2,39.6,390.7,178.1
1810056,35.6,245.6,315.7,45.4,67.6
1810057,259.5,395.6,471.0,483.0,176.8
1810058,53.1,124.7,234.7,354.2,411.9
1810059,471.0,318.5,147.3,43.8,380.0
