TransactionID,Amount,Distance_From_Home,Use_Chip,Online_Order,Is_Fraud
1820001,439.5,469.8,1,0,0
1820002,40.8,446.0,1,0,0
1820003,68.8,232.9,1,0,1
1820004,395.9,389.3,1,1,0
1820005,488.9,279.5,0,0,1
1820006,143.2,311.4,0,1,0
1820007,438.4,95.4,0,1,0
1820008,234.8,106.5,0,1,0
1820009,323.0,182.7,1,0,0
1820010,393.0,471.9,1,0,0
1820011,319.9,377.4,0,0,0
1820012,72.2,350.9,0,1,0
1820013,498.8,94.3,0,1,0
1820014,317.2,229.8,1,1,0
1820015,32.5,420.7,1,1,0
1820016,314.2,54.5,0,0,0
1820017,174.7,197.5,0,1,0
1820018,383.8,74.7,1,1,0
1820019,63.8,223.4,0,0,1
1820020,263.4,87.1,0,0,0
1820021,317.6,98.2,0,1,0
1820022,423.2,338.1,0,1,0
1820023,65.7,115.3,1,1,1
1820024,153.3,195.7,0,1,0
1820025,45.9,350.2,0,1,0
1820026,337.0,336.7,1,0,0
1820027,120.5,181.4,1,1,0
1820028,264.2,218.7,0,1,0
1820029,298.1,330.1,1,0,0
1820030,231.4,177.3,0,1,0
1820031,368.1,290.6,1,1,0
1820032,483.7,161.4,1,0,0
1820033,106.2,68.9,0,1,0
1820034,364.8,190.2,1,0,1
1820035,395.0,143.8,1,1,0
1820036,277.1,295.5,0,0,0
1820037,418.2,360.0,0,1,0
1820038,21.8,427.4,1,0,0
1820039,294.2,332.7,0,1,0
1820040,292.3,456.1,0,0,0
1820041,279.9,273.6,0,0,0
1820042,442.2,29.2,0,1,0
1820043,391.1,130.5,0,1,1
1820044,170.8,367.7,1,0,0
1820045,374.9,187.0,0,0,0
1820046,442.3,71.2,1,0,0
1820047,321.2,322.6,0,1,0
1820048,328.2,390.7,0,0,0
1820049,217.9,358.5,0,0,0
1820050,49.7,267.4,1,1,0
1820051,223.1,379.2,1,1,0
1820052,211.1,282.5,1,0,0
1820053,69.6,108.8,1,1,0
1820054,463.9,366.4,1,0,0
1820055,454.2,313.1,0,0,0
1820056,341.2,243.4,0,0,0
1820057,343.9,97.4,0,0,0
1820058,420.4,191.5,1,1,0
1820059,263.5,398.6,1,0,0
1820060,232.1,51.8,0,0,0
1820061,208.8,116.6,1,0,1
1820062,342.6,342.9,1,0,0
1820063,210.7,49.8,1,1,1
1820064,463.3,410.6,0,0,1
1820065,484.4,44.0,0,0,0
1820066,204.0,42.9,1,0,0
1820067,70.8,147.9,0,1,0
1820068,221.3,418.4,0,0,0
1820069,194.1,180.7,0,0,0
1820070,167.3,89.6,0,0,0
1820071,228.8,295.3,1,1,0
1820072,485.4,315.3,1,0,0
1820073,426.5,255.6,0,0,0
1820074,171.7,498.1,0,0,0
1820075,95.1,165.2,1,1,0
1820076,290.5,142.7,0,1,1
1820077,54.6,100.4,0,0,0
1820078,320.3,98.7,0,1,1
1820079,320.0,174.2,1,0,0
1820080,351.6,436.3,1,0,0
1820081,204.3,220.9,1,1,0
1820082,198.7,325.6,1,1,0
1820083,83.7,13.3,1,0,0
1820084,313.3,259.9,1,0,0
1820085,435.5,182.2,1,1,0
1820086,341.9,40.0,1,1,0
1820087,153.3,412.7,0,0,1
1820088,242.0,16.1,1,0,0
1820089,441.9,361.0,1,0,0
1820090,173.0,453.4,0,0,0
1820091,135.7,353.9,1,1,0
1820092,491.8,339.9,1,1,0
1820093,100.7,97.1,0,0,1
1820094,485.7,399.8,1,1,0
1820095,76.9,396.3,1,0,0
1820096,498.5,240.0,1,1,0
1820097,14.7,398.2,0,0,0
1820098,331.2,286.0,0,1,0
1820099,13.8,286.3,0,0,0
1820100,308.9,427.6,0,0,0
1820101,143.2,184.0,0,0,0
1820102,271.2,410.2,1,0,0
1820103,392.6,106.8,1,1,0
1820104,395.2,286.5,0,1,0
1820105,367.1,16.5,1,0,0
1820106,250.6,389.6,0,0,0
1820107,21.7,270.4,0,1,0
1820108,88.6,448.1,1,1,0
1820109,474.5,486.4,0,1,0
1820110,148.4,358.8,1,0,0
1820111,306.9,279.2,0,1,0
1820112,391.0,375.4,0,0,0
1820113,40.1,489.7,1,1,0
1820114,288.8,151.5,0,0,0
1820115,396.9,150.9,1,0,0
1820116,189.3,297.8,1,1,0
1820117,122.1,284.2,1,0,0
1820118,293.7,46.9,0,0,0
1820119,19.9,248.8,1,1,0
1820120,367.8,273.3,1,1,0
1820121,436.3,279.8,0,0,0
1820122,18.3,306.1,0,0,0
1820123,350.3,114.0,1,0,0
1820124,44.7,70.7,1,0,1
1820125,403.0,92.5,0,1,1
1820126,239.3,258.5,0,1,0
1820127,383.1,209.2,0,0,0
1820128,81.3,26.2,0,0,1
1820129,375.7,304.4,0,1,0
1820130,194.9,33.3,0,0,0
1820131,102.6,169.7,0,1,1
1820132,86.0,217.7,1,1,0
1820133,97.3,427.6,1,0,0
1820134,58.6,208.3,0,1,0
1820135,18.6,92.0,1,0,0
1820136,411.8,263.5,0,1,1
1820137,76.7,21.2,1,1,1
1820138,458.7,53.8,0,1,0
1820139,414.9,173.5,0,0,0
1820140,333.0,356.3,1,0,0
1820141,162.1,45.8,0,0,0
1820142,244.4,204.3,0,0,0
1820143,482.4,496.4,0,0,0
1820144,75.0,386.5,0,1,0
1820145,44.8,495.0,0,1,0
1820146,207.9,256.4,1,1,1
1820147,143.6,442.5,1,1,0
1820148,14.0,426.0,0,0,0
1820149,394.3,409.6,1,0,0
1820150,490.1,65.3,1,0,0
1820151,301.7,434.6,0,0,0
1820152,52.8,37.4,1,0,0
1820153,492.1,244.5,0,0,0
1820154,409.1,23.1,1,1,0
1820155,297.6,67.1,0,0,0
1820156,301.1,346.1,0,0,0
1820157,158.6,397.3,1,0,0
1820158,226.0,72.5,0,0,0
1820159,93.4,71.0,0,0,0
1820160,432.9,353.6,1,0,0
1820161,365.5,164.3,1,1,0
1820162,465.3,25.1,1,0,0
1820163,481.5,241.6,1,0,1
1820164,459.7,438.9,1,1,0
1820165,205.5,234.1,0,0,0
1820166,289.9,50.4,0,1,0
1820167,100.4,287.9,0,1,0
1820168,351.7,388.0,0,0,0
1820169,100.2,456.4,1,0,1
1820170,303.0,66.9,1,1,1
1820171,37.8,62.4,0,0,0
1820172,71.2,490.5,1,1,0
1820173,296.6,116.6,0,0,1
1820174,209.8,343.6,1,0,1
1820175,221.6,334.1,1,1,0
1820176,372.3,490.8,1,1,0
1820177,343.3,481.8,0,0,1
1820178,474.4,485.0,0,1,0
1820179,143.2,146.9,1,1,0
1820180,436.0,340.5,1,1,0
1820181,173.7,452.6,1,0,0
1820182,442.4,43.6,0,0,0
1820183,274.4,388.1,0,1,0
1820184,139.8,60.6,1,0,0
1820185,171.8,264.0,0,1,0
1820186,331.6,214.0,0,0,0
1820187,20.5,31.0,0,0,0
1820188,236.8,273.0,1,0,0
1820189,283.2,314.6,0,1,0
1820190,233.3,341.5,0,0,0
1820191,208.9,114.9,1,1,0
1820192,249.9,136.2,1,1,0
1820193,246.6,173.5,1,1,0
1820194,220.0,38.4,1,1,0
1820195,157.4,210.7,0,0,0
1820196,26.0,140.8,0,0,0
1820197,256.7,90.2,1,0,0
1820198,317.5,280.4,0,0,0
1820199,141.5,442.8,0,0,0
1820200,283.6,251.7,0,1,0
1820201,279.0,173.3,0,0,0
1820202,339.1,357.3,1,0,0
1820203,320.8,376.5,0,0,0
1820204,405.0,386.1,0,1,1
1820205,254.5,430.5,1,0,0
1820206,121.7,,0,0,1
1820207,380.7,233.9,0,1,0
1820208,364.3,323.6,1,1,0
1820209,372.2,410.9,0,0,0
1820210,358.0,438.0,0,1,0
1820211,467.9,463.7,1,0,0
1820212,430.6,320.4,0,1,1
1820213,445.2,103.6,0,0,1
1820214,123.1,237.6,1,1,1
1820215,24.6,360.4,1,0,0
1820216,335.9,172.0,0,1,0
1820217,350.3,394.6,0,0,1
1820218,107.2,136.7,1,0,0
1820219,193.8,171.7,0,1,0
1820220,398.6,42.2,1,0,1
1820221,95.0,458.8,0,1,0
1820222,359.7,467.6,0,0,1
1820223,213.1,55.2,1,0,0
1820224,79.4,35.1,0,1,0
1820225,191.7,43.2,0,0,0
1820226,371.4,156.3,1,0,0
1820227,27.6,32.7,0,1,0
1820228,444.5,238.3,0,1,0
1820229,90.5,34.7,1,1,1
1820230,393.3,474.2,0,0,0
1820231,16.2,353.5,1,1,0
1820232,323.5,155.9,1,0,0
1820233,92.2,155.5,1,1,0
1820234,203.8,135.1,0,0,0
1820235,169.3,168.4,0,0,0
1820236,331.1,176.4,1,1,0
1820237,267.8,101.1,0,0,0
1820238,351.9,359.2,1,1,0
1820239,433.7,428.9,0,0,0
1820240,17.3,395.7,1,1,0
1820241,281.8,108.4,1,1,0
1820242,474.5,495.0,1,0,0
1820243,13.1,189.3,1,0,0
1820244,247.7,24.9,0,0,1
1820245,70.9,376.3,1,0,0
1820246,180.3,28.2,0,1,0
1820247,220.9,450.2,1,0,0
1820248,158.8,32.0,0,0,1
1820249,480.8,45.3,1,1,0
1820250,225.0,78.7,1,1,0
1820251,311.7,,0,0,0
1820252,246.7,484.4,1,0,0
1820253,398.9,58.9,1,0,0
1820254,489.8,83.7,1,0,0
1820255,446.7,68.5,0,1,0
1820256,252.5,253.5,1,0,0
1820257,249.1,482.8,1,1,0
1820258,436.0,137.9,0,0,0
1820259,328.3,453.9,1,1,0
1820260,244.8,350.8,1,1,0
1820261,396.8,418.2,1,1,0
1820262,344.4,66.3,1,0,1
1820263,261.2,342.6,0,0,0
1820264,73.4,92.6,1,1,0
1820265,43.5,10.2,0,0,0
1820266,81.1,401.3,1,1,0
1820267,21.0,162.4,0,0,0
1820268,440.0,422.1,1,1,1
1820269,293.1,108.9,1,1,0
1820270,312.7,498.3,1,0,0
1820271,102.2,154.6,0,0,0
1820272,303.6,317.1,0,1,0
1820273,301.6,471.8,1,1,0
1820274,383.4,278.7,0,0,0
1820275,215.0,314.4,0,0,0
1820276,116.8,450.8,1,1,1
1820277,315.6,318.5,1,0,0
1820278,148.4,88.6,0,0,0
1820279,406.7,170.9,0,1,0
1820280,97.6,360.5,0,0,1
1820281,407.2,53.9,0,0,1
1820282,96.9,44.3,0,1,0
1820283,397.9,388.8,0,1,0
1820284,363.6,77.8,0,1,0
1820285,89.7,372.6,0,0,0
1820286,49.1,450.2,0,0,0
1820287,439.4,99.2,1,1,0
1820288,237.5,98.2,0,1,1
1820289,43.2,175.7,1,1,0
1820290,357.2,255.7,1,0,0
1820291,437.4,408.3,1,0,0
1820292,268.3,58.9,1,1,0
1820293,79.9,262.2,1,1,0
1820294,143.1,409.8,0,0,0
1820295,488.8,40.5,0,0,0
1820296,139.6,42.5,1,1,0
1820297,21.1,173.2,0,1,0
1820298,81.4,32.1,1,1,1
1820299,115.5,200.8,0,0,0
1820300,402.5,227.4,0,1,1
1820301,270.8,40.8,0,0,0
1820302,400.1,130.1,1,0,0
1820303,314.2,343.7,1,1,0
1820304,480.4,437.4,0,1,0
1820305,128.9,48.1,0,1,0
1820306,262.0,71.0,1,0,0
1820307,299.4,482.7,1,1,0
1820308,489.1,486.9,1,1,0
1820309,344.1,188.5,1,0,0
1820310,423.4,368.0,1,0,0
1820311,79.3,344.4,0,1,0
1820312,89.8,80.8,1,0,0
1820313,54.4,162.9,0,0,0
1820314,139.8,425.4,1,1,0
1820315,18.3,128.9,0,1,1
1820316,482.9,478.2,0,0,0
1820317,173.9,472.2,0,1,0
1820318,365.3,172.4,1,1,1
1820319,309.8,281.8,1,0,0
1820320,369.9,,0,0,0
1820321,196.1,48.5,0,0,0
1820322,14.7,154.9,1,0,0
1820323,140.8,105.4,1,0,0
1820324,490.3,344.9,1,0,0
1820325,111.9,45.6,0,1,0
1820326,307.1,382.3,0,0,0
1820327,348.3,32.3,1,0,0
1820328,462.4,368.6,1,0,0
1820329,128.9,17.6,1,0,0
1820330,122.8,230.6,1,0,0
1820331,493.7,308.3,1,1,0
1820332,388.7,346.6,1,0,0
1820333,137.4,177.4,1,1,0
1820334,261.9,476.7,1,1,0
1820335,75.0,347.5,0,0,0
1820336,205.8,373.3,1,1,0
1820337,275.0,250.1,0,1,0
1820338,442.1,142.1,1,0,0
1820339,110.7,410.0,0,1,0
1820340,58.8,28.5,1,0,0
1820341,126.1,321.6,0,1,0
1820342,481.7,450.1,1,1,0
1820343,260.0,238.7,0,0,0
1820344,290.0,391.3,0,0,1
1820345,245.8,347.0,1,1,0
1820346,327.4,347.2,1,0,0
1820347,170.7,51.1,0,0,0
1820348,269.2,29.6,0,0,0
1820349,173.6,127.3,0,0,0
1820350,301.3,463.0,0,1,0
1820351,460.8,386.3,0,0,0
1820352,108.2,294.0,1,1,0
1820353,95.1,154.3,0,1,0
1820354,247.0,,1,0,0
1820355,379.7,421.0,0,0,0
1820356,425.3,97.0,0,0,0
1820357,26.5,493.9,1,0,1
1820358,260.9,206.4,0,1,0
1820359,476.5,146.3,1,0,0
1820360,408.1,262.8,0,1,0
1820361,437.0,425.5,0,0,0
1820362,202.1,479.9,1,0,0
1820363,305.1,422.8,1,0,0
1820364,24.3,313.3,0,1,0
1820365,27.2,50.3,0,0,0
1820366,482.6,408.6,0,0,0
1820367,273.9,446.2,1,0,1
1820368,182.5,81.1,1,1,0
1820369,136.8,94.4,0,1,0
1820370,22.2,201.3,0,0,0
1820371,100.5,457.1,0,0,0
1820372,246.3,347.9,1,1,0
1820373,386.2,463.7,0,0,0
1820374,329.2,311.6,0,0,1
1820375,176.8,182.1,1,1,0
1820376,393.8,100.1,1,1,0
1820377,121.5,436.7,1,0,0
1820378,402.0,119.9,0,1,0
1820379,355.9,316.3,0,1,0
1820380,65.4,399.1,1,1,0
1820381,140.4,11.3,1,1,0
1820382,465.0,307.2,0,1,0
1820383,169.8,216.5,0,0,0
1820384,385.1,494.8,0,1,0
1820385,270.4,15.7,1,1,0
1820386,401.3,66.0,1,1,0
1820387,227.6,181.3,0,1,0
1820388,142.0,498.1,0,0,0
1820389,80.1,419.0,1,1,0
1820390,384.2,247.6,1,0,0
1820391,89.7,120.7,0,0,0
1820392,166.2,65.4,1,1,1
1820393,373.1,491.5,0,1,0
1820394,370.4,63.1,1,1,0
1820395,74.8,443.0,1,1,0
1820396,355.4,102.1,0,0,0
1820397,342.3,390.3,1,1,0
1820398,267.7,122.8,1,1,1
1820399,296.0,279.5,1,0,0
1820400,225.2,489.6,0,1,0
1820401,465.9,119.8,0,0,0
1820402,15.8,489.7,1,0,0
1820403,73.0,288.5,1,1,0
1820404,46.3,38.6,0,0,0
1820405,45.9,349.4,1,0,0
1820406,270.1,431.1,0,1,0
1820407,190.6,337.9,1,0,0
1820408,213.6,275.6,1,0,0
1820409,303.5,389.5,1,0,0
1820410,41.8,466.7,0,1,0
1820411,45.5,326.5,1,1,1
1820412,435.3,215.2,1,0,1
1820413,174.8,169.0,0,0,0
1820414,410.5,420.0,1,0,0
1820415,404.8,404.9,0,1,0
1820416,112.3,338.3,0,0,0
1820417,342.9,231.2,0,0,0
1820418,215.3,341.8,1,1,0
1820419,456.0,368.6,1,0,1
1820420,196.8,345.8,1,0,0
1820421,336.3,54.3,1,0,0
1820422,265.9,177.1,0,1,0
1820423,265.3,388.4,0,0,0
1820424,404.8,198.3,0,0,0
1820425,342.2,197.3,0,1,0
1820426,282.1,232.0,1,1,0
1820427,131.3,431.7,1,1,0
1820428,219.1,284.2,0,1,1
1820429,470.2,113.8,1,1,0
1820430,52.8,18.7,0,0,0
1820431,153.2,166.2,0,0,0
1820432,419.6,173.6,0,0,0
1820433,38.7,339.3,0,1,0
1820434,335.6,59.6,0,0,0
1820435,477.1,277.6,0,0,0
1820436,124.4,172.0,0,1,0
1820437,142.9,31.0,1,1,1
1820438,451.5,215.3,0,1,0
1820439,187.7,200.4,0,1,1
1820440,442.5,189.8,1,1,0
1820441,190.6,396.5,1,0,0
1820442,112.2,287.2,0,1,0
1820443,49.4,120.2,1,0,0
1820444,268.4,335.7,1,0,0
1820445,437.0,228.2,0,0,0
1820446,332.6,373.3,1,1,1
1820447,206.9,281.2,0,1,0
1820448,366.7,264.4,1,1,0
1820449,20.4,329.8,1,0,0
1820450,106.7,320.8,0,1,0
1820451,392.0,332.4,0,1,0
1820452,420.7,214.0,1,0,1
1820453,88.5,93.3,1,0,0
1820454,467.8,491.4,1,1,0
1820455,270.0,366.1,0,1,0
1820456,38.4,414.4,1,1,1
1820457,64.2,27.1,1,1,0
1820458,92.7,106.2,0,0,0
1820459,437.5,86.0,1,1,1
1820460,380.9,311.4,0,1,0
1820461,62.5,357.5,0,0,0
1820462,260.6,310.6,0,1,0
1820463,209.6,479.9,0,1,0
1820464,318.6,429.0,0,0,0
1820465,11.6,91.6,0,1,0
1820466,223.6,284.4,0,1,0
1820467,358.2,,0,0,0
1820468,466.2,232.8,0,1,0
1820469,442.8,161.0,1,0,0
1820470,202.5,343.1,0,1,0
1820471,465.6,,0,0,0
1820472,133.3,41.0,1,0,0
1820473,142.1,434.2,1,1,0
1820474,397.0,188.8,1,0,0
1820475,189.3,418.6,0,0,1
1820476,231.8,75.4,1,0,0
1820477,426.2,225.3,1,1,0
1820478,193.6,391.6,1,0,1
1820479,155.6,209.9,0,1,0
1820480,459.8,446.9,0,0,1
1820481,364.5,454.6,1,0,0
1820482,228.8,311.1,0,1,0
1820483,485.5,473.5,1,1,0
1820484,185.1,427.2,1,0,0
1820485,378.8,461.8,0,1,1
1820486,211.9,89.1,1,0,0
1820487,448.4,180.5,0,1,0
1820488,109.9,230.1,0,1,0
1820489,64.5,203.5,1,1,0
1820490,299.3,203.3,1,0,0
1820491,330.4,216.0,0,1,0
1820492,181.5,428.4,1,1,0
1820493,323.1,216.8,0,0,0
1820494,226.4,77.9,0,0,0
1820495,229.9,187.9,1,0,0
1820496,46.1,187.4,1,0,0
1820497,283.6,453.4,1,0,0
1820498,270.7,460.3,1,0,0
1820499,452.2,205.5,0,0,1
1820500,271.5,427.6,1,1,0
1820501,133.0,369.8,0,0,0
1820502,260.1,428.2,0,1,0
1820503,198.0,313.2,0,0,0
1820504,457.1,58.1,0,1,0
1820505,45.4,50.4,0,1,0
1820506,62.7,333.5,0,1,0
1820507,137.8,369.3,0,1,0
1820508,456.8,299.9,1,1,0
1820509,252.4,121.7,0,1,1
1820510,86.7,367.8,1,0,0
1820511,235.9,131.6,1,0,0
1820512,168.5,335.4,1,1,0
1820513,219.5,63.8,1,0,1
1820514,458.5,81.5,0,1,0
1820515,482.1,442.4,0,0,0
1820516,229.5,95.7,0,0,0
1820517,257.6,142.3,1,1,1
1820518,39.8,430.5,1,1,0
1820519,166.3,225.4,0,0,0
1820520,16.8,391.6,1,1,0
1820521,88.7,311.5,0,1,0
1820522,377.8,329.9,0,0,0
1820523,199.8,317.5,1,1,0
1820524,479.7,312.1,1,1,1
1820525,286.6,490.1,0,0,1
1820526,70.7,380.8,1,0,0
1820527,408.4,61.0,0,1,0
1820528,432.3,17.2,0,1,0
1820529,83.7,349.9,1,1,0
1820530,323.4,173.4,0,0,0
1820531,99.4,27.3,1,0,1
1820532,490.3,366.3,0,0,1
1820533,332.3,80.3,1,0,0
1820534,185.7,191.8,1,0,0
1820535,426.7,78.6,1,1,0
1820536,49.2,37.0,1,1,0
1820537,209.4,374.5,0,1,0
1820538,92.6,198.8,0,0,0
1820539,95.1,212.2,0,0,0
1820540,434.4,357.4,0,1,0
1820541,366.4,46.0,1,1,1
1820542,360.8,196.2,0,1,0
1820543,469.2,107.0,1,0,0
1820544,492.0,199.1,1,0,0
1820545,199.6,470.4,0,0,0
1820546,121.5,224.6,1,1,0
1820547,37.3,111.4,1,1,1
1820548,458.0,205.5,0,1,0
1820549,383.3,426.0,0,1,0
1820550,290.2,25.4,0,1,0
1820551,467.7,332.4,0,0,0
1820552,466.2,327.6,0,0,0
1820553,389.4,211.4,0,0,0
1820554,235.8,307.0,0,1,0
1820555,189.9,311.3,0,1,0
1820556,185.3,156.0,0,0,1
1820557,260.7,355.1,1,1,0
1820558,458.4,484.9,0,0,0
1820559,141.2,451.7,0,0,0
1820560,111.2,263.1,0,0,0
1820561,41.9,101.8,0,0,0
1820562,368.1,130.7,0,1,1
