HouseholdID,LowestTempCelsius,GasConsumption_M3,BuildingAgeYears,ThermostatTemp,HighEnergyBill
1820001,127.9,127.6,30.0,108.6,0
1820002,109.5,121.6,43.0,68.5,1
1820003,116.5,56.1,34.0,111.3,1
1820004,151.8,98.1,30.0,179.3,0
1820005,156.7,119.7,33.0,111.6,1
1820006,138.1,106.7,23.0,161.0,0
1820007,92.7,137.8,36.0,112.5,1
1820008,129.7,95.5,37.0,143.9,1
1820009,123.9,128.1,35.0,86.2,0
1820010,105.5,128.1,52.0,159.5,1
1820011,155.2,102.7,29.0,124.6,0
1820012,98.0,98.3,44.0,154.2,1
1820013,121.3,110.9,30.0,135.3,0
1820014,90.2,136.6,39.0,88.9,0
1820015,151.4,105.4,45.0,119.7,1
1820016,131.7,53.3,38.0,66.5,0
1820017,109.7,91.1,24.0,154.4,1
1820018,100.9,109.4,29.0,102.7,0
1820019,126.5,99.3,44.0,125.9,1
1820020,103.5,103.5,34.0,114.1,0
1820021,123.2,103.2,48.0,107.0,0
1820022,73.7,55.1,66.0,149.1,1
1820023,83.5,109.3,37.0,62.1,0
1820024,186.7,126.8,56.0,141.9,1
1820025,138.9,90.4,40.0,78.8,0
1820026,94.4,71.2,65.0,135.4,0
1820027,126.9,106.5,71.0,93.5,1
1820028,163.9,114.1,30.0,96.4,1
1820029,170.8,104.6,51.0,88.3,1
1820030,173.4,117.1,44.0,116.2,0
1820031,150.4,72.9,40.0,121.4,0
1820032,124.0,87.3,55.0,126.8,0
1820033,99.4,91.6,27.0,100.2,0
1820034,153.3,111.3,33.0,117.7,1
1820035,135.7,130.8,34.0,118.4,0
1820036,130.1,113.1,38.0,83.6,0
1820037,162.4,104.6,34.0,100.8,0
1820038,158.4,99.3,70.0,103.5,1
1820039,96.3,98.6,42.0,77.2,0
1820040,115.7,131.6,42.0,119.9,0
1820041,60.4,90.6,42.0,135.1,0
1820042,76.6,93.3,42.0,112.4,0
1820043,128.3,96.7,43.0,139.8,1
1820044,139.2,104.1,25.0,154.3,1
