RackID,AirVelocity_mps,CellMaxTempCelsius,ChargingCurrent_Amps,TempVariance,CoolingSystemFault
1880001,19.4,130.2,4.94,119.7,1
1880002,12.3,128.7,6.87,147.1,1
1880003,3.1,99.9,3.73,123.9,0
1880004,14.6,95.1,3.67,125.6,0
1880005,9.1,122.4,4.78,151.3,0
1880006,17.0,116.2,4.14,126.9,1
1880007,7.9,88.3,5.84,110.2,0
1880008,5.4,,2.67,140.0,1
1880009,18.6,148.7,4.33,108.8,1
1880010,16.4,128.1,5.05,83.5,0
1880011,14.6,97.0,3.81,99.5,0
1880012,10.6,158.4,4.84,96.4,1
1880013,6.3,126.1,4.64,69.5,0
1880014,19.5,77.8,2.68,178.2,1
1880015,7.5,141.9,4.67,91.3,0
1880016,11.9,79.6,5.15,128.8,0
1880017,15.2,156.6,3.82,140.6,1
1880018,14.3,138.4,2.8,117.9,1
1880019,8.5,142.3,4.38,135.2,1
1880020,13.7,98.7,3.13,124.0,0
1880021,4.6,134.1,4.08,119.0,0
1880022,14.8,144.9,3.5,158.1,1
1880023,7.3,71.3,3.66,103.9,0
1880024,11.8,142.9,3.82,137.5,1
1880025,12.6,116.8,3.32,125.8,0
1880026,7.4,130.5,4.46,131.5,1
1880027,11.6,104.1,5.62,35.6,0
1880028,14.5,119.8,4.89,173.0,1
1880029,10.4,96.0,5.39,132.4,0
1880030,15.0,172.6,5.1,79.5,1
1880031,7.9,135.1,5.79,142.3,1
1880032,9.2,37.2,5.58,129.9,0
1880033,10.8,104.3,3.34,118.5,0
1880034,21.6,100.7,5.84,138.5,1
1880035,12.4,139.5,4.92,111.4,0
1880036,15.9,137.5,5.47,127.8,1
1880037,16.4,116.0,7.65,107.9,0
1880038,16.2,91.0,5.41,113.6,0
1880039,15.5,175.4,6.83,111.6,1
1880040,12.9,74.0,4.84,153.2,0
1880041,14.2,147.6,5.49,154.1,1
1880042,12.4,93.8,3.38,101.8,1
1880043,8.4,144.5,3.61,185.7,1
1880044,15.8,125.3,5.45,147.6,1
1880045,11.8,74.9,6.08,88.2,0
1880046,9.0,145.4,4.87,55.4,0
1880047,10.5,144.7,6.94,148.2,1
1880048,10.9,90.3,5.26,151.1,0
1880049,12.7,117.0,1.99,136.1,1
1880050,16.8,98.0,5.33,146.0,0
1880051,15.3,111.3,3.34,115.7,0
1880052,15.2,115.3,4.01,95.5,0
1880053,17.4,132.3,4.38,96.4,1
1880054,12.7,96.0,5.11,66.4,0
1880055,10.5,75.0,4.83,135.5,0
1880056,12.0,134.0,4.43,104.0,0
1880057,18.5,108.0,5.1,69.0,1
1880058,15.8,118.8,3.54,126.9,1
1880059,5.6,156.5,3.56,136.9,1
1880060,6.4,127.8,3.26,158.1,1
1880061,16.1,147.5,3.89,104.4,1
1880062,19.4,165.9,4.49,95.0,1
1880063,19.8,168.7,5.25,173.7,1
1880064,19.8,151.9,3.91,135.3,1
1880065,10.0,179.6,5.22,119.2,0
1880066,19.0,118.0,7.91,154.4,1
1880067,7.0,150.9,3.87,100.7,0
