TransactionID,ItemCount,FreshProduce_Percent,CouponUsed,PaymentMethod,TotalSpend
1890001,217.1,297.7,0,213.6,287.2
1890002,195.2,475.5,0,408.5,21.1
1890003,427.0,23.4,0,63.6,398.9
1890004,254.2,470.2,1,442.8,167.3
1890005,278.3,401.9,1,288.8,214.3
1890006,352.6,231.6,0,154.3,143.4
1890007,110.3,492.2,1,204.8,280.8
1890008,44.6,482.6,0,244.8,436.1
1890009,188.2,478.4,0,224.3,292.6
1890010,440.6,204.3,0,15.3,298.9
1890011,233.0,109.7,1,56.1,310.3
1890012,221.8,423.2,0,413.2,105.0
1890013,95.2,157.0,0,49.4,373.6
1890014,100.6,89.3,0,217.4,359.1
1890015,242.2,308.1,1,157.7,299.4
1890016,410.9,320.8,0,150.8,432.9
1890017,181.8,351.3,1,317.3,237.9
1890018,437.4,243.9,0,39.0,105.4
1890019,326.8,309.3,1,128.5,34.9
1890020,428.2,498.2,0,487.8,49.6
1890021,333.8,213.9,0,163.3,311.9
1890022,54.8,108.6,1,318.3,13.4
1890023,279.8,83.7,0,269.2,203.6
1890024,163.2,134.6,1,152.4,479.7
1890025,289.4,459.1,0,315.2,85.6
1890026,416.6,183.0,0,118.4,284.6
1890027,27.9,69.9,1,272.0,94.6
1890028,255.1,338.9,1,476.3,320.4
1890029,326.4,377.1,1,490.3,462.5
1890030,402.7,76.9,1,62.2,185.9
1890031,460.2,35.4,0,273.0,317.9
1890032,230.1,409.2,1,258.8,206.3
1890033,185.3,363.2,0,214.5,123.7
1890034,102.1,170.2,1,291.6,104.5
1890035,86.8,189.4,1,131.3,197.7
1890036,182.2,231.8,1,187.4,416.7
1890037,493.9,447.5,0,338.5,133.0
1890038,191.7,287.4,0,27.0,487.0
1890039,448.1,44.9,1,140.6,16.8
1890040,464.1,292.1,1,238.0,395.1
1890041,39.7,190.7,0,393.7,85.0
1890042,178.3,250.4,0,296.2,269.5
1890043,498.9,212.7,0,187.3,286.6
1890044,260.0,210.3,1,284.5,454.0
1890045,487.2,228.0,0,72.0,175.0
1890046,104.8,280.1,0,137.3,135.1
1890047,31.1,107.6,0,21.2,125.2
1890048,496.9,329.3,0,372.6,100.4
1890049,313.2,395.1,1,266.2,147.5
1890050,130.0,422.2,1,477.9,39.1
1890051,228.1,69.6,0,361.8,208.3
1890052,182.9,454.6,0,204.7,431.0
1890053,224.0,89.1,0,227.6,238.7
1890054,184.5,350.3,0,303.5,333.1
1890055,296.5,64.2,1,56.3,172.4
1890056,363.6,242.0,0,424.7,361.8
1890057,289.1,264.5,0,428.2,227.8
1890058,159.3,400.0,1,115.6,338.6
1890059,215.5,48.3,1,12.0,402.9
1890060,261.3,115.0,1,426.1,165.8
1890061,432.8,328.3,1,226.2,499.5
1890062,44.6,20.8,1,292.5,352.4
1890063,203.8,166.1,0,238.9,273.0
1890064,150.2,363.7,1,355.4,246.3
1890065,343.2,356.4,0,96.6,415.8
1890066,119.6,309.5,1,202.1,451.2
1890067,51.8,316.1,0,203.2,314.8
1890068,21.3,126.6,1,37.2,258.7
1890069,28.7,76.6,0,176.9,286.7
1890070,382.7,417.3,1,62.1,288.3
1890071,291.4,360.9,0,225.6,20.5
1890072,100.2,463.2,1,65.4,477.5
1890073,277.4,430.2,0,36.8,377.7
1890074,411.7,267.7,1,44.3,220.4
1890075,283.7,215.7,0,89.5,36.7
1890076,215.0,66.7,1,347.4,376.8
1890077,148.4,108.4,0,58.9,60.1
1890078,315.1,146.1,1,276.4,400.1
1890079,229.7,353.4,1,480.5,197.5
1890080,125.1,106.9,0,192.0,101.0
1890081,305.6,364.3,0,66.4,361.5
1890082,428.7,174.3,1,128.1,363.8
1890083,26.0,388.6,1,225.1,68.6
1890084,499.3,139.0,0,485.4,428.9
1890085,101.0,454.5,0,95.5,49.6
1890086,291.3,265.6,0,223.7,158.2
1890087,173.9,115.6,1,349.9,395.9
1890088,258.4,325.7,1,178.6,474.6
1890089,76.3,412.3,1,139.6,106.0
1890090,384.2,264.7,0,289.2,45.4
1890091,94.0,327.2,1,254.1,457.4
1890092,360.4,100.9,0,232.0,75.9
1890093,330.2,112.3,0,348.8,423.1
1890094,70.9,313.3,0,313.8,472.2
1890095,408.7,494.5,0,67.6,388.5
1890096,60.7,77.6,1,141.7,42.2
1890097,406.2,54.6,0,240.1,51.2
1890098,371.2,362.1,0,439.5,344.8
1890099,433.8,450.0,0,206.2,383.9
1890100,447.7,238.2,0,29.2,478.1
1890101,298.9,96.3,0,327.3,238.0
1890102,282.4,481.7,1,336.3,157.6
1890103,366.2,265.6,0,417.1,71.8
1890104,171.6,266.1,1,478.0,134.7
1890105,123.1,333.5,0,407.3,102.1
1890106,201.6,267.2,0,159.6,471.9
1890107,132.1,156.0,1,472.6,339.0
1890108,330.8,284.0,0,75.4,441.7
1890109,382.1,,0,88.6,73.6
1890110,285.6,390.5,0,89.3,170.0
1890111,70.7,52.1,0,341.2,292.0
1890112,224.4,120.8,1,395.7,476.7
1890113,226.4,140.5,0,392.4,259.7
1890114,13.3,233.6,1,90.6,56.1
1890115,255.8,106.8,0,280.5,191.2
1890116,375.4,306.7,0,496.1,368.4
1890117,224.6,482.5,0,81.8,319.6
1890118,392.2,95.7,1,286.5,297.9
1890119,448.1,164.8,1,413.8,467.8
1890120,146.4,267.7,1,318.4,266.8
1890121,115.1,71.5,0,269.9,108.7
1890122,39.0,149.8,0,98.6,363.6
1890123,10.2,390.3,0,382.0,57.2
1890124,131.4,251.1,1,200.6,423.5
1890125,157.5,198.2,0,259.4,167.0
1890126,125.9,323.2,0,351.5,76.1
1890127,392.6,166.6,1,323.8,190.3
1890128,108.0,428.6,1,131.4,180.9
1890129,163.9,144.1,1,149.2,315.0
1890130,46.8,150.5,0,356.4,314.3
1890131,286.9,280.4,0,456.0,78.9
1890132,17.4,349.1,1,95.4,52.1
1890133,269.9,386.9,1,361.9,118.3
1890134,431.0,238.6,0,212.6,450.0
1890135,440.5,47.5,1,238.4,144.3
1890136,375.1,79.0,1,117.1,495.6
1890137,195.9,16.4,0,104.3,209.3
1890138,373.8,357.2,0,411.3,396.4
1890139,334.5,422.2,1,323.4,433.9
1890140,131.1,49.6,0,498.1,299.3
1890141,298.5,292.3,0,46.9,208.0
1890142,106.4,435.7,1,25.9,35.1
1890143,335.7,60.1,1,385.0,289.9
1890144,99.1,36.7,0,478.2,46.3
1890145,76.7,290.4,0,114.8,453.6
1890146,450.4,95.5,0,105.4,79.7
1890147,136.0,185.2,1,431.4,223.0
1890148,112.4,434.1,0,275.6,58.9
1890149,112.1,112.9,0,111.7,442.3
1890150,130.4,87.1,0,185.5,464.1
1890151,40.8,377.2,1,394.5,346.9
1890152,450.8,76.7,0,63.6,67.2
1890153,368.4,251.2,0,492.0,107.4
1890154,260.6,253.4,0,92.0,337.8
