LampID,TrafficDensityHourly,MidnightDimming_Percent,PowerConsumption_Wh,LuxSensorReading,EnergySavingGrade
1890001,52.9,52.7,303.3,86.2,133.0
1890002,70.2,57.5,193.9,123.8,59.2
1890003,99.9,30.4,194.1,117.6,153.9
1890004,129.7,69.7,199.2,142.8,109.9
1890005,145.9,51.4,283.0,141.4,106.1
1890006,111.0,58.2,278.5,98.0,98.0
1890007,121.9,64.8,228.9,87.9,118.9
1890008,,71.3,233.7,107.1,92.7
1890009,43.8,68.4,245.0,85.0,89.3
1890010,62.7,74.2,324.2,107.1,48.9
1890011,89.2,40.9,343.8,109.6,119.2
1890012,88.8,60.5,247.8,173.0,109.1
1890013,133.4,42.6,279.4,124.3,62.9
1890014,97.3,26.0,278.2,81.7,151.4
1890015,121.8,39.3,257.0,78.8,101.6
1890016,91.3,69.7,271.9,122.3,123.6
1890017,123.9,56.1,471.0,95.7,132.9
1890018,109.9,58.5,341.8,91.9,140.2
1890019,83.2,52.4,240.2,105.6,140.2
1890020,106.6,45.5,275.7,98.0,86.2
1890021,53.0,39.7,188.2,136.2,121.4
1890022,112.7,47.4,414.7,60.4,106.5
1890023,130.7,43.6,294.9,128.2,84.1
1890024,106.5,21.7,188.7,113.2,91.9
1890025,100.0,41.0,286.1,71.4,106.9
1890026,86.2,53.2,266.8,132.3,69.2
1890027,128.5,51.3,101.6,95.8,90.2
1890028,113.8,35.3,325.8,82.2,119.7
1890029,97.5,36.2,249.3,127.2,95.8
1890030,120.5,69.3,242.8,44.0,105.6
1890031,72.1,46.2,169.3,74.5,67.0
1890032,87.3,56.4,209.8,116.4,155.2
1890033,89.3,63.5,436.4,55.4,133.0
1890034,75.3,47.6,155.4,76.4,122.4
1890035,95.6,56.9,241.2,86.6,99.0
1890036,87.6,60.4,112.6,115.0,97.6
1890037,100.1,15.1,178.8,121.7,95.1
1890038,103.2,67.7,333.2,101.2,78.7
1890039,65.6,51.3,67.6,73.4,98.1
1890040,116.0,49.8,168.1,28.1,119.8
1890041,49.6,11.6,277.5,94.8,118.9
1890042,81.2,30.2,349.1,102.5,81.8
1890043,50.8,53.9,85.7,107.3,56.8
1890044,78.3,61.9,215.6,129.6,114.6
1890045,140.3,65.9,226.3,108.4,85.5
1890046,115.4,59.2,293.0,108.3,81.6
1890047,55.8,28.0,191.7,134.8,73.1
1890048,115.7,40.9,252.8,134.9,64.3
1890049,110.5,48.0,247.0,49.8,84.0
1890050,33.5,47.7,243.8,93.8,121.6
1890051,61.3,40.3,234.7,130.8,80.9
