DayID,TradingVolume,DailyRange_Percent,VIX_Index,InstitutionalBuy_Percent,PriceVolatility
1900001,375.1,373.1,374.9,203.9,457.2
1900002,317.3,482.7,375.0,447.8,462.5
1900003,330.8,153.7,429.4,367.9,352.6
1900004,357.8,427.5,83.4,448.3,162.4
1900005,425.1,465.0,229.9,496.9,104.5
1900006,412.6,67.7,364.0,179.4,112.1
1900007,252.8,259.1,483.9,72.2,113.8
1900008,465.1,150.7,437.7,48.2,23.3
1900009,260.2,214.4,103.9,228.0,117.8
1900010,472.5,351.5,125.4,446.4,475.3
1900011,229.3,214.9,91.5,313.5,136.0
1900012,173.2,47.3,224.9,487.5,136.2
1900013,345.8,370.8,35.3,278.5,234.1
1900014,324.8,153.2,319.7,344.5,104.0
1900015,479.8,467.9,220.1,454.3,37.2
1900016,75.3,274.0,197.2,416.9,175.8
1900017,323.7,327.3,27.3,153.2,85.3
1900018,358.9,476.9,431.2,89.3,411.1
1900019,277.8,217.7,488.1,126.9,29.2
1900020,231.3,289.4,137.7,231.4,26.3
1900021,470.2,359.2,460.0,312.9,394.6
1900022,465.7,431.5,449.3,145.9,485.5
1900023,93.3,487.9,198.2,399.3,323.0
1900024,105.7,432.7,466.0,255.3,119.1
1900025,192.0,308.0,410.3,492.2,491.4
1900026,219.3,465.8,110.0,133.6,76.3
1900027,12.4,141.6,142.9,142.7,201.0
1900028,131.9,99.7,230.6,222.9,204.4
1900029,231.4,401.9,344.8,55.2,486.0
1900030,315.9,16.0,30.7,308.3,208.1
1900031,261.7,335.4,123.5,282.8,309.0
1900032,171.0,183.5,359.3,133.1,54.0
1900033,137.9,371.6,231.5,37.2,77.8
1900034,281.4,229.1,345.1,297.4,393.6
1900035,327.2,218.1,92.3,431.6,134.7
1900036,491.5,245.1,142.6,101.5,263.1
1900037,176.7,261.9,472.5,423.0,196.3
1900038,179.0,414.5,206.1,79.4,27.5
1900039,480.1,470.1,154.9,61.1,134.9
1900040,239.5,138.4,160.5,49.6,485.5
1900041,21.3,96.6,350.8,283.0,58.5
1900042,253.1,322.8,199.5,405.5,172.7
1900043,376.1,322.9,395.8,219.0,256.5
1900044,388.0,389.7,242.4,304.9,60.4
1900045,137.6,427.4,153.2,334.1,217.4
1900046,154.6,84.8,326.8,442.5,400.4
1900047,312.8,164.0,395.9,226.1,247.7
1900048,18.7,150.0,383.9,233.0,306.7
1900049,437.2,146.8,214.0,344.7,142.5
1900050,290.9,364.2,232.5,431.6,350.3
1900051,166.6,132.0,185.0,360.3,345.0
1900052,64.8,349.8,309.8,153.5,440.1
1900053,290.5,431.6,41.2,80.3,453.5
1900054,363.1,468.6,474.3,459.4,470.1
1900055,77.5,124.0,451.3,37.6,493.6
1900056,77.2,57.5,468.4,433.6,387.3
1900057,487.5,454.5,182.2,423.2,396.6
1900058,387.9,282.6,331.1,24.3,235.1
1900059,222.4,118.5,493.4,91.0,318.2
1900060,127.0,235.0,137.3,334.7,354.4
1900061,122.7,468.2,150.6,338.9,258.4
1900062,415.2,386.8,298.4,245.8,444.6
1900063,346.7,420.0,197.2,460.4,337.8
1900064,403.7,136.6,339.5,385.2,250.9
1900065,175.4,72.2,355.4,294.8,37.6
1900066,442.0,143.2,448.9,154.8,20.9
1900067,305.5,462.1,329.6,136.1,268.8
1900068,302.1,406.0,15.1,99.2,329.3
1900069,92.3,232.0,168.2,477.6,389.5
1900070,57.7,181.0,373.6,194.3,159.5
1900071,27.1,211.3,37.2,215.7,181.8
1900072,463.1,269.3,318.1,306.2,263.9
1900073,360.0,330.5,446.3,267.8,372.7
1900074,45.5,308.4,154.9,178.3,445.0
1900075,237.8,318.2,399.0,88.9,22.8
1900076,458.4,417.3,320.3,465.5,280.5
1900077,458.5,177.2,,24.7,451.2
1900078,383.1,390.7,212.3,359.2,111.0
1900079,84.8,277.3,335.3,466.5,328.2
1900080,251.6,199.9,120.1,217.2,195.3
1900081,31.9,84.8,86.6,285.8,112.2
1900082,209.9,152.2,348.9,19.9,288.0
1900083,91.8,244.6,424.8,385.2,254.8
1900084,272.6,219.6,224.1,137.5,166.2
1900085,317.5,173.3,395.6,372.6,404.6
1900086,404.5,120.4,329.5,466.6,447.6
1900087,413.0,281.6,337.0,47.1,105.9
1900088,204.5,315.0,486.6,126.3,362.1
1900089,78.9,387.2,132.4,392.7,205.7
1900090,218.9,354.2,90.6,341.4,110.1
1900091,366.7,72.0,381.6,448.1,74.8
1900092,477.5,21.3,370.6,453.1,211.7
1900093,10.5,187.1,65.6,25.3,23.0
1900094,112.5,108.1,345.6,150.4,58.2
1900095,63.8,313.8,114.9,430.5,455.6
1900096,268.7,24.5,169.4,286.4,300.0
1900097,106.3,128.4,135.3,429.5,474.2
1900098,105.4,474.4,401.9,117.9,320.7
1900099,60.0,488.5,419.8,460.7,238.0
1900100,341.6,58.8,317.9,366.8,363.7
1900101,301.5,326.3,99.6,108.8,252.7
1900102,281.7,148.0,380.2,238.1,353.6
1900103,40.5,78.9,,97.2,203.2
1900104,76.8,85.6,186.6,338.8,389.5
1900105,136.4,474.8,428.3,178.1,43.9
1900106,51.9,379.7,265.8,45.2,427.3
1900107,133.9,34.6,54.6,383.7,355.0
1900108,420.4,200.1,82.0,487.3,58.2
1900109,114.8,482.6,313.4,142.4,281.4
1900110,283.2,480.5,99.8,155.7,87.3
1900111,167.3,345.4,212.5,433.6,376.4
1900112,263.9,137.7,453.5,51.8,350.7
1900113,345.1,137.1,48.4,76.6,401.2
1900114,272.3,89.5,454.0,318.6,360.1
1900115,71.9,401.0,321.4,318.1,274.0
1900116,119.9,263.5,89.6,442.6,332.6
1900117,24.5,111.7,165.2,79.6,244.8
1900118,63.4,129.4,132.2,286.4,174.2
1900119,294.9,43.7,469.6,11.5,356.8
1900120,299.9,450.7,329.0,202.9,224.8
1900121,172.0,11.9,256.0,137.3,206.3
1900122,417.0,210.0,492.7,128.3,64.1
1900123,350.8,130.0,105.2,212.9,143.0
1900124,273.5,106.1,234.1,388.4,64.9
1900125,163.6,477.4,399.5,228.2,419.8
1900126,446.2,173.1,303.6,245.7,491.3
1900127,255.8,407.1,230.3,264.5,478.6
1900128,397.4,394.8,183.7,311.7,497.6
1900129,336.5,25.4,68.8,179.4,369.9
1900130,228.2,328.1,49.6,34.8,354.8
1900131,341.5,161.6,496.4,224.0,429.7
1900132,307.7,90.0,362.9,361.3,41.7
1900133,32.9,441.0,397.2,105.6,387.7
1900134,111.6,351.7,498.1,229.6,322.5
1900135,152.3,352.7,465.2,465.2,457.9
1900136,348.1,115.5,59.2,18.8,296.6
1900137,244.1,36.6,449.6,452.8,288.7
1900138,163.4,124.6,414.6,47.0,304.1
1900139,154.3,35.6,169.7,292.7,479.4
1900140,444.2,351.3,248.2,476.1,225.2
1900141,316.1,172.0,90.0,36.5,404.0
1900142,27.4,483.0,344.6,430.0,479.4
1900143,46.0,58.0,13.9,260.7,407.3
1900144,198.1,324.4,26.8,299.1,100.9
1900145,462.6,384.4,403.5,141.6,271.3
1900146,476.7,48.8,340.4,62.5,33.5
1900147,420.8,156.0,175.6,479.4,68.2
1900148,325.7,56.7,358.8,65.7,26.6
1900149,324.9,353.4,273.2,431.1,42.0
1900150,317.7,166.1,464.2,182.4,12.1
1900151,205.6,331.7,198.4,192.6,443.7
1900152,377.7,456.0,365.5,263.9,394.2
1900153,169.2,403.5,396.8,84.1,111.9
1900154,428.1,283.9,302.8,490.2,334.4
1900155,331.9,263.7,372.3,481.0,142.6
1900156,106.2,315.2,234.9,193.2,241.8
1900157,38.0,437.1,398.9,357.8,128.0
1900158,295.4,28.5,326.1,331.5,13.3
1900159,248.0,72.9,372.5,224.6,267.8
1900160,318.3,171.5,40.0,33.7,266.8
1900161,17.1,360.6,467.9,204.3,454.8
1900162,251.4,271.9,466.2,354.4,89.7
1900163,243.8,252.4,403.0,393.4,45.8
1900164,154.3,182.8,429.5,387.8,426.2
1900165,71.3,342.4,265.4,361.8,87.5
1900166,49.1,33.1,238.0,318.4,388.8
1900167,15.7,368.1,479.4,381.8,15.3
1900168,121.5,389.8,467.8,54.8,260.4
1900169,362.1,21.3,257.2,303.6,22.0
1900170,103.1,173.8,356.6,384.6,337.1
1900171,397.7,496.7,70.1,98.0,388.5
1900172,350.1,355.2,467.9,90.1,233.0
1900173,421.1,35.1,458.2,90.8,172.9
1900174,170.8,75.5,289.7,245.6,381.0
1900175,361.4,423.7,313.6,439.8,417.8
1900176,104.5,64.5,308.5,192.7,313.4
1900177,37.5,82.0,184.0,331.9,114.0
1900178,30.3,57.0,276.9,335.2,75.0
1900179,416.4,304.9,90.5,255.9,152.0
1900180,163.8,93.6,222.4,183.9,257.6
1900181,192.4,417.8,365.9,429.1,185.1
1900182,48.4,38.2,439.8,378.3,107.2
1900183,138.9,404.7,475.8,12.8,461.7
1900184,327.4,60.4,284.9,407.6,174.8
1900185,103.1,431.2,64.4,48.7,187.6
1900186,65.3,389.9,348.4,357.7,285.6
1900187,499.7,147.3,150.0,362.3,297.2
1900188,89.6,341.5,383.1,475.5,153.1
1900189,142.0,54.7,238.7,183.5,288.9
1900190,282.0,52.4,392.5,330.1,362.8
1900191,231.6,125.1,,112.0,419.2
1900192,401.3,325.6,399.3,258.4,162.3
1900193,218.9,161.1,106.0,230.2,493.1
1900194,378.5,10.6,403.4,224.3,265.9
1900195,381.1,108.8,488.6,23.7,111.4
1900196,277.9,39.7,15.4,310.7,272.3
1900197,108.8,106.9,397.4,195.7,226.6
1900198,411.6,279.7,359.4,409.7,455.1
1900199,205.5,282.9,482.1,306.9,120.3
1900200,271.2,285.7,128.3,214.5,294.4
1900201,303.6,141.5,438.0,416.5,175.0
1900202,430.4,27.4,319.2,484.2,444.5
1900203,96.1,268.8,439.2,309.3,75.0
1900204,182.8,237.9,149.4,254.1,365.8
1900205,90.5,161.6,96.5,334.5,191.4
1900206,206.9,135.1,69.3,276.8,423.1
1900207,145.2,376.0,409.5,260.1,306.3
1900208,230.2,300.8,108.5,478.5,304.3
1900209,206.8,170.9,121.0,490.5,333.2
1900210,449.0,461.9,472.5,73.5,341.4
1900211,228.3,479.2,115.3,286.9,310.4
1900212,392.8,302.2,57.0,48.2,419.7
1900213,357.2,284.7,202.6,49.7,495.7
1900214,343.7,184.4,393.0,96.5,363.1
1900215,359.9,286.6,197.9,101.6,161.9
1900216,426.5,63.1,30.1,97.2,399.9
1900217,347.8,203.4,99.8,278.3,320.2
1900218,254.5,453.9,490.1,180.1,98.3
1900219,143.6,386.8,161.8,297.9,58.2
1900220,434.8,287.7,15.1,499.2,343.8
1900221,194.7,302.6,382.0,103.4,323.4
1900222,101.9,218.9,294.4,38.9,132.7
1900223,343.6,403.6,21.3,162.5,107.5
1900224,399.6,13.1,181.3,211.4,279.6
1900225,337.1,488.8,397.6,323.1,342.1
1900226,345.0,155.4,123.1,56.2,222.9
1900227,65.7,362.8,377.0,85.1,210.3
1900228,111.0,133.8,129.7,58.0,228.0
1900229,423.5,307.4,240.1,379.0,87.1
1900230,315.8,379.5,260.8,241.3,156.7
1900231,478.6,74.2,99.2,440.9,246.3
1900232,259.4,113.0,401.7,303.2,91.4
1900233,323.9,410.9,32.7,309.3,108.8
1900234,72.7,54.4,163.0,200.1,332.4
1900235,449.5,447.3,124.8,62.0,131.9
1900236,78.8,423.1,360.3,281.0,89.5
1900237,389.4,216.9,403.2,97.2,211.4
1900238,438.0,321.4,218.6,234.6,150.6
1900239,156.8,301.7,482.3,396.9,314.3
1900240,219.2,398.3,258.9,278.4,89.4
1900241,360.5,255.5,337.7,286.9,87.1
1900242,182.9,370.8,336.3,186.5,499.9
1900243,277.5,415.9,391.1,427.8,305.2
1900244,182.3,194.0,222.8,193.1,162.2
1900245,402.7,285.3,201.6,481.7,263.1
1900246,174.6,472.5,13.0,162.6,207.4
1900247,13.2,240.4,377.3,303.9,84.6
1900248,232.2,170.4,185.7,133.1,42.3
1900249,428.0,340.1,465.5,183.3,425.8
1900250,388.8,365.3,318.7,261.4,457.6
1900251,249.7,103.2,92.7,499.1,366.2
1900252,456.9,86.8,461.2,226.5,497.4
1900253,495.3,474.9,180.6,145.1,488.3
1900254,455.9,420.5,180.2,390.3,313.7
1900255,260.3,361.0,251.4,219.2,373.3
1900256,339.7,33.9,440.3,192.1,315.0
1900257,256.8,232.0,243.1,84.1,172.7
1900258,97.8,385.8,37.9,445.8,368.5
1900259,25.2,244.4,412.8,488.4,181.5
1900260,269.2,124.4,498.3,271.6,165.2
1900261,18.9,481.0,487.5,277.2,104.0
1900262,81.6,424.7,211.4,45.0,276.8
1900263,73.6,466.0,51.8,300.7,241.1
1900264,35.4,292.9,416.1,371.6,20.1
1900265,207.7,457.1,450.6,80.0,465.8
1900266,36.5,313.8,382.9,155.1,234.8
1900267,460.5,278.9,404.8,231.6,258.7
1900268,424.7,350.7,180.6,247.1,176.3
1900269,351.8,275.4,73.4,118.0,159.6
1900270,417.9,55.1,,103.7,118.7
1900271,408.5,238.2,238.4,373.4,93.9
1900272,493.9,68.9,49.7,310.2,456.7
1900273,456.2,196.7,305.9,397.3,288.6
1900274,22.1,294.5,364.1,365.6,55.7
1900275,188.7,308.9,72.8,278.5,54.2
1900276,239.9,107.8,475.5,158.4,47.9
1900277,383.2,365.1,496.6,74.8,194.4
1900278,139.6,160.9,368.7,149.3,234.4
1900279,458.3,444.1,109.0,313.7,21.1
1900280,99.4,150.0,52.6,499.7,318.2
1900281,132.3,176.6,455.3,288.4,346.6
1900282,265.0,339.2,376.3,386.0,56.3
1900283,102.1,197.6,64.8,475.2,62.3
1900284,292.4,51.4,171.1,477.6,313.9
1900285,22.7,196.0,242.4,414.5,162.7
1900286,93.0,74.0,167.2,431.3,222.8
1900287,258.4,61.8,430.5,296.1,405.3
1900288,31.1,152.9,421.3,218.9,85.3
1900289,257.8,486.1,451.9,276.4,484.8
1900290,104.9,268.3,264.8,133.4,197.1
1900291,86.6,28.2,446.0,373.3,214.2
1900292,179.5,205.6,400.8,153.2,261.3
1900293,219.4,128.7,142.5,361.2,114.3
1900294,299.2,419.6,346.0,255.2,450.8
1900295,188.2,197.1,292.2,284.5,204.5
1900296,318.5,441.9,140.5,179.2,332.4
1900297,432.7,152.8,448.5,474.4,250.9
1900298,25.8,69.8,137.4,270.1,117.7
1900299,44.6,96.2,176.6,337.5,332.5
1900300,50.9,75.2,103.0,205.3,453.1
1900301,395.3,345.4,52.5,107.3,423.1
1900302,135.9,351.6,292.5,277.6,360.6
1900303,412.1,215.5,447.2,467.9,393.3
1900304,170.3,111.8,181.6,370.6,468.6
1900305,10.6,248.2,420.3,147.7,96.5
1900306,127.0,130.0,99.5,269.1,38.1
1900307,358.0,156.1,292.2,173.2,337.6
1900308,53.7,99.6,421.0,192.6,107.9
1900309,126.6,116.6,51.9,352.6,147.6
1900310,355.3,428.4,428.3,34.3,476.7
1900311,238.1,368.0,241.4,147.2,184.4
1900312,350.5,403.6,78.8,159.4,203.8
1900313,311.2,150.0,21.0,206.8,370.1
1900314,98.3,250.6,171.3,340.3,312.0
1900315,209.3,452.5,63.7,84.2,448.7
1900316,142.2,201.1,365.0,322.7,65.4
1900317,364.5,335.8,54.8,380.4,256.4
