RoastBatchID,RateOfRise_ROR,ChargeTempCelsius,DevelopmentTimeRatio_Percent,CuppingScore,RoastProfileGrade
1950001,59.5,153.8,35.7,8.3,135.9
1950002,17.1,125.7,39.6,5.8,66.9
1950003,24.5,149.9,40.8,8.6,121.3
1950004,54.0,155.0,59.4,6.4,21.2
1950005,50.0,93.6,39.6,8.0,112.4
1950006,43.8,134.1,66.6,5.9,63.8
1950007,57.9,120.0,48.4,9.1,92.0
1950008,26.2,166.4,47.6,5.6,112.4
1950009,67.4,185.0,44.6,4.9,65.8
1950010,35.1,87.9,62.1,5.6,72.7
1950011,40.0,151.5,39.8,9.9,119.5
1950012,32.2,94.8,49.4,6.3,90.0
1950013,26.2,116.2,24.0,7.3,93.5
1950014,36.2,168.4,21.1,9.0,140.0
1950015,60.8,116.1,49.3,7.0,105.7
1950016,76.1,168.0,42.0,8.5,112.1
1950017,59.8,157.6,39.1,7.8,152.5
1950018,32.1,109.7,32.3,7.6,58.1
1950019,36.8,112.6,53.2,6.9,133.8
1950020,72.5,79.1,65.5,7.2,101.8
1950021,49.0,139.9,57.2,7.5,65.5
1950022,33.4,138.6,49.4,7.8,53.0
1950023,50.3,162.7,50.4,6.3,82.7
1950024,57.5,99.6,51.2,7.3,78.2
1950025,53.1,226.7,39.9,4.3,123.9
1950026,22.5,168.0,56.5,8.0,102.6
1950027,34.0,115.1,55.0,10.0,109.5
1950028,19.1,104.8,37.4,9.3,125.7
1950029,40.1,110.9,10.4,8.9,118.0
1950030,60.6,124.2,14.8,7.8,127.8
1950031,50.0,110.9,58.7,7.3,104.7
1950032,45.5,108.0,52.9,5.4,78.9
1950033,40.4,121.4,62.1,8.0,123.5
1950034,51.3,111.0,58.4,6.8,96.5
1950035,53.2,99.3,39.2,7.9,111.7
1950036,25.5,160.9,38.9,6.7,129.8
1950037,54.0,101.0,41.5,9.6,89.0
1950038,47.6,94.6,55.9,6.8,103.8
1950039,34.5,132.2,47.5,8.4,125.0
1950040,61.2,143.2,25.1,7.8,116.8
1950041,52.9,128.3,54.3,9.4,82.2
