SectorID,NDVI_Value,SoilSalinity,DailySunshineHours,CropYield_KgPerAcre,GrainProteinRatio_Percent
1960001,77937.0,78.4,20.0,142.9,37.9
1960002,96442.0,126.0,20.4,105.8,64.5
1960003,18160.0,81.8,25.6,67.2,42.8
1960004,68709.0,166.4,11.6,114.4,33.2
1960005,67288.0,99.2,6.4,98.4,25.4
1960006,94731.0,113.8,24.6,131.9,39.7
1960007,51810.0,110.5,18.2,105.3,46.0
1960008,60082.0,67.5,37.8,74.1,51.2
1960009,69635.0,90.7,18.8,120.3,27.6
1960010,82618.0,96.1,40.8,80.9,53.8
1960011,41718.0,113.4,19.3,99.5,47.2
1960012,76380.0,114.5,40.5,100.5,18.7
1960013,101438.0,73.7,43.3,90.2,64.1
1960014,39658.0,111.8,19.3,109.4,50.6
1960015,102233.0,89.7,29.6,109.9,41.7
1960016,49613.0,63.7,39.3,101.2,39.3
1960017,66865.0,76.0,20.3,92.6,43.4
1960018,37553.0,122.4,30.8,105.0,41.3
1960019,,89.3,33.6,108.7,58.3
1960020,73425.0,114.1,21.0,108.2,45.9
1960021,86488.0,108.5,17.7,110.7,58.9
1960022,40479.0,49.4,26.7,125.3,52.5
1960023,91159.0,127.5,42.3,128.4,31.7
1960024,54867.0,103.0,32.8,136.9,41.6
1960025,74922.0,77.8,43.4,129.1,30.1
1960026,61303.0,102.1,16.9,114.3,49.5
1960027,,97.4,28.5,103.4,48.5
1960028,79116.0,88.5,29.6,69.3,53.0
1960029,60298.0,101.2,35.4,86.8,40.9
1960030,55658.0,120.9,14.6,116.4,31.1
1960031,49839.0,139.7,31.7,127.8,40.3
1960032,53315.0,119.3,34.6,82.5,54.6
1960033,73219.0,36.9,43.5,70.5,48.9
1960034,73484.0,104.6,17.1,76.2,76.1
1960035,67202.0,112.1,32.3,94.6,61.2
1960036,40074.0,88.2,8.4,107.7,50.5
1960037,64965.0,60.1,13.9,113.1,36.3
1960038,76082.0,92.7,16.8,89.2,62.8
1960039,42449.0,38.0,19.4,59.7,23.3
1960040,73039.0,74.1,25.8,91.9,49.8
1960041,82573.0,55.7,20.0,91.0,23.7
1960042,71331.0,98.5,10.5,80.2,56.6
1960043,72480.0,104.2,19.2,87.7,39.8
1960044,59880.0,115.5,9.5,87.7,32.2
1960045,74992.0,102.4,15.3,87.2,44.7
1960046,65942.0,94.5,17.2,83.7,48.2
1960047,58519.0,63.9,20.4,70.9,33.6
1960048,44632.0,113.5,11.1,72.9,32.3
1960049,47732.0,53.1,37.3,94.0,79.4
1960050,46431.0,119.8,18.3,127.3,44.1
1960051,82062.0,124.2,18.3,108.5,44.8
1960052,65252.0,120.3,43.0,120.4,21.5
1960053,96710.0,58.8,39.1,100.6,73.2
1960054,66303.0,127.4,40.2,69.9,16.6
1960055,62517.0,92.8,9.0,91.0,28.4
1960056,28889.0,101.6,25.7,104.7,34.0
1960057,77129.0,141.2,18.7,93.8,58.1
1960058,69913.0,97.9,12.2,93.4,40.5
1960059,41142.0,83.2,6.4,68.4,49.7
1960060,67661.0,80.4,15.2,74.0,41.6
1960061,62002.0,111.9,42.0,113.3,64.2
1960062,66172.0,106.9,25.8,81.6,36.2
1960063,46887.0,75.0,5.3,64.6,23.7
1960064,57795.0,92.7,24.4,95.9,34.0
1960065,85343.0,96.7,15.7,95.2,71.9
1960066,59661.0,92.3,45.0,149.1,40.2
1960067,63905.0,97.1,28.2,94.0,59.0
1960068,55172.0,93.0,23.5,103.8,5.1
1960069,56338.0,83.2,35.8,105.4,58.5
1960070,45330.0,137.6,8.6,130.7,50.6
1960071,47322.0,135.5,12.3,93.9,70.1
1960072,81428.0,82.6,19.1,102.9,56.0
1960073,,103.3,33.8,87.1,45.3
1960074,83842.0,124.6,15.1,104.3,65.9
1960075,22151.0,71.1,32.1,139.3,32.3
1960076,59862.0,138.0,18.8,127.2,58.6
1960077,57735.0,89.2,11.3,118.8,68.4
