TransactionID,ItemCount,FreshProduce_Percent,CouponUsed,PaymentMethod,TotalSpend
1990001,330.8,120.3,1,237.8,258.6
1990002,491.2,297.6,1,160.7,52.7
1990003,206.0,478.8,1,306.4,272.3
1990004,423.6,426.1,1,449.7,173.6
1990005,237.3,139.3,1,243.2,158.5
1990006,277.0,287.3,1,193.7,110.0
1990007,313.5,22.7,1,142.1,464.5
1990008,172.6,23.1,0,387.0,452.2
1990009,490.7,118.8,1,295.2,231.2
1990010,137.9,136.4,1,17.1,463.0
1990011,470.6,33.5,1,174.9,439.4
1990012,32.0,453.7,1,485.6,149.4
1990013,215.9,481.8,1,486.3,426.0
1990014,416.7,333.6,1,102.6,34.6
1990015,294.5,183.5,1,209.6,136.1
1990016,66.8,418.0,1,315.2,436.5
1990017,63.2,76.4,0,347.7,31.6
1990018,446.9,262.1,1,95.8,499.2
1990019,227.7,386.5,0,179.5,75.8
1990020,274.2,166.8,0,338.5,290.9
1990021,298.5,273.4,0,283.4,356.5
1990022,274.3,446.2,1,438.5,72.8
1990023,49.2,496.3,1,274.3,15.7
1990024,184.8,161.3,0,484.5,377.9
1990025,162.4,34.1,1,142.3,287.0
1990026,430.1,235.9,1,206.5,179.4
1990027,415.3,323.3,0,91.5,44.7
1990028,253.5,475.1,1,384.8,237.9
1990029,403.3,142.0,1,148.2,135.3
1990030,245.5,119.6,1,405.8,251.0
1990031,105.6,162.9,1,33.1,26.4
1990032,424.2,489.9,0,445.9,209.9
1990033,160.4,382.3,1,104.8,13.7
1990034,142.0,146.4,0,43.9,214.0
1990035,426.9,143.5,0,285.0,466.1
1990036,237.5,194.2,1,147.4,268.5
1990037,294.5,,1,162.4,46.8
1990038,483.2,97.4,0,101.0,478.3
1990039,150.0,342.7,0,320.4,137.5
1990040,436.4,77.3,1,37.4,459.9
1990041,51.0,26.3,0,290.6,190.3
1990042,394.9,293.8,0,351.0,436.0
1990043,122.9,378.7,1,167.3,376.9
1990044,62.7,350.7,1,448.8,48.1
1990045,479.9,379.1,1,199.7,252.2
1990046,173.6,473.5,1,41.2,177.3
1990047,282.2,481.4,1,138.8,394.9
1990048,368.0,35.8,1,320.5,318.0
1990049,191.6,149.2,0,235.6,217.0
1990050,439.2,,1,40.3,156.8
1990051,452.0,283.6,0,499.8,336.7
1990052,281.2,494.1,1,247.0,87.9
1990053,146.5,293.7,1,447.1,130.6
1990054,424.3,118.3,0,414.6,467.4
1990055,97.7,466.5,0,490.7,342.5
1990056,12.6,249.3,0,479.0,95.4
1990057,458.3,21.6,1,391.2,182.6
1990058,170.1,433.8,0,183.8,182.0
1990059,265.7,351.7,1,360.5,400.5
1990060,79.9,34.9,0,303.4,452.1
1990061,49.5,437.1,1,258.0,197.8
1990062,206.6,191.5,1,443.4,471.9
1990063,432.6,37.6,0,150.6,184.6
1990064,461.3,250.1,0,252.6,398.1
1990065,288.2,362.8,1,176.5,496.3
1990066,158.8,215.6,0,397.2,355.7
1990067,130.1,338.8,0,489.5,492.0
1990068,89.8,465.5,0,32.6,195.2
1990069,31.6,89.5,0,414.7,353.9
1990070,429.9,432.8,1,243.8,98.8
1990071,47.6,447.7,0,98.8,153.9
1990072,142.3,,0,316.2,275.1
1990073,238.9,56.5,1,60.9,280.8
1990074,395.5,41.8,1,439.9,342.2
1990075,126.2,361.4,0,177.0,387.3
1990076,233.2,68.5,0,368.2,360.5
1990077,208.6,210.5,1,35.7,115.9
1990078,248.7,330.0,0,449.0,56.2
1990079,25.6,136.5,1,346.0,14.3
1990080,409.8,29.4,1,345.4,173.0
