DayID,TradingVolume,DailyRange_Percent,VIX_Index,InstitutionalBuy_Percent,PriceVolatility
2000001,474.3,49.8,69.8,280.6,492.4
2000002,121.0,223.6,206.9,369.1,168.0
2000003,301.3,230.5,55.9,318.4,405.7
2000004,219.9,445.4,52.0,385.6,189.1
2000005,384.4,246.7,141.4,371.8,383.6
2000006,11.4,140.6,163.9,122.8,350.7
2000007,185.1,332.5,91.7,13.4,59.7
2000008,455.8,470.1,219.6,418.8,486.3
2000009,233.5,351.8,79.6,103.6,178.6
2000010,491.1,34.7,380.9,158.4,433.8
2000011,435.0,136.6,405.9,141.0,386.0
2000012,493.2,153.8,221.1,181.3,206.2
2000013,462.4,44.1,104.1,407.0,289.6
2000014,158.8,162.2,224.2,142.5,459.4
2000015,424.6,227.3,330.5,281.2,137.3
2000016,69.4,262.7,172.7,180.5,169.4
2000017,394.9,102.4,226.5,215.0,372.8
2000018,132.7,372.2,446.2,82.4,189.8
2000019,57.1,499.6,,146.3,69.7
2000020,472.3,492.7,72.9,145.5,194.5
2000021,414.8,185.4,299.2,101.1,205.3
2000022,264.0,256.0,55.7,227.5,114.9
2000023,438.0,60.5,226.2,255.0,255.8
2000024,293.4,389.3,292.8,125.6,186.0
2000025,230.5,13.4,54.0,489.1,466.6
2000026,343.3,371.7,230.9,400.2,352.6
2000027,215.5,298.7,127.8,101.2,475.0
2000028,323.8,269.6,30.8,98.1,91.2
2000029,308.2,445.5,427.9,142.1,209.2
2000030,61.7,446.6,123.9,486.2,61.0
2000031,483.4,10.2,329.6,82.0,358.7
2000032,381.8,223.2,454.2,231.1,435.5
2000033,343.0,343.4,38.3,263.5,177.6
2000034,171.4,200.6,67.5,292.4,218.6
2000035,23.0,53.1,477.7,157.0,459.8
2000036,403.8,437.9,257.9,330.8,359.0
2000037,486.7,328.2,153.8,216.7,139.2
2000038,148.6,343.5,495.5,475.5,341.9
2000039,328.0,43.8,81.2,406.0,345.3
2000040,140.1,105.5,50.4,367.9,30.0
2000041,102.0,433.3,152.2,442.5,409.0
2000042,215.3,374.4,329.2,401.6,353.1
2000043,336.3,465.9,466.9,498.4,22.0
2000044,263.5,324.4,26.5,70.5,394.4
