RespondentID,Country,YearsCode,Employment,Salary,PrimaryLanguage
300001,US,6,Employed full-time,60606,JavaScript
300002,US,9,Employed full-time,62752,Python
300003,India,20,Employed full-time,118035,Python
300004,India,19,Employed full-time,111392,JavaScript
300005,US,12,Employed full-time,88502,JavaScript
300006,UK,17,Employed full-time,99219,Python
300007,US,12,Employed full-time,83470,Python
300008,Canada,3,Employed full-time,46775,C++
300009,Germany,9,Employed full-time,74855,C++
300010,US,1,Not employed,49548,C++
300011,UK,3,Employed full-time,66356,Rust
300012,India,16,Employed full-time,86132,Java
300013,Germany,3,Employed full-time,37518,Python
300014,US,3,Employed full-time,62681,Python
300015,US,19,Employed full-time,110469,Python
300016,India,9,Employed full-time,73681,C++
300017,US,17,Employed full-time,99590,C++
300018,UK,3,Employed full-time,36193,C++
300019,UK,12,Employed full-time,68879,Java
300020,Canada,12,Employed full-time,89330,Python
300021,India,9,Employed full-time,63476,Python
300022,India,9,Employed full-time,65502,Java
300023,US,13,Employed full-time,86404,Rust
300024,India,2,Employed full-time,45583,JavaScript
300025,US,2,Independent contractor,56077,Python
300026,US,17,Employed full-time,88656,Java
300027,Germany,17,Independent contractor,120130,JavaScript
300028,US,18,Employed full-time,124293,Go
300029,Canada,6,Employed full-time,74364,Python
300030,Germany,1,Not employed,37785,Python
300031,US,17,Employed full-time,89267,Python
300032,US,13,Employed full-time,88258,JavaScript
300033,India,17,Independent contractor,85717,Python
300034,India,7,Employed full-time,80751,Python
300035,US,1,Employed full-time,60972,Rust
300036,Germany,19,Independent contractor,110859,C++
300037,India,8,Employed full-time,68377,Python
300038,India,10,Employed full-time,77448,Python
300039,Germany,16,Employed full-time,98906,JavaScript
300040,India,17,Employed full-time,105186,Java
300041,India,4,Employed full-time,54878,Python
300042,US,5,Employed full-time,71344,Rust
300043,India,19,Not employed,116247,JavaScript
300044,Korea,15,Employed full-time,103671,Python
300045,Canada,6,Employed full-time,65778,JavaScript
300046,US,4,Employed full-time,58342,Python
300047,US,7,Employed full-time,59188,Python
300048,US,4,Employed full-time,63414,Java
300049,Canada,18,Employed full-time,115889,JavaScript
300050,US,17,Independent contractor,95118,JavaScript
300051,US,3,Employed full-time,58182,JavaScript
300052,Germany,6,Employed full-time,51582,C++
300053,US,1,Employed full-time,42663,Python
300054,US,3,Employed full-time,40321,Python
300055,India,5,Employed full-time,78930,Rust
300056,Canada,6,Employed full-time,51719,C++
300057,US,15,Employed full-time,105433,Go
300058,Germany,19,Employed full-time,94052,Python
300059,UK,4,Employed full-time,56803,JavaScript
300060,US,9,Employed full-time,61930,JavaScript
300061,US,5,Employed full-time,74103,Go
300062,Korea,13,Employed full-time,102797,Go
300063,India,15,Employed full-time,93046,JavaScript
300064,US,19,Employed full-time,93249,Python
300065,Germany,4,Employed full-time,59795,Java
300066,Canada,16,Not employed,95933,C++
300067,US,4,Employed full-time,50606,C++
300068,US,4,Employed full-time,59524,Rust
300069,India,12,Not employed,84683,Python
300070,Canada,7,Employed full-time,49194,C++
300071,Germany,7,Employed full-time,62276,Java
300072,US,6,Not employed,58247,C++
300073,UK,10,Employed full-time,78769,Rust
300074,UK,14,Employed full-time,90033,Python
300075,US,18,Employed full-time,102500,Java
300076,US,8,Employed full-time,81226,Python
300077,India,10,Employed full-time,77036,Python
300078,US,6,Employed full-time,85465,Rust
300079,India,10,Employed full-time,81367,Python
300080,UK,2,Employed full-time,58880,Rust
300081,US,5,Independent contractor,82720,Go
300082,Korea,1,Employed full-time,55067,Go
300083,US,19,Employed full-time,107471,C++
300084,Korea,6,Employed full-time,54811,Java
300085,US,16,Independent contractor,107876,C++
300086,India,13,Employed full-time,74668,JavaScript
300087,US,3,Independent contractor,59841,JavaScript
300088,India,14,Employed full-time,87030,Python
300089,US,18,Employed full-time,92790,Java
300090,US,2,Independent contractor,49405,JavaScript
300091,India,8,Employed full-time,82294,JavaScript
300092,US,14,Employed full-time,96612,JavaScript
300093,UK,2,Employed full-time,34957,C++
300094,Canada,18,Employed full-time,119481,Rust
300095,India,20,Employed full-time,123205,Java
300096,India,6,Employed full-time,83727,Rust
300097,US,19,Employed full-time,116625,Rust
300098,Germany,4,Employed full-time,44281,Python
300099,US,1,Employed full-time,45342,JavaScript
300100,Germany,3,Employed full-time,45522,JavaScript
300101,Korea,1,Employed full-time,57494,C++
300102,Canada,6,Employed full-time,89561,Go
300103,India,10,Employed full-time,71887,Python
300104,Canada,17,Employed full-time,81242,Java
300105,US,16,Not employed,96973,JavaScript
300106,Germany,19,Employed full-time,102395,C++
300107,US,7,Employed full-time,65482,Python
300108,India,19,Employed full-time,110588,C++
300109,Germany,11,Employed full-time,87408,Python
300110,Germany,17,Employed full-time,93829,Python
300111,Canada,20,Employed full-time,121541,C++
300112,US,12,Employed full-time,95897,Go
300113,US,13,Employed full-time,74883,Python
300114,UK,2,Not employed,48982,Go
300115,UK,18,Not employed,106366,C++
300116,Germany,17,Independent contractor,107796,Go
300117,India,18,Independent contractor,109875,Rust
300118,Germany,3,Employed full-time,77172,Rust
300119,India,20,Employed full-time,121715,Java
300120,Korea,10,Employed full-time,74031,Python
300121,US,16,Employed full-time,96141,Go
300122,US,2,Employed full-time,66938,Rust
300123,Canada,3,Independent contractor,49359,C++
300124,US,13,Employed full-time,99779,Java
300125,US,9,Employed full-time,50660,C++
300126,Germany,2,Employed full-time,47493,JavaScript
300127,Germany,15,Employed full-time,92733,C++
300128,US,10,Employed full-time,76315,JavaScript
300129,US,2,Independent contractor,39150,Python
300130,US,11,Employed full-time,86981,Python
300131,US,7,Independent contractor,80252,Rust
300132,US,11,Employed full-time,85224,JavaScript
300133,India,15,Independent contractor,95209,Java
300134,UK,14,Employed full-time,109175,JavaScript
300135,US,16,Employed full-time,106795,C++
300136,Korea,16,Employed full-time,102633,JavaScript
300137,India,2,Employed full-time,38689,Python
300138,UK,6,Employed full-time,58072,Java
300139,UK,8,Employed full-time,57654,JavaScript
300140,Germany,4,Employed full-time,51798,Java
300141,Canada,14,Employed full-time,90373,C++
300142,Germany,6,Employed full-time,62886,Go
300143,India,19,Employed full-time,107036,Python
300144,UK,3,Employed full-time,60008,JavaScript
300145,Germany,11,Employed full-time,88835,JavaScript
300146,US,4,Employed full-time,53105,C++
300147,India,10,Employed full-time,78031,Python
300148,US,11,Employed full-time,95352,Rust
300149,Korea,14,Employed full-time,82971,C++
300150,India,4,Employed full-time,47175,Python
300151,Germany,13,Employed full-time,78906,JavaScript
300152,US,14,Not employed,122122,Rust
300153,Germany,4,Independent contractor,53367,Java
300154,India,14,Employed full-time,91786,C++
300155,Germany,9,Employed full-time,76385,Java
300156,US,14,Employed full-time,89483,Java
300157,US,16,Employed full-time,96055,C++
300158,India,8,Employed full-time,79266,Python
300159,US,10,Employed full-time,78641,Python
300160,Germany,7,Employed full-time,63802,Java
300161,US,19,Independent contractor,117606,Go
300162,India,12,Employed full-time,68614,JavaScript
300163,UK,17,Employed full-time,137641,Rust
300164,US,19,Employed full-time,106717,JavaScript
300165,India,3,Employed full-time,61394,Python
300166,India,1,Independent contractor,54779,Go
300167,US,16,Employed full-time,118920,Rust
300168,US,7,Employed full-time,71911,Python
300169,Germany,19,Employed full-time,89016,JavaScript
300170,US,8,Employed full-time,86851,Go
300171,UK,1,Employed full-time,52414,Python
300172,Canada,18,Employed full-time,97601,Python
300173,Canada,4,Employed full-time,64930,Java
300174,Germany,16,Employed full-time,96707,Python
300175,Canada,2,Employed full-time,54068,Python
300176,Germany,4,Employed full-time,53548,Python
300177,UK,17,Employed full-time,108943,Python
300178,India,18,Employed full-time,97444,JavaScript
300179,US,9,Employed full-time,74550,JavaScript
300180,UK,5,Employed full-time,75370,Java
300181,Canada,11,Employed full-time,89281,Java
300182,UK,9,Employed full-time,82478,Python
300183,Germany,3,Employed full-time,44129,C++
300184,India,15,Employed full-time,112370,JavaScript
