CustomerID,Contract,MonthlyCharges,Tenure_Months,InternetService,Churn
80001,Month-to-month,81,49,Fiber optic,No
80002,Two year,70,12,Fiber optic,No
80003,One year,95,34,Fiber optic,No
80004,Month-to-month,53,5,Fiber optic,Yes
80005,Two year,55,71,No,No
80006,Month-to-month,77,71,No,No
80007,One year,102,23,No,No
80008,Two year,73,6,DSL,Yes
80009,Month-to-month,64,3,DSL,Yes
80010,One year,95,72,Fiber optic,No
80011,Two year,103,69,Fiber optic,No
80012,Month-to-month,73,36,No,No
80013,Two year,113,27,No,Yes
80014,Month-to-month,70,7,DSL,Yes
80015,Month-to-month,64,21,Fiber optic,Yes
80016,Month-to-month,54,44,DSL,No
80017,Two year,96,32,DSL,No
80018,Month-to-month,51,50,DSL,No
80019,Month-to-month,63,42,DSL,No
80020,Two year,123,65,No,No
80021,Month-to-month,50,7,DSL,Yes
80022,Two year,68,20,DSL,No
80023,One year,64,3,DSL,No
80024,Two year,109,31,Fiber optic,No
80025,Month-to-month,56,36,No,Yes
80026,Month-to-month,66,27,Fiber optic,Yes
80027,One year,101,61,Fiber optic,No
80028,One year,77,67,No,No
80029,Month-to-month,90,68,DSL,No
80030,One year,102,3,DSL,Yes
80031,Month-to-month,67,11,DSL,Yes
80032,Month-to-month,69,52,Fiber optic,No
80033,One year,82,1,Fiber optic,No
80034,Month-to-month,69,1,Fiber optic,Yes
80035,One year,106,12,Fiber optic,No
80036,Two year,99,31,No,No
80037,One year,97,27,DSL,No
80038,Two year,112,72,No,No
80039,One year,87,52,Fiber optic,No
80040,Two year,106,29,Fiber optic,No
80041,One year,95,25,Fiber optic,No
80042,Month-to-month,51,47,Fiber optic,Yes
80043,Two year,99,63,DSL,No
80044,Month-to-month,85,14,Fiber optic,No
80045,One year,115,72,No,No
80046,Month-to-month,66,37,Fiber optic,No
80047,Month-to-month,55,1,Fiber optic,No
80048,One year,86,59,DSL,No
80049,Month-to-month,72,44,Fiber optic,No
80050,One year,100,65,No,No
80051,Month-to-month,40,20,Fiber optic,No
80052,One year,77,59,DSL,No
80053,One year,90,46,DSL,No
80054,One year,101,2,Fiber optic,No
80055,One year,84,62,Fiber optic,No
80056,Month-to-month,82,10,No,Yes
80057,Month-to-month,71,30,DSL,Yes
80058,Two year,79,53,Fiber optic,No
80059,One year,55,44,DSL,No
80060,Two year,72,33,DSL,No
80061,Month-to-month,61,20,Fiber optic,No
80062,Month-to-month,45,48,Fiber optic,No
80063,Month-to-month,79,70,DSL,No
80064,Month-to-month,105,7,No,Yes
80065,One year,59,66,DSL,No
80066,Month-to-month,52,37,Fiber optic,Yes
80067,Two year,102,37,No,No
80068,One year,109,45,Fiber optic,Yes
80069,One year,65,54,DSL,No
80070,Month-to-month,95,5,DSL,Yes
80071,Month-to-month,47,44,Fiber optic,Yes
80072,Month-to-month,95,20,No,Yes
80073,Two year,83,38,No,No
80074,Month-to-month,83,31,No,Yes
80075,One year,91,63,DSL,No
80076,Month-to-month,58,45,DSL,No
80077,One year,80,44,DSL,Yes
80078,Two year,70,36,No,No
80079,Two year,66,28,DSL,No
80080,Two year,100,51,Fiber optic,No
80081,Two year,111,59,Fiber optic,No
80082,One year,61,29,DSL,No
80083,Two year,68,32,No,No
80084,One year,78,16,Fiber optic,No
80085,Two year,104,6,DSL,Yes
80086,One year,59,53,No,No
80087,Month-to-month,43,56,DSL,No
80088,One year,106,57,Fiber optic,No
80089,Month-to-month,60,48,No,No
80090,Month-to-month,66,69,DSL,Yes
80091,Month-to-month,65,5,Fiber optic,Yes
80092,Month-to-month,47,19,Fiber optic,Yes
80093,Month-to-month,108,43,DSL,Yes
80094,Month-to-month,107,18,Fiber optic,Yes
80095,Month-to-month,69,47,Fiber optic,Yes
80096,Month-to-month,98,12,No,Yes
80097,Month-to-month,43,28,No,No
80098,Two year,55,28,DSL,Yes
80099,Month-to-month,85,60,No,No
80100,Month-to-month,64,8,Fiber optic,Yes
80101,Month-to-month,47,42,DSL,No
80102,One year,71,66,Fiber optic,No
80103,Month-to-month,98,54,Fiber optic,No
80104,Two year,94,36,No,No
80105,Month-to-month,75,4,No,Yes
80106,One year,59,22,Fiber optic,No
80107,Month-to-month,60,43,DSL,No
80108,One year,84,68,DSL,No
80109,One year,90,71,No,No
80110,One year,80,57,Fiber optic,No
80111,One year,120,23,No,Yes
80112,Two year,89,1,DSL,Yes
80113,One year,59,57,DSL,No
80114,Month-to-month,105,31,No,Yes
80115,Month-to-month,75,34,DSL,No
80116,One year,99,15,Fiber optic,No
80117,Month-to-month,106,23,No,No
80118,Month-to-month,83,47,Fiber optic,No
80119,Month-to-month,84,7,DSL,Yes
80120,Two year,72,63,Fiber optic,No
80121,Month-to-month,74,31,DSL,Yes
80122,Two year,122,37,Fiber optic,No
80123,Month-to-month,79,58,Fiber optic,No
80124,Month-to-month,97,10,DSL,Yes
80125,Month-to-month,104,60,DSL,Yes
80126,One year,79,65,Fiber optic,No
80127,Month-to-month,64,59,DSL,Yes
80128,One year,93,56,Fiber optic,No
80129,Month-to-month,97,27,Fiber optic,No
80130,Month-to-month,71,5,Fiber optic,No
80131,Month-to-month,43,44,Fiber optic,No
80132,One year,78,66,Fiber optic,No
80133,Two year,104,38,DSL,No
80134,Two year,80,14,DSL,Yes
80135,Month-to-month,86,36,Fiber optic,Yes
80136,One year,73,15,DSL,No
80137,Month-to-month,64,57,Fiber optic,No
80138,Month-to-month,67,3,No,No
80139,Month-to-month,99,23,DSL,Yes
80140,Month-to-month,41,65,Fiber optic,No
80141,Month-to-month,87,53,DSL,No
80142,Month-to-month,45,27,No,Yes
80143,Month-to-month,97,46,No,No
80144,Month-to-month,96,69,DSL,No
80145,Two year,118,62,Fiber optic,No
80146,One year,110,56,Fiber optic,No
80147,Two year,79,23,No,No
80148,Two year,66,69,No,No
80149,Month-to-month,92,20,DSL,No
80150,One year,68,49,Fiber optic,No
80151,Month-to-month,54,4,DSL,Yes
80152,One year,71,29,Fiber optic,No
80153,Month-to-month,92,60,Fiber optic,No
80154,Month-to-month,108,5,Fiber optic,Yes
80155,Month-to-month,99,42,DSL,Yes
80156,Two year,61,28,Fiber optic,No
80157,Two year,115,55,DSL,No
80158,Two year,87,72,No,No
80159,Two year,120,22,Fiber optic,Yes
80160,Month-to-month,99,52,DSL,No
80161,One year,68,22,Fiber optic,No
80162,Two year,104,42,Fiber optic,No
80163,Month-to-month,70,36,DSL,No
80164,Two year,71,7,Fiber optic,Yes
80165,One year,108,60,Fiber optic,No
80166,Month-to-month,54,63,DSL,No
80167,Month-to-month,52,13,DSL,Yes
80168,Month-to-month,80,43,Fiber optic,No
80169,Two year,124,1,No,No
80170,One year,109,46,Fiber optic,No
80171,Month-to-month,79,65,No,No
80172,One year,103,43,Fiber optic,Yes
80173,Month-to-month,76,45,Fiber optic,Yes
80174,One year,80,5,Fiber optic,No
80175,Two year,96,41,No,No
80176,Month-to-month,59,43,DSL,No
80177,Two year,86,72,Fiber optic,No
80178,One year,90,61,Fiber optic,No
80179,Month-to-month,87,37,Fiber optic,No
80180,One year,81,53,No,No
80181,Two year,58,56,DSL,No
80182,Month-to-month,47,27,DSL,No
80183,Two year,75,56,Fiber optic,No
80184,Two year,118,46,Fiber optic,No
80185,Month-to-month,103,41,Fiber optic,Yes
80186,Month-to-month,99,60,Fiber optic,No
80187,Month-to-month,62,24,Fiber optic,Yes
80188,One year,91,48,No,No
80189,Month-to-month,43,39,DSL,Yes
80190,One year,71,56,DSL,No
80191,Month-to-month,86,68,No,No
80192,Two year,95,58,Fiber optic,No
80193,Two year,60,63,DSL,No
80194,Two year,62,70,Fiber optic,No
80195,Month-to-month,59,51,No,No
80196,One year,58,2,No,Yes
80197,Month-to-month,83,48,Fiber optic,No
