OrderID,CustomerID,OrderTime_Hour,ItemCount,TotalPrice,IsLoyaltyMember
50001,14631,18,1,8.73,No
50002,10111,8,15,135.49,Yes
50003,13593,11,6,47.86,Yes
50004,13890,16,22,230.5,Yes
50005,14436,10,9,99.82,No
50006,11531,16,6,58.77,No
50007,12973,9,24,132.43,Yes
50008,13981,21,9,54.7,No
50009,12925,22,10,85.06,Yes
50010,10322,14,10,104.67,No
50011,13194,16,12,62.43,No
50012,13311,18,13,98.88,No
50013,12675,18,1,9.53,No
50014,14732,13,17,86.34,Yes
50015,11029,18,15,117.4,No
50016,13150,13,1,11.55,No
50017,10644,20,1,7.04,No
50018,13039,17,5,49.31,No
50019,10494,12,5,45.27,Yes
50020,11527,18,18,121.87,No
50021,14680,13,2,20.47,No
50022,12270,10,24,123.64,No
50023,13753,12,16,132.75,No
50024,11968,13,22,183.31,Yes
50025,11914,17,1,7.26,Yes
50026,11431,16,23,205.23,No
50027,11147,11,22,118.29,Yes
50028,13639,18,20,124.56,No
50029,11184,18,19,163.79,Yes
50030,10284,13,19,116.4,No
50031,12119,14,9,76.0,No
50032,10016,18,19,151.16,Yes
50033,10351,13,13,66.49,Yes
50034,11083,17,2,9.38,Yes
50035,12005,9,6,30.5,Yes
50036,13570,14,24,253.35,No
50037,12641,13,17,156.6,No
50038,14344,11,13,67.64,Yes
50039,10433,19,14,89.45,Yes
50040,14176,8,10,76.67,No
50041,10097,13,8,54.47,Yes
50042,14241,9,18,173.68,Yes
50043,10182,14,7,36.16,Yes
50044,11941,18,1,4.56,Yes
50045,14586,12,24,178.22,No
50046,10545,19,4,41.5,No
50047,13932,10,1,5.05,No
50048,13551,10,15,120.56,No
50049,14546,18,24,276.54,No
50050,12005,16,19,191.76,No
50051,14008,17,7,55.18,Yes
50052,11208,15,10,74.63,No
50053,12513,14,24,144.52,Yes
50054,11762,19,3,20.53,No
50055,11435,12,13,135.03,No
50056,10700,14,4,25.72,Yes
50057,11133,17,6,29.43,Yes
50058,14401,13,17,199.68,No
50059,14181,16,10,93.76,No
50060,11014,16,14,64.91,Yes
50061,11465,13,17,136.6,Yes
50062,13630,19,6,45.97,No
50063,11357,17,12,105.36,Yes
50064,13655,20,19,177.74,Yes
50065,10352,19,6,51.97,Yes
50066,11645,12,11,98.21,No
50067,13836,17,20,150.32,Yes
50068,14801,9,3,25.97,No
50069,10321,11,2,12.48,No
50070,11886,17,18,120.57,No
50071,12140,17,2,16.15,Yes
50072,13055,12,11,88.83,No
50073,13307,20,20,141.06,Yes
50074,14858,8,19,197.44,No
50075,12224,12,14,166.18,No
50076,10739,11,20,181.93,No
50077,12271,13,19,137.94,No
50078,14462,20,9,106.38,No
50079,14590,12,15,90.8,Yes
50080,13875,13,14,133.64,No
50081,12352,14,3,21.21,No
50082,11893,18,8,68.69,Yes
50083,14336,22,20,213.68,No
50084,11308,14,12,86.43,No
50085,13311,15,7,83.74,No
50086,12477,18,10,57.31,No
50087,12697,18,7,57.85,No
50088,10050,10,15,142.65,Yes
50089,12793,12,20,140.0,No
50090,12900,17,14,76.3,No
50091,10432,11,5,35.48,No
50092,13222,13,21,95.95,Yes
50093,14409,21,13,106.89,Yes
50094,12127,22,12,70.23,No
50095,14616,17,5,53.39,Yes
50096,11831,14,16,173.99,No
50097,13565,14,13,131.51,No
50098,10405,9,23,212.93,Yes
50099,10762,21,23,153.48,No
50100,13584,20,21,110.32,No
50101,12836,18,24,282.5,No
50102,11610,18,11,98.07,No
50103,12509,13,3,23.91,No
50104,13946,18,17,142.62,Yes
50105,10068,8,16,100.02,Yes
50106,14787,11,7,68.58,No
50107,10254,11,13,136.47,Yes
50108,13126,11,8,68.4,Yes
50109,14965,9,12,119.43,No
50110,10862,17,23,142.74,No
50111,13271,10,2,17.8,No
50112,14824,13,18,137.63,No
50113,11042,11,12,77.65,No
50114,12374,20,2,21.45,No
50115,10540,14,3,24.06,No
50116,10059,16,8,54.1,No
50117,11375,15,2,14.76,No
50118,13930,14,12,116.74,Yes
50119,14777,11,5,52.21,Yes
50120,11385,18,23,269.45,No
50121,13864,18,14,141.5,No
50122,13451,16,18,152.45,Yes
50123,11759,10,14,107.31,No
50124,11718,15,20,156.16,No
50125,12801,12,4,45.23,No
50126,14930,12,8,43.08,Yes
50127,13601,16,12,93.09,No
50128,14970,16,1,5.54,No
50129,13294,12,2,11.18,No
50130,12029,13,8,45.27,No
50131,13631,12,21,206.94,Yes
50132,14382,11,16,168.11,Yes
50133,12979,9,13,126.29,Yes
50134,14043,13,2,17.48,Yes
50135,12537,18,5,46.1,No
50136,14830,12,20,152.19,No
50137,11928,10,18,102.41,Yes
50138,12247,12,16,127.39,No
50139,12423,21,21,195.98,No
50140,14468,11,17,134.83,No
50141,10932,13,12,126.57,Yes
50142,11900,20,5,55.87,No
50143,12208,16,8,47.65,No
50144,14757,13,7,70.13,Yes
50145,12982,17,21,165.7,No
50146,11925,17,12,73.72,Yes
50147,14544,11,1,7.37,Yes
50148,13753,12,7,58.21,No
50149,11205,18,22,212.24,Yes
50150,10138,11,19,136.98,No
50151,10712,17,13,122.2,Yes
50152,10167,10,1,8.5,Yes
50153,10045,18,15,165.45,No
50154,11274,12,12,82.18,No
50155,11826,19,1,8.41,No
50156,11305,15,20,118.39,No
50157,10855,9,11,91.66,Yes
50158,13310,14,13,131.95,Yes
50159,13756,14,6,36.12,No
50160,14313,11,19,193.87,Yes
50161,13922,9,18,190.73,No
50162,10489,13,20,155.12,No
50163,10530,10,24,255.57,Yes
50164,10320,17,16,87.39,No
50165,14296,22,7,39.51,No
50166,14438,15,13,65.18,No
50167,14771,20,9,66.32,No
50168,14406,16,15,148.4,No
50169,11227,13,23,233.01,No
50170,11348,13,18,170.13,Yes
50171,11129,19,3,29.94,Yes
50172,13147,12,20,164.11,Yes
50173,14261,8,16,89.35,No
50174,14256,16,23,157.68,No
50175,14587,18,9,70.18,No
50176,14300,19,11,125.41,No
50177,14695,8,22,136.55,No
50178,11481,18,22,187.8,Yes
50179,10709,13,17,147.33,Yes
50180,10922,14,11,62.81,Yes
50181,14688,14,13,119.13,Yes
50182,11074,9,20,118.93,Yes
50183,12358,18,14,160.25,No
50184,14682,8,18,126.61,No
50185,11925,16,12,102.11,No
50186,10422,9,11,94.24,Yes
50187,14518,13,13,68.97,Yes
50188,10693,15,20,172.96,No
50189,11697,10,19,99.41,No
50190,12563,19,20,140.69,Yes
50191,11007,12,6,54.74,Yes
50192,10169,11,3,31.15,No
50193,10919,10,13,122.18,No
50194,11719,19,16,82.48,Yes
50195,11017,11,24,210.49,No
50196,10786,9,22,130.93,Yes
50197,12576,15,22,99.98,Yes
50198,11700,8,18,106.47,No
50199,12880,11,1,7.95,Yes
50200,10958,19,17,85.32,No
50201,14106,11,11,95.9,No
50202,10887,18,4,39.68,No
50203,13456,15,7,34.97,Yes
50204,11288,13,19,175.42,Yes
50205,12084,15,2,11.17,No
50206,11155,17,14,101.5,Yes
50207,14502,10,12,115.37,Yes
50208,13803,16,18,159.18,Yes
50209,11649,13,15,125.3,Yes
50210,10230,10,18,159.77,Yes
50211,10772,18,7,70.54,No
50212,12532,9,19,157.8,No
50213,12226,10,10,52.56,No
50214,10924,15,22,,Yes
50215,14810,16,22,222.82,Yes
50216,10073,8,20,154.28,No
50217,13317,12,24,192.51,Yes
50218,12935,22,20,164.76,No
50219,12624,19,19,126.82,Yes
50220,14221,8,10,81.72,Yes
50221,14160,18,22,163.17,No
50222,12994,14,24,158.39,No
50223,12636,20,9,72.75,Yes
