Date,City,PM2_5,PM10,Season,Traffic_Index
2023-01-01 00:00,Daejeon,63.2,77.3,Winter,17.5
2023-01-01 08:00,Seoul,97.5,166.1,Winter,78.9
2023-01-01 16:00,Incheon,60.7,79.9,Autumn,95.1
2023-01-02 00:00,Daegu,36.2,54.5,Autumn,23.3
2023-01-02 08:00,Incheon,72.2,121.9,Spring,39.9
2023-01-02 16:00,Busan,57.8,69.1,Summer,33.3
2023-01-03 00:00,Daegu,77.2,127.2,Autumn,97.1
2023-01-03 08:00,Daejeon,87.6,112.7,Winter,95.9
2023-01-03 16:00,Busan,68.4,131.4,Winter,51.4
2023-01-04 00:00,Incheon,,112.0,Autumn,84.3
2023-01-04 08:00,Busan,54.0,66.3,Summer,51.7
2023-01-04 16:00,Seoul,110.6,164.9,Spring,95.0
2023-01-05 00:00,Daejeon,71.1,136.3,Winter,48.3
2023-01-05 08:00,Incheon,54.3,72.4,Summer,67.0
2023-01-05 16:00,Daegu,42.1,64.8,Summer,59.6
2023-01-06 00:00,Daegu,40.0,77.3,Autumn,21.7
2023-01-06 08:00,Seoul,76.1,146.6,Spring,29.4
2023-01-06 16:00,Busan,51.6,92.8,Autumn,53.3
2023-01-07 00:00,Busan,66.8,113.7,Summer,62.7
2023-01-07 08:00,Incheon,54.0,41.2,Autumn,90.3
2023-01-07 16:00,Daejeon,58.3,58.2,Autumn,60.7
2023-01-08 00:00,Incheon,62.2,108.9,Spring,30.9
2023-01-08 08:00,Daejeon,76.2,142.4,Winter,98.1
2023-01-08 16:00,Busan,112.5,167.1,Spring,87.5
2023-01-09 00:00,Daegu,38.2,62.8,Summer,25.1
2023-01-09 08:00,Busan,71.2,107.7,Winter,27.2
2023-01-09 16:00,Incheon,75.1,114.7,Spring,15.7
2023-01-10 00:00,Incheon,59.8,89.9,Autumn,55.3
2023-01-10 08:00,Busan,70.5,119.7,Winter,65.8
2023-01-10 16:00,Seoul,110.5,143.3,Winter,84.4
2023-01-11 00:00,Daejeon,81.8,116.7,Winter,72.7
2023-01-11 08:00,Incheon,70.3,86.4,Spring,70.9
2023-01-11 16:00,Daejeon,70.0,112.5,Winter,87.3
2023-01-12 00:00,Seoul,59.1,112.3,Autumn,94.0
2023-01-12 08:00,Seoul,,128.3,Summer,91.1
2023-01-12 16:00,Daejeon,68.9,125.5,Spring,31.2
2023-01-13 00:00,Seoul,48.9,71.0,Winter,26.9
2023-01-13 08:00,Busan,52.1,75.2,Autumn,21.9
2023-01-13 16:00,Daegu,49.7,83.1,Summer,41.3
2023-01-14 00:00,Busan,53.4,109.3,Summer,48.3
2023-01-14 08:00,Daejeon,73.2,102.9,Summer,96.2
2023-01-14 16:00,Daegu,71.9,156.5,Autumn,96.0
2023-01-15 00:00,Busan,69.4,125.6,Autumn,85.1
2023-01-15 08:00,Incheon,14.4,39.7,Summer,14.9
2023-01-15 16:00,Incheon,34.6,18.5,Autumn,16.4
2023-01-16 00:00,Busan,58.9,67.5,Summer,64.3
2023-01-16 08:00,Daegu,55.7,44.1,Autumn,66.0
2023-01-16 16:00,Seoul,60.3,78.5,Winter,19.5
2023-01-17 00:00,Seoul,89.1,177.7,Winter,63.7
2023-01-17 08:00,Daegu,73.9,154.6,Spring,19.5
2023-01-17 16:00,Incheon,35.0,56.6,Summer,29.9
2023-01-18 00:00,Seoul,39.5,61.8,Summer,61.6
2023-01-18 08:00,Daegu,26.2,63.1,Autumn,13.1
2023-01-18 16:00,Seoul,41.7,52.9,Autumn,83.8
2023-01-19 00:00,Seoul,119.6,167.5,Spring,98.4
2023-01-19 08:00,Seoul,70.9,107.5,Summer,79.2
2023-01-19 16:00,Seoul,62.4,138.6,Autumn,55.1
2023-01-20 00:00,Daejeon,46.0,72.0,Summer,64.7
2023-01-20 08:00,Incheon,62.9,87.4,Summer,68.3
2023-01-20 16:00,Seoul,55.9,89.5,Winter,11.9
2023-01-21 00:00,Busan,69.0,135.4,Autumn,74.6
