MemberID,MembershipMonths,AvgWeeklyVisits,Age,Churned
300001,16,4.5,46,No
300002,23,3.7,46,No
300003,6,1.7,37,No
300004,23,2.2,35,No
300005,16,4.9,43,No
300006,57,3.3,59,No
300007,35,4.2,38,No
300008,57,1.0,19,No
300009,41,4.7,34,No
300010,18,5.9,52,No
300011,56,2.3,32,No
300012,58,4.3,68,No
300013,38,3.1,47,No
300014,9,2.8,55,No
300015,12,6.4,34,No
300016,25,4.6,31,No
300017,18,3.7,59,Yes
300018,59,3.7,24,No
300019,2,5.7,50,No
300020,35,6.2,54,No
300021,49,1.7,20,No
300022,2,3.0,60,No
300023,7,5.0,25,No
300024,5,3.3,60,No
300025,6,6.2,37,No
300026,26,,35,No
300027,55,1.0,51,No
300028,51,1.5,36,No
300029,15,5.7,69,No
300030,41,1.6,55,No
300031,27,1.7,57,No
300032,22,4.5,65,No
300033,19,4.2,21,No
300034,1,3.6,59,No
300035,50,5.2,37,No
300036,13,2.5,42,Yes
300037,14,4.1,65,No
300038,56,2.4,50,No
300039,32,5.4,45,No
300040,3,6.5,55,No
300041,3,1.3,66,Yes
300042,34,3.4,36,No
300043,36,5.1,39,No
300044,38,1.6,57,No
300045,31,2.9,50,No
300046,24,4.9,60,No
300047,6,2.6,52,No
300048,45,4.2,46,No
300049,15,4.2,26,No
300050,57,5.9,18,No
300051,17,3.7,58,No
300052,39,3.9,20,No
300053,17,4.7,29,No
300054,30,3.2,61,No
300055,56,1.9,33,No
300056,5,,21,No
300057,55,4.4,52,No
300058,11,0.6,51,Yes
300059,41,3.1,30,No
300060,57,5.7,24,No
300061,53,1.5,39,No
300062,47,3.3,40,No
300063,55,1.2,49,No
300064,11,3.2,39,No
300065,30,3.4,23,No
300066,29,1.8,63,No
300067,24,3.5,37,No
300068,23,4.5,29,No
300069,23,6.3,19,No
300070,22,0.8,30,No
300071,7,1.5,36,No
300072,10,3.7,25,No
300073,28,4.5,53,No
300074,26,1.8,63,No
300075,48,1.8,26,No
300076,31,2.0,51,No
300077,6,6.2,31,No
300078,29,1.1,64,No
300079,48,3.3,38,No
300080,38,4.1,46,No
300081,46,1.6,41,No
300082,16,3.9,29,No
300083,20,3.2,22,No
300084,45,5.0,67,No
300085,22,3.7,32,No
300086,7,1.2,35,Yes
300087,48,1.5,38,No
300088,27,3.5,48,No
300089,10,1.7,41,No
300090,32,3.1,60,No
300091,10,4.7,18,No
300092,24,3.3,40,No
300093,56,1.1,25,No
300094,16,2.7,38,No
300095,52,6.1,53,No
300096,33,0.6,51,No
300097,26,2.4,24,No
300098,28,6.0,30,No
300099,30,4.3,56,No
300100,13,0.7,26,No
300101,54,3.2,29,No
300102,14,0.7,58,No
300103,29,3.2,18,No
300104,57,5.2,57,No
300105,58,5.5,55,No
300106,15,6.3,52,No
300107,10,3.8,19,No
300108,54,4.3,18,No
300109,57,5.2,44,No
300110,23,6.1,51,No
300111,45,1.4,63,No
300112,28,6.0,62,No
300113,35,1.0,65,No
300114,26,2.5,33,No
300115,3,3.1,63,No
300116,37,2.6,68,No
300117,27,3.0,31,No
300118,34,4.0,18,No
300119,44,2.2,36,No
300120,7,2.8,27,Yes
300121,16,5.0,20,No
300122,23,3.5,38,No
300123,39,4.5,54,No
300124,24,5.7,25,No
300125,2,4.6,67,No
300126,56,5.7,32,No
300127,30,0.8,69,No
300128,5,5.6,45,No
300129,58,5.4,30,No
300130,56,6.0,48,No
300131,44,4.1,36,No
300132,44,0.5,51,No
300133,12,3.0,27,No
300134,36,5.9,40,No
300135,28,2.5,23,No
300136,56,3.1,59,No
300137,2,0.8,46,Yes
300138,38,2.5,57,No
300139,1,1.5,42,No
300140,50,5.0,20,No
300141,57,4.2,44,No
300142,35,6.2,46,No
