PropertyID,Bedrooms,SquareFootage,CityDistance_KM,PetFriendly,RentalPrice
680001,1,428,0.76,Yes,633.53
680002,1,514,21.27,No,500.0
680003,2,1014,2.4,No,1488.13
680004,1,422,18.83,No,500.0
680005,2,884,13.79,Yes,903.49
680006,1,505,17.76,No,500.0
680007,3,1499,9.53,Yes,1889.46
680008,1,466,3.27,No,500.0
680009,2,788,13.19,No,609.09
680010,4,1942,28.96,No,2225.8
680011,3,1338,17.37,Yes,1900.87
680012,3,1731,26.78,Yes,2053.18
680013,4,1625,8.38,No,2433.79
680014,2,978,10.33,No,1228.31
680015,2,1101,7.4,No,1067.81
680016,4,1802,27.51,No,1830.51
680017,3,1610,6.78,No,2383.93
680018,2,1165,5.73,No,1135.82
680019,1,357,19.38,No,500.0
680020,1,389,29.27,Yes,500.0
680021,1,510,11.86,Yes,826.58
680022,1,419,8.78,No,500.0
680023,2,713,9.25,Yes,1206.83
680024,2,866,17.47,No,750.44
680025,1,458,21.68,Yes,500.0
680026,1,386,4.44,No,500.0
680027,4,2135,16.92,No,2808.83
680028,3,1291,16.07,No,1264.97
680029,2,1082,18.95,Yes,844.25
680030,1,466,3.42,Yes,1083.75
680031,3,1570,16.26,No,1988.78
680032,2,1052,2.16,Yes,2034.81
680033,3,1338,10.57,Yes,1727.95
680034,2,1032,28.98,No,751.02
680035,1,430,27.95,Yes,500.0
680036,2,836,8.51,No,716.12
680037,2,959,27.73,No,
680038,2,1121,22.44,No,887.67
680039,2,796,23.53,Yes,939.16
680040,4,2240,12.42,Yes,3008.59
680041,1,451,25.07,Yes,500.0
680042,1,590,17.96,No,561.94
680043,1,364,3.72,Yes,618.83
680044,1,475,27.72,No,
680045,1,487,25.14,No,500.0
680046,3,1228,20.16,No,1383.65
680047,2,993,12.19,No,
680048,2,886,28.84,No,1008.71
680049,2,1131,13.49,No,1835.23
680050,4,1729,8.24,No,2629.66
680051,2,824,10.34,No,1178.48
680052,1,481,4.83,No,768.47
680053,1,444,18.66,No,500.0
680054,2,1031,28.1,Yes,1268.38
680055,1,492,9.78,Yes,753.41
680056,1,351,14.05,No,500.0
680057,2,1156,14.5,Yes,1740.73
680058,2,1023,27.71,Yes,808.85
680059,3,1528,2.2,No,2311.98
680060,1,473,17.68,Yes,802.02
680061,2,771,8.3,No,898.41
680062,4,1809,21.7,Yes,2702.63
680063,1,402,16.28,No,500.0
680064,4,2142,20.2,No,2501.04
680065,1,500,8.9,No,500.0
680066,3,1727,4.37,Yes,2633.84
680067,1,292,22.47,No,500.0
680068,1,460,18.27,No,500.0
680069,1,412,26.57,No,500.0
680070,3,1506,8.38,Yes,2341.78
680071,2,1060,2.48,No,1858.26
680072,3,1279,1.3,Yes,1909.35
680073,1,608,8.65,No,740.2
680074,3,1051,29.53,No,995.34
680075,1,483,9.2,Yes,809.1
680076,1,364,25.79,No,500.0
680077,4,2299,2.72,No,3330.0
680078,1,550,28.07,No,500.0
680079,2,1074,10.69,No,1393.89
680080,2,1145,22.93,No,1349.66
680081,2,680,15.74,Yes,718.14
680082,2,763,27.75,No,500.0
680083,1,560,16.04,No,500.0
680084,1,559,22.96,No,500.0
680085,2,1064,26.44,Yes,884.0
680086,1,575,11.8,No,736.78
680087,3,1793,9.8,No,2215.73
680088,1,445,29.64,Yes,500.0
680089,2,743,19.9,Yes,959.19
680090,1,574,18.28,No,500.0
680091,2,1181,1.5,No,1913.39
680092,1,443,26.27,No,500.0
680093,2,1024,2.01,Yes,1846.3
680094,2,1163,1.82,No,1243.38
680095,2,1056,6.9,Yes,1560.91
680096,2,871,8.24,No,918.04
680097,2,1035,15.62,No,1054.58
680098,2,935,24.77,Yes,816.93
680099,2,1020,27.27,Yes,780.71
680100,1,564,27.81,Yes,500.0
680101,1,491,25.29,No,500.0
680102,1,443,12.23,No,500.0
680103,2,771,9.65,No,
680104,4,2440,0.64,No,3672.56
680105,2,1099,13.53,Yes,1571.54
680106,2,1012,3.59,No,1603.71
680107,2,938,8.96,No,942.58
680108,2,1065,6.22,Yes,1609.45
680109,1,421,10.52,No,500.0
680110,3,1273,9.38,Yes,2232.59
680111,4,1996,7.19,Yes,2799.62
680112,1,420,1.66,No,873.84
680113,3,1636,13.54,No,1878.03
680114,1,617,10.61,No,504.0
680115,1,544,13.72,No,500.0
680116,1,390,5.07,No,500.0
680117,1,397,27.33,No,500.0
680118,3,1692,22.42,Yes,2005.91
680119,1,515,6.13,No,687.96
680120,1,436,27.87,No,500.0
680121,1,582,1.86,No,1185.53
680122,2,1036,0.58,No,1733.52
680123,1,364,1.74,No,593.57
680124,3,1135,8.63,No,1234.13
680125,1,483,5.96,No,500.0
680126,2,1015,17.65,No,590.18
680127,3,1322,17.11,Yes,1815.55
680128,2,1099,5.81,Yes,1883.67
680129,2,1036,18.99,No,941.83
680130,1,571,12.28,No,806.12
680131,2,1054,29.05,Yes,955.83
680132,2,902,10.37,No,908.12
680133,2,1065,26.73,Yes,813.46
