ID,Age,CreditScore,DebtToIncome_Ratio,CardCount,DefaultHistory
700001,35,579,17.57,3,No
700002,43,598,30.55,3,Yes
700003,71,708,14.45,2,No
700004,45,549,31.31,3,No
700005,21,640,26.49,7,No
700006,73,637,29.85,1,No
700007,74,651,46.02,2,Yes
700008,42,574,62.7,6,Yes
700009,67,682,60.16,7,Yes
700010,74,652,62.58,6,Yes
700011,41,567,32.76,2,Yes
700012,60,577,19.13,7,No
700013,29,627,28.13,7,No
700014,53,662,43.9,2,Yes
700015,44,583,14.85,1,Yes
700016,73,628,29.39,1,No
700017,54,618,7.45,4,No
700018,41,606,39.91,4,No
700019,71,553,16.6,1,No
700020,75,728,18.86,7,No
700021,22,627,24.91,3,No
700022,37,587,41.72,2,No
700023,36,598,59.97,1,Yes
700024,62,730,21.47,1,No
700025,34,595,15.99,7,Yes
700026,47,609,63.17,6,No
700027,77,631,29.87,4,No
700028,42,585,57.12,1,Yes
700029,68,595,8.19,2,No
700030,55,666,56.51,2,No
700031,36,533,29.44,4,No
700032,31,591,11.94,6,No
700033,63,620,35.82,6,No
700034,32,676,35.66,2,No
700035,50,613,42.6,3,Yes
700036,56,670,28.74,6,No
700037,35,574,64.91,1,Yes
700038,44,537,40.93,7,Yes
700039,55,570,54.66,4,No
700040,37,554,8.98,5,No
700041,62,695,34.47,1,No
700042,73,652,43.79,6,No
700043,55,658,21.43,7,No
700044,40,610,22.16,7,No
700045,34,559,20.1,1,Yes
700046,38,650,47.07,3,Yes
700047,27,562,45.01,4,No
700048,37,604,25.24,2,No
700049,29,731,12.74,5,No
700050,52,668,59.65,6,Yes
700051,42,625,22.07,1,Yes
700052,57,554,12.87,4,No
700053,42,581,57.02,2,No
700054,44,623,59.06,2,Yes
700055,31,591,13.63,7,No
700056,36,656,6.37,4,No
700057,66,584,63.01,6,Yes
700058,47,733,42.38,3,No
700059,68,642,64.54,5,Yes
700060,26,562,59.42,5,Yes
700061,27,557,64.69,7,Yes
700062,70,650,18.41,3,Yes
700063,46,639,,6,No
700064,52,667,23.87,7,No
700065,49,638,6.07,5,No
700066,29,572,58.53,7,Yes
700067,72,752,21.53,5,No
700068,50,621,27.84,6,No
700069,31,535,30.86,7,Yes
700070,36,572,45.26,5,No
700071,27,644,34.82,5,No
700072,40,649,58.03,6,Yes
700073,73,696,33.28,7,No
700074,41,633,,7,No
700075,33,603,64.57,5,Yes
700076,25,708,13.74,7,Yes
700077,57,612,60.69,4,Yes
700078,61,548,52.08,3,Yes
700079,38,540,31.42,7,Yes
700080,68,617,11.59,5,No
700081,42,559,55.32,5,Yes
700082,37,589,38.11,1,Yes
700083,74,698,6.5,6,No
700084,61,642,47.64,7,No
700085,43,598,41.94,1,No
700086,34,625,61.35,4,Yes
700087,74,692,57.65,7,No
700088,47,603,32.01,2,Yes
700089,28,640,64.6,1,No
700090,25,601,21.21,3,No
700091,33,591,34.61,2,Yes
700092,43,563,22.8,7,Yes
700093,21,593,13.68,1,Yes
700094,58,545,6.68,3,No
700095,32,522,46.31,4,Yes
700096,63,635,40.69,1,No
700097,49,639,40.56,3,No
700098,30,649,40.49,3,Yes
700099,34,538,7.05,3,No
700100,71,579,48.73,1,Yes
700101,77,659,21.77,7,No
700102,67,625,39.67,7,No
700103,44,581,10.64,1,No
700104,59,623,13.65,1,No
700105,24,614,10.55,5,No
700106,48,635,35.04,5,No
700107,27,661,28.0,2,No
700108,47,636,30.5,4,No
700109,22,541,19.81,3,Yes
700110,61,650,41.82,5,Yes
700111,61,687,18.53,2,No
700112,22,497,28.69,6,No
700113,50,650,29.79,1,No
700114,51,634,35.48,2,No
700115,49,677,56.14,3,No
700116,60,530,28.41,4,No
700117,43,617,51.5,2,Yes
700118,30,631,39.42,5,No
700119,51,697,44.55,1,No
700120,51,594,30.96,3,Yes
700121,49,589,52.07,7,Yes
700122,71,678,56.33,6,No
700123,61,648,49.88,1,No
700124,47,642,54.91,2,Yes
700125,25,563,62.54,7,Yes
700126,72,639,31.91,3,No
700127,63,655,58.58,6,Yes
700128,65,667,61.61,6,Yes
700129,60,609,20.84,4,No
700130,60,634,45.36,6,No
700131,53,696,46.53,7,No
700132,48,562,57.85,7,No
700133,38,597,14.21,2,No
700134,58,664,61.23,5,Yes
700135,71,613,12.79,3,No
700136,59,731,49.17,3,No
700137,23,576,8.02,4,No
700138,32,539,35.65,6,Yes
700139,76,651,5.61,4,No
700140,56,592,21.6,1,No
700141,48,592,47.71,7,Yes
