OrderID,Distance_KM,CourierExp_Months,PrepTime_Mins,DeliveryTime_Mins,Rating
720001,1.73,16,20,26.0,5
720002,8.37,33,20,52.8,1
720003,6.65,18,15,37.4,5
720004,4.75,2,25,43.3,4
720005,5.25,16,10,26.0,5
720006,7.26,32,15,41.9,5
720007,8.73,42,15,40.5,5
720008,2.49,1,30,39.9,5
720009,1.27,47,30,20.5,5
720010,6.26,12,20,45.6,1
720011,5.47,11,30,42.6,5
720012,11.39,21,30,75.2,3
720013,5.29,33,15,31.8,4
720014,3.35,29,25,33.1,5
720015,5.15,41,30,54.8,1
720016,7.79,28,10,38.8,5
720017,7.21,41,25,51.7,1
720018,9.49,47,30,64.2,3
720019,7.59,29,10,32.2,4
720020,7.72,47,20,40.4,5
720021,4.75,28,25,35.1,5
720022,2.44,47,25,27.4,5
720023,9.07,39,25,49.1,3
720024,5.05,43,15,21.2,5
720025,8.1,7,30,62.3,2
720026,4.16,39,15,25.9,4
720027,1.3,15,20,36.0,4
720028,1.06,27,15,19.3,4
720029,5.58,21,10,35.7,5
720030,8.57,32,25,48.4,1
720031,9.57,43,10,30.0,4
720032,3.23,3,20,35.6,4
720033,7.99,27,25,57.3,1
720034,10.51,22,25,63.2,1
720035,2.92,37,15,15.8,4
720036,1.99,16,30,36.9,4
720037,9.76,33,10,50.9,2
720038,0.96,23,30,32.6,5
720039,4.65,46,10,27.5,4
720040,8.28,12,10,32.4,4
720041,10.01,9,15,62.9,1
720042,5.52,37,30,41.7,4
720043,1.41,37,20,15.4,4
720044,1.58,42,10,12.0,5
720045,8.46,27,15,51.9,2
720046,9.64,32,10,43.7,4
720047,4.21,36,20,32.8,4
720048,4.84,46,25,,4
720049,8.93,24,25,56.1,1
720050,3.68,26,10,18.2,5
720051,3.28,40,25,39.3,5
720052,3.62,10,25,41.7,4
720053,2.38,9,20,33.4,5
720054,1.04,25,10,12.0,5
720055,10.11,25,30,65.0,2
720056,10.78,35,25,70.0,1
720057,7.38,21,20,44.9,4
720058,4.58,22,20,43.0,5
720059,1.39,35,10,12.0,5
720060,2.5,42,30,34.0,4
720061,2.56,45,30,34.7,4
720062,5.31,5,25,41.5,5
720063,10.78,35,10,53.0,2
720064,3.5,7,20,37.7,5
720065,7.94,47,10,35.9,5
720066,10.79,36,20,68.4,2
720067,7.08,27,20,35.6,4
720068,1.68,18,25,27.3,4
720069,7.61,3,25,58.3,2
720070,7.68,16,30,67.9,3
720071,8.52,18,20,48.0,1
720072,8.63,47,30,50.8,1
720073,3.91,5,10,27.2,4
720074,4.23,6,15,33.9,5
720075,3.66,6,30,41.2,4
720076,7.02,20,20,44.1,5
720077,1.4,37,25,28.6,4
720078,5.65,17,10,36.1,4
720079,9.98,7,25,55.3,2
720080,10.09,17,15,49.5,3
720081,5.08,39,30,45.5,1
720082,4.69,22,10,28.5,4
720083,2.46,40,15,22.3,4
720084,2.01,4,25,36.2,5
720085,2.78,40,25,28.1,4
720086,6.19,34,25,42.6,5
720087,9.0,3,30,61.6,3
720088,2.12,33,30,33.3,5
720089,1.93,1,20,33.8,4
720090,2.6,38,20,29.6,4
720091,9.13,43,15,51.5,2
720092,9.34,15,30,71.4,1
720093,9.96,24,30,56.5,1
720094,7.98,10,20,42.7,5
720095,10.75,21,15,61.9,3
720096,9.9,16,15,58.6,2
720097,7.96,46,30,57.7,1
720098,2.11,8,15,19.8,4
720099,5.92,28,25,46.4,3
720100,3.11,1,25,35.3,4
720101,6.97,45,10,33.4,5
720102,9.22,25,20,60.8,3
720103,6.82,31,20,43.6,5
720104,9.23,45,10,44.3,4
720105,6.83,30,25,44.3,4
720106,6.02,4,20,45.8,3
720107,8.64,41,25,55.2,1
720108,6.32,11,25,43.6,4
720109,0.68,12,30,28.3,4
720110,11.1,40,15,58.7,3
720111,11.87,3,20,64.3,3
720112,8.15,14,30,54.7,3
720113,5.06,35,10,23.5,5
720114,1.74,2,30,32.6,4
720115,7.13,28,25,46.9,1
720116,8.48,41,15,49.6,3
720117,10.26,42,30,60.2,1
720118,3.02,37,25,29.1,4
720119,4.04,8,30,49.5,2
720120,7.21,3,10,40.1,5
720121,7.68,11,25,53.1,2
720122,4.81,9,10,29.5,4
720123,11.49,9,20,58.6,3
720124,11.19,3,25,73.4,1
720125,7.31,41,10,32.4,5
720126,3.99,39,10,17.7,5
720127,0.99,21,10,12.0,5
720128,9.99,25,15,38.0,4
720129,8.8,22,25,60.2,2
720130,8.88,3,20,54.6,1
720131,11.56,8,30,80.6,3
720132,11.39,18,20,58.7,1
720133,4.35,22,15,25.6,4
720134,3.97,20,15,29.2,5
720135,8.55,10,25,56.9,3
720136,10.76,25,20,65.1,3
720137,3.3,45,25,30.2,4
720138,7.03,44,20,39.3,4
720139,0.8,16,15,18.2,4
720140,6.82,15,10,43.6,4
720141,10.9,21,25,60.2,1
720142,3.74,4,25,35.8,4
720143,7.46,31,30,53.8,3
720144,5.49,7,20,39.3,4
720145,11.4,35,10,49.0,1
720146,2.77,30,30,27.9,5
720147,7.07,35,20,40.6,4
720148,5.58,13,15,41.1,5
720149,1.43,24,10,15.3,4
720150,10.64,18,25,64.1,1
720151,2.54,28,15,12.2,4
720152,10.81,45,30,72.1,3
720153,3.07,22,25,23.7,4
720154,4.52,45,30,39.7,4
720155,5.11,38,20,34.1,4
720156,11.85,6,25,76.5,3
720157,1.64,25,15,,5
720158,9.05,22,10,38.8,4
720159,11.63,6,25,71.9,2
720160,10.31,30,10,47.3,2
720161,7.78,30,20,48.3,1
720162,6.22,40,10,27.2,4
720163,1.58,43,10,12.0,4
720164,1.98,17,30,29.4,5
720165,0.6,5,10,12.0,4
720166,1.19,25,20,17.3,4
720167,8.64,36,15,41.9,4
720168,7.63,43,20,41.4,5
720169,11.34,32,30,68.9,3
720170,11.18,42,20,58.4,1
720171,4.55,45,25,36.4,5
720172,4.54,4,15,33.2,5
720173,3.97,10,25,40.4,4
720174,7.33,34,10,33.5,4
720175,4.25,23,25,35.1,5
720176,2.51,37,25,25.5,4
720177,1.57,1,15,18.0,5
720178,11.19,41,15,59.6,1
720179,1.26,45,10,12.0,5
720180,9.72,11,15,56.8,3
720181,3.32,12,10,18.3,5
720182,8.44,5,15,49.7,1
720183,3.11,36,30,36.5,4
720184,5.26,7,20,48.4,3
720185,8.32,23,15,46.4,3
720186,9.99,30,10,43.2,5
720187,1.22,45,30,26.7,4
720188,1.4,18,10,12.0,4
720189,0.97,35,10,12.0,5
720190,3.25,39,20,27.8,5
720191,5.37,25,30,37.1,4
720192,11.16,24,10,57.5,3
720193,5.46,37,30,55.7,3
720194,8.86,29,15,45.2,2
720195,8.72,12,10,32.2,5
720196,8.62,44,25,,1
720197,0.75,32,20,16.7,5
720198,2.91,47,25,23.7,5
720199,2.13,18,30,30.2,5
720200,11.05,36,25,,3
720201,10.43,15,20,55.1,3
720202,9.34,31,25,63.9,3
720203,1.37,13,10,15.6,5
720204,11.59,26,25,70.3,3
720205,1.2,24,25,27.2,5
720206,10.25,5,10,50.9,2
720207,10.75,4,30,67.0,1
720208,8.25,34,25,50.9,1
720209,8.82,12,30,66.1,3
720210,11.83,28,20,64.3,3
720211,9.01,24,15,42.9,5
720212,2.18,19,10,12.0,4
720213,5.77,17,10,41.1,5
720214,8.98,25,20,53.3,1
720215,9.26,23,10,38.0,4
720216,3.7,16,30,38.7,4
720217,2.91,21,25,37.7,5
720218,11.96,14,20,60.1,3
720219,5.91,6,10,33.2,5
720220,9.41,37,25,61.6,3
720221,6.76,25,30,51.3,1
720222,11.05,5,10,59.1,3
720223,6.0,7,10,33.2,4
720224,5.86,29,30,55.6,2
720225,9.4,24,10,38.0,4
720226,4.49,45,25,30.4,5
720227,6.36,45,15,33.4,5
720228,5.49,20,15,37.0,5
720229,5.54,42,15,34.5,4
720230,4.59,11,10,25.8,5
720231,0.89,21,15,12.0,4
720232,9.62,16,20,59.7,2
720233,9.44,17,20,50.5,1
720234,8.51,37,20,45.6,1
720235,10.39,30,30,66.1,3
720236,0.97,39,10,12.0,4
720237,3.4,26,10,17.5,4
720238,2.17,17,15,17.0,5
720239,9.03,11,15,46.1,2
720240,7.29,24,15,43.0,4
720241,8.21,45,30,60.6,3
720242,11.61,22,30,69.9,3
720243,0.55,44,30,28.7,4
720244,2.4,22,25,30.8,4
720245,9.81,29,15,46.7,3
720246,9.37,39,15,38.7,5
720247,7.1,40,20,43.9,4
720248,10.65,13,30,68.9,3
720249,1.29,37,30,31.4,4
720250,0.76,17,25,25.3,4
720251,1.8,20,30,39.1,4
720252,6.64,31,10,32.9,5
720253,6.76,35,25,49.9,1
720254,4.45,46,15,22.2,4
720255,10.61,20,20,58.8,3
720256,5.08,22,10,26.8,5
720257,1.48,20,20,22.8,5
720258,10.12,23,25,66.3,1
720259,8.19,39,15,48.8,3
720260,11.63,28,25,59.7,1
720261,7.51,34,15,43.2,4
720262,3.04,19,20,31.7,4
720263,2.08,16,15,14.9,4
720264,9.89,20,30,63.0,1
720265,2.79,5,30,42.2,5
720266,3.63,34,10,12.0,5
720267,7.21,32,20,41.6,5
720268,2.19,2,30,44.6,5
720269,7.52,33,30,50.4,1
720270,2.14,36,15,24.2,4
720271,6.74,33,30,51.4,1
720272,11.41,31,20,64.4,3
720273,11.96,22,15,61.6,3
720274,4.41,17,10,23.2,4
720275,7.07,30,15,41.1,4
720276,8.02,14,15,45.8,1
720277,5.43,10,20,45.1,3
720278,10.5,46,30,60.6,1
720279,7.91,11,10,31.5,4
720280,2.05,13,15,28.2,4
