BuildingID,SquareFootage,HVAC_Age,BuildingType,EnergyConsumption_kWh,EnergyRating
730001,22851,17,Residential,5086.0,C
730002,19313,8,Residential,3718.3,C
730003,18404,12,Commercial,4613.6,C
730004,21748,1,Residential,1922.3,B
730005,17761,16,Industrial,9464.1,C
730006,8291,22,Residential,5993.9,C
730007,9295,17,Commercial,3946.7,C
730008,20451,22,Residential,6639.0,C
730009,27269,11,Residential,5356.4,C
730010,11561,4,Commercial,3646.9,C
730011,14738,14,Residential,5019.0,C
730012,21291,10,Commercial,4642.4,C
730013,9208,12,Commercial,4112.4,C
730014,31794,17,Residential,6394.6,C
730015,6413,22,Commercial,5359.7,C
730016,21014,19,Commercial,6643.9,C
730017,9907,9,Commercial,4109.1,C
730018,30795,6,Residential,4836.6,C
730019,32248,13,Residential,4623.9,C
730020,4569,13,Industrial,7332.6,C
730021,34003,20,Commercial,7324.3,C
730022,2476,6,Residential,2646.0,C
730023,2157,9,Commercial,3559.8,C
730024,19107,21,Industrial,10284.7,C
730025,1933,5,Commercial,1921.1,C
730026,12474,1,Commercial,2439.2,C
730027,7573,9,Residential,3723.2,C
730028,10135,20,Commercial,5723.5,C
730029,34213,18,Commercial,6581.8,C
730030,33203,2,Commercial,3607.5,C
730031,28876,21,Residential,7180.7,C
730032,23277,11,Commercial,5107.4,C
730033,2884,8,Residential,2267.9,C
730034,24431,23,Commercial,7042.7,C
730035,22650,2,Commercial,2858.5,C
730036,21494,14,Residential,4721.6,C
730037,5129,21,Commercial,5254.6,C
730038,8237,9,Commercial,2433.2,C
730039,18252,2,Commercial,2830.7,C
730040,17204,7,Commercial,3005.5,C
730041,3768,21,Commercial,5543.0,C
730042,13138,19,Commercial,5403.2,C
730043,25928,21,Commercial,7010.6,C
730044,25858,17,Residential,6092.8,C
730045,5013,1,Commercial,1569.0,C
730046,2431,13,Commercial,3156.4,C
730047,11841,23,Industrial,10613.9,C
730048,29517,16,Industrial,9836.8,C
730049,21667,24,Commercial,6499.0,C
730050,3623,6,Commercial,1485.6,C
730051,10034,2,Commercial,,C
730052,20937,14,Residential,5169.3,C
730053,15413,11,Commercial,4848.6,C
730054,22577,22,Residential,6813.3,C
730055,2740,24,Residential,6012.4,C
730056,20921,3,Commercial,3782.1,C
730057,33775,6,Residential,4338.9,C
730058,1188,5,Commercial,1560.8,C
730059,24408,11,Commercial,4968.6,C
730060,31530,6,Residential,4610.4,C
730061,27962,7,Industrial,8445.9,C
730062,23596,24,Residential,6716.5,C
730063,28512,2,Residential,3701.2,C
730064,6500,13,Commercial,4284.7,C
730065,9660,18,Residential,4444.6,C
730066,18030,13,Commercial,4507.6,C
730067,32548,10,Commercial,5613.1,C
730068,18098,3,Residential,2708.3,C
730069,7649,12,Residential,4511.0,C
730070,23901,17,Commercial,5350.9,C
730071,11796,17,Industrial,9512.6,C
730072,27859,2,Industrial,6196.9,C
730073,26293,12,Residential,6169.0,C
730074,5963,17,Commercial,4080.3,C
730075,27888,9,Commercial,5022.2,C
730076,15741,14,Residential,5072.8,C
730077,30960,14,Commercial,5486.1,C
730078,20450,13,Residential,5401.7,C
730079,34646,20,Commercial,8120.3,C
730080,15220,17,Commercial,5258.5,C
730081,13076,6,Residential,4317.2,C
730082,19153,8,Industrial,8577.8,C
730083,9856,16,Residential,4408.0,C
730084,14799,21,Residential,5998.7,C
730085,21872,11,Commercial,3882.0,C
730086,10389,13,Residential,5002.3,C
730087,20521,5,Commercial,3470.7,C
730088,32040,4,Commercial,4199.2,C
730089,14133,3,Commercial,2640.9,C
730090,1922,15,Industrial,7903.1,C
730091,14805,17,Residential,5288.5,C
730092,26138,14,Residential,4845.0,C
730093,16766,12,Residential,4991.3,C
730094,34344,17,Residential,6542.3,C
730095,18749,15,Commercial,4483.9,C
730096,20473,9,Residential,4369.1,C
730097,34437,4,Residential,4071.7,C
730098,8166,12,Residential,3329.7,C
730099,7633,16,Commercial,3560.0,C
730100,33851,18,Residential,7090.4,C
730101,15580,8,Commercial,3856.2,C
730102,1020,13,Commercial,2550.6,C
730103,25822,8,Commercial,4377.0,C
730104,17226,18,Residential,5783.2,C
730105,4219,1,Residential,2068.9,C
730106,8580,13,Commercial,4288.2,C
