CustomerID,Age,VisitsPerMonth,AvgSpend,FavoriteDrink,LoyaltyScore
760001,51,21,7.7,Smoothie,9
760002,25,2,6.72,Smoothie,2
760003,18,15,4.29,Tea,5
760004,44,6,4.45,Cold Brew,5
760005,60,14,4.26,Tea,7
760006,19,23,3.97,Espresso,7
760007,33,4,6.55,Smoothie,5
760008,52,24,4.54,Cold Brew,9
760009,58,22,5.07,Latte,8
760010,62,23,3.83,Espresso,9
760011,25,19,3.6,Espresso,7
760012,33,17,4.64,Cold Brew,8
760013,36,16,6.11,Smoothie,8
760014,46,8,7.19,Smoothie,6
760015,26,7,6.06,Latte,6
760016,62,25,4.79,Tea,9
760017,70,9,5.1,Tea,6
760018,23,13,7.19,Smoothie,6
760019,66,3,4.7,Tea,4
760020,53,4,7.86,Smoothie,5
760021,19,27,4.06,Tea,9
760022,38,24,5.12,Tea,10
760023,35,27,5.39,Tea,9
760024,68,16,5.47,Espresso,6
760025,37,25,7.75,Smoothie,10
760026,44,26,5.45,Cold Brew,10
760027,71,10,6.45,Latte,7
760028,31,3,5.15,Latte,2
760029,61,22,6.76,Smoothie,10
760030,20,25,3.6,Tea,8
760031,22,9,5.73,Latte,6
760032,30,1,6.04,Smoothie,3
760033,39,9,5.84,Latte,6
760034,33,1,4.05,Tea,3
760035,61,27,7.43,Smoothie,10
760036,26,5,3.82,Cold Brew,2
760037,40,12,3.72,Cold Brew,5
760038,34,14,6.84,Smoothie,6
760039,38,4,4.77,Tea,4
760040,24,9,3.84,Tea,4
760041,46,20,4.03,Cold Brew,9
760042,22,7,3.61,Espresso,3
760043,68,18,5.96,Latte,8
760044,60,17,6.22,Smoothie,8
760045,53,13,7.72,Smoothie,8
760046,65,15,4.35,Tea,7
760047,70,21,6.57,Latte,10
760048,58,7,4.52,Cold Brew,3
760049,63,24,4.74,Espresso,8
760050,61,7,4.81,Tea,4
760051,29,2,5.36,Latte,2
760052,63,10,5.87,Latte,6
760053,42,14,4.36,Cold Brew,7
760054,61,1,7.18,Smoothie,2
760055,48,4,5.45,Cold Brew,3
760056,70,7,4.74,Espresso,4
760057,43,17,4.35,Tea,6
760058,27,12,3.52,Cold Brew,5
760059,44,14,4.5,Tea,7
760060,61,24,6.18,Latte,10
760061,23,16,3.72,Tea,6
760062,45,2,4.42,Cold Brew,2
760063,32,25,5.16,Espresso,10
760064,26,21,4.87,Espresso,8
760065,47,1,4.69,Cold Brew,1
760066,40,22,7.54,Smoothie,9
760067,33,5,5.36,Tea,3
760068,27,9,5.08,Espresso,6
760069,54,25,6.33,Smoothie,10
760070,42,20,4.29,Tea,9
760071,57,2,3.54,Espresso,1
760072,42,12,6.49,Smoothie,7
760073,29,18,5.22,Cold Brew,7
760074,44,25,5.11,Latte,10
760075,25,3,6.44,Smoothie,3
760076,42,22,7.68,Smoothie,9
760077,60,12,6.94,Latte,6
760078,21,14,3.92,Espresso,7
760079,27,17,5.2,Tea,8
760080,58,4,5.17,Espresso,4
760081,60,22,5.43,Tea,9
760082,57,27,6.99,Latte,10
760083,52,2,4.34,Tea,1
760084,39,23,7.45,Smoothie,10
760085,61,8,6.24,Latte,6
760086,61,11,6.52,Smoothie,7
760087,49,6,4.35,Espresso,4
760088,62,19,5.35,Tea,9
760089,55,16,5.79,Latte,8
760090,18,15,4.11,Tea,7
760091,70,4,5.19,Espresso,2
760092,22,14,4.12,Espresso,7
760093,44,7,4.2,Espresso,3
760094,31,25,3.75,Cold Brew,10
760095,20,4,4.23,Cold Brew,4
760096,38,27,5.17,Espresso,9
760097,54,17,5.29,Espresso,7
760098,33,4,4.37,Cold Brew,4
760099,55,8,4.38,Cold Brew,5
760100,38,11,6.62,Latte,5
760101,70,6,7.01,Smoothie,6
760102,65,26,5.85,Latte,9
760103,63,25,6.09,Smoothie,10
760104,63,9,4.25,Tea,3
760105,26,1,4.59,Cold Brew,3
760106,38,6,6.76,Smoothie,6
760107,58,20,5.24,Tea,9
760108,63,2,3.83,Espresso,2
760109,27,9,4.11,Tea,5
760110,24,3,6.96,Smoothie,5
760111,58,10,4.71,Cold Brew,5
760112,71,14,4.67,Cold Brew,6
760113,66,8,,Cold Brew,4
760114,53,23,4.49,Cold Brew,10
760115,56,22,5.2,Cold Brew,9
760116,43,5,4.92,Tea,3
760117,66,2,6.24,Latte,4
760118,58,18,7.92,Smoothie,9
760119,55,5,4.3,Cold Brew,4
760120,71,2,,Tea,4
760121,57,6,6.18,Latte,4
760122,20,20,4.21,Tea,7
760123,69,25,4.37,Tea,8
760124,45,7,3.77,Espresso,2
760125,24,13,4.83,Espresso,6
760126,57,14,4.14,Espresso,5
760127,38,9,6.31,Latte,6
760128,48,25,5.15,Tea,9
760129,22,15,6.85,Latte,8
760130,61,14,5.8,Latte,7
