JobID,ExpYears,EducationLevel,RoleCategory,IsRemote,Salary
770001,23,Bachelors,Software,No,131916.3
770002,20,Masters,Software,Yes,110837.75
770003,20,Bachelors,Data Science,Yes,101925.51
770004,11,Bachelors,Marketing,Yes,88528.23
770005,5,Bachelors,Data Science,Yes,74206.9
770006,24,Masters,Software,No,140088.65
770007,0,Bachelors,Software,Yes,51233.17
770008,7,Bachelors,Software,Yes,82592.0
770009,21,Bachelors,Software,Yes,117248.52
770010,12,Bachelors,HR,Yes,75257.93
770011,19,Bachelors,HR,No,106561.27
770012,0,Masters,Software,No,64623.23
770013,22,Bachelors,Data Science,Yes,118794.58
770014,4,Bachelors,HR,No,52171.76
770015,22,Bachelors,Software,Yes,111364.46
770016,4,Bachelors,Marketing,Yes,62332.99
770017,21,Masters,Software,Yes,124098.22
770018,15,Bachelors,Marketing,Yes,87639.39
770019,14,Bachelors,Data Science,No,110385.02
770020,15,Masters,Marketing,No,101690.82
770021,10,Bachelors,Software,No,84300.24
770022,7,Bachelors,Software,Yes,81343.64
770023,3,PhD,Data Science,No,89666.41
770024,1,Bachelors,Marketing,Yes,44653.63
770025,11,Bachelors,Software,Yes,91982.46
770026,17,Bachelors,Software,No,106297.92
770027,6,Bachelors,HR,No,60652.48
770028,20,Masters,Data Science,No,135110.12
770029,5,Masters,Marketing,No,66545.54
770030,24,Bachelors,Software,Yes,117561.99
770031,1,Bachelors,Software,Yes,50232.23
770032,8,PhD,HR,No,99892.06
770033,1,Bachelors,Software,No,50485.36
770034,10,Masters,Software,Yes,93410.75
770035,22,Masters,Data Science,No,150152.96
770036,19,Bachelors,Data Science,No,127209.48
770037,4,Bachelors,Software,Yes,75632.0
770038,19,Masters,Software,No,129167.39
770039,9,Bachelors,Data Science,Yes,82731.65
770040,0,Bachelors,Marketing,Yes,43043.34
770041,8,Bachelors,HR,No,65850.42
770042,5,Masters,Marketing,No,66026.49
770043,11,Bachelors,Software,No,88993.66
770044,3,Bachelors,Marketing,No,52384.92
770045,18,Masters,Data Science,Yes,116379.76
770046,20,Masters,HR,Yes,109960.49
770047,4,Masters,HR,No,73492.89
770048,21,Bachelors,Software,No,127275.11
770049,22,Bachelors,Marketing,No,115307.68
770050,13,Bachelors,Software,No,101472.88
770051,14,Bachelors,HR,Yes,80493.12
770052,12,Bachelors,Software,No,93324.78
770053,5,Bachelors,Software,Yes,70422.22
770054,17,Bachelors,Software,No,121848.35
770055,2,Masters,Marketing,Yes,55730.32
770056,4,Bachelors,Software,Yes,64867.81
770057,12,Bachelors,Data Science,No,96042.89
770058,3,Bachelors,HR,Yes,55789.53
770059,9,Masters,HR,No,88494.69
770060,24,Bachelors,Marketing,No,120706.51
770061,18,Bachelors,Data Science,Yes,119695.78
770062,14,Bachelors,Software,No,97933.43
770063,0,Bachelors,Data Science,No,56486.83
770064,24,Bachelors,Marketing,No,119576.49
770065,7,Bachelors,Marketing,No,73900.13
770066,23,Bachelors,Software,Yes,130119.54
770067,21,Bachelors,Software,Yes,116088.14
770068,19,Bachelors,Software,No,123749.55
770069,20,Bachelors,Software,Yes,118687.76
770070,11,Bachelors,Marketing,Yes,81450.2
770071,2,Bachelors,Software,No,64984.4
770072,6,Bachelors,Data Science,Yes,73022.81
770073,14,Bachelors,Marketing,No,94356.21
770074,7,Masters,HR,No,78613.07
770075,6,Bachelors,Data Science,Yes,84608.34
770076,2,Bachelors,Marketing,Yes,39291.56
770077,13,Bachelors,Software,Yes,99573.6
770078,15,Bachelors,Software,Yes,99057.6
770079,11,Bachelors,HR,No,85897.98
770080,2,Bachelors,Software,No,61725.93
770081,23,Bachelors,Software,Yes,125467.85
770082,21,Masters,Data Science,No,132450.83
770083,24,Bachelors,HR,No,124027.2
770084,1,Masters,Software,No,74953.87
770085,1,Bachelors,HR,No,47810.65
770086,2,Bachelors,Marketing,No,48190.21
770087,15,Bachelors,Software,No,102137.15
770088,6,Masters,Software,No,87129.08
770089,21,Bachelors,Data Science,No,130363.23
770090,20,Bachelors,Data Science,Yes,113836.45
770091,12,Bachelors,Software,No,104179.36
770092,13,Bachelors,HR,No,85308.29
770093,11,Bachelors,Software,No,96061.4
770094,24,Bachelors,Data Science,No,149948.94
770095,0,Masters,HR,Yes,56773.97
770096,2,Bachelors,Data Science,No,58959.83
770097,6,Masters,Software,No,92714.28
770098,22,Bachelors,Marketing,No,112701.6
