TierID,UserSeats,AnnualDiscount,FeaturesUsed,ContractValue
820001,20,0,17.0,2747.05
820002,10,10,29.0,1619.03
820003,50,0,31.0,6449.93
820004,50,20,25.0,4807.11
820005,20,10,26.0,2631.37
820006,20,0,18.0,2706.6
820007,100,10,22.0,10926.09
820008,20,0,16.0,2499.72
820009,10,0,34.0,1464.05
820010,5,0,30.0,985.19
820011,10,0,12.0,1608.61
820012,100,15,18.0,10545.38
820013,10,0,28.0,1479.08
820014,5,0,7.0,728.78
820015,100,0,11.0,12020.92
820016,20,0,3.0,2344.81
820017,5,10,8.0,701.3
820018,20,15,31.0,2153.97
820019,50,15,4.0,4821.73
820020,20,0,10.0,2466.56
820021,5,0,5.0,687.29
820022,10,0,,1344.6
820023,10,0,24.0,1460.97
820024,10,0,11.0,1343.38
820025,20,0,24.0,2596.02
820026,20,0,31.0,2942.41
820027,10,10,15.0,1270.34
820028,5,0,30.0,1072.92
820029,10,0,25.0,1503.72
820030,20,0,14.0,2556.79
820031,20,0,6.0,2539.8
820032,20,15,7.0,2206.06
820033,5,0,20.0,767.29
820034,5,10,25.0,980.54
820035,20,20,31.0,2368.35
820036,5,0,8.0,864.68
820037,20,0,22.0,2697.43
820038,5,0,10.0,865.73
820039,10,15,26.0,1417.82
820040,20,0,11.0,2864.44
820041,5,10,18.0,729.34
820042,20,20,21.0,2203.94
820043,10,10,4.0,972.07
820044,10,0,25.0,1659.29
820045,5,0,10.0,887.18
820046,5,20,7.0,956.5
820047,10,0,14.0,1539.99
820048,5,10,32.0,989.89
820049,50,0,29.0,6203.43
820050,10,15,24.0,1344.24
820051,100,0,8.0,12355.25
820052,5,15,5.0,804.16
820053,10,10,16.0,1276.2
820054,20,10,15.0,2064.96
820055,50,0,9.0,6500.43
820056,20,15,7.0,2187.15
820057,10,10,12.0,1057.76
820058,10,0,20.0,1246.7
820059,10,10,14.0,1098.85
820060,20,0,34.0,2943.25
820061,20,15,13.0,2316.01
820062,5,10,10.0,500.0
820063,10,10,21.0,1402.34
820064,20,15,33.0,2605.39
820065,20,0,24.0,2741.0
820066,5,20,13.0,573.75
820067,5,15,25.0,931.5
820068,5,0,20.0,823.43
820069,20,0,8.0,2258.91
820070,20,0,18.0,2830.33
820071,20,10,26.0,2581.48
820072,50,20,21.0,4935.02
820073,5,15,11.0,787.02
820074,50,20,33.0,5167.71
820075,20,0,20.0,2577.84
820076,10,0,7.0,1459.08
820077,5,10,29.0,805.9
820078,10,0,23.0,1710.2
820079,20,15,18.0,2216.8
820080,20,15,25.0,2379.86
820081,10,15,25.0,1543.21
820082,10,0,30.0,1562.09
820083,10,15,24.0,1458.89
820084,20,0,7.0,2514.99
820085,10,0,13.0,1730.86
820086,20,0,22.0,2799.85
820087,10,10,10.0,1015.36
820088,5,15,6.0,666.68
820089,10,0,30.0,1810.62
820090,10,10,26.0,1486.12
820091,5,0,27.0,1071.38
820092,5,0,11.0,707.41
820093,5,0,12.0,1093.74
820094,20,10,19.0,2499.79
820095,5,0,16.0,771.68
820096,5,0,7.0,740.55
820097,10,0,31.0,1905.64
