TicketID,TicketType,Channel,ResolutionTime_Hours,AgentExp_Months,CSAT_Score
850001,Refund,Phone,2.9,30,5
850002,Refund,Email,7.2,43,4
850003,Account Access,Chat,0.5,55,5
850004,General,Phone,0.5,24,5
850005,Technical,Phone,22.1,7,2
850006,Account Access,Chat,2.2,12,5
850007,General,Email,1.3,34,5
850008,General,Phone,0.5,44,5
850009,General,Email,3.0,41,4
850010,Refund,Email,10.0,13,2
850011,Refund,Phone,5.7,28,2
850012,Refund,Email,6.4,47,2
850013,Refund,Chat,3.3,31,5
850014,Technical,Chat,16.5,41,3
850015,General,Phone,0.5,26,5
850016,General,Chat,0.7,4,5
850017,Refund,Phone,0.5,55,4
850018,General,Email,2.0,42,4
850019,Refund,Phone,5.0,27,2
850020,Account Access,Phone,0.5,36,5
850021,General,Email,6.6,7,4
850022,General,Email,5.1,10,1
850023,Account Access,Phone,0.5,53,5
850024,Account Access,Phone,0.5,55,5
850025,Account Access,Chat,0.5,36,5
850026,Account Access,Email,6.0,13,2
850027,Technical,Phone,19.3,27,1
850028,Refund,Email,6.1,58,4
850029,Technical,Phone,19.6,31,3
850030,Technical,Chat,15.0,53,1
850031,Account Access,Email,3.6,37,4
850032,General,Chat,0.5,10,4
850033,General,Chat,0.5,43,5
850034,Refund,Phone,0.9,41,5
850035,Account Access,Phone,0.5,6,5
850036,General,Phone,0.5,18,4
850037,General,Email,0.5,56,5
850038,General,Chat,0.5,14,5
850039,General,Chat,0.5,42,4
850040,Account Access,Email,7.2,8,2
850041,Account Access,Phone,1.5,1,5
850042,Account Access,Email,2.9,43,4
850043,Technical,Chat,19.6,19,2
850044,General,Email,1.2,45,5
850045,Refund,Chat,0.5,45,5
850046,Technical,Email,30.9,1,2
850047,Account Access,Phone,0.5,41,5
850048,Account Access,Chat,0.5,30,5
850049,General,Chat,0.5,43,5
850050,Refund,Phone,0.5,59,5
850051,General,Email,0.8,58,5
850052,Technical,Email,19.8,54,1
850053,Technical,Email,30.3,22,1
850054,General,Phone,0.5,53,4
850055,Technical,Phone,12.9,58,2
850056,Technical,Email,24.1,36,2
850057,Account Access,Chat,0.5,20,4
850058,Technical,Chat,20.8,18,2
850059,Technical,Email,20.7,42,4
850060,General,Chat,0.5,31,5
850061,Technical,Chat,14.6,48,3
850062,Technical,Email,30.2,3,4
850063,General,Chat,2.1,2,5
850064,Technical,Email,28.9,18,1
850065,Refund,Chat,0.5,44,5
850066,General,Email,0.5,35,5
