DayID,PanelTemp,SolarRadiation,CloudCover,DailyPower_kWh,Efficiency
880001,50.2,602.0,30.1,162.2,17.48
880002,24.5,155.9,,43.4,18.17
880003,28.5,707.1,80.8,185.3,17.55
880004,56.1,440.2,39.4,112.2,16.3
880005,57.9,522.0,11.9,141.4,17.46
880006,35.0,620.0,14.6,195.6,20.07
880007,30.3,192.1,94.4,50.3,16.64
880008,55.0,166.6,94.1,31.3,13.7
880009,52.2,949.6,36.0,233.5,16.93
880010,39.6,377.5,,97.6,16.29
880011,64.3,193.5,92.5,39.1,12.66
880012,34.3,119.2,20.7,42.9,19.85
880013,32.9,657.4,0.6,209.9,21.02
880014,21.1,826.6,25.3,271.1,21.2
880015,28.9,740.8,81.6,190.8,17.45
880016,18.8,756.3,19.8,252.6,21.76
880017,26.9,529.4,47.1,147.6,19.41
880018,36.1,273.3,48.4,73.1,18.25
880019,44.0,287.8,33.8,73.7,18.03
880020,50.9,449.3,49.3,116.0,16.42
880021,31.6,783.1,13.6,239.8,20.53
880022,38.1,943.4,69.3,237.3,16.97
880023,55.6,460.2,10.1,125.8,17.83
880024,46.9,630.5,1.8,181.0,19.28
880025,29.8,199.3,65.4,62.8,18.16
880026,31.8,899.1,2.3,281.6,21.07
880027,62.8,965.3,82.8,192.0,13.32
880028,61.7,173.5,26.3,42.4,16.27
880029,40.5,706.4,13.8,212.3,19.45
880030,19.3,428.4,81.8,115.9,18.59
880031,29.0,553.5,7.4,182.0,21.15
880032,23.3,394.7,64.6,114.5,18.97
880033,52.3,483.5,4.1,137.1,18.51
880034,55.0,222.2,8.7,65.1,17.96
880035,52.1,468.0,,128.7,18.07
880036,22.7,376.6,5.8,119.1,21.98
880037,48.4,706.6,27.8,194.8,17.8
880038,22.7,393.2,29.4,125.1,20.81
880039,28.5,216.1,78.6,58.4,17.66
880040,60.6,419.5,98.8,82.3,12.79
880041,50.0,347.1,40.4,83.7,16.98
880042,20.4,763.1,38.0,234.6,20.65
880043,16.8,546.0,39.2,180.3,21.03
880044,52.7,881.4,75.6,197.4,14.89
880045,32.4,349.6,1.1,104.9,21.06
880046,56.1,321.2,44.4,78.8,16.04
880047,28.6,316.4,43.3,94.9,19.4
880048,64.3,221.7,2.1,57.2,17.18
880049,34.4,356.8,93.6,88.8,16.19
880050,32.7,604.8,10.7,187.7,20.55
880051,19.9,159.5,41.6,49.4,20.52
880052,18.4,744.9,20.2,245.6,21.78
880053,54.8,785.2,72.5,170.6,14.8
880054,58.0,467.0,94.0,90.9,13.34
880055,59.1,162.1,80.6,29.1,13.87
880056,19.4,230.3,16.5,71.0,21.85
880057,62.8,976.9,73.6,196.6,13.78
880058,30.0,210.5,46.7,59.8,19.06
880059,44.7,449.8,70.0,105.6,16.14
880060,53.4,372.5,79.3,86.7,14.63
880061,22.3,909.5,16.6,292.6,21.5
880062,15.5,959.6,58.9,286.9,20.19
880063,17.5,292.1,91.1,80.5,18.34
880064,23.9,657.5,59.0,187.9,19.19
880065,16.0,853.0,63.8,255.4,19.89
880066,18.4,601.4,41.6,183.5,20.71
880067,55.4,539.8,71.0,125.6,14.8
880068,19.9,205.8,52.0,65.0,20.01
880069,32.8,191.1,40.3,55.8,19.05
880070,26.4,856.8,70.2,238.3,18.32
880071,59.3,349.6,43.2,89.0,15.73
880072,30.1,220.9,50.1,62.4,18.89
880073,49.4,479.6,29.5,122.7,17.6
880074,15.6,669.4,89.6,185.1,18.65
880075,27.6,978.6,89.7,265.8,17.2
880076,44.1,777.4,77.5,181.2,15.83
880077,15.3,350.9,22.6,114.3,22.04
880078,37.1,445.4,48.6,112.7,18.12
880079,33.3,178.5,66.2,46.2,17.7
880080,15.8,611.1,9.8,205.3,22.61
880081,48.0,599.2,74.6,138.3,15.5
880082,32.0,243.5,86.5,53.1,16.84
880083,39.6,453.7,8.3,137.4,19.84
880084,19.1,719.7,96.4,192.1,17.88
880085,55.9,286.0,55.3,72.4,15.52
880086,22.1,658.7,44.1,201.6,20.15
880087,18.2,929.3,26.2,300.0,21.51
880088,46.1,147.2,29.8,28.0,17.97
880089,46.3,944.4,30.7,264.8,17.9
880090,54.3,110.8,93.9,28.1,13.79
880091,37.0,377.2,13.1,119.1,19.91
880092,45.6,972.5,58.0,249.4,16.63
880093,28.4,716.5,34.5,215.3,19.87
880094,60.1,328.3,58.2,69.1,14.87
880095,62.9,280.7,79.1,64.9,13.5
880096,44.4,469.3,97.5,100.6,14.8
880097,42.8,601.8,16.8,174.9,19.02
880098,62.7,104.9,78.6,25.1,13.55
880099,29.1,919.1,49.6,272.1,19.03
880100,46.1,575.4,85.0,124.1,15.21
880101,42.0,564.1,47.9,151.8,17.56
880102,55.2,432.6,41.1,119.2,16.32
880103,64.4,857.6,35.8,202.5,15.48
880104,46.4,480.5,33.3,124.7,17.77
880105,40.7,931.9,77.6,232.1,16.23
880106,42.7,710.3,33.8,191.9,18.18
880107,32.4,390.0,14.6,119.7,20.38
