OutageID,GridSector,WeatherAnomalyIndex,MaintenanceCycle_Months,OutageDuration_Hours,CustomersAffected
890001,Sector C,0.64,15.0,2.8,1288
890002,Sector C,5.55,6.0,11.1,5355
890003,Sector D,0.02,10.0,2.6,3247
890004,Sector B,6.89,5.0,12.8,15000
890005,Sector A,8.03,12.0,15.9,2421
890006,Sector D,5.21,13.0,10.7,5275
890007,Sector B,4.48,28.0,15.2,15000
890008,Sector C,5.03,29.0,16.9,8408
890009,Sector B,7.5,,19.3,2834
890010,Sector B,5.21,6.0,11.3,1659
890011,Sector A,4.7,9.0,11.0,5541
890012,Sector A,6.04,23.0,17.2,8586
890013,Sector D,7.82,31.0,23.0,3471
890014,Sector A,3.69,24.0,13.7,6769
890015,Sector B,4.8,,15.9,7657
890016,Sector D,9.1,9.0,17.9,15000
890017,Sector B,0.43,24.0,8.2,10021
890018,Sector B,3.28,15.0,9.6,4627
890019,Sector D,3.23,19.0,12.3,6215
890020,Sector B,8.1,35.0,24.0,3645
890021,Sector B,8.35,18.0,20.5,15000
890022,Sector A,6.24,13.0,15.1,2157
890023,Sector A,0.37,19.0,4.0,550
890024,Sector D,9.71,20.0,22.1,15000
890025,Sector C,5.1,35.0,19.3,9616
890026,Sector D,5.46,35.0,18.0,15000
890027,Sector C,1.4,30.0,7.7,3853
890028,Sector C,8.95,15.0,20.4,15000
890029,Sector C,0.57,11.0,2.8,1541
890030,Sector B,4.98,28.0,14.4,2261
890031,Sector A,9.39,16.0,20.5,10161
890032,Sector B,4.18,3.0,8.0,3976
890033,Sector C,2.05,6.0,5.5,6594
890034,Sector C,5.25,14.0,12.9,15000
890035,Sector A,3.74,4.0,6.8,7975
890036,Sector D,8.13,27.0,21.0,15000
890037,Sector D,8.95,32.0,24.0,12058
890038,Sector B,2.91,32.0,11.1,1566
890039,Sector D,1.83,9.0,5.8,692
890040,Sector B,2.6,10.0,6.2,3043
890041,Sector C,9.16,32.0,23.7,11811
890042,Sector A,5.66,30.0,16.3,8136
890043,Sector A,6.75,26.0,18.3,2772
890044,Sector B,2.41,4.0,5.6,6758
890045,Sector C,2.72,6.0,6.2,3072
890046,Sector C,8.33,15.0,18.2,9123
890047,Sector A,3.76,1.0,7.4,3748
890048,Sector C,1.83,18.0,9.3,1398
890049,Sector A,8.16,21.0,20.6,15000
890050,Sector D,1.63,,11.8,5772
890051,Sector D,5.02,32.0,17.4,15000
890052,Sector A,8.05,23.0,20.4,15000
890053,Sector B,3.95,35.0,15.0,15000
890054,Sector A,7.04,6.0,14.5,15000
890055,Sector B,7.14,11.0,15.0,2309
890056,Sector C,7.42,30.0,20.4,15000
890057,Sector B,7.31,31.0,21.5,3143
890058,Sector A,8.94,17.0,21.9,3240
890059,Sector A,9.37,4.0,17.7,2487
890060,Sector B,5.07,18.0,14.4,15000
890061,Sector C,7.89,24.0,20.3,10296
890062,Sector D,9.09,5.0,18.4,15000
890063,Sector D,5.43,29.0,16.4,15000
890064,Sector D,7.25,2.0,14.2,2224
890065,Sector D,0.17,14.0,4.8,2308
890066,Sector C,4.46,17.0,12.5,15000
890067,Sector A,4.16,12.0,11.4,1590
890068,Sector D,1.14,22.0,7.8,9434
890069,Sector B,1.66,25.0,7.3,1086
890070,Sector B,3.21,9.0,8.1,1214
890071,Sector C,0.05,,5.8,2798
890072,Sector D,9.63,26.0,22.7,3280
890073,Sector D,5.04,34.0,18.4,2744
890074,Sector A,0.76,15.0,6.6,3285
890075,Sector D,8.28,22.0,21.7,3250
890076,Sector C,6.69,27.0,19.8,15000
890077,Sector B,2.7,8.0,7.4,1244
890078,Sector A,1.96,3.0,5.3,774
890079,Sector D,4.63,19.0,13.9,15000
890080,Sector A,8.42,17.0,20.2,15000
890081,Sector D,2.18,6.0,4.7,1002
890082,Sector C,6.72,12.0,14.4,2267
890083,Sector D,0.82,24.0,8.4,9969
890084,Sector A,3.89,27.0,13.4,6811
890085,Sector A,9.42,21.0,21.2,3407
890086,Sector C,0.93,1.0,1.5,98
890087,Sector D,3.23,5.0,7.1,8432
890088,Sector C,4.85,6.0,8.5,10263
890089,Sector C,2.03,5.0,6.2,7531
890090,Sector C,4.17,18.0,12.6,1949
890091,Sector A,0.31,,5.3,6397
890092,Sector D,7.37,18.0,16.1,8127
890093,Sector D,6.59,13.0,13.9,15000
890094,Sector B,7.55,26.0,21.9,10990
890095,Sector B,2.8,20.0,12.5,6157
890096,Sector D,1.68,28.0,10.5,1775
890097,Sector C,5.29,12.0,11.3,1838
890098,Sector B,8.38,17.0,20.5,3109
890099,Sector C,7.37,19.0,18.2,2827
890100,Sector D,2.33,12.0,7.3,8887
890101,Sector B,9.99,28.0,24.0,15000
890102,Sector D,6.08,4.0,10.9,13167
890103,Sector A,7.58,11.0,17.6,15000
890104,Sector A,5.92,30.0,17.0,2579
890105,Sector B,3.96,4.0,7.7,3753
890106,Sector B,6.97,26.0,19.2,3001
890107,Sector C,6.5,3.0,10.2,12230
890108,Sector A,6.41,6.0,14.3,7152
890109,Sector C,9.63,22.0,24.0,15000
890110,Sector D,9.51,1.0,17.2,15000
890111,Sector C,8.88,25.0,21.4,15000
890112,Sector A,6.74,4.0,12.8,1890
890113,Sector C,5.44,20.0,14.9,2190
890114,Sector B,2.05,28.0,11.8,14034
890115,Sector D,3.47,20.0,10.4,5160
890116,Sector A,9.61,35.0,24.0,15000
890117,Sector D,3.54,33.0,14.8,15000
890118,Sector C,8.85,23.0,23.1,3386
890119,Sector B,3.17,10.0,7.9,3814
890120,Sector A,8.34,8.0,17.9,9084
890121,Sector A,4.97,29.0,15.0,2216
890122,Sector C,6.8,19.0,15.3,15000
890123,Sector C,3.91,17.0,11.4,13557
890124,Sector A,4.98,28.0,16.6,2623
890125,Sector D,2.23,2.0,5.6,6642
890126,Sector B,4.47,16.0,11.4,1880
890127,Sector B,5.74,5.0,12.3,14872
890128,Sector D,8.42,16.0,18.3,15000
890129,Sector A,5.3,9.0,11.2,5643
890130,Sector C,0.75,21.0,6.5,886
890131,Sector B,7.44,10.0,15.0,15000
890132,Sector C,1.04,32.0,10.4,1456
890133,Sector C,7.88,21.0,18.5,9130
890134,Sector D,2.48,35.0,13.6,6917
890135,Sector A,0.46,31.0,7.6,9010
890136,Sector C,9.84,11.0,20.5,10226
890137,Sector B,6.0,33.0,17.3,15000
890138,Sector A,1.27,4.0,3.0,399
890139,Sector B,5.11,34.0,16.9,15000
890140,Sector C,0.5,27.0,8.2,9982
890141,Sector D,1.57,22.0,8.3,1271
890142,Sector B,0.48,10.0,4.0,670
890143,Sector D,7.75,30.0,21.0,3276
890144,Sector A,1.85,14.0,6.9,975
890145,Sector C,4.88,29.0,15.4,2265
890146,Sector B,9.88,26.0,24.0,15000
890147,Sector A,3.17,31.0,13.5,15000
890148,Sector B,6.51,4.0,12.1,14389
890149,Sector C,0.84,10.0,4.4,705
890150,Sector D,0.35,32.0,9.3,10988
890151,Sector D,7.25,30.0,21.3,10663
890152,Sector B,7.07,17.0,16.7,8279
890153,Sector C,2.53,8.0,8.3,4308
890154,Sector B,4.54,20.0,12.9,15000
890155,Sector D,0.73,25.0,8.3,4105
890156,Sector C,3.39,5.0,6.9,1078
890157,Sector B,3.79,12.0,10.2,12397
890158,Sector A,6.9,1.0,10.7,5493
890159,Sector B,7.15,16.0,16.0,2455
890160,Sector A,0.13,30.0,8.5,1271
