UserID,InstallSource,OnboardingCompleted,NotificationsActive,SessionCount,Day7_Retained
900001,GoogleAds,0,0.0,10.0,No
900002,Referral,1,1.0,21.0,Yes
900003,Organic,1,1.0,24.0,Yes
900004,FacebookAds,1,1.0,17.0,No
900005,GoogleAds,0,1.0,6.0,No
900006,GoogleAds,1,0.0,17.0,Yes
900007,FacebookAds,1,0.0,10.0,No
900008,FacebookAds,1,0.0,11.0,No
900009,GoogleAds,1,1.0,13.0,Yes
900010,Organic,0,1.0,17.0,No
900011,GoogleAds,1,0.0,12.0,Yes
900012,FacebookAds,1,1.0,22.0,Yes
900013,GoogleAds,1,1.0,26.0,Yes
900014,GoogleAds,0,1.0,8.0,No
900015,FacebookAds,1,1.0,13.0,Yes
900016,Organic,0,1.0,11.0,No
900017,GoogleAds,1,1.0,13.0,No
900018,Organic,0,1.0,17.0,No
900019,Referral,0,1.0,15.0,No
900020,FacebookAds,0,0.0,14.0,No
900021,GoogleAds,1,0.0,16.0,Yes
900022,Organic,1,1.0,24.0,No
900023,GoogleAds,0,1.0,9.0,Yes
900024,FacebookAds,1,1.0,19.0,Yes
900025,GoogleAds,0,0.0,1.0,No
900026,Organic,1,1.0,21.0,Yes
900027,GoogleAds,1,1.0,20.0,No
900028,GoogleAds,1,0.0,18.0,Yes
900029,FacebookAds,1,1.0,20.0,Yes
900030,FacebookAds,1,1.0,22.0,Yes
900031,Referral,0,1.0,14.0,No
900032,GoogleAds,1,1.0,19.0,Yes
900033,FacebookAds,1,1.0,24.0,Yes
900034,FacebookAds,0,0.0,14.0,No
900035,GoogleAds,0,0.0,8.0,No
900036,Organic,1,1.0,25.0,Yes
900037,FacebookAds,1,0.0,17.0,No
900038,Organic,1,1.0,26.0,Yes
900039,Organic,1,0.0,14.0,No
900040,GoogleAds,0,1.0,17.0,No
900041,GoogleAds,1,,16.0,Yes
900042,Organic,1,0.0,17.0,Yes
900043,FacebookAds,1,1.0,17.0,Yes
900044,FacebookAds,1,1.0,24.0,Yes
900045,GoogleAds,1,0.0,17.0,Yes
900046,Organic,1,1.0,15.0,Yes
900047,Organic,1,1.0,16.0,Yes
900048,FacebookAds,0,1.0,9.0,No
900049,FacebookAds,0,1.0,10.0,No
900050,GoogleAds,0,0.0,9.0,No
900051,Organic,1,1.0,21.0,Yes
900052,Organic,1,1.0,18.0,Yes
900053,FacebookAds,1,1.0,26.0,Yes
900054,GoogleAds,1,0.0,13.0,Yes
900055,FacebookAds,1,1.0,15.0,Yes
900056,Organic,0,1.0,6.0,Yes
900057,Organic,1,1.0,26.0,Yes
900058,FacebookAds,0,1.0,13.0,No
900059,GoogleAds,1,0.0,13.0,Yes
900060,FacebookAds,0,0.0,13.0,No
900061,Organic,0,1.0,10.0,No
900062,FacebookAds,1,1.0,21.0,Yes
900063,FacebookAds,0,1.0,18.0,Yes
900064,GoogleAds,1,0.0,15.0,Yes
900065,Organic,1,1.0,18.0,Yes
900066,FacebookAds,1,0.0,18.0,Yes
900067,FacebookAds,0,0.0,10.0,No
900068,FacebookAds,0,1.0,16.0,Yes
900069,Organic,0,,7.0,No
900070,FacebookAds,0,0.0,1.0,No
900071,Referral,1,0.0,19.0,No
900072,Referral,1,0.0,15.0,Yes
900073,GoogleAds,0,1.0,15.0,Yes
900074,FacebookAds,1,1.0,21.0,Yes
900075,GoogleAds,0,0.0,10.0,No
900076,GoogleAds,0,1.0,5.0,No
900077,FacebookAds,0,1.0,16.0,No
900078,GoogleAds,1,0.0,21.0,Yes
900079,FacebookAds,1,1.0,17.0,Yes
900080,FacebookAds,0,1.0,9.0,No
900081,Organic,1,1.0,23.0,Yes
900082,Organic,1,0.0,14.0,Yes
900083,GoogleAds,0,1.0,14.0,No
900084,GoogleAds,1,1.0,21.0,Yes
900085,FacebookAds,1,1.0,21.0,Yes
900086,Organic,1,1.0,18.0,Yes
900087,Organic,1,1.0,23.0,Yes
900088,FacebookAds,1,1.0,18.0,Yes
900089,GoogleAds,1,0.0,10.0,Yes
900090,FacebookAds,1,1.0,23.0,Yes
900091,GoogleAds,1,1.0,15.0,Yes
900092,GoogleAds,1,1.0,25.0,Yes
900093,Organic,0,1.0,6.0,No
900094,FacebookAds,1,1.0,26.0,Yes
900095,FacebookAds,1,0.0,9.0,No
900096,GoogleAds,1,1.0,20.0,Yes
900097,FacebookAds,1,1.0,26.0,Yes
900098,FacebookAds,1,1.0,21.0,Yes
900099,Organic,1,1.0,19.0,No
900100,FacebookAds,1,0.0,9.0,No
900101,GoogleAds,0,1.0,9.0,Yes
900102,GoogleAds,1,0.0,21.0,No
900103,Referral,1,1.0,17.0,Yes
900104,Referral,1,1.0,18.0,Yes
900105,Organic,1,0.0,13.0,Yes
900106,FacebookAds,1,1.0,14.0,Yes
900107,GoogleAds,1,1.0,13.0,Yes
900108,GoogleAds,1,1.0,20.0,Yes
900109,GoogleAds,1,1.0,14.0,Yes
900110,GoogleAds,1,1.0,20.0,Yes
900111,GoogleAds,0,0.0,3.0,No
900112,GoogleAds,0,0.0,11.0,No
900113,Organic,1,1.0,18.0,Yes
900114,Organic,1,0.0,15.0,Yes
900115,Referral,0,1.0,10.0,Yes
900116,FacebookAds,0,1.0,16.0,No
900117,GoogleAds,1,0.0,19.0,Yes
900118,Organic,1,1.0,18.0,Yes
900119,FacebookAds,1,0.0,13.0,No
900120,FacebookAds,1,0.0,18.0,No
900121,GoogleAds,0,1.0,5.0,Yes
900122,FacebookAds,0,1.0,17.0,Yes
900123,FacebookAds,1,0.0,16.0,Yes
900124,FacebookAds,1,0.0,11.0,Yes
900125,Organic,1,1.0,19.0,No
900126,GoogleAds,1,1.0,25.0,Yes
900127,GoogleAds,0,1.0,17.0,No
900128,FacebookAds,0,0.0,7.0,No
900129,Organic,1,0.0,22.0,Yes
900130,Referral,1,1.0,19.0,Yes
900131,Referral,0,0.0,2.0,No
900132,GoogleAds,0,0.0,10.0,No
900133,Organic,1,1.0,18.0,Yes
900134,GoogleAds,0,1.0,17.0,No
900135,FacebookAds,1,0.0,14.0,Yes
900136,GoogleAds,1,0.0,13.0,Yes
900137,GoogleAds,1,0.0,20.0,Yes
900138,FacebookAds,1,0.0,17.0,Yes
900139,Organic,1,,15.0,Yes
900140,FacebookAds,1,0.0,9.0,Yes
900141,GoogleAds,0,1.0,10.0,No
900142,FacebookAds,1,1.0,26.0,Yes
