StudentID,VideoDuration_Mins,PauseCount,SpeedMultiplier,QuizScore,CompletionRate
920001,28.1,11,1.25,58,61.5
920002,21.6,0,1.0,81,87.0
920003,48.6,1,,64,72.5
920004,38.4,1,1.0,66,81.2
920005,55.6,0,1.0,76,83.4
920006,17.8,4,1.0,67,73.5
920007,42.0,0,1.0,68,77.4
920008,34.9,0,1.0,65,83.8
920009,39.0,4,1.0,69,73.9
920010,23.4,8,1.25,55,62.6
920011,48.2,0,1.25,63,74.1
920012,38.7,2,1.0,75,82.1
920013,6.2,6,1.0,63,72.8
920014,29.9,1,1.0,83,85.4
920015,44.3,0,1.0,81,83.1
920016,53.3,8,2.0,47,49.8
920017,13.8,1,1.25,85,92.1
920018,37.5,6,1.0,57,66.6
920019,17.1,6,1.0,68,66.5
920020,16.9,2,,80,84.0
920021,51.5,1,1.0,80,78.6
920022,20.2,10,1.0,54,62.5
920023,14.2,11,2.0,58,62.3
920024,32.4,10,1.25,55,57.2
920025,30.5,5,1.5,60,67.5
920026,26.1,0,2.0,80,82.0
920027,43.1,2,,74,77.4
920028,8.9,1,1.0,81,95.1
920029,31.9,7,1.25,70,69.9
920030,25.9,0,1.0,81,84.6
920031,54.0,3,1.0,54,70.5
920032,17.4,7,1.0,65,72.0
920033,19.7,4,1.0,82,77.5
920034,53.7,6,1.25,62,72.3
920035,39.3,0,1.0,83,90.1
920036,27.7,8,,54,63.1
920037,28.0,10,1.0,59,63.9
920038,13.6,6,1.0,70,74.7
920039,16.1,7,1.25,64,75.6
920040,10.8,6,1.0,72,75.4
920041,23.7,5,1.5,66,81.5
920042,9.9,6,1.0,75,74.8
920043,44.6,1,1.0,66,78.1
920044,47.0,9,1.0,49,63.6
920045,19.5,0,2.0,86,88.9
920046,16.1,6,1.0,72,78.7
920047,42.5,0,1.0,65,78.4
920048,54.5,10,1.0,47,53.2
920049,58.1,11,1.0,55,57.7
920050,17.2,3,2.0,78,85.3
920051,16.6,11,1.25,54,66.7
920052,21.8,6,1.0,62,75.2
920053,21.8,8,1.0,64,72.6
920054,33.7,0,1.5,74,79.9
920055,51.8,3,1.0,49,62.3
920056,46.2,10,1.0,54,55.5
920057,37.7,5,1.0,70,73.0
920058,35.3,11,1.0,49,51.5
920059,8.6,2,1.0,85,86.3
920060,49.7,6,1.5,63,67.7
920061,54.6,9,1.0,60,54.9
920062,58.8,7,1.25,55,64.3
920063,19.9,6,,68,77.1
920064,26.3,8,1.0,54,69.9
920065,30.5,9,1.0,55,62.5
920066,24.9,7,1.0,61,64.2
920067,56.7,0,1.0,66,76.8
920068,36.4,1,1.5,67,82.2
920069,18.1,2,1.0,88,91.1
920070,12.8,7,1.0,70,76.5
920071,42.7,4,2.0,64,74.9
920072,7.0,11,1.0,50,62.5
920073,51.7,8,1.0,54,65.1
920074,59.0,4,1.0,63,65.9
920075,32.3,5,1.0,61,64.8
920076,50.4,3,1.0,62,69.3
920077,50.1,3,1.0,65,74.1
920078,29.3,7,1.0,63,70.5
920079,26.8,9,1.0,59,66.5
920080,17.8,9,1.0,46,62.3
920081,21.4,0,1.0,74,85.3
920082,52.2,7,1.25,40,55.9
920083,59.9,11,1.0,45,52.9
920084,26.5,2,1.5,72,72.9
920085,15.6,3,1.5,77,80.4
920086,56.4,11,1.0,55,55.3
920087,35.5,5,1.0,62,75.9
920088,38.3,9,1.0,54,58.3
920089,44.2,1,1.0,68,79.4
920090,39.4,11,1.0,46,53.2
920091,37.0,3,1.0,67,70.1
920092,57.6,1,1.25,75,83.6
920093,30.2,4,1.5,72,75.6
920094,35.3,9,1.0,51,58.1
920095,19.1,0,1.0,69,89.4
920096,45.4,2,1.5,68,74.9
920097,42.0,3,1.25,71,77.8
920098,56.7,0,1.0,86,84.1
920099,26.9,2,1.0,81,84.6
920100,43.2,10,1.25,49,60.9
920101,21.4,3,1.0,73,87.1
920102,53.2,4,1.25,68,66.9
920103,56.8,11,1.0,41,50.3
920104,56.3,9,1.0,44,55.1
920105,25.4,8,1.0,54,63.8
920106,33.4,3,1.0,68,75.8
920107,57.5,5,1.0,64,65.3
920108,32.7,8,1.0,62,66.5
920109,28.6,6,1.0,62,76.8
920110,55.7,6,1.0,54,71.6
920111,56.4,6,1.0,52,70.0
920112,35.2,5,1.0,73,80.6
920113,20.7,4,1.0,76,80.8
920114,40.1,0,1.0,73,86.9
920115,21.9,1,1.25,86,89.5
920116,53.5,4,1.25,58,69.0
920117,35.0,7,1.25,81,71.5
920118,12.1,5,1.0,61,76.9
920119,37.9,9,1.0,52,59.5
