ApplicantID,ApplicantIncome,LoanAmount,CreditHistoryScore,CoApplicant,Approved
930001,6177,18384.0,641,0,No
930002,4386,11846.0,425,0,No
930003,9698,29729.0,512,0,No
930004,6081,10386.0,435,0,No
930005,17705,18155.0,801,0,No
930006,24330,50000.0,739,1,Yes
930007,22531,50000.0,389,1,No
930008,6311,12966.0,819,1,Yes
930009,5392,15872.0,456,1,No
930010,8676,16010.0,801,1,Yes
930011,11333,26497.0,482,1,No
930012,16049,27603.0,318,0,No
930013,14621,23567.0,307,0,No
930014,8319,19272.0,436,1,No
930015,7854,22609.0,483,1,No
930016,17579,22613.0,328,0,No
930017,20647,50000.0,831,0,Yes
930018,2866,5231.0,682,1,Yes
930019,24168,50000.0,330,1,No
930020,4823,12309.0,696,0,No
930021,8533,19888.0,704,1,No
930022,17871,30137.0,745,0,No
930023,23201,50000.0,490,0,No
930024,17673,50000.0,704,0,No
930025,16564,30646.0,642,0,Yes
930026,3431,5006.0,323,0,No
930027,22329,34702.0,817,1,No
930028,7596,20800.0,649,1,No
930029,17389,50000.0,763,1,Yes
930030,9744,28133.0,461,0,No
930031,23359,50000.0,638,1,Yes
930032,22158,50000.0,479,1,No
930033,9064,11466.0,628,0,No
930034,10234,13647.0,783,1,No
930035,9072,9184.0,696,0,No
930036,24960,30397.0,380,1,No
930037,8817,9564.0,515,0,No
930038,2556,6080.0,467,0,No
930039,7886,15186.0,432,0,No
930040,24620,50000.0,513,1,No
930041,17350,37570.0,478,0,No
930042,11622,25169.0,660,1,Yes
930043,15799,23428.0,410,0,No
930044,2689,3414.0,641,1,No
930045,13418,18832.0,450,1,No
930046,22527,50000.0,537,1,No
930047,13835,37827.0,808,0,Yes
930048,13393,41304.0,380,1,No
930049,16836,48322.0,805,1,Yes
930050,21583,37448.0,432,1,No
930051,3012,4623.0,497,0,No
930052,12376,12342.0,502,0,No
930053,13919,18947.0,305,1,No
930054,19892,32384.0,432,0,No
930055,11888,22251.0,662,1,Yes
930056,13212,30278.0,463,1,No
930057,8966,,653,0,No
930058,20025,50000.0,417,0,No
930059,8813,15569.0,707,1,Yes
930060,19807,41905.0,556,1,No
930061,9451,8852.0,306,1,No
930062,2780,6350.0,770,0,No
930063,18594,50000.0,487,1,Yes
930064,23129,50000.0,644,0,No
930065,14732,32352.0,838,0,Yes
930066,16117,50000.0,782,0,Yes
930067,8199,25399.0,500,1,No
930068,17058,31084.0,829,1,Yes
930069,23120,22555.0,409,0,No
930070,10054,29860.0,508,0,No
930071,10120,29489.0,478,0,No
930072,9841,10481.0,467,0,No
930073,24471,50000.0,738,0,No
930074,21587,50000.0,754,0,Yes
930075,8314,11137.0,668,0,Yes
930076,20592,33171.0,314,1,No
930077,16036,47370.0,583,0,No
930078,11957,18052.0,628,0,Yes
930079,20196,25070.0,496,0,No
930080,6028,9959.0,320,1,No
930081,16265,45303.0,723,0,No
930082,14226,19741.0,394,1,No
930083,14875,21765.0,341,0,No
930084,11000,16234.0,542,0,No
930085,8318,7416.0,471,1,No
930086,12807,23244.0,817,1,Yes
930087,21051,,426,1,No
930088,4869,4658.0,547,0,No
930089,20778,38709.0,731,0,Yes
930090,18673,45309.0,682,1,Yes
930091,16009,25344.0,342,0,No
930092,16491,50000.0,354,0,No
930093,20884,21430.0,795,0,Yes
930094,7906,9977.0,670,1,No
930095,15840,12864.0,652,1,No
930096,16124,41748.0,355,1,No
930097,23930,25301.0,423,0,No
930098,15635,32130.0,406,0,No
930099,13455,36409.0,587,0,No
930100,11991,28985.0,670,1,No
930101,11276,12550.0,461,0,No
930102,24190,37747.0,583,0,Yes
930103,14571,45550.0,642,0,No
930104,14053,40399.0,816,1,Yes
930105,7000,20184.0,807,0,No
930106,15348,15357.0,419,1,No
930107,21110,50000.0,629,0,No
930108,6108,15499.0,392,1,No
930109,22575,31413.0,524,1,No
930110,20663,23516.0,333,0,No
930111,5391,7017.0,736,0,Yes
930112,5104,11717.0,638,1,No
930113,5232,9148.0,413,1,No
930114,17460,28114.0,659,1,No
930115,13245,34122.0,806,0,Yes
930116,7660,19836.0,368,1,No
930117,5291,5558.0,525,1,No
930118,13829,27898.0,308,1,No
930119,24610,45430.0,793,1,Yes
930120,6667,11352.0,674,1,No
930121,16730,50000.0,844,0,Yes
930122,19168,50000.0,585,1,Yes
930123,15357,34750.0,435,1,No
930124,5111,15397.0,349,0,No
930125,14984,34073.0,717,0,Yes
930126,16649,31225.0,300,0,No
930127,4049,4171.0,485,0,No
930128,11516,33035.0,596,0,No
930129,20088,16184.0,767,1,Yes
930130,7220,19660.0,600,0,No
930131,4298,7484.0,758,1,Yes
930132,15078,32094.0,681,0,No
930133,20226,31034.0,646,0,No
930134,4983,7514.0,648,1,No
930135,2620,4181.0,611,1,No
930136,19855,49144.0,414,0,No
930137,12675,18380.0,312,1,No
930138,19133,39035.0,403,0,Yes
930139,3030,4549.0,477,1,No
930140,13331,12261.0,458,1,No
930141,3537,10290.0,404,0,No
930142,18218,44271.0,685,1,Yes
930143,5827,16695.0,599,0,No
930144,19588,21580.0,472,0,No
930145,14285,11865.0,650,0,No
930146,14801,27072.0,353,0,No
930147,22091,40884.0,358,1,No
930148,23327,33364.0,631,1,Yes
930149,11789,25965.0,309,0,No
930150,20998,28152.0,674,0,Yes
930151,18089,27619.0,715,0,Yes
930152,22609,50000.0,428,1,No
930153,23025,50000.0,628,0,Yes
930154,17583,17508.0,389,1,No
930155,18947,37895.0,649,1,Yes
930156,12090,15562.0,670,0,Yes
930157,15370,17155.0,536,0,No
930158,18059,21829.0,370,0,No
930159,23062,20157.0,511,1,No
930160,22138,50000.0,791,1,Yes
930161,7665,17877.0,603,1,Yes
930162,2994,4674.0,775,1,No
930163,24394,24626.0,674,1,No
930164,5728,13861.0,413,0,No
930165,10844,11748.0,376,1,No
930166,16311,41239.0,410,0,No
930167,9922,25101.0,642,0,No
930168,4743,8125.0,309,0,No
930169,7577,13130.0,586,1,No
930170,21094,50000.0,703,0,No
930171,19913,50000.0,301,0,No
930172,11307,13398.0,309,0,No
930173,24656,50000.0,373,1,No
930174,12922,38670.0,780,0,Yes
930175,16239,49193.0,639,1,Yes
930176,23124,50000.0,358,1,No
930177,23026,39049.0,557,0,No
930178,8250,17020.0,392,1,Yes
930179,23186,50000.0,523,0,No
930180,15614,37968.0,464,0,No
930181,13527,18631.0,760,0,Yes
930182,10702,32495.0,774,1,Yes
930183,16491,16475.0,534,0,No
930184,21628,50000.0,385,1,No
930185,13266,13650.0,531,1,No
930186,24749,42425.0,579,0,No
930187,21414,20885.0,331,1,No
930188,5212,15646.0,359,0,No
930189,22672,21518.0,587,0,No
930190,24380,31174.0,322,1,No
930191,23778,50000.0,432,1,No
930192,23563,38669.0,622,0,No
930193,4115,8365.0,440,1,No
930194,7209,13785.0,589,0,No
930195,18544,26362.0,350,1,No
930196,9697,26071.0,574,1,No
930197,18283,50000.0,596,0,No
930198,13855,37307.0,735,1,Yes
930199,23987,48832.0,832,0,No
930200,6968,21733.0,520,1,No
930201,4826,15267.0,510,1,No
930202,3314,7541.0,820,1,Yes
930203,16715,42998.0,792,1,No
930204,21468,50000.0,426,0,No
930205,16259,47994.0,484,0,No
930206,19224,45394.0,557,0,No
930207,24720,28795.0,505,0,No
930208,15827,40427.0,507,0,No
930209,15405,31221.0,538,1,No
930210,8227,19010.0,375,1,No
930211,14313,28044.0,465,1,No
930212,4628,13680.0,711,0,No
930213,11500,34688.0,503,0,No
930214,8753,9033.0,549,1,No
930215,18013,19465.0,509,1,Yes
930216,2796,4809.0,495,0,No
930217,12352,17105.0,481,1,No
930218,15629,12917.0,578,0,No
930219,13903,22605.0,374,1,No
930220,20900,27118.0,697,1,No
930221,16820,45090.0,526,0,No
930222,14083,29433.0,778,0,No
930223,13507,40619.0,807,0,Yes
930224,20283,38521.0,371,1,No
930225,5991,11103.0,556,0,No
930226,9976,13528.0,524,0,No
930227,5430,7776.0,527,1,No
930228,20485,50000.0,811,1,Yes
930229,21320,,546,0,No
930230,16105,29143.0,685,0,Yes
930231,19226,15985.0,655,0,No
930232,23964,26015.0,789,0,Yes
930233,6651,17029.0,743,1,Yes
930234,22056,22464.0,436,1,No
930235,6647,10375.0,657,0,No
930236,24246,22021.0,357,0,No
930237,7251,7275.0,843,0,Yes
930238,23948,42374.0,557,1,No
930239,18225,40501.0,775,0,Yes
930240,8680,23000.0,324,0,No
930241,13153,33142.0,750,0,No
930242,2888,5941.0,533,0,No
930243,5380,10649.0,581,1,No
930244,24473,39499.0,685,1,Yes
930245,7814,6749.0,556,1,No
930246,17162,28450.0,302,1,No
930247,20818,50000.0,504,1,No
930248,2832,3351.0,566,1,No
930249,21677,24027.0,514,1,No
930250,21062,17902.0,386,1,No
930251,18140,31115.0,671,0,Yes
930252,18840,48550.0,454,0,No
930253,11713,19781.0,821,1,Yes
930254,16972,19711.0,424,1,No
930255,24252,50000.0,676,0,No
930256,24410,50000.0,328,1,No
930257,24464,32497.0,841,0,Yes
930258,18369,50000.0,746,0,No
930259,5379,,726,1,No
930260,11626,24951.0,764,1,Yes
930261,23633,21516.0,339,1,No
930262,4044,7878.0,705,1,Yes
930263,5368,4845.0,458,0,No
930264,3528,7518.0,361,1,No
930265,7361,10161.0,305,0,No
930266,6738,9193.0,487,0,No
930267,18184,47239.0,588,0,No
930268,15392,22120.0,839,1,Yes
930269,23523,20208.0,665,1,Yes
930270,16744,34329.0,302,0,No
930271,7730,20224.0,779,0,No
930272,19833,29744.0,682,0,Yes
930273,12437,18852.0,743,1,Yes
930274,20314,26543.0,689,1,Yes
930275,20802,30585.0,749,1,Yes
930276,19938,37634.0,667,1,No
930277,9882,10874.0,640,0,No
930278,13233,16420.0,312,1,No
930279,5877,16826.0,390,1,No
930280,8394,23523.0,723,0,No
930281,4952,14837.0,512,1,No
930282,3721,3974.0,727,1,No
930283,22183,25191.0,486,0,No
930284,24475,50000.0,556,1,Yes
930285,18946,47166.0,486,1,No
930286,10869,20541.0,645,0,No
930287,18648,19695.0,775,0,No
930288,17379,41443.0,719,1,Yes
930289,22793,31589.0,444,1,No
930290,9118,10701.0,568,1,No
930291,19334,37670.0,457,1,No
930292,9694,21806.0,563,1,Yes
930293,20530,23251.0,737,0,Yes
930294,10804,28278.0,608,0,No
930295,15201,35241.0,757,1,Yes
930296,9378,9724.0,733,0,No
930297,11686,26707.0,607,1,No
930298,6406,8566.0,315,1,No
930299,11032,17633.0,622,1,No
930300,4318,4673.0,749,1,Yes
930301,14674,40558.0,595,1,No
930302,22865,50000.0,785,0,No
930303,17282,16919.0,451,1,No
930304,16378,22595.0,445,0,No
930305,6061,18473.0,659,0,No
930306,22436,28780.0,558,1,No
930307,17802,30153.0,377,0,No
930308,4736,11813.0,354,0,No
930309,17731,50000.0,678,0,No
930310,17233,26593.0,538,0,No
930311,19956,41663.0,467,1,No
930312,19896,50000.0,601,1,No
930313,4286,7120.0,733,1,No
930314,16720,36098.0,424,1,No
930315,19265,33513.0,530,1,No
930316,9185,25874.0,560,1,No
930317,10296,15784.0,339,0,No
930318,5670,13922.0,696,0,Yes
930319,7721,20003.0,791,0,No
930320,6659,21118.0,547,1,No
930321,20940,23453.0,629,1,Yes
930322,12626,19877.0,834,0,Yes
930323,24232,37150.0,484,0,No
930324,22388,28298.0,612,0,No
930325,9110,12985.0,756,0,No
930326,17487,40022.0,410,0,No
930327,16937,50000.0,455,0,No
930328,14116,27521.0,543,0,No
930329,8760,7093.0,365,1,No
930330,24876,50000.0,731,1,Yes
930331,17211,38767.0,528,1,No
930332,18146,50000.0,589,0,No
930333,8006,20770.0,839,1,Yes
930334,18314,50000.0,573,0,No
930335,3502,8961.0,608,0,No
930336,6516,14717.0,590,1,No
930337,21888,50000.0,692,1,No
930338,23081,50000.0,675,1,Yes
930339,19984,24676.0,715,0,No
930340,13452,23887.0,550,0,No
930341,13743,29748.0,319,1,No
930342,17762,43450.0,734,0,Yes
930343,20296,18723.0,600,0,No
930344,17670,16545.0,829,0,Yes
930345,17997,40893.0,553,0,No
930346,11678,14616.0,594,1,Yes
930347,8686,,802,0,No
930348,11375,22736.0,314,0,No
930349,12784,35538.0,445,1,No
930350,18178,15734.0,627,1,Yes
930351,15244,26983.0,354,0,No
930352,3737,10386.0,419,1,No
930353,17131,30997.0,447,1,No
930354,6028,13567.0,665,1,No
930355,15561,47854.0,826,1,Yes
930356,12880,41061.0,551,1,No
930357,10312,16731.0,408,0,No
930358,6301,14060.0,392,0,No
930359,6741,13922.0,308,1,No
930360,6371,19055.0,308,1,No
930361,23842,32531.0,685,1,Yes
930362,3155,6941.0,483,1,No
930363,11598,13702.0,827,1,Yes
930364,13460,12651.0,638,1,No
930365,8425,25400.0,387,0,No
930366,13384,37485.0,332,1,No
930367,7704,18161.0,721,1,Yes
930368,19788,50000.0,516,1,No
930369,3522,4115.0,702,1,No
930370,15892,25207.0,705,0,Yes
930371,10455,20023.0,750,0,No
930372,19074,50000.0,677,0,No
930373,17617,31451.0,599,1,No
930374,10305,28325.0,461,0,No
930375,7242,19134.0,624,0,No
930376,23771,20514.0,641,0,Yes
930377,23891,22897.0,740,1,Yes
930378,20542,41327.0,640,1,Yes
930379,8746,18603.0,400,0,No
930380,8630,18541.0,422,1,No
