DeviceID,Brand,DeviceAge_Months,ConditionGrade,AccessoriesIncluded,ResalePrice
940001,LG,22,3.0,1,381.58
940002,Samsung,8,4.0,1,984.6
940003,Apple,24,3.0,1,918.99
940004,Samsung,8,5.0,0,914.21
940005,Apple,18,5.0,1,1178.5
940006,Apple,42,3.0,0,761.08
940007,Apple,40,1.0,1,573.48
940008,Apple,43,4.0,0,742.85
940009,Apple,19,4.0,0,1044.95
940010,Samsung,47,3.0,1,435.12
940011,Apple,23,5.0,0,1062.34
940012,Samsung,41,3.0,1,484.78
940013,Samsung,23,,0,845.81
940014,LG,21,5.0,1,488.58
940015,Apple,35,1.0,1,689.91
940016,Apple,18,3.0,1,1064.96
940017,LG,9,2.0,0,372.76
940018,Apple,4,1.0,0,1005.22
940019,Samsung,23,4.0,1,765.22
940020,Others,19,1.0,1,398.42
940021,Apple,22,4.0,1,1072.73
940022,Samsung,5,2.0,1,914.52
940023,Samsung,32,5.0,1,741.71
940024,LG,13,2.0,0,327.07
940025,Apple,6,3.0,1,1112.54
940026,LG,28,3.0,1,229.69
940027,LG,8,1.0,0,383.82
940028,Apple,7,1.0,0,1018.28
940029,Samsung,20,4.0,0,801.01
940030,Samsung,44,1.0,0,286.97
940031,Apple,39,2.0,0,543.11
940032,Samsung,21,3.0,0,635.34
940033,Apple,25,1.0,1,775.86
940034,Samsung,16,2.0,1,726.14
940035,Samsung,37,2.0,0,451.64
940036,Apple,29,5.0,0,1047.01
940037,Samsung,30,2.0,0,512.36
940038,Apple,42,1.0,1,601.79
940039,Samsung,40,5.0,1,659.57
940040,Apple,8,2.0,1,1099.02
940041,Apple,2,1.0,1,1073.37
940042,Others,27,3.0,1,387.27
940043,Apple,16,3.0,1,1063.19
940044,Samsung,41,1.0,1,232.92
940045,Apple,44,2.0,1,702.23
940046,Samsung,31,4.0,0,583.53
940047,Apple,13,2.0,1,1002.81
940048,Apple,22,3.0,0,977.97
940049,Samsung,4,3.0,0,921.55
940050,Samsung,30,5.0,1,741.91
940051,Samsung,19,5.0,1,907.6
940052,Samsung,35,5.0,0,717.33
940053,Apple,15,2.0,1,1030.87
940054,Samsung,19,4.0,0,716.57
940055,Apple,22,5.0,0,1085.34
940056,Others,28,2.0,1,285.6
940057,Samsung,43,4.0,0,434.26
940058,LG,14,1.0,0,368.77
940059,Samsung,19,4.0,0,751.83
940060,Apple,26,3.0,1,964.35
940061,Samsung,12,4.0,1,873.69
940062,Apple,40,5.0,0,804.16
940063,Others,26,2.0,1,297.66
940064,Apple,2,1.0,1,1080.15
940065,Apple,42,5.0,1,1006.81
940066,Apple,7,1.0,1,1041.95
940067,Samsung,23,5.0,0,755.96
940068,Apple,31,5.0,1,993.0
940069,Samsung,6,1.0,1,779.37
940070,Apple,34,2.0,1,707.18
940071,LG,37,5.0,1,239.76
940072,Samsung,5,1.0,0,763.15
940073,Apple,46,4.0,0,719.94
940074,Apple,16,3.0,0,1062.98
940075,Others,24,3.0,1,379.0
940076,Others,38,1.0,0,50.0
940077,Others,17,1.0,1,292.8
940078,Samsung,31,1.0,1,518.17
940079,Samsung,8,2.0,1,777.45
940080,Apple,2,2.0,1,1213.89
940081,Apple,12,4.0,1,1152.22
940082,Samsung,34,4.0,1,673.82
940083,Samsung,28,3.0,0,572.92
940084,Samsung,13,3.0,1,853.0
940085,Apple,12,1.0,1,974.4
940086,Apple,39,3.0,1,780.83
940087,Samsung,6,5.0,0,1001.31
940088,Apple,38,4.0,1,884.27
940089,Apple,5,1.0,1,1049.12
940090,Apple,44,3.0,1,760.03
940091,Samsung,28,4.0,0,587.48
940092,Apple,16,4.0,1,1039.86
940093,Apple,14,2.0,0,934.82
940094,Samsung,18,5.0,0,821.02
940095,Apple,41,3.0,1,748.49
940096,Others,40,2.0,0,50.0
940097,Apple,2,2.0,1,1159.55
940098,Others,46,1.0,1,50.0
940099,Apple,34,3.0,0,801.12
940100,Samsung,18,3.0,0,695.52
940101,Apple,35,,1,915.65
940102,Samsung,8,3.0,0,784.14
940103,Apple,16,5.0,0,1175.83
940104,Others,43,,0,161.45
940105,Samsung,11,4.0,1,908.1
940106,Samsung,37,2.0,0,491.94
940107,Apple,42,2.0,0,583.63
940108,Apple,33,3.0,1,799.32
940109,LG,15,3.0,0,466.84
940110,Others,3,1.0,1,458.53
940111,Samsung,25,2.0,1,644.78
940112,Samsung,21,3.0,0,715.2
940113,Samsung,9,1.0,1,697.92
940114,Others,14,5.0,1,666.14
940115,Samsung,33,,0,441.76
940116,Apple,4,3.0,1,1106.24
940117,Others,14,5.0,1,604.75
940118,Apple,40,1.0,1,587.18
940119,Apple,1,1.0,1,1047.42
940120,LG,17,5.0,1,573.37
940121,Apple,38,5.0,0,947.71
940122,Samsung,8,1.0,0,663.02
940123,Apple,18,2.0,0,887.01
940124,Samsung,36,1.0,0,445.33
940125,Apple,9,1.0,1,1031.91
940126,Apple,32,1.0,0,663.78
940127,Samsung,39,3.0,0,330.8
940128,Samsung,2,5.0,1,1205.37
940129,LG,14,4.0,1,564.79
940130,Samsung,30,4.0,1,756.01
940131,Samsung,46,5.0,1,519.18
940132,Apple,43,4.0,0,671.64
940133,Apple,5,2.0,1,1160.72
940134,Others,46,3.0,1,110.1
940135,Samsung,23,5.0,0,718.74
940136,Apple,41,4.0,0,697.45
940137,Samsung,23,4.0,0,687.61
940138,Apple,42,5.0,0,857.64
940139,Apple,44,1.0,0,563.63
940140,Samsung,32,2.0,1,520.42
940141,Samsung,4,2.0,1,913.26
940142,Samsung,24,2.0,0,595.93
940143,Others,14,1.0,1,291.44
940144,Apple,37,3.0,1,840.65
940145,Apple,3,2.0,1,1053.48
940146,Apple,14,3.0,1,1074.78
940147,Others,8,5.0,1,658.78
940148,Others,8,3.0,0,512.55
940149,Apple,46,1.0,0,508.83
940150,Apple,36,3.0,0,801.36
940151,Samsung,17,4.0,0,804.34
940152,Samsung,12,3.0,1,931.01
940153,Apple,17,5.0,0,1085.14
940154,Apple,40,4.0,0,801.33
940155,Samsung,9,4.0,1,961.1
940156,Apple,21,4.0,0,1028.07
940157,LG,44,3.0,0,50.79
940158,Samsung,10,4.0,1,928.22
940159,Apple,27,1.0,0,724.5
940160,Apple,15,5.0,0,1144.17
940161,Others,18,4.0,1,492.72
940162,Samsung,18,4.0,1,872.15
940163,Samsung,5,3.0,0,855.83
940164,Apple,22,2.0,0,957.79
940165,Samsung,37,1.0,1,403.36
940166,Samsung,3,1.0,1,839.42
940167,Apple,16,3.0,0,1034.0
940168,LG,34,2.0,1,146.69
940169,Samsung,8,1.0,1,825.4
940170,LG,4,4.0,1,648.74
940171,Apple,5,1.0,1,966.66
940172,Others,35,5.0,0,264.48
940173,Samsung,20,3.0,1,788.71
940174,Samsung,46,2.0,1,424.41
940175,Samsung,20,2.0,1,695.73
940176,Apple,43,1.0,1,541.83
940177,Apple,27,4.0,0,972.07
940178,Apple,36,5.0,0,918.38
940179,Samsung,36,3.0,1,525.08
940180,Samsung,33,1.0,1,405.07
940181,Apple,18,2.0,0,891.51
940182,Samsung,12,4.0,0,869.54
940183,Apple,2,1.0,1,1078.84
940184,Samsung,47,5.0,0,459.37
940185,Apple,30,3.0,0,854.57
940186,Apple,13,4.0,1,1099.62
940187,Others,41,4.0,1,250.22
940188,Samsung,45,2.0,1,374.78
940189,Apple,15,3.0,1,1022.02
940190,Apple,46,4.0,0,655.31
940191,Samsung,35,4.0,0,555.74
940192,Others,13,2.0,0,372.22
940193,Others,41,2.0,1,123.1
940194,Samsung,1,1.0,1,870.08
940195,LG,39,2.0,1,77.22
940196,Samsung,40,1.0,0,350.26
940197,Apple,37,5.0,0,887.05
940198,LG,22,3.0,0,328.57
940199,Samsung,46,3.0,1,446.25
940200,Apple,8,5.0,1,1260.08
940201,Apple,32,2.0,1,817.67
940202,Others,6,5.0,0,647.55
940203,Apple,30,4.0,0,926.39
940204,Samsung,33,4.0,0,591.16
940205,LG,29,5.0,0,391.03
940206,Others,35,4.0,0,148.41
940207,Apple,18,4.0,1,1149.67
940208,Samsung,38,1.0,1,406.2
940209,Apple,27,3.0,1,966.36
940210,Apple,17,2.0,0,936.77
940211,Apple,37,3.0,0,761.9
940212,Samsung,45,2.0,0,357.06
940213,Samsung,15,2.0,1,716.35
940214,Samsung,8,5.0,0,1042.58
940215,Apple,34,1.0,1,771.19
940216,Apple,26,3.0,1,863.85
940217,Samsung,39,1.0,1,456.48
940218,Apple,10,,1,1213.79
940219,Samsung,44,2.0,1,447.78
940220,LG,8,3.0,1,561.67
940221,Apple,4,1.0,1,1058.43
940222,Samsung,22,1.0,0,567.42
940223,Apple,33,3.0,1,830.86
940224,Others,9,3.0,1,488.05
940225,Others,28,4.0,0,311.72
940226,Apple,20,3.0,0,885.46
940227,LG,5,2.0,1,518.75
940228,LG,45,3.0,0,105.66
940229,Samsung,9,4.0,1,921.14
940230,Apple,24,2.0,1,906.73
940231,Apple,11,5.0,1,1244.5
940232,Apple,47,4.0,1,763.68
940233,Samsung,31,1.0,0,457.75
940234,Samsung,19,5.0,0,870.44
940235,Apple,9,1.0,1,1058.63
940236,Apple,12,5.0,0,1189.07
940237,Samsung,7,1.0,0,709.98
940238,Samsung,4,,1,963.5
940239,Samsung,28,2.0,0,498.16
940240,Apple,32,1.0,0,664.73
940241,Others,30,2.0,1,213.24
940242,Samsung,40,2.0,1,511.0
940243,Samsung,12,1.0,0,720.38
940244,Samsung,2,2.0,1,843.61
940245,Others,47,4.0,1,165.44
940246,Samsung,47,2.0,1,389.34
940247,Samsung,40,5.0,0,690.79
940248,Others,39,5.0,0,281.62
940249,Apple,3,3.0,0,1185.33
940250,LG,10,4.0,0,518.99
940251,Apple,37,3.0,0,894.68
940252,Apple,18,3.0,1,1026.2
940253,Apple,17,1.0,1,905.16
940254,Apple,37,3.0,0,704.25
940255,Apple,1,4.0,1,1216.53
940256,Samsung,13,1.0,0,662.79
940257,Samsung,45,1.0,0,263.25
940258,Apple,8,4.0,1,1202.28
940259,Apple,30,2.0,0,700.46
940260,Others,45,5.0,1,234.07
940261,Others,23,4.0,0,327.7
940262,LG,9,5.0,0,631.91
940263,Samsung,2,3.0,1,1010.8
940264,Apple,21,4.0,0,1031.62
940265,Samsung,13,4.0,1,854.19
940266,Apple,6,2.0,0,1063.13
940267,Samsung,35,3.0,1,575.85
940268,Apple,47,1.0,0,458.25
940269,Apple,26,4.0,1,1023.7
940270,LG,9,4.0,1,546.36
940271,LG,38,4.0,0,220.35
940272,Apple,46,5.0,1,813.46
940273,Samsung,14,2.0,0,765.31
940274,Samsung,41,4.0,0,474.26
940275,Apple,1,2.0,0,1054.22
940276,Apple,9,5.0,0,1241.63
940277,Samsung,3,2.0,1,932.18
