RequestID,ServerRegion,PageSize_MB,RequestCount,CacheStatus,LoadTime_ms
950001,AP-East,6.03,247.0,Hit,1264.2
950002,US-East,7.74,417.0,Hit,1573.7
950003,US-East,3.69,,Hit,801.3
950004,AP-East,6.54,305.0,Hit,1494.6
950005,AP-East,0.95,160.0,Hit,317.8
950006,AP-East,7.39,192.0,Miss,1636.5
950007,US-East,1.34,479.0,Hit,514.0
950008,AP-East,8.24,185.0,Miss,1840.2
950009,US-East,5.22,207.0,Miss,1243.9
950010,EU-West,4.91,367.0,Hit,1079.8
950011,US-East,1.17,635.0,Hit,518.1
950012,EU-West,4.0,,Hit,1157.4
950013,EU-West,7.73,258.0,Hit,1603.5
950014,EU-West,5.22,27.0,Miss,1157.4
950015,AP-East,0.24,485.0,Miss,519.9
950016,EU-West,4.38,157.0,Hit,892.1
950017,US-East,4.24,322.0,Hit,1001.7
950018,AP-East,1.38,765.0,Hit,730.1
950019,US-East,2.78,425.0,Miss,879.7
950020,EU-West,7.49,194.0,Hit,1554.3
950021,EU-West,0.19,723.0,Miss,634.5
950022,EU-West,4.28,711.0,Miss,1328.9
950023,EU-West,2.84,116.0,Hit,609.4
950024,US-East,3.3,65.0,Miss,889.0
950025,AP-East,8.14,371.0,Hit,1776.2
950026,EU-West,8.06,740.0,Miss,2057.1
950027,US-East,7.54,622.0,Hit,1633.9
950028,AP-East,4.35,455.0,Hit,1095.8
950029,US-East,5.39,795.0,Miss,1531.1
950030,AP-East,3.55,542.0,Hit,1020.9
950031,EU-West,1.47,412.0,Hit,518.1
950032,AP-East,1.32,481.0,Hit,441.0
950033,US-East,2.5,317.0,Hit,613.3
950034,AP-East,7.79,575.0,Miss,1997.6
950035,US-East,1.13,719.0,Miss,700.5
950036,AP-East,6.69,681.0,Miss,1763.4
950037,AP-East,5.16,317.0,Hit,1136.4
950038,US-East,7.48,293.0,Miss,1717.0
950039,US-East,5.01,369.0,Miss,1342.0
950040,EU-West,8.14,696.0,Hit,1756.5
950041,EU-West,3.59,432.0,Hit,892.5
950042,AP-East,3.16,781.0,Miss,1110.0
950043,EU-West,6.21,322.0,Hit,1295.0
950044,US-East,0.74,196.0,Hit,277.0
950045,US-East,4.6,432.0,Hit,1030.0
950046,EU-West,5.62,760.0,Miss,1616.2
950047,EU-West,5.45,588.0,Miss,1428.0
950048,EU-West,5.5,527.0,Miss,1395.9
950049,US-East,7.73,103.0,Miss,1656.9
950050,AP-East,0.55,425.0,Hit,330.2
950051,AP-East,6.65,593.0,Miss,1665.8
950052,EU-West,8.28,766.0,Miss,2073.9
950053,AP-East,0.91,418.0,Miss,643.9
950054,AP-East,3.55,346.0,Hit,866.6
950055,US-East,6.38,324.0,Hit,1431.4
950056,EU-West,7.27,135.0,Hit,1410.6
950057,US-East,6.91,797.0,Miss,1817.2
950058,AP-East,3.11,159.0,Hit,651.6
950059,EU-West,0.6,467.0,Hit,373.9
950060,AP-East,7.42,466.0,Hit,1536.7
950061,AP-East,6.36,203.0,Hit,1265.7
950062,EU-West,3.68,224.0,Miss,978.4
950063,EU-West,3.62,690.0,Hit,1048.4
950064,US-East,5.86,707.0,Hit,1425.2
950065,US-East,7.84,579.0,Miss,1958.8
950066,AP-East,5.91,745.0,Hit,1374.9
950067,EU-West,1.29,161.0,Miss,565.9
950068,AP-East,4.81,781.0,Miss,1482.3
950069,EU-West,4.92,313.0,Miss,1260.5
950070,EU-West,2.17,788.0,Miss,1074.3
950071,US-East,1.67,505.0,Hit,505.6
950072,US-East,7.57,64.0,Hit,1391.6
950073,EU-West,5.92,614.0,Miss,1561.7
950074,AP-East,2.17,368.0,Hit,588.7
950075,AP-East,7.6,224.0,Miss,1712.9
950076,US-East,3.88,755.0,Hit,1067.7
950077,US-East,0.57,323.0,Hit,248.8
950078,EU-West,2.95,33.0,Hit,623.4
950079,EU-West,7.54,533.0,Hit,1624.7
