SessionID,Neighborhood,WeatherCondition,SurgeMultiplier,DriverSupply,DemandIndex
960001,Uptown,Snowy,1.15,18.0,55.0
960002,Downtown,Clear,1.22,14.0,60.8
960003,Suburbs,Snowy,1.23,18.0,82.4
960004,Airport,Clear,1.19,23.0,88.9
960005,Uptown,Clear,1.05,47.0,45.8
960006,Airport,Rainy,1.12,47.0,109.3
960007,Uptown,Clear,1.05,41.0,40.6
960008,Downtown,Clear,1.16,24.0,75.4
960009,Suburbs,Clear,1.03,57.0,38.3
960010,Suburbs,Clear,1.04,48.0,41.7
960011,Airport,Clear,1.14,34.0,94.5
960012,Suburbs,Rainy,1.06,49.0,63.0
960013,Uptown,Rainy,1.19,16.0,61.5
960014,Airport,Rainy,1.64,9.0,114.5
960015,Downtown,Rainy,1.12,40.0,94.6
960016,Downtown,Rainy,1.25,19.0,96.5
960017,Uptown,Clear,1.67,3.0,40.3
960018,Airport,Clear,1.17,31.0,103.9
960019,Uptown,Clear,1.21,10.0,42.6
960020,Airport,Clear,1.33,15.0,98.1
960021,Suburbs,Clear,1.12,23.0,55.6
960022,Downtown,Clear,1.12,38.0,89.8
960023,Airport,Clear,1.1,49.0,98.3
960024,Airport,Clear,1.13,35.0,88.8
960025,Airport,Clear,1.32,16.0,102.7
960026,Downtown,Clear,1.24,17.0,81.3
960027,Airport,Rainy,1.17,29.0,100.2
960028,Uptown,Clear,1.1,22.0,42.7
960029,Airport,Clear,1.48,11.0,105.0
960030,Suburbs,Clear,1.2,14.0,54.9
960031,Downtown,Snowy,1.16,38.0,119.9
960032,Suburbs,Clear,1.07,39.0,51.2
960033,Downtown,Clear,1.24,12.0,58.2
960034,Downtown,Clear,1.08,51.0,83.5
960035,Uptown,Clear,1.42,5.0,42.0
960036,Downtown,Clear,2.18,3.0,71.1
960037,Airport,Clear,1.14,35.0,94.6
960038,Suburbs,Rainy,1.06,57.0,68.2
960039,Uptown,Rainy,1.18,21.0,74.6
