TransactionID,ProductCategory,SizeMatch,DiscountApplied,PurchaseChannel,Returned
970001,Electronics,1.0,31.3,In-Store,No
970002,Electronics,1.0,44.3,Online,No
970003,Electronics,1.0,41.1,Online,Yes
970004,Footwear,1.0,55.6,Online,No
970005,Electronics,1.0,21.5,Online,No
970006,Electronics,1.0,37.0,Online,No
970007,Apparel,0.0,32.7,Online,Yes
970008,Electronics,1.0,50.8,In-Store,No
970009,Footwear,1.0,3.9,In-Store,No
970010,Apparel,1.0,2.0,Online,No
970011,Accessories,1.0,11.4,In-Store,No
970012,Electronics,1.0,8.8,In-Store,No
970013,Footwear,1.0,3.8,Online,No
970014,Footwear,0.0,43.5,In-Store,Yes
970015,Apparel,1.0,24.8,Online,No
970016,Electronics,1.0,56.5,Online,Yes
970017,Electronics,0.0,17.4,Online,No
970018,Accessories,1.0,7.0,Online,No
970019,Footwear,0.0,53.3,In-Store,No
970020,Footwear,0.0,14.9,Online,No
970021,Accessories,1.0,42.1,In-Store,No
970022,Accessories,0.0,32.8,In-Store,No
970023,Apparel,1.0,29.5,Online,No
970024,Electronics,1.0,49.2,Online,No
970025,Footwear,1.0,16.7,In-Store,No
970026,Electronics,1.0,14.6,Online,No
970027,Accessories,1.0,10.2,In-Store,No
970028,Accessories,1.0,29.2,Online,No
970029,Electronics,1.0,6.5,Online,No
970030,Accessories,1.0,44.1,In-Store,Yes
970031,Apparel,1.0,3.6,In-Store,No
970032,Electronics,1.0,26.9,In-Store,No
970033,Accessories,1.0,25.7,Online,No
970034,Apparel,1.0,54.6,In-Store,No
970035,Electronics,0.0,12.1,Online,Yes
970036,Electronics,1.0,5.7,In-Store,No
970037,Electronics,1.0,36.2,Online,No
970038,Footwear,1.0,13.8,Online,Yes
970039,Electronics,1.0,28.4,In-Store,No
970040,Accessories,1.0,57.2,Online,No
970041,Accessories,0.0,13.8,Online,No
970042,Electronics,1.0,28.3,In-Store,No
970043,Apparel,1.0,39.6,Online,No
970044,Electronics,1.0,50.3,Online,Yes
970045,Accessories,1.0,42.6,In-Store,No
970046,Accessories,1.0,22.0,In-Store,No
970047,Apparel,1.0,29.3,In-Store,No
970048,Apparel,1.0,25.2,Online,No
970049,Footwear,0.0,1.1,In-Store,No
970050,Accessories,1.0,35.6,In-Store,No
970051,Footwear,1.0,29.8,Online,No
970052,Footwear,1.0,46.2,Online,No
970053,Footwear,1.0,11.2,In-Store,No
970054,Apparel,1.0,36.8,Online,No
970055,Electronics,1.0,37.9,Online,Yes
970056,Accessories,1.0,12.8,Online,No
970057,Footwear,1.0,27.6,In-Store,No
970058,Accessories,1.0,31.3,In-Store,No
970059,Apparel,1.0,58.0,Online,No
970060,Apparel,1.0,55.8,Online,No
970061,Footwear,0.0,28.2,Online,Yes
970062,Accessories,1.0,0.7,Online,No
970063,Footwear,0.0,37.2,Online,Yes
970064,Apparel,1.0,4.9,Online,No
970065,Accessories,1.0,17.3,Online,Yes
970066,Accessories,1.0,54.8,In-Store,No
970067,Apparel,1.0,45.8,Online,No
970068,Apparel,1.0,39.1,Online,No
970069,Electronics,1.0,25.1,In-Store,No
970070,Footwear,1.0,53.9,Online,No
970071,Apparel,1.0,11.7,Online,No
970072,Footwear,0.0,59.4,In-Store,Yes
970073,Apparel,1.0,18.9,Online,No
970074,Apparel,1.0,39.6,Online,No
970075,Electronics,1.0,29.0,Online,No
970076,Apparel,1.0,53.5,Online,No
970077,Footwear,1.0,10.9,Online,No
970078,Footwear,1.0,35.6,Online,Yes
970079,Apparel,1.0,46.8,In-Store,No
970080,Apparel,1.0,55.2,In-Store,No
970081,Electronics,1.0,22.2,Online,No
970082,Electronics,1.0,7.7,In-Store,No
970083,Accessories,1.0,12.3,Online,Yes
970084,Footwear,1.0,28.8,Online,No
970085,Footwear,1.0,1.9,Online,No
970086,Electronics,1.0,16.4,Online,No
970087,Apparel,,44.3,Online,No
970088,Accessories,1.0,16.2,In-Store,No
970089,Apparel,1.0,3.3,Online,No
970090,Electronics,1.0,38.5,In-Store,No
970091,Apparel,1.0,58.0,In-Store,No
970092,Footwear,,2.6,Online,No
970093,Apparel,1.0,54.9,Online,No
970094,Apparel,1.0,44.2,In-Store,No
970095,Electronics,1.0,33.8,Online,No
970096,Accessories,1.0,8.0,Online,No
970097,Electronics,1.0,50.8,Online,No
970098,Accessories,1.0,33.2,Online,No
970099,Apparel,1.0,12.9,Online,No
970100,Footwear,1.0,31.2,Online,No
970101,Electronics,1.0,47.3,Online,No
970102,Accessories,1.0,8.0,In-Store,No
970103,Accessories,1.0,51.5,Online,No
970104,Electronics,1.0,7.0,Online,No
970105,Footwear,0.0,17.6,In-Store,No
970106,Footwear,1.0,58.5,In-Store,No
970107,Electronics,1.0,24.9,Online,No
970108,Apparel,1.0,45.7,Online,No
970109,Footwear,1.0,21.9,Online,No
970110,Apparel,1.0,51.4,Online,No
970111,Electronics,1.0,6.6,In-Store,No
970112,Accessories,1.0,5.0,Online,No
