PlotID,SoilMoisture,FertilizerType,Temperature,Rainfall_mm,CropYield_kg
980001,67.2,Organic,12.4,920.2,1675.0
980002,49.8,Chemical,25.2,531.9,1435.1
980003,87.7,Chemical,19.0,724.7,2026.6
980004,80.9,Organic,32.0,1549.1,2488.1
980005,79.9,Chemical,36.2,654.1,1898.8
980006,18.0,Chemical,21.4,1232.8,1610.6
980007,52.4,Chemical,18.7,1596.5,2216.2
980008,56.1,None,19.4,691.2,1184.8
980009,43.7,Chemical,32.1,401.0,1090.5
980010,55.6,Chemical,13.9,1555.4,2261.0
980011,28.8,None,22.7,297.6,576.8
980012,29.3,Chemical,26.7,815.4,1497.8
980013,77.6,Organic,23.7,437.7,1750.1
980014,85.7,None,15.8,807.0,1325.1
980015,26.3,Chemical,13.6,527.6,1111.2
980016,82.2,Organic,32.6,560.5,1597.1
980017,36.6,None,23.5,636.3,871.7
980018,42.2,Organic,36.1,554.7,934.0
980019,66.2,Chemical,21.2,1522.7,2378.0
980020,20.4,Chemical,15.2,896.9,1451.6
980021,59.6,Chemical,29.2,1332.5,2300.8
980022,32.2,Chemical,19.4,1565.4,2013.3
980023,59.9,None,31.1,918.1,1361.0
980024,54.5,Chemical,29.8,506.6,1336.6
980025,64.2,Chemical,24.6,720.8,1741.1
980026,71.8,None,16.2,1042.9,1536.2
980027,69.6,Chemical,22.9,833.4,2019.7
980028,82.5,Chemical,35.5,1564.7,2445.9
980029,84.4,None,31.3,1661.0,2401.7
980030,71.3,Chemical,30.2,1402.9,2125.7
980031,48.9,Organic,32.0,694.1,1331.3
980032,40.3,Organic,35.6,789.7,1200.4
980033,34.0,Organic,24.3,1613.7,1809.0
980034,86.4,Chemical,35.6,1752.4,2698.9
980035,53.2,None,18.6,720.5,1302.5
980036,51.4,None,35.4,1101.9,1418.8
980037,72.2,Chemical,18.7,1535.0,2593.4
980038,37.2,Organic,31.5,729.3,1277.5
980039,20.1,Organic,13.0,1248.5,1239.5
980040,23.7,Chemical,24.2,1178.3,1636.0
980041,76.3,Organic,16.4,1186.3,2050.6
980042,69.7,Organic,20.3,695.9,1657.3
980043,14.2,None,33.2,611.6,635.3
980044,79.1,None,27.4,1308.6,1892.3
980045,25.6,Chemical,33.8,575.9,973.6
980046,54.4,Organic,23.7,1742.2,2258.6
980047,73.3,Organic,24.4,1451.6,2329.2
980048,18.4,None,21.0,1609.8,1514.6
980049,48.1,Chemical,17.1,1573.9,2217.8
980050,26.0,Chemical,16.1,391.7,841.6
980051,69.7,Chemical,35.2,1692.6,2537.5
980052,74.9,Chemical,22.2,795.5,2018.3
980053,59.6,Organic,17.2,1044.0,1621.6
980054,64.5,None,15.0,1105.9,1596.1
980055,27.3,Organic,33.4,271.0,703.2
980056,25.1,None,34.6,849.9,699.7
980057,23.1,Chemical,22.8,545.4,1092.6
980058,21.6,Chemical,29.2,496.2,1035.8
980059,12.3,Organic,28.8,979.4,976.4
980060,79.7,Organic,22.4,1652.9,2596.4
980061,63.1,Chemical,15.9,327.2,1329.4
980062,44.9,None,31.8,961.2,1166.0
980063,35.4,Organic,34.9,942.8,1256.4
980064,85.1,Organic,34.7,1028.2,1943.7
980065,79.6,Chemical,27.1,725.4,1966.9
980066,59.0,Chemical,32.2,672.8,1662.0
980067,44.3,Organic,31.9,1700.8,2039.3
980068,36.3,Chemical,30.0,1178.6,1724.8
980069,78.2,Chemical,37.2,1557.3,2566.3
980070,53.9,None,12.5,678.0,1162.3
980071,50.5,Chemical,21.7,369.7,1373.8
980072,42.4,Chemical,28.8,594.3,1349.0
980073,53.5,Chemical,26.5,1360.0,2177.8
980074,78.8,Chemical,33.2,368.3,1680.6
980075,59.8,Organic,18.2,648.9,1358.8
980076,27.0,None,24.4,221.9,500.0
980077,56.6,Chemical,37.4,320.8,1330.6
980078,59.3,None,33.6,1277.6,1460.2
980079,59.7,Chemical,33.0,1007.1,1984.4
980080,72.0,Organic,17.8,1723.7,2470.8
980081,59.4,Organic,25.9,1250.3,1996.3
980082,28.7,Organic,16.0,237.7,898.3
980083,32.1,Organic,12.8,1754.1,1955.5
980084,62.8,Chemical,16.5,1552.8,2335.8
980085,66.3,Chemical,19.9,1614.1,2425.7
980086,20.8,Chemical,28.2,643.9,1334.5
980087,14.0,Organic,14.7,336.9,585.7
980088,79.5,Chemical,29.7,383.1,1408.0
980089,52.7,None,17.9,788.1,1221.2
980090,43.1,Chemical,29.2,1232.2,1816.9
980091,65.9,Chemical,28.6,336.4,1471.8
980092,11.8,Organic,21.3,467.9,799.3
980093,10.9,Organic,32.6,749.7,928.8
980094,28.5,Chemical,23.9,660.5,1455.1
980095,66.5,Organic,30.2,649.4,1517.6
980096,21.3,Chemical,26.2,730.7,1370.9
980097,88.2,Organic,23.2,553.6,1769.3
980098,21.2,Organic,32.4,1718.8,1732.4
980099,89.6,Chemical,17.6,394.3,1882.6
980100,24.8,Chemical,17.2,1046.8,1514.2
980101,55.5,Chemical,36.3,1488.9,2174.7
980102,24.1,Organic,22.9,915.5,1144.7
980103,57.9,None,33.4,692.9,1227.4
980104,50.7,Chemical,36.4,209.4,1051.0
980105,14.9,Chemical,33.4,719.5,1194.9
980106,85.7,Organic,13.9,528.3,1726.9
980107,71.3,Chemical,24.8,1493.8,2599.8
980108,18.3,None,32.7,1165.0,1013.4
980109,34.8,Chemical,17.5,277.7,1020.1
980110,64.7,Chemical,31.4,1064.0,1995.5
980111,85.3,Organic,21.7,875.1,2104.1
980112,37.0,Chemical,36.3,1350.3,1761.2
980113,46.9,Chemical,17.1,304.7,1307.7
980114,69.1,Chemical,33.0,1439.4,2382.8
980115,37.7,Organic,28.3,1566.4,1977.2
980116,65.3,Organic,29.7,1453.6,2102.7
980117,69.4,Organic,37.0,829.7,1574.0
980118,56.8,Organic,13.3,1078.7,1762.7
980119,54.9,Chemical,32.7,584.1,1633.1
980120,29.0,Organic,23.1,1244.0,1653.8
980121,13.4,Chemical,36.7,1453.7,1711.9
980122,24.3,Organic,37.1,544.6,880.6
980123,59.4,Organic,36.2,568.5,1280.0
980124,60.9,Organic,28.0,1153.1,1887.7
980125,87.2,Organic,30.6,1616.2,2280.2
980126,70.3,Chemical,13.5,271.8,1364.9
980127,15.2,Organic,35.8,835.4,891.4
980128,34.6,Chemical,33.8,1465.0,1975.2
980129,57.4,None,36.8,1358.8,1542.1
980130,32.1,Chemical,12.1,416.7,1299.9
980131,14.3,Organic,23.5,982.1,1358.6
980132,63.2,Organic,20.3,875.3,1927.2
980133,26.4,Chemical,13.5,,1672.0
980134,70.4,None,22.0,1295.4,1880.7
980135,26.3,Chemical,14.9,1085.8,1558.4
980136,30.7,Chemical,21.2,658.2,1381.7
980137,16.5,Organic,29.5,1707.7,1857.6
980138,25.7,Chemical,13.1,1303.7,1719.6
980139,82.1,None,37.0,1321.6,1905.0
980140,35.2,Organic,36.5,958.4,1108.9
980141,23.7,Organic,22.9,1122.4,1512.1
980142,42.0,Organic,32.2,1001.8,1312.0
980143,63.2,Chemical,31.3,253.1,1209.5
980144,20.8,Chemical,26.7,228.9,867.3
980145,19.7,None,15.5,812.2,574.7
980146,56.8,Organic,16.9,1037.9,1741.4
980147,86.5,Chemical,14.0,1274.9,2561.4
980148,72.2,None,26.5,1714.2,2278.1
980149,61.7,Chemical,17.8,426.6,1463.9
980150,45.3,None,20.4,1529.2,1853.7
980151,31.7,Chemical,14.1,1421.4,1754.1
980152,58.2,None,37.8,747.6,1050.5
980153,10.1,None,33.9,1587.5,1168.3
980154,49.6,Chemical,13.0,750.8,1462.7
980155,38.5,Chemical,20.9,1577.1,2306.7
980156,26.7,Organic,23.5,1232.7,1561.4
980157,76.9,None,16.7,,1225.7
980158,81.7,Chemical,28.2,361.9,1719.9
980159,25.8,Chemical,22.6,204.6,889.9
980160,10.6,Chemical,26.9,280.3,816.4
980161,31.1,None,22.6,1089.3,1213.0
980162,32.8,Chemical,15.6,600.3,1458.9
980163,86.3,None,19.9,1313.2,1998.1
980164,54.3,Organic,33.3,1183.4,1692.9
980165,31.8,Organic,33.1,,1382.5
980166,52.5,Chemical,26.4,352.0,1279.7
980167,41.0,Chemical,23.0,1116.9,1862.8
980168,75.0,Organic,25.2,732.3,1859.9
980169,73.8,Chemical,36.0,488.6,1580.2
980170,25.3,Organic,24.5,1635.9,2126.4
980171,34.4,Chemical,23.3,265.2,1212.4
980172,22.5,Organic,30.4,1542.1,1843.8
980173,43.2,Organic,27.3,1455.2,2045.8
980174,11.4,Organic,19.9,232.6,500.0
980175,15.5,None,24.9,529.9,802.9
980176,57.8,Organic,19.3,773.5,1612.2
980177,59.0,None,15.3,1644.2,1965.6
980178,56.9,None,35.4,787.1,1170.0
980179,67.6,None,12.5,592.8,1166.9
980180,66.7,Chemical,34.5,955.7,1839.5
980181,27.6,Organic,12.1,256.4,691.5
980182,63.8,Organic,28.1,444.8,1200.0
980183,61.3,Organic,34.8,757.0,1448.1
980184,23.2,Organic,31.9,1395.0,1681.8
980185,22.5,Organic,31.4,1594.4,1658.1
980186,60.4,Chemical,23.6,988.7,2113.5
980187,58.0,Organic,30.9,883.6,1576.7
980188,17.1,Chemical,25.6,517.4,1105.7
980189,39.8,Chemical,25.4,1591.6,2263.7
980190,70.8,Chemical,29.4,1153.0,1927.0
980191,77.0,None,30.0,905.4,1789.5
980192,19.9,Organic,14.3,438.7,798.2
980193,78.4,Chemical,24.5,1488.9,2674.8
980194,13.4,Organic,26.6,341.2,648.8
980195,51.8,Organic,12.1,1470.4,1704.9
980196,72.6,Organic,12.4,470.7,1389.7
980197,80.3,Chemical,20.1,854.4,1948.1
980198,82.4,Organic,22.6,1797.5,2570.0
980199,29.9,Chemical,17.5,946.7,1541.1
980200,58.0,Organic,31.5,825.2,1505.4
980201,20.0,None,31.9,251.1,500.0
980202,43.1,Organic,19.6,579.2,1393.2
980203,20.5,Chemical,21.9,1031.8,1594.6
980204,19.9,Chemical,20.6,949.0,1636.5
980205,24.0,Organic,23.8,1786.3,1855.6
980206,67.7,Organic,17.6,733.6,1627.2
980207,22.3,Organic,13.3,1528.7,1697.7
980208,80.8,Chemical,19.0,1790.5,2954.0
980209,25.7,Chemical,31.4,1389.5,1707.4
980210,81.9,Chemical,21.7,1443.4,2565.4
980211,15.5,Chemical,23.7,1690.4,1981.4
980212,25.9,Organic,29.8,1344.4,1492.7
980213,68.1,None,38.0,958.5,1538.3
980214,18.3,Chemical,26.7,1532.3,1907.1
980215,48.9,None,27.4,799.3,1095.5
980216,58.4,Organic,37.8,1643.5,1994.1
980217,22.1,Chemical,17.2,754.0,1308.8
980218,18.4,None,20.5,1102.0,968.2
980219,42.4,Chemical,37.3,1729.3,2316.7
980220,59.2,None,23.1,1622.1,2188.0
980221,89.2,Chemical,33.6,998.0,2225.4
980222,31.4,None,33.1,1241.8,1178.3
980223,60.3,Chemical,33.1,1456.5,2103.1
980224,23.6,Chemical,15.2,1135.7,1441.7
980225,62.4,Chemical,37.8,1012.5,2149.8
980226,21.4,Chemical,18.4,518.4,1027.3
980227,89.5,None,33.5,864.4,1622.8
980228,53.7,None,26.3,664.4,1113.8
980229,12.2,Chemical,17.3,486.8,849.1
980230,74.9,Organic,30.7,729.8,1679.6
980231,41.1,Chemical,33.6,795.8,1524.1
980232,76.7,Organic,15.4,1286.1,2090.3
980233,63.8,Chemical,33.6,1173.7,2189.2
980234,51.3,None,13.5,1634.4,1873.0
980235,35.4,Chemical,25.4,386.7,1067.6
980236,22.1,Chemical,16.5,1181.6,1483.6
980237,20.6,Chemical,13.2,484.8,987.9
980238,12.2,Chemical,37.7,907.7,966.2
980239,42.7,None,36.2,1224.6,1345.9
980240,17.4,Organic,33.5,1273.1,1578.7
980241,14.3,None,36.0,1369.5,1057.7
980242,18.9,Organic,22.5,1713.4,1972.8
980243,74.6,Chemical,26.1,1289.2,2453.6
980244,83.8,Chemical,14.4,1237.1,2244.0
980245,26.6,None,37.9,1445.3,1365.4
980246,75.9,Organic,14.7,1068.9,1957.8
980247,11.6,Organic,29.9,1704.8,1956.2
980248,50.4,Organic,28.4,1597.2,2092.7
980249,41.7,Chemical,16.4,1402.8,1942.1
980250,88.2,Chemical,19.5,760.8,2335.6
980251,12.7,Chemical,26.1,1607.0,1860.1
980252,47.2,None,32.6,924.3,1250.0
980253,15.7,Chemical,36.6,494.6,1148.8
980254,28.7,None,27.9,1732.8,1589.2
980255,23.1,None,24.4,618.7,906.9
980256,76.0,Chemical,36.1,1088.9,2249.7
980257,58.2,Chemical,13.4,601.8,1578.4
980258,41.1,None,15.6,1128.4,1402.5
980259,49.6,Chemical,30.3,560.4,1431.9
980260,59.0,Chemical,12.4,728.6,1717.0
980261,89.4,Organic,33.0,514.3,1643.3
980262,79.3,Chemical,33.5,1712.8,2650.0
980263,38.1,None,36.1,517.7,733.3
980264,68.3,Chemical,30.1,1256.6,2298.6
980265,63.2,Organic,27.7,492.0,1282.2
980266,28.3,Organic,34.2,1233.8,1529.0
980267,71.7,Chemical,18.5,1089.3,2201.7
980268,42.6,Chemical,14.8,741.2,1578.4
980269,12.5,Organic,32.6,1113.0,1178.7
980270,32.7,None,18.9,919.8,1124.2
980271,78.4,Chemical,18.5,1068.5,2039.2
980272,21.2,Chemical,19.1,1760.4,2178.8
980273,84.8,Chemical,28.1,1548.8,2660.8
980274,12.5,Chemical,12.1,620.9,952.7
980275,19.5,Organic,30.3,1141.2,1395.4
980276,62.9,Organic,35.8,1497.5,2241.6
980277,79.1,Organic,20.8,1563.5,2417.6
980278,30.0,Organic,32.3,1112.9,1713.4
980279,50.4,Chemical,22.6,990.1,1870.3
980280,34.8,None,37.4,1337.8,1260.3
980281,64.2,Chemical,29.9,1117.8,1933.3
980282,26.1,Chemical,29.1,378.6,817.1
980283,28.6,Organic,37.5,1221.6,1371.2
980284,64.3,Organic,35.4,570.6,1504.1
980285,84.1,Chemical,12.3,1164.7,2278.5
980286,50.0,Chemical,22.7,1649.2,2447.6
980287,88.3,None,27.9,1223.2,2072.8
980288,25.2,Chemical,29.4,785.3,1299.6
980289,60.7,Chemical,32.7,,1486.3
980290,57.0,Chemical,17.9,1690.3,2404.0
980291,14.5,Chemical,15.1,788.9,1274.7
980292,71.1,Organic,29.1,279.6,1241.0
980293,56.1,Chemical,19.5,1019.0,1881.3
980294,85.2,Chemical,26.9,1779.7,2957.8
980295,30.1,Chemical,14.1,309.4,937.8
980296,42.9,Chemical,33.8,1460.9,1907.3
980297,45.7,Chemical,25.3,1537.0,2181.0
980298,62.5,None,25.9,1737.1,2125.7
980299,30.8,None,18.7,1769.3,1765.4
980300,53.8,None,26.9,927.3,1397.3
980301,67.8,Chemical,20.3,1290.4,2314.5
980302,25.8,Chemical,23.2,1046.6,1558.4
980303,67.3,Chemical,26.8,768.8,1792.3
980304,31.5,Chemical,22.4,1315.3,1923.8
980305,40.0,Organic,36.3,1719.6,1863.4
980306,35.4,None,17.2,570.8,789.4
980307,40.5,Chemical,13.8,1302.0,2029.8
980308,35.4,None,24.7,508.2,654.6
980309,26.6,Organic,31.5,1771.9,1544.2
980310,60.5,Chemical,14.9,435.1,1497.8
980311,40.7,Chemical,33.7,677.8,1207.6
980312,85.8,Chemical,34.3,1727.7,2794.8
980313,32.4,Organic,28.5,708.7,1022.3
980314,20.3,Organic,24.0,433.0,1043.9
980315,26.5,Organic,15.2,1325.7,1667.6
980316,80.1,Chemical,24.1,437.3,1645.2
980317,70.8,Chemical,16.0,1251.2,2229.7
980318,35.6,None,26.6,1654.8,1489.9
980319,70.7,Chemical,34.4,1287.8,2348.0
980320,63.5,Chemical,20.5,566.3,1772.9
980321,16.6,Chemical,15.7,1623.8,1703.2
980322,75.2,Organic,36.5,1263.8,1934.6
980323,27.4,Chemical,21.5,609.6,1336.4
980324,55.1,Organic,34.2,1676.8,2055.6
980325,27.2,None,21.3,347.5,680.4
980326,47.6,None,29.9,746.1,981.8
980327,72.6,Organic,33.3,801.2,1738.2
980328,17.7,Organic,22.7,563.4,921.2
980329,41.5,Chemical,33.4,476.0,1321.5
980330,74.2,Organic,27.1,,1739.1
980331,26.1,None,32.5,804.3,823.7
980332,71.5,Chemical,25.8,1284.0,2438.2
980333,26.8,Organic,22.0,1200.3,1610.4
980334,72.0,Chemical,22.9,1485.4,2343.1
980335,11.6,Organic,14.2,1589.4,1559.7
980336,71.9,None,38.0,886.2,1402.9
980337,40.6,Chemical,28.8,251.7,1163.8
980338,19.2,None,17.5,483.4,592.5
980339,45.0,Organic,20.7,960.8,1664.0
980340,72.2,Organic,26.2,1416.7,2507.7
980341,25.2,Chemical,17.2,628.5,937.3
980342,79.1,Organic,28.0,332.3,1580.4
980343,37.2,None,30.3,543.4,889.3
980344,73.2,Chemical,25.1,944.4,2000.8
980345,23.8,Organic,17.4,743.3,1182.6
980346,18.2,None,31.5,921.2,751.4
980347,49.9,Organic,37.2,1278.8,1725.1
980348,69.8,Organic,31.4,1277.0,2292.0
980349,41.4,Chemical,31.2,434.5,1353.7
980350,68.4,Chemical,29.4,639.7,1732.5
980351,20.3,Organic,37.1,1529.9,1494.0
980352,78.4,Organic,16.7,907.0,1837.1
980353,29.7,Organic,19.1,600.2,1035.6
980354,69.9,Chemical,21.0,449.8,1833.4
980355,45.6,Chemical,25.8,1653.9,2196.1
980356,23.0,Chemical,34.3,1716.6,2039.1
980357,44.7,Chemical,31.7,349.5,1084.7
980358,25.0,Chemical,15.5,1605.3,1982.4
980359,80.2,Chemical,12.2,744.5,1866.4
980360,33.5,None,16.9,241.0,563.7
980361,17.7,Organic,22.1,1570.9,1770.6
980362,56.4,Chemical,30.6,1098.9,1944.0
980363,46.5,Organic,14.2,1760.1,1982.6
980364,74.9,Chemical,32.7,1513.4,2497.1
980365,62.1,Organic,30.0,852.0,1701.3
980366,27.8,Chemical,35.5,979.8,1545.3
980367,73.4,Chemical,24.0,1785.1,2830.9
980368,25.8,Chemical,34.8,1249.5,1602.5
980369,20.1,Organic,36.7,1167.5,1289.6
980370,86.9,None,12.2,319.5,1220.1
980371,69.8,Chemical,22.2,1158.8,2165.3
980372,77.7,None,30.8,457.1,1320.0
980373,72.1,Chemical,32.1,484.6,1606.8
980374,62.8,Chemical,32.1,830.8,1729.2
980375,88.2,None,37.9,478.3,1254.7
980376,27.8,Chemical,28.3,694.1,1362.9
980377,71.9,None,24.0,911.0,1648.1
980378,36.1,None,34.0,1127.9,1204.5
980379,44.7,Chemical,26.6,1364.5,2116.0
980380,83.6,Chemical,25.4,1353.2,2652.4
980381,13.1,Chemical,34.9,295.7,582.9
980382,54.4,None,26.4,1430.5,1838.3
980383,28.7,None,30.3,581.7,929.6
980384,48.2,None,13.0,1209.3,1277.9
980385,69.3,Chemical,16.9,1086.2,2000.6
980386,85.8,Chemical,13.6,979.0,1942.1
980387,56.0,Organic,31.4,1165.6,1699.8
980388,57.9,Organic,25.4,239.8,1197.0
980389,66.1,Chemical,27.0,535.6,1606.6
980390,61.9,None,32.4,764.9,1276.4
980391,18.1,Organic,27.8,1411.0,1700.0
980392,69.5,Organic,14.4,1478.7,2218.0
980393,40.3,None,25.1,1412.9,1482.9
980394,35.4,Chemical,28.4,1343.6,1995.8
980395,53.5,Chemical,28.4,1282.2,2316.5
980396,29.1,Chemical,20.3,685.8,1349.8
980397,84.1,Chemical,31.1,1509.1,2774.2
980398,76.8,Organic,16.2,1059.5,1943.1
980399,41.6,Chemical,18.3,539.6,1434.2
980400,64.1,None,15.9,1792.6,2120.1
980401,88.1,Chemical,23.3,946.7,2324.5
980402,26.7,None,33.2,1099.1,989.4
980403,72.2,Chemical,19.0,961.9,2024.1
980404,48.3,Chemical,25.4,275.6,1246.5
980405,36.7,None,20.5,650.1,997.2
980406,57.3,Chemical,35.2,1684.3,2392.1
980407,50.9,Organic,31.9,751.1,1350.8
980408,23.7,Chemical,20.4,1746.7,2142.6
980409,87.4,Chemical,37.5,1081.3,2219.1
980410,20.7,Organic,24.9,728.5,1173.1
980411,12.7,Chemical,28.7,258.3,825.7
980412,62.2,Chemical,35.6,1776.7,2481.3
980413,84.5,Organic,20.9,428.2,1574.2
980414,34.9,None,27.6,1041.4,1071.7
980415,72.0,None,35.3,300.6,950.1
980416,24.4,Chemical,36.1,1680.4,2004.7
980417,74.9,Chemical,19.3,821.2,1986.1
980418,22.4,None,29.2,735.3,692.4
980419,51.1,Chemical,35.4,348.3,1174.7
980420,70.2,Organic,37.0,1201.1,2015.3
980421,89.1,Chemical,16.2,888.3,2170.9
980422,22.0,Organic,34.5,867.2,1050.2
980423,60.3,Chemical,13.1,391.3,1272.6
980424,53.6,Organic,15.3,385.6,1068.1
980425,28.9,Organic,35.8,1164.5,1430.3
980426,25.0,Chemical,30.1,1275.4,1756.9
980427,29.2,Organic,24.4,1488.0,1738.0
980428,34.5,None,37.1,1219.8,1053.6
980429,88.3,Organic,15.7,921.5,2130.7
980430,34.5,Chemical,21.8,1035.3,1720.2
980431,71.3,Organic,15.0,698.4,1633.7
980432,83.1,Chemical,24.8,1685.1,2909.4
