MemberID,MonthlyVisits,MembershipDuration_Months,ClassParticipation,Renewed
990001,16.0,21,0,No
990002,6.0,28,0,No
990003,19.0,9,0,Yes
990004,22.0,31,1,Yes
990005,20.0,23,0,Yes
990006,17.0,21,1,Yes
990007,17.0,4,1,Yes
990008,9.0,20,0,Yes
990009,10.0,24,1,Yes
990010,4.0,29,1,Yes
990011,20.0,16,0,Yes
990012,14.0,9,0,Yes
990013,13.0,35,1,Yes
990014,23.0,6,0,Yes
990015,15.0,12,1,Yes
990016,15.0,19,0,Yes
990017,6.0,2,1,Yes
990018,13.0,3,1,Yes
990019,13.0,20,0,Yes
990020,19.0,29,0,Yes
990021,11.0,23,0,Yes
990022,5.0,29,1,Yes
990023,23.0,19,1,Yes
990024,20.0,18,0,Yes
990025,18.0,6,1,Yes
990026,14.0,24,1,Yes
990027,6.0,15,0,No
990028,8.0,10,1,Yes
990029,15.0,20,1,Yes
990030,6.0,15,1,Yes
990031,6.0,33,0,Yes
990032,5.0,20,0,No
990033,20.0,9,0,Yes
990034,8.0,18,0,Yes
990035,18.0,5,1,Yes
990036,9.0,20,1,Yes
990037,7.0,28,0,Yes
990038,18.0,16,1,Yes
990039,4.0,5,0,No
990040,23.0,31,1,Yes
990041,22.0,23,1,Yes
990042,6.0,12,0,Yes
990043,2.0,1,0,No
990044,21.0,26,0,Yes
990045,23.0,20,1,Yes
990046,23.0,8,0,Yes
990047,23.0,29,1,Yes
990048,9.0,2,1,Yes
990049,9.0,1,0,Yes
990050,17.0,25,0,Yes
990051,0.0,26,1,No
990052,21.0,35,0,Yes
990053,6.0,3,0,No
990054,19.0,6,1,Yes
990055,5.0,23,0,No
990056,,1,0,No
990057,19.0,6,0,Yes
990058,5.0,1,0,Yes
990059,6.0,5,1,Yes
990060,13.0,12,0,Yes
990061,11.0,3,0,Yes
990062,2.0,20,0,No
990063,9.0,16,1,Yes
990064,7.0,29,0,Yes
990065,5.0,9,0,Yes
990066,9.0,32,1,Yes
990067,10.0,30,0,Yes
990068,7.0,34,0,No
990069,20.0,32,1,Yes
990070,20.0,12,0,Yes
990071,13.0,13,0,Yes
990072,13.0,10,1,Yes
990073,9.0,28,1,No
990074,21.0,16,1,Yes
990075,20.0,22,0,Yes
990076,3.0,22,0,No
990077,21.0,8,0,Yes
990078,21.0,11,1,Yes
990079,4.0,12,1,Yes
990080,22.0,31,0,Yes
990081,23.0,17,1,Yes
990082,10.0,8,0,Yes
990083,17.0,10,1,Yes
990084,20.0,11,1,Yes
990085,20.0,33,0,Yes
990086,3.0,32,1,No
990087,10.0,34,0,Yes
990088,12.0,3,0,Yes
990089,0.0,15,1,No
990090,11.0,7,0,Yes
990091,5.0,21,0,Yes
990092,3.0,32,0,No
990093,15.0,23,1,Yes
990094,0.0,23,1,No
990095,,20,0,Yes
990096,0.0,4,1,No
990097,5.0,5,1,Yes
990098,20.0,27,1,Yes
990099,20.0,26,1,Yes
990100,0.0,9,1,No
990101,1.0,23,0,No
990102,0.0,29,1,No
990103,18.0,13,0,Yes
990104,23.0,18,0,Yes
990105,21.0,11,1,Yes
990106,0.0,33,1,Yes
990107,16.0,11,1,Yes
990108,14.0,24,0,Yes
990109,,28,0,No
990110,16.0,8,0,Yes
990111,11.0,10,0,Yes
990112,3.0,23,0,Yes
990113,12.0,32,0,Yes
990114,8.0,9,1,Yes
990115,21.0,30,0,Yes
990116,2.0,23,1,No
990117,12.0,24,1,Yes
990118,0.0,3,1,Yes
990119,12.0,4,1,No
990120,15.0,2,1,Yes
990121,12.0,28,0,Yes
990122,15.0,21,0,Yes
990123,23.0,19,0,Yes
990124,12.0,4,0,Yes
990125,20.0,21,0,Yes
990126,16.0,10,1,Yes
990127,16.0,26,1,Yes
990128,21.0,27,0,Yes
990129,0.0,33,0,No
990130,15.0,21,0,No
990131,0.0,26,0,No
990132,2.0,7,0,No
990133,9.0,25,0,Yes
990134,6.0,33,1,Yes
990135,15.0,14,1,Yes
990136,20.0,1,0,Yes
990137,22.0,17,0,Yes
990138,23.0,8,1,Yes
990139,6.0,9,1,Yes
990140,11.0,11,0,Yes
990141,14.0,31,0,Yes
990142,22.0,17,1,Yes
990143,9.0,19,0,Yes
990144,1.0,15,1,Yes
990145,4.0,6,1,Yes
990146,9.0,35,0,Yes
990147,14.0,5,1,Yes
990148,3.0,19,1,No
990149,12.0,7,1,Yes
990150,18.0,7,0,Yes
990151,17.0,33,0,Yes
990152,8.0,15,0,Yes
990153,18.0,30,1,Yes
990154,15.0,20,1,Yes
990155,15.0,19,0,Yes
990156,20.0,24,1,Yes
990157,3.0,3,1,No
990158,19.0,18,0,Yes
990159,4.0,26,0,No
990160,18.0,11,0,Yes
990161,17.0,35,0,Yes
990162,5.0,10,1,No
990163,20.0,17,0,Yes
990164,14.0,30,0,Yes
990165,10.0,16,1,Yes
990166,19.0,22,0,Yes
990167,8.0,15,0,Yes
990168,16.0,29,1,Yes
990169,21.0,12,1,Yes
990170,9.0,24,0,No
990171,18.0,35,0,Yes
990172,5.0,12,0,Yes
990173,17.0,11,1,Yes
990174,10.0,11,1,Yes
990175,11.0,28,1,Yes
990176,9.0,4,0,Yes
990177,16.0,8,1,Yes
990178,11.0,19,0,No
990179,14.0,6,1,Yes
990180,12.0,18,1,Yes
990181,,2,0,Yes
