DayID,AQI,PM25_Density,Temperature,RespiratoryAdmissions,RiskLevel
1560001,163.7,494.1,211.0,376.3,Medium
1560002,283.9,209.4,58.5,23.9,Medium
1560003,138.6,118.1,336.1,301.6,Medium
1560004,101.9,353.0,423.6,39.5,High
1560005,248.1,166.7,404.0,290.3,High
1560006,411.0,22.2,218.5,88.4,High
1560007,413.1,132.7,36.4,238.2,Low
1560008,394.5,296.8,403.8,79.4,Low
1560009,145.4,59.0,227.2,306.5,Medium
1560010,191.9,220.7,210.1,441.5,Medium
1560011,93.6,427.4,135.3,361.9,Low
1560012,173.2,396.5,386.2,198.1,Medium
1560013,256.2,397.6,13.9,206.6,Low
1560014,206.6,339.9,363.8,140.0,Low
1560015,14.8,370.7,149.6,392.1,High
1560016,321.0,417.6,378.2,376.0,Low
1560017,41.2,111.4,406.7,238.2,High
1560018,188.2,396.1,188.0,390.5,High
1560019,302.2,157.7,41.7,177.4,High
1560020,93.0,172.4,233.4,429.1,High
1560021,358.9,220.6,453.2,421.2,High
1560022,147.0,313.8,212.7,291.7,Medium
1560023,140.9,493.8,495.0,36.2,Medium
1560024,160.7,355.1,163.8,424.1,High
1560025,35.6,205.0,307.9,304.7,Low
1560026,79.2,437.1,340.4,266.8,Low
1560027,163.4,73.6,37.7,452.3,Medium
1560028,238.4,332.0,350.1,420.8,Medium
1560029,370.9,144.5,318.0,372.6,Medium
1560030,248.8,157.8,108.8,189.5,Medium
1560031,371.7,470.5,441.8,215.0,Medium
1560032,25.9,223.5,192.4,280.0,High
1560033,480.9,135.7,188.1,251.3,High
1560034,188.7,239.9,301.5,190.6,Low
1560035,247.1,167.9,241.3,339.2,Low
1560036,309.4,368.9,473.3,84.7,High
1560037,134.6,25.2,342.6,195.8,Medium
1560038,453.6,311.2,157.3,301.8,High
1560039,142.2,238.9,494.4,308.9,Medium
1560040,467.1,251.6,349.2,443.1,Low
1560041,49.8,229.6,495.7,163.3,Medium
1560042,497.0,329.9,474.1,336.7,Low
1560043,184.6,211.7,73.1,116.1,Medium
1560044,286.4,66.9,404.6,169.9,Medium
1560045,320.0,333.6,387.7,132.6,High
1560046,15.6,271.9,170.5,100.0,Medium
1560047,31.4,332.6,420.9,13.5,Medium
1560048,493.9,376.7,331.4,178.8,Medium
1560049,44.5,371.9,392.6,471.3,Low
1560050,317.4,186.4,119.3,441.9,High
1560051,433.1,345.0,351.1,377.1,Medium
1560052,52.2,435.0,254.6,217.8,Low
1560053,55.5,355.3,266.2,212.0,High
1560054,102.5,425.5,270.8,58.2,Medium
1560055,100.5,389.4,475.8,189.7,High
1560056,290.3,221.7,93.3,267.2,Medium
1560057,281.4,353.9,496.0,408.7,Medium
1560058,328.7,85.7,313.6,425.0,Medium
1560059,50.5,222.9,450.8,429.8,High
1560060,221.1,395.6,128.5,295.1,Low
1560061,187.6,60.7,105.7,470.7,Low
1560062,451.7,349.2,148.4,448.0,Low
1560063,407.7,206.6,278.3,408.9,Low
1560064,289.6,440.5,384.8,353.4,Low
1560065,369.9,200.3,112.9,55.4,Low
1560066,216.5,363.6,145.9,183.3,Medium
1560067,459.6,475.5,442.1,488.1,Medium
1560068,372.9,145.3,54.0,174.4,Low
1560069,268.3,358.2,273.1,64.4,Low
1560070,387.8,140.7,65.8,232.4,Low
1560071,235.3,334.1,66.5,17.7,Low
1560072,451.6,19.9,393.9,341.7,Low
1560073,59.6,419.9,290.9,455.9,Medium
1560074,158.2,,288.8,85.0,Medium
1560075,422.7,141.2,463.0,211.8,Medium
1560076,29.7,435.3,65.9,23.6,Medium
1560077,460.7,428.0,249.8,217.9,High
1560078,427.4,497.5,387.8,471.7,High
1560079,59.3,169.2,279.8,384.6,High
1560080,155.0,338.5,299.2,92.7,Low
1560081,219.6,94.0,411.8,353.9,Low
1560082,82.9,163.2,387.1,153.3,High
1560083,86.2,425.6,246.3,423.5,Low
1560084,410.6,77.4,161.2,481.7,Medium
1560085,56.0,349.1,258.7,149.0,Low
1560086,216.8,300.3,227.8,401.5,Low
1560087,384.6,154.9,40.6,311.7,Medium
1560088,189.8,98.5,166.6,26.3,Medium
1560089,463.6,194.1,459.2,166.2,High
1560090,470.2,266.7,368.3,94.8,Medium
1560091,17.8,75.1,234.2,237.8,High
1560092,465.9,359.9,32.1,388.9,Medium
1560093,450.0,451.3,174.7,424.9,High
1560094,112.9,136.0,333.1,245.2,Low
1560095,489.1,298.2,402.1,106.8,Low
1560096,156.8,323.5,133.1,455.3,Low
1560097,442.6,46.0,139.9,63.4,Low
1560098,89.9,417.1,409.3,226.8,Low
1560099,73.4,496.6,167.4,103.1,Medium
1560100,189.0,322.1,77.6,487.5,High
1560101,487.9,328.4,317.7,72.1,High
1560102,366.8,267.2,333.5,128.2,Low
1560103,208.5,242.4,375.5,276.3,Low
1560104,94.8,203.6,205.1,459.4,High
1560105,498.8,241.9,294.3,484.2,High
1560106,448.3,177.2,360.4,443.5,Medium
