SubscriptionID,MonthlyFee,UserSeats,ExpansionRevenue,TenureMonths,CustomerLifetimeValue
1110001,74.6,64.3,66608.0,36.0,90160.0
1110002,135.4,96.5,56757.0,44.0,75363.0
1110003,179.9,89.0,68619.0,34.0,78370.0
1110004,105.8,115.4,71797.0,8.0,78239.0
1110005,88.5,112.5,56397.0,52.0,90611.0
1110006,101.6,101.0,59508.0,54.0,64916.0
1110007,117.6,108.5,68703.0,54.0,55414.0
1110008,105.8,104.9,50237.0,47.0,69341.0
1110009,90.6,55.6,97132.0,21.0,45270.0
1110010,72.6,124.7,71726.0,55.0,79671.0
1110011,129.6,132.9,66355.0,12.0,66618.0
1110012,96.4,94.6,102870.0,15.0,71123.0
1110013,62.4,102.7,72442.0,42.0,56240.0
1110014,150.9,121.5,67820.0,14.0,50655.0
1110015,78.9,109.1,55539.0,25.0,31811.0
1110016,116.4,130.4,46634.0,4.0,52967.0
1110017,139.7,125.0,48894.0,34.0,64122.0
1110018,137.0,140.5,57822.0,47.0,106290.0
1110019,171.3,101.5,70472.0,33.0,79445.0
1110020,132.6,103.3,76483.0,18.0,66499.0
1110021,103.7,86.2,97898.0,10.0,29932.0
1110022,117.3,89.2,68391.0,37.0,83414.0
1110023,81.9,105.9,90968.0,41.0,27640.0
1110024,115.6,125.3,59401.0,20.0,63053.0
1110025,142.8,103.2,85151.0,19.0,49719.0
1110026,156.6,116.1,114747.0,5.0,72248.0
1110027,53.2,97.2,52705.0,34.0,70410.0
1110028,139.3,84.7,83118.0,31.0,36568.0
1110029,107.6,71.5,76092.0,21.0,60699.0
1110030,215.8,141.9,79764.0,27.0,80578.0
1110031,182.0,104.6,91519.0,13.0,46325.0
1110032,94.1,101.2,58028.0,19.0,57737.0
1110033,82.8,105.3,61334.0,4.0,47038.0
1110034,53.8,85.2,68461.0,39.0,61677.0
1110035,134.0,113.5,93052.0,47.0,80122.0
1110036,114.3,96.1,75532.0,14.0,94679.0
1110037,140.8,97.1,73180.0,48.0,86779.0
1110038,119.2,96.0,36739.0,21.0,83465.0
1110039,50.2,64.1,67339.0,38.0,75359.0
1110040,88.0,74.7,72903.0,10.0,41425.0
1110041,67.9,101.6,56752.0,26.0,81952.0
1110042,127.1,103.4,104060.0,27.0,40206.0
1110043,106.6,146.8,68543.0,24.0,40557.0
1110044,107.8,122.0,22574.0,28.0,68579.0
1110045,106.7,131.0,73131.0,16.0,57226.0
1110046,198.5,110.7,47087.0,5.0,81866.0
1110047,148.8,88.5,70767.0,4.0,86944.0
1110048,165.7,125.0,68234.0,46.0,57556.0
1110049,203.3,95.3,67151.0,17.0,62023.0
1110050,68.6,82.3,89542.0,28.0,68617.0
1110051,141.5,122.0,55404.0,43.0,64194.0
1110052,118.2,101.1,89623.0,20.0,73070.0
1110053,223.9,94.2,77150.0,28.0,73089.0
1110054,117.7,83.2,78379.0,55.0,100787.0
1110055,82.2,138.4,86268.0,29.0,54328.0
1110056,141.6,129.9,52345.0,9.0,38262.0
