TicketID,WaitTime_Mins,ServiceTime_Mins,StaffCount,PeakHours,SatisfactionScore
1050001,1.3,29.4,86.9,16.2,7.5
1050002,6.1,6.9,122.0,42.6,5.1
1050003,29.4,6.6,51.3,36.3,4.1
1050004,1.7,8.1,52.8,23.0,7.1
1050005,11.5,28.5,134.3,42.5,7.6
1050006,1.0,1.0,96.5,11.8,9.4
1050007,5.3,5.5,109.4,38.0,6.0
1050008,1.0,17.8,118.7,20.7,8.2
1050009,9.0,2.4,89.7,25.2,7.2
1050010,32.3,21.8,109.7,32.1,6.1
1050011,12.9,13.7,123.8,13.9,7.2
1050012,4.3,1.0,121.3,32.6,9.2
1050013,6.3,12.1,100.2,15.7,6.3
1050014,1.1,17.2,77.2,26.2,8.4
1050015,11.6,5.1,111.2,21.5,9.3
1050016,11.2,1.0,121.6,41.5,8.0
1050017,25.6,10.2,103.2,8.8,9.7
1050018,17.4,26.4,93.4,16.4,5.7
1050019,15.0,9.7,116.8,37.4,7.1
1050020,6.9,2.2,124.0,14.3,6.4
1050021,11.5,13.5,122.7,14.3,9.6
1050022,2.9,5.1,81.2,40.7,9.1
1050023,2.7,3.1,105.6,36.8,5.2
1050024,1.8,22.6,101.5,36.2,6.4
1050025,5.9,32.2,84.4,5.2,7.3
1050026,34.2,1.0,77.0,40.6,5.9
1050027,11.9,3.7,135.5,26.9,8.8
1050028,4.1,5.8,130.8,21.3,5.5
1050029,,4.5,99.7,20.1,8.3
1050030,13.3,2.0,97.3,18.8,5.4
1050031,,8.7,113.7,44.8,6.5
1050032,9.8,17.6,122.9,22.1,8.0
1050033,12.9,22.0,118.7,30.6,6.1
1050034,13.4,3.6,93.7,44.9,7.1
1050035,24.0,9.6,131.8,10.4,9.0
1050036,22.6,4.0,91.6,19.9,3.8
1050037,16.5,6.3,67.4,24.9,9.0
1050038,10.7,28.0,57.4,31.9,6.5
1050039,11.5,10.9,59.2,12.1,7.4
1050040,2.9,1.0,114.1,16.5,5.3
1050041,16.9,7.6,82.5,23.8,7.0
1050042,35.8,9.7,79.8,42.3,8.0
1050043,11.5,22.4,67.0,27.0,7.9
1050044,3.1,9.8,76.5,39.2,2.9
1050045,1.4,2.7,102.1,29.3,10.0
1050046,12.7,9.6,99.9,11.6,6.0
1050047,26.1,29.9,95.1,17.2,6.7
1050048,2.6,7.6,92.5,18.2,6.1
1050049,16.1,6.1,75.5,6.0,9.1
1050050,1.4,100.5,45.6,14.9,8.3
1050051,44.5,1.0,98.3,32.8,6.2
1050052,1.5,1.3,111.3,24.3,7.8
1050053,8.4,11.2,50.4,35.3,4.4
1050054,14.8,11.4,36.7,39.0,7.0
1050055,22.1,4.6,99.3,28.6,6.2
1050056,9.6,4.9,103.2,35.5,9.3
1050057,4.9,10.0,101.0,12.1,7.5
1050058,4.3,13.8,88.4,38.8,8.3
1050059,1.5,10.3,90.7,13.1,10.0
