ClaimID,ClaimAmount_K,DamageScore,DashcamExists,WeekendAccident,IsFraud
1080001,54.5,5.7,156.5,80.6,1
1080002,79.4,5.0,87.8,140.8,1
1080003,97.6,5.6,148.6,27.4,0
1080004,97.9,6.8,76.3,91.4,0
1080005,63.1,5.9,117.5,101.1,0
1080006,77.4,8.1,117.5,53.2,1
1080007,65.3,6.9,129.1,113.5,0
1080008,36.1,6.1,94.2,101.6,1
1080009,76.8,7.1,132.5,60.7,0
1080010,93.0,6.4,63.1,76.0,0
1080011,101.3,8.4,93.1,76.5,0
1080012,90.4,6.4,117.9,132.8,0
1080013,64.2,8.1,130.2,73.0,0
1080014,69.3,7.6,122.7,107.7,0
1080015,57.2,4.8,107.5,87.8,0
1080016,83.1,6.6,67.6,71.6,0
1080017,52.1,8.2,112.2,115.4,0
1080018,85.9,8.4,99.2,84.8,0
1080019,104.1,7.1,108.7,86.4,0
1080020,99.5,6.6,67.9,99.6,0
1080021,79.4,5.5,128.8,164.7,0
1080022,111.1,7.7,55.9,75.9,1
1080023,82.3,8.7,133.7,123.7,0
1080024,71.2,2.9,101.9,93.5,1
1080025,82.5,8.7,78.7,93.4,0
1080026,71.6,7.5,157.3,69.0,1
1080027,73.0,7.3,110.2,110.7,0
1080028,95.1,8.4,153.6,120.8,0
1080029,89.7,3.3,109.7,111.7,1
1080030,73.1,10.0,73.8,75.6,1
1080031,100.8,7.0,113.7,92.3,0
1080032,107.0,7.6,117.6,104.7,1
1080033,46.9,6.4,87.1,112.2,1
1080034,76.0,7.4,93.8,60.2,0
1080035,56.5,7.1,136.1,120.2,0
1080036,74.9,9.3,80.0,146.4,0
1080037,86.5,7.2,107.3,126.5,0
1080038,87.3,9.6,120.7,118.6,1
1080039,62.4,6.1,126.7,111.2,1
1080040,65.7,8.2,137.8,103.1,0
1080041,69.0,6.7,62.7,66.7,1
1080042,102.0,6.4,99.6,107.1,1
1080043,102.5,8.5,123.2,152.1,0
1080044,57.5,6.8,115.3,89.2,0
1080045,101.9,7.4,121.9,83.5,1
1080046,99.5,7.8,10.4,124.8,1
1080047,108.7,6.0,112.6,151.0,0
1080048,83.9,5.3,62.0,125.2,1
1080049,98.7,7.3,136.2,117.5,0
1080050,100.8,7.4,71.4,74.7,0
1080051,69.5,5.8,134.5,146.1,1
1080052,69.1,8.7,105.6,68.1,0
1080053,71.2,8.8,65.2,119.2,1
1080054,54.1,6.4,120.5,85.3,1
1080055,62.9,7.8,129.5,143.3,0
1080056,98.8,9.3,146.6,114.9,1
1080057,98.5,6.1,61.5,147.9,0
1080058,42.8,5.1,94.4,76.6,1
1080059,61.8,6.3,70.1,117.2,1
1080060,71.6,7.3,117.0,92.4,0
1080061,82.9,8.3,93.4,89.2,0
1080062,92.1,6.0,116.7,92.2,1
1080063,81.1,6.6,68.2,90.7,0
1080064,57.8,7.1,64.6,62.4,0
1080065,74.1,6.8,111.8,134.5,0
1080066,103.9,7.0,113.3,88.0,1
1080067,78.2,8.6,51.8,116.5,1
1080068,50.0,6.9,55.5,63.3,0
1080069,91.7,8.3,73.7,93.8,0
1080070,84.6,4.2,75.5,84.8,1
1080071,104.9,6.1,156.3,115.1,1
1080072,81.1,6.7,105.8,118.7,0
1080073,87.9,8.1,102.3,112.3,1
1080074,74.0,8.6,98.2,90.8,1
1080075,58.7,6.3,103.7,79.6,1
1080076,66.7,6.1,57.8,49.2,1
1080077,76.9,7.3,91.8,96.0,0
1080078,55.7,7.2,67.8,108.4,1
1080079,81.4,7.1,95.6,114.8,0
1080080,94.8,7.5,77.1,130.3,0
1080081,61.4,,145.1,124.8,0
1080082,83.6,8.2,83.2,125.0,0
1080083,67.9,6.4,93.5,123.7,1
1080084,71.5,9.9,82.5,107.1,1
1080085,109.1,7.6,62.6,60.4,1
1080086,62.6,5.3,104.9,136.7,0
1080087,51.4,6.1,97.9,90.1,0
1080088,78.2,7.7,103.7,108.5,1
1080089,78.4,5.3,100.7,107.6,1
1080090,81.3,9.2,98.2,74.8,0
1080091,36.4,6.1,88.5,108.3,1
1080092,110.0,10.0,135.2,82.0,0
1080093,72.7,5.8,104.1,111.5,1
1080094,101.6,6.6,87.8,141.3,0
1080095,63.3,10.0,67.3,73.7,0
1080096,79.5,8.9,75.3,121.7,0
1080097,83.8,8.2,93.1,85.9,1
1080098,101.6,6.8,76.3,87.5,0
1080099,64.0,8.4,87.6,112.0,1
1080100,78.7,,110.8,105.7,0
1080101,62.1,5.9,97.2,113.1,0
1080102,83.0,8.3,86.5,95.9,0
1080103,53.9,9.7,94.2,95.9,1
1080104,61.8,7.4,129.9,120.9,0
1080105,95.2,6.8,104.5,130.5,1
1080106,75.5,6.9,103.6,101.6,0
1080107,94.4,7.8,98.5,84.3,1
1080108,90.7,6.7,120.7,10.3,0
1080109,84.9,5.2,117.1,105.1,1
1080110,72.1,6.5,76.7,77.7,0
1080111,102.5,9.3,87.9,118.5,0
1080112,38.7,6.7,76.0,77.1,1
1080113,117.3,7.4,86.4,120.9,1
1080114,31.9,10.0,107.8,122.9,1
1080115,78.2,7.2,98.0,125.7,1
1080116,63.3,7.8,55.8,62.2,0
1080117,62.9,7.7,112.9,88.2,1
1080118,53.3,6.9,111.3,76.3,0
1080119,66.5,8.6,91.2,88.6,0
1080120,114.4,9.4,119.9,78.9,1
1080121,82.4,6.7,109.8,66.3,0
1080122,76.7,4.6,149.2,92.4,1
1080123,81.0,5.8,118.1,108.0,1
1080124,76.9,7.1,109.4,114.6,1
1080125,104.5,4.4,101.6,101.7,1
1080126,79.1,5.9,106.1,129.6,1
1080127,83.8,5.3,77.5,49.0,0
1080128,92.7,6.9,106.7,94.5,0
1080129,65.8,7.2,126.7,55.2,1
1080130,60.7,6.6,98.7,113.6,1
1080131,71.7,9.2,86.9,139.3,1
1080132,61.6,5.4,115.3,120.6,0
1080133,54.4,7.9,103.2,94.0,1
1080134,52.9,7.1,118.9,148.2,0
1080135,106.6,7.5,133.1,114.8,1
1080136,53.8,3.9,62.9,79.6,0
1080137,70.5,7.6,98.4,117.1,0
1080138,62.3,8.4,88.9,120.5,1
1080139,75.9,6.4,124.6,99.0,0
1080140,74.7,5.3,76.8,108.5,1
1080141,81.4,7.2,108.0,103.3,0
1080142,110.0,6.2,91.7,115.3,0
1080143,74.8,7.3,132.5,103.3,0
1080144,97.7,6.7,67.2,113.5,0
1080145,67.2,8.7,100.5,168.4,1
1080146,109.8,6.0,70.1,84.8,0
1080147,108.7,9.3,66.6,114.1,0
1080148,98.1,5.3,105.2,123.3,1
1080149,97.4,8.9,81.4,80.8,1
1080150,73.8,10.0,139.4,120.2,1
1080151,79.7,8.3,94.4,133.0,0
1080152,82.5,8.4,123.1,106.5,1
1080153,71.8,8.6,68.5,92.3,1
1080154,65.7,6.7,90.1,110.2,0
1080155,81.4,6.9,101.5,84.0,1
1080156,49.4,8.6,124.6,120.2,1
1080157,84.1,7.2,88.5,82.3,0
1080158,87.7,8.0,89.1,116.2,0
1080159,81.4,8.7,99.3,85.3,0
1080160,54.7,7.9,152.1,90.7,1
1080161,85.7,6.3,61.7,110.9,0
1080162,89.6,7.3,72.5,147.6,0
1080163,96.1,8.9,83.7,96.9,0
1080164,71.3,6.6,113.1,134.0,0
1080165,66.8,6.7,153.6,48.2,0
1080166,88.0,5.5,90.7,78.5,0
1080167,96.8,9.8,85.8,172.3,0
1080168,44.9,6.7,86.8,88.6,1
1080169,98.6,5.9,64.8,96.1,1
1080170,96.4,7.8,71.3,108.2,0
1080171,65.2,10.0,106.3,103.3,0
1080172,72.0,7.8,110.7,79.2,1
1080173,76.6,6.9,96.1,121.3,1
1080174,83.5,5.9,93.7,74.9,1
1080175,50.5,7.7,97.8,121.0,0
1080176,85.4,7.3,120.8,128.0,0
1080177,80.2,9.7,140.1,118.0,0
1080178,67.6,8.6,95.5,117.2,1
1080179,91.1,6.9,116.9,84.1,0
1080180,66.1,7.8,124.4,71.7,1
1080181,53.7,7.9,117.6,133.0,0
1080182,55.4,6.8,99.9,104.4,0
1080183,45.8,7.3,84.9,145.6,0
1080184,63.5,9.5,83.2,86.4,0
1080185,93.3,5.5,92.5,119.0,1
1080186,53.0,8.0,83.6,84.0,1
1080187,94.8,6.8,89.5,96.8,1
1080188,77.4,7.4,125.8,85.7,1
1080189,72.9,7.2,139.3,65.3,1
1080190,23.8,5.8,55.5,99.8,1
1080191,49.2,5.7,100.0,83.0,0
1080192,75.2,9.6,122.1,81.8,1
1080193,65.3,5.4,88.5,109.8,0
1080194,81.4,9.5,119.5,120.4,0
1080195,49.3,5.1,102.7,132.2,0
1080196,94.3,7.6,126.0,78.5,1
1080197,55.8,8.4,107.7,103.9,0
1080198,35.4,6.1,99.9,98.1,0
1080199,100.1,4.9,58.0,86.8,0
1080200,74.0,6.5,91.0,111.0,0
1080201,77.1,7.9,170.3,142.7,1
1080202,67.8,7.0,113.0,129.8,0
1080203,68.7,7.9,28.3,79.4,0
1080204,66.8,9.9,133.6,107.3,1
1080205,113.0,8.1,94.4,63.5,0
1080206,96.3,6.0,107.5,164.8,0
1080207,60.8,6.3,85.4,146.5,1
1080208,59.4,8.6,78.7,70.6,0
1080209,73.3,7.6,39.1,118.9,1
1080210,115.9,9.6,33.1,161.3,1
1080211,93.4,7.8,78.0,99.7,1
1080212,65.0,9.2,82.7,81.9,0
1080213,107.4,5.0,91.6,49.8,1
1080214,91.4,6.7,133.2,107.5,0
1080215,63.3,5.7,91.2,45.3,0
1080216,104.9,7.8,147.8,61.8,1
1080217,75.0,6.9,122.1,88.5,1
1080218,75.0,6.7,87.9,137.6,1
1080219,81.2,6.1,70.9,102.8,1
1080220,82.5,5.3,96.5,86.5,1
1080221,60.9,6.8,66.7,128.7,1
1080222,82.0,6.3,89.0,105.3,1
1080223,69.0,6.6,118.5,66.9,0
1080224,90.4,9.2,110.7,71.6,0
1080225,102.4,7.4,57.8,94.6,1
1080226,76.0,6.9,110.5,86.4,0
1080227,72.0,7.1,96.5,82.3,0
1080228,59.6,7.3,152.1,87.4,0
1080229,80.9,7.0,68.5,115.3,0
1080230,69.8,,100.1,98.3,0
1080231,44.1,8.6,121.8,123.8,0
1080232,56.4,4.9,87.2,128.3,0
1080233,94.4,10.0,137.6,90.2,1
1080234,94.8,5.5,132.0,120.6,1
1080235,86.7,9.7,114.5,97.7,0
1080236,99.6,7.6,92.8,90.2,0
1080237,69.0,7.2,107.2,119.2,1
1080238,105.0,5.0,90.6,56.5,1
1080239,84.4,5.1,63.5,107.9,0
1080240,94.9,8.5,103.9,93.9,1
1080241,42.9,7.1,82.0,124.6,1
1080242,60.6,4.6,134.3,50.8,0
1080243,76.1,6.5,143.2,109.7,0
1080244,51.9,6.8,77.2,97.1,1
1080245,80.3,9.9,126.0,119.5,0
1080246,72.8,7.4,115.4,83.4,0
1080247,89.8,4.9,107.2,86.5,1
1080248,79.9,8.4,82.7,57.4,1
1080249,99.9,7.6,87.3,123.0,1
1080250,75.2,7.8,103.3,114.3,1
1080251,75.9,5.2,68.3,121.8,1
1080252,44.9,6.8,80.6,123.1,0
1080253,95.1,6.8,120.5,88.6,1
1080254,83.8,8.8,73.2,140.5,1
1080255,63.4,9.6,105.0,138.3,0
1080256,70.2,9.1,120.7,99.7,1
1080257,128.0,5.8,108.0,86.3,1
1080258,89.7,4.9,87.7,101.5,0
1080259,97.4,9.4,109.5,139.1,1
1080260,85.6,7.0,116.4,72.1,1
1080261,73.5,6.5,138.8,90.6,1
1080262,108.7,8.4,109.7,106.5,0
1080263,63.5,5.0,75.6,110.2,0
1080264,53.6,7.1,116.1,96.6,0
1080265,63.5,8.3,80.4,153.7,0
1080266,84.3,8.5,77.1,81.0,0
1080267,94.2,7.7,86.3,89.3,1
1080268,22.2,6.2,112.6,117.0,1
1080269,69.6,6.1,132.8,83.3,1
1080270,87.7,7.5,91.6,57.9,1
1080271,110.6,5.9,65.1,124.7,0
1080272,101.8,7.2,133.3,97.4,1
1080273,81.6,6.8,103.7,125.4,0
1080274,53.1,8.9,56.6,111.7,0
1080275,92.3,6.9,64.7,93.4,0
1080276,67.8,9.4,127.8,101.0,0
1080277,75.0,7.6,108.8,66.1,0
1080278,80.8,7.2,95.3,49.2,0
1080279,76.0,6.0,96.7,85.1,0
1080280,38.7,6.5,97.7,96.6,0
1080281,42.6,5.5,111.7,118.8,1
1080282,46.9,8.0,83.4,85.2,0
1080283,32.5,7.7,102.1,108.4,0
1080284,104.8,8.1,72.0,102.9,1
1080285,51.9,8.9,113.4,123.1,0
1080286,96.8,8.8,89.9,45.0,1
1080287,78.1,6.9,90.0,95.2,0
1080288,87.6,9.5,86.7,112.9,0
1080289,65.5,4.6,115.5,102.5,0
1080290,65.7,9.1,126.7,94.1,0
1080291,91.0,7.3,96.7,114.5,1
1080292,57.5,4.7,128.4,57.6,0
1080293,86.7,6.0,87.6,113.3,0
1080294,57.3,6.9,91.8,109.0,0
1080295,88.7,7.3,108.6,101.7,0
1080296,42.7,8.4,93.2,72.4,0
1080297,85.7,7.8,101.7,67.1,0
1080298,122.0,7.1,136.0,74.3,0
1080299,83.8,8.4,66.9,82.6,0
1080300,94.0,6.7,99.2,131.0,0
1080301,47.8,7.6,112.1,52.4,1
1080302,73.5,8.6,95.4,95.2,0
1080303,58.3,5.4,95.5,122.5,0
1080304,88.5,7.8,66.2,79.1,0
1080305,85.4,8.1,153.7,111.7,0
1080306,79.7,6.3,70.5,126.7,1
1080307,93.4,6.6,105.0,83.2,0
1080308,99.6,7.3,62.7,74.8,1
1080309,50.4,5.9,62.9,65.2,1
1080310,70.3,9.0,87.9,90.9,0
1080311,85.1,,107.1,114.6,1
1080312,104.6,8.2,95.8,91.4,1
1080313,95.9,5.5,72.8,80.5,0
1080314,65.8,4.6,78.8,91.0,1
1080315,71.0,6.5,91.8,92.6,0
1080316,77.8,8.1,112.1,99.6,0
1080317,64.5,7.4,140.1,97.4,1
1080318,44.0,6.8,99.5,156.1,1
1080319,111.2,7.1,123.8,53.0,1
1080320,65.2,7.2,176.6,81.5,1
1080321,88.7,8.0,99.2,73.6,0
1080322,84.1,4.2,72.7,98.8,0
1080323,93.2,7.1,64.0,95.0,0
1080324,84.8,5.7,107.7,94.5,0
1080325,77.0,7.6,72.9,98.9,1
1080326,46.2,9.3,115.9,73.1,0
1080327,69.8,6.9,48.4,94.2,1
1080328,86.9,7.2,116.2,113.8,1
1080329,62.3,8.8,111.8,178.2,0
1080330,51.9,8.2,79.0,90.9,1
1080331,46.9,6.9,67.0,51.9,1
1080332,63.2,4.7,157.7,101.7,0
1080333,81.2,5.6,152.8,165.9,1
1080334,108.1,5.7,130.0,74.8,0
1080335,95.6,8.3,107.6,83.6,0
1080336,125.3,7.9,93.2,143.6,1
1080337,103.5,6.3,130.8,101.2,0
1080338,68.8,7.3,83.4,82.1,1
1080339,106.3,7.8,49.7,103.8,0
1080340,120.1,7.6,94.4,155.5,0
1080341,100.7,10.0,108.9,98.2,1
1080342,82.0,6.3,93.3,98.1,0
1080343,20.0,6.6,84.7,100.6,0
1080344,74.9,7.9,83.4,134.3,1
1080345,78.0,7.6,108.0,80.7,1
1080346,77.7,5.2,76.9,105.9,0
1080347,95.0,5.5,96.5,98.5,0
1080348,99.6,5.9,103.9,86.8,0
1080349,83.5,9.1,55.2,83.3,0
1080350,75.0,6.9,110.5,89.3,0
1080351,68.1,7.6,50.3,82.8,1
1080352,60.5,7.5,72.8,96.7,0
1080353,93.0,6.7,141.8,107.1,1
1080354,63.8,,122.7,95.7,1
1080355,69.8,6.6,75.1,129.0,1
1080356,92.7,6.1,108.3,78.8,0
1080357,91.5,10.0,112.7,128.8,0
1080358,84.2,6.9,103.7,101.0,0
1080359,56.6,9.6,101.8,114.8,0
1080360,73.0,8.8,76.9,148.8,1
1080361,93.0,7.2,78.9,109.3,0
1080362,45.2,4.4,101.6,93.5,0
1080363,84.0,9.5,65.4,102.1,0
1080364,83.5,6.4,117.6,116.3,0
1080365,53.4,7.3,115.8,100.0,0
1080366,56.0,7.8,101.9,114.8,1
1080367,75.4,8.6,104.4,113.0,0
1080368,69.2,4.4,88.5,104.3,0
1080369,130.5,7.2,78.0,85.4,1
1080370,40.2,6.6,155.8,113.8,1
1080371,65.4,5.2,46.8,52.0,1
1080372,82.3,8.7,145.1,109.4,0
1080373,43.0,6.1,93.1,93.6,0
1080374,63.8,5.9,138.7,82.2,1
1080375,73.1,8.9,148.9,124.9,0
1080376,86.7,7.6,109.0,93.3,1
1080377,78.6,6.0,87.0,90.9,0
1080378,99.0,6.9,86.2,128.6,1
1080379,78.9,6.3,125.7,90.0,0
1080380,82.4,7.6,97.4,63.5,0
1080381,48.8,5.5,130.3,86.2,1
1080382,53.4,9.1,127.7,112.3,1
1080383,99.9,7.1,62.8,110.7,1
1080384,74.5,7.6,121.5,62.5,0
1080385,85.8,7.3,75.0,95.1,1
1080386,84.7,3.9,88.3,84.6,0
1080387,46.2,7.1,136.9,138.6,1
1080388,89.3,7.1,115.8,134.4,1
1080389,54.2,6.9,73.3,67.9,0
1080390,81.3,7.9,78.3,105.6,0
1080391,80.3,8.4,65.2,83.9,0
1080392,53.3,8.8,135.1,77.1,1
1080393,89.3,7.8,85.1,90.3,1
1080394,45.9,6.9,89.2,78.6,0
1080395,78.5,8.4,105.6,88.9,1
1080396,64.9,6.4,93.7,99.3,1
1080397,81.5,7.4,155.1,90.4,1
1080398,79.0,9.5,122.4,111.9,0
1080399,63.5,10.0,97.9,108.4,1
1080400,75.3,6.5,38.1,62.6,0
1080401,57.6,7.9,89.5,71.9,0
1080402,97.9,6.3,114.7,92.1,0
1080403,73.4,7.4,127.8,85.4,1
1080404,32.0,4.5,159.6,60.5,0
1080405,50.0,4.5,105.5,87.5,1
1080406,53.8,7.7,61.6,133.0,0
1080407,75.1,8.6,106.0,85.9,1
1080408,43.6,7.4,50.6,84.8,1
1080409,42.8,9.5,78.7,65.3,0
1080410,61.2,8.7,115.3,147.0,0
1080411,69.0,6.0,95.4,116.7,0
1080412,58.0,6.0,74.5,57.5,1
1080413,85.8,5.5,130.5,88.3,0
1080414,73.4,5.4,129.5,83.3,1
1080415,71.3,7.9,68.0,98.0,0
1080416,103.7,7.3,127.8,100.6,1
1080417,105.2,6.2,88.4,140.5,1
1080418,84.3,5.9,105.6,69.2,0
1080419,76.8,9.2,93.2,119.9,0
1080420,20.0,7.0,80.2,101.3,1
1080421,73.3,6.5,129.4,59.5,0
1080422,59.4,8.8,76.6,97.0,0
1080423,78.4,8.1,157.8,97.8,1
1080424,44.8,9.1,80.5,92.4,0
1080425,86.3,3.8,133.0,94.6,0
1080426,94.9,6.8,120.3,65.2,1
1080427,67.7,7.2,59.8,92.4,0
1080428,48.9,6.0,100.6,95.5,0
1080429,61.4,7.5,139.6,104.6,1
1080430,73.2,7.5,138.0,87.5,1
1080431,66.5,5.1,71.0,79.0,0
1080432,68.4,6.1,147.7,109.2,0
1080433,43.8,8.2,93.7,108.4,0
1080434,96.6,6.5,74.2,114.6,0
1080435,95.5,6.1,98.1,86.7,0
1080436,106.5,7.6,105.5,110.7,1
1080437,86.9,4.8,107.0,68.6,0
1080438,93.5,8.8,132.7,112.2,0
1080439,72.5,8.1,96.7,112.5,1
1080440,49.2,5.4,82.3,135.0,1
1080441,58.3,5.9,94.1,49.8,0
1080442,46.5,5.8,86.6,106.9,1
1080443,70.8,6.4,76.1,121.8,0
1080444,71.4,7.9,88.4,107.6,1
1080445,66.5,8.3,92.5,102.8,0
1080446,20.2,7.6,100.0,137.4,0
1080447,84.2,7.3,99.0,85.9,0
1080448,92.8,6.6,113.0,113.0,0
1080449,39.4,8.0,114.2,86.6,0
1080450,83.1,6.5,70.0,74.7,1
1080451,65.3,8.2,95.8,117.7,0
1080452,50.9,6.4,129.5,130.6,1
1080453,91.5,8.1,80.8,66.8,0
1080454,81.0,7.4,114.1,126.1,0
1080455,68.0,6.7,66.4,124.7,0
1080456,81.7,6.0,77.4,73.3,0
1080457,73.8,7.1,110.1,102.5,0
1080458,86.9,7.8,122.8,71.1,1
1080459,69.7,8.5,65.4,73.0,1
1080460,78.3,8.8,85.7,101.0,0
1080461,111.9,5.8,96.7,64.6,1
1080462,83.1,7.3,117.3,89.1,0
1080463,43.7,7.1,109.8,124.4,1
1080464,71.5,7.0,101.6,133.6,0
1080465,56.3,4.3,73.0,63.8,0
1080466,71.5,6.2,99.2,87.7,0
1080467,70.5,6.4,148.4,142.3,0
1080468,127.2,5.4,73.7,63.3,0
1080469,53.4,6.7,109.8,95.0,1
