BatchID,ReactantFlowRate_Lh,ReactorPressure_Bar,ReactorTempCelsius,AgitatorSpeedRPM,SafetyAlarmTriggered
1900001,55.6,1.59,118.7,9.1,0
1900002,65.5,1.8,54.6,21.8,1
1900003,64.5,2.24,83.5,19.0,0
1900004,59.4,1.68,149.1,20.0,1
1900005,49.8,1.15,138.2,12.1,1
1900006,50.2,1.54,127.6,10.2,1
1900007,56.8,1.09,149.2,13.0,1
1900008,44.9,1.46,115.8,9.9,1
1900009,55.3,2.0,175.1,6.3,1
1900010,45.2,0.76,123.8,8.6,1
1900011,15.7,1.0,77.2,12.5,0
1900012,35.8,1.68,165.5,13.9,1
1900013,60.9,1.12,79.6,10.4,1
1900014,65.7,1.94,103.6,13.5,0
1900015,65.6,1.36,135.6,20.9,0
1900016,58.6,1.75,154.1,7.2,1
1900017,14.4,2.01,180.3,2.4,0
1900018,74.5,1.03,89.0,16.9,1
1900019,38.3,1.21,100.5,16.1,0
1900020,37.8,1.42,123.8,13.1,1
1900021,28.7,1.12,138.3,12.1,1
1900022,16.2,1.38,115.8,5.3,0
1900023,77.2,1.37,66.8,10.3,0
1900024,32.5,1.26,122.8,7.9,0
1900025,14.1,1.51,105.9,10.6,0
1900026,47.4,1.69,129.2,15.4,0
1900027,50.6,1.46,108.3,13.7,1
1900028,20.3,1.32,147.8,25.0,0
1900029,26.2,1.76,96.1,9.9,0
1900030,25.6,1.3,117.6,9.8,0
1900031,44.4,1.86,151.5,7.9,1
1900032,53.6,1.39,93.4,14.3,0
1900033,44.9,1.23,114.3,3.3,0
1900034,38.5,1.35,98.0,11.4,1
1900035,57.3,1.41,145.9,11.6,1
1900036,56.2,1.42,32.1,15.6,0
1900037,31.8,1.96,148.7,13.2,1
1900038,29.5,1.93,118.1,13.8,0
1900039,42.6,0.95,119.4,8.3,0
1900040,45.6,1.35,150.0,8.2,1
1900041,48.1,0.85,117.9,7.2,1
1900042,60.5,1.46,90.2,8.9,0
1900043,34.3,1.14,105.2,3.2,0
1900044,40.0,1.27,100.6,9.6,0
1900045,70.0,1.7,105.1,12.5,0
1900046,53.2,1.34,111.1,13.3,1
1900047,22.2,1.83,142.4,9.9,1
1900048,39.2,1.75,123.9,7.1,1
1900049,54.4,1.47,104.4,6.3,1
1900050,37.2,0.76,103.9,11.1,0
1900051,59.9,1.41,94.5,9.2,0
1900052,54.2,1.83,137.4,9.5,1
1900053,56.9,1.3,90.9,23.1,0
1900054,39.9,2.31,169.1,13.5,1
1900055,68.0,1.69,94.4,18.3,0
1900056,69.7,1.05,131.5,16.0,1
1900057,39.3,1.16,80.4,10.1,1
1900058,47.8,2.47,109.0,14.8,1
1900059,57.8,1.45,163.8,21.0,1
1900060,43.9,1.62,135.9,1.6,1
1900061,47.2,1.35,140.0,20.9,1
1900062,48.5,1.13,153.1,15.9,1
1900063,44.6,1.56,65.1,14.8,0
1900064,26.9,0.97,163.1,12.3,1
1900065,43.4,1.36,79.2,10.8,0
1900066,37.0,1.7,159.6,20.6,1
1900067,47.0,2.4,111.9,19.0,1
1900068,26.1,2.39,102.8,14.9,0
1900069,62.8,0.82,88.0,10.2,1
1900070,52.4,1.87,143.7,3.9,1
1900071,39.3,1.39,94.6,11.0,0
1900072,62.8,1.6,105.2,3.6,1
1900073,41.6,1.42,155.9,6.4,1
1900074,28.6,1.84,97.9,21.1,0
1900075,46.1,1.38,116.0,5.2,1
1900076,30.2,1.67,124.9,16.7,1
1900077,36.8,1.18,70.9,10.3,0
1900078,36.8,0.46,83.8,11.1,0
1900079,49.5,1.62,114.8,20.6,1
1900080,34.8,1.72,88.1,10.7,0
1900081,63.4,1.19,99.6,8.8,0
1900082,77.1,2.04,139.8,12.2,0
1900083,39.8,1.69,85.5,15.5,0
1900084,41.9,1.8,125.9,8.2,1
1900085,55.2,0.6,134.6,4.6,0
1900086,37.5,1.29,114.9,9.1,1
1900087,49.3,1.81,79.0,7.9,0
1900088,23.4,1.81,150.1,19.3,1
1900089,48.1,1.47,133.1,18.7,1
1900090,14.8,2.28,105.9,8.2,0
1900091,50.6,1.61,140.9,7.4,1
1900092,74.2,1.47,125.5,9.5,1
1900093,40.2,1.09,143.5,5.8,0
1900094,38.4,1.41,104.3,12.0,0
1900095,71.6,1.28,140.4,19.7,1
1900096,68.6,1.58,168.6,13.7,1
1900097,59.6,2.2,163.5,10.5,1
1900098,37.5,2.2,143.4,9.7,1
1900099,50.5,1.59,137.1,17.8,1
1900100,73.3,1.34,111.2,12.7,0
1900101,55.3,1.26,144.4,1.0,0
1900102,40.1,1.96,80.9,13.2,0
1900103,67.1,1.08,105.1,16.6,0
1900104,45.1,1.28,164.2,11.2,1
1900105,35.4,1.36,125.4,10.6,0
1900106,74.2,1.8,118.8,3.1,0
1900107,59.7,1.05,122.7,6.6,1
1900108,69.1,1.27,162.3,18.0,1
1900109,60.2,1.32,129.2,13.5,1
1900110,28.2,1.79,156.1,18.7,1
1900111,15.6,1.56,151.5,12.2,1
1900112,41.5,1.93,82.9,17.7,0
1900113,54.7,1.28,77.1,16.8,0
1900114,39.8,2.41,98.4,9.5,0
1900115,39.3,1.72,170.8,12.4,1
1900116,46.5,1.52,100.4,17.2,0
1900117,42.2,1.97,65.5,17.3,0
1900118,34.8,1.35,83.7,9.2,0
1900119,51.5,1.18,104.9,5.8,0
1900120,60.3,1.88,98.1,12.4,0
1900121,64.6,1.67,145.1,16.9,1
1900122,66.9,0.82,201.6,7.2,1
1900123,66.9,,126.2,10.2,1
1900124,36.2,0.8,59.3,10.8,0
1900125,58.1,1.21,110.1,16.0,1
1900126,38.5,1.77,141.1,8.6,1
1900127,28.6,1.43,117.4,5.9,0
1900128,53.5,0.86,130.4,15.4,0
1900129,46.8,1.64,134.2,6.4,0
1900130,35.5,1.75,89.3,9.2,1
1900131,79.6,,183.9,3.2,1
1900132,41.2,1.08,124.9,16.6,0
1900133,44.9,1.4,164.2,20.4,0
1900134,39.9,1.45,85.0,15.7,0
1900135,17.0,1.53,95.7,16.2,0
1900136,41.9,1.2,145.2,18.9,1
1900137,32.1,1.05,122.5,9.5,0
1900138,54.1,1.19,97.7,15.7,0
1900139,54.9,1.67,113.1,11.9,0
1900140,59.9,1.42,129.5,12.8,1
1900141,37.9,1.11,139.3,10.6,1
1900142,59.0,1.54,132.7,13.7,0
1900143,31.9,0.1,119.8,5.6,0
1900144,54.2,1.67,143.3,10.3,1
1900145,37.2,1.88,128.6,7.8,0
1900146,58.8,1.05,71.0,20.5,0
1900147,34.8,1.23,173.5,15.9,0
1900148,41.9,1.33,131.1,5.5,0
1900149,57.1,1.76,175.3,7.7,1
1900150,25.6,1.41,129.2,10.4,1
1900151,42.9,1.8,112.5,7.7,0
1900152,43.3,1.5,79.3,17.5,0
1900153,51.0,1.88,122.3,15.9,0
1900154,19.8,0.62,92.2,11.9,0
1900155,66.0,1.62,117.7,3.5,0
1900156,41.6,1.55,134.9,17.7,1
1900157,68.1,2.03,90.9,12.4,0
1900158,38.2,0.71,92.3,16.5,0
1900159,49.3,1.31,106.4,4.2,1
1900160,68.8,1.05,67.0,9.8,0
1900161,53.0,1.13,119.9,12.4,0
1900162,37.5,1.49,131.5,16.4,1
1900163,56.6,1.65,101.9,5.5,0
1900164,9.5,1.45,126.3,6.6,0
1900165,60.8,1.56,139.8,20.4,1
1900166,49.4,2.0,158.7,6.0,0
1900167,37.8,1.86,114.5,6.7,0
1900168,29.1,1.42,130.0,17.6,1
1900169,40.0,1.62,99.2,9.2,1
1900170,27.8,1.16,134.4,9.0,0
1900171,39.2,1.43,109.5,7.7,0
1900172,19.2,1.88,132.8,7.7,1
1900173,58.1,1.29,101.7,5.2,0
1900174,41.7,1.17,124.5,11.1,0
1900175,67.0,1.71,45.8,11.2,0
1900176,40.7,1.87,75.1,9.8,0
1900177,60.2,1.4,134.2,13.7,1
1900178,62.5,1.71,50.7,10.2,0
1900179,56.4,1.32,67.0,5.8,0
1900180,52.0,1.34,123.6,15.1,0
1900181,44.8,2.13,113.1,4.5,0
1900182,74.6,1.46,161.0,4.0,1
1900183,54.8,1.8,150.3,11.6,0
1900184,38.9,1.29,140.6,13.9,1
1900185,27.4,1.53,156.0,8.1,1
1900186,38.1,1.48,173.5,13.0,1
1900187,60.5,1.83,44.6,13.8,1
1900188,54.5,1.71,159.6,9.7,1
1900189,63.5,1.07,174.9,12.6,1
1900190,61.9,0.79,153.0,3.6,1
1900191,41.9,1.47,133.3,10.0,0
1900192,40.9,1.5,102.7,11.5,0
1900193,50.7,1.14,82.1,10.6,0
1900194,60.8,1.36,103.0,8.6,0
1900195,45.2,1.4,159.5,7.2,1
1900196,54.1,1.72,148.7,12.0,1
1900197,31.6,1.67,109.2,18.8,1
1900198,50.1,1.56,103.3,10.2,0
1900199,51.7,1.25,192.8,24.3,1
1900200,49.9,1.25,138.9,10.3,1
1900201,35.5,1.61,118.0,16.6,0
1900202,19.0,1.53,159.6,6.6,0
1900203,31.3,1.56,70.3,15.8,0
1900204,65.0,1.64,68.4,13.8,0
1900205,14.0,1.67,122.9,11.0,0
1900206,54.6,1.5,156.4,19.3,1
1900207,36.2,1.6,95.5,19.2,1
1900208,61.2,0.88,132.6,16.6,1
1900209,44.7,2.04,111.2,17.1,0
1900210,42.2,1.09,126.3,12.1,1
1900211,51.2,1.93,82.3,11.5,0
1900212,53.0,1.78,133.9,22.4,1
1900213,58.2,1.97,115.2,22.7,1
1900214,44.7,2.34,87.2,14.0,0
1900215,75.8,1.26,105.6,8.4,1
1900216,46.9,0.78,79.4,17.1,0
1900217,25.0,1.13,98.8,13.3,0
1900218,45.2,1.45,129.2,1.1,0
1900219,45.5,1.99,106.0,14.6,1
1900220,37.5,1.13,98.6,13.6,1
1900221,36.1,1.75,85.2,12.2,1
1900222,43.1,1.89,119.0,9.8,1
1900223,58.1,1.15,105.6,11.5,1
1900224,52.8,1.49,108.7,12.7,0
1900225,37.5,1.68,83.7,5.8,0
